time	T1	T2	T3	T4
0:05	30	30	30	30
1:05	30	30	30	30
2:05	30	30	30	30
3:05	30	30	30	30
4:05	30	30	30	30
5:05	30	30	30	30
6:05	30	30	30	30
7:05	30	30	30	30
8:05	30	30	30	30
9:05	30	30	30	30
10:05	30	30	30	30
11:05	30	30	30	30
12:00	30	30	30	30
13:00	30	30	30	30
13:55	30	30	30	30
14:00	30	30.11	30.194	30.25
14:05	30	30.22	30.388	30.5
14:10	30	30.33	30.582	30.75
14:15	30	30.44	30.776	31
14:20	30	30.55	30.97	31.25
14:25	30	30.66	31.164	31.5
14:30	30	30.77	31.358	31.75
14:35	30	30.88	31.552	32
14:40	30	30.99	31.746	32.25
14:45	30	31.1	31.94	32.5
14:50	30	31.21	32.134	32.75
14:55	30	31.32	32.328	33
15:00	30	31.43	32.522	33.25
15:05	30	31.54	32.716	33.5
15:10	30	31.65	32.91	33.75
15:15	30	31.76	33.104	34
15:20	30	31.87	33.298	34.25
15:25	30	31.98	33.492	34.5
15:30	30	32.09	33.686	34.75
15:35	30	32.2	33.88	35
15:40	30	32.31	34.074	35.25
15:45	30	32.42	34.268	35.5
15:50	30	32.53	34.462	35.75
15:55	30	32.64	34.656	36
16:00	30	32.75	34.85	36.25
16:05	30	32.86	35.044	36.5
16:10	30	32.97	35.238	36.75
16:15	30	33.08	35.432	37
16:20	30	33.19	35.626	37.25
16:25	30	33.3	35.82	37.5
16:30	30	33.41	36.014	37.75
16:35	30	33.52	36.208	38
16:40	30	33.63	36.402	38.25
16:45	30	33.74	36.596	38.5
16:50	30	33.85	36.79	38.75
16:55	30	34	37	39
17:00	30	34	37	39
20:00	30	34	37	39
20:05	30	33.67	36.417	38.25
20:10	30	33.34	35.834	37.5
20:15	30	33.01	35.251	36.75
20:20	30	32.68	34.668	36
20:25	30	32.35	34.085	35.25
20:30	30	32.02	33.502	34.5
20:35	30	31.69	32.919	33.75
20:40	30	31.36	32.336	33
20:45	30	31.03	31.753	32.25
20:50	30	30.7	31.17	31.5
20:55	30	30.37	30.587	30.75
21:00	30	30	30	30
21:05	30	30	30	30
22:05	30	30	30	30
23:05	30	30	30	30
