Chamber	Time/hh:mm:ss	Logtime/min	Oxy/% air sat.	Phase/°	Amp	Temp/°C	% air-sat.	% oxygen	pO2 (hPa)	pO2 (Torr)	cO2 [mg/L]	cO2 [µmol/L]	Salinity	chlorinity	SalCorcO2 [mg/L]	SalCorcO2 [µmol/L]
3	12:56:36 PM	0.00	74.610	29.280	15865.000	29.000	74.368422	15.5801844	151.570291	113.687382	5.70987399	178.433562	35	19.3739612	4.62601329	144.562915
3	12:56:44 PM	0.13	74.120	29.350	15829.000	29.000	73.898638	15.4817647	150.612824	112.969221	5.67380482	177.306401	35	19.3739612	4.59679085	143.649714
3	12:56:59 PM	0.38	75.360	29.170	15774.000	29.000	75.113944	15.7363713	153.089740	114.827065	5.76711384	180.222307	35	19.3739612	4.67238774	146.012117
3	12:57:13 PM	0.63	74.530	29.290	15789.000	29.000	74.301090	15.5660785	151.433062	113.584451	5.70470439	178.272012	35	19.3739612	4.62182499	144.432031
3	12:57:28 PM	0.88	73.120	29.500	15770.000	29.000	72.903918	15.2733709	148.585485	111.448587	5.59743201	174.919750	35	19.3739612	4.53491529	141.716103
3	12:57:43 PM	1.13	74.650	29.270	15788.000	29.000	74.435827	15.5943058	151.707669	113.790424	5.71504924	178.595289	35	19.3739612	4.63020616	144.693942
3	12:57:58 PM	1.38	74.260	29.330	15809.000	29.000	74.032497	15.5098081	150.885642	113.173851	5.68408225	177.627570	35	19.3739612	4.60511739	143.909918
3	12:58:14 PM	1.63	74.820	29.240	15798.000	29.000	74.638485	15.6367625	152.120706	114.100228	5.73060891	179.081528	35	19.3739612	4.64281226	145.087883
3	12:58:29 PM	1.88	74.910	29.230	15793.000	29.000	74.706185	15.6509457	152.258685	114.203721	5.73580681	179.243963	35	19.3739612	4.64702348	145.219484
3	12:58:44 PM	2.13	73.960	29.370	15759.000	29.000	73.765071	15.4537823	150.340600	112.765035	5.66354974	176.985930	35	19.3739612	4.58848241	143.390075
3	12:58:58 PM	2.38	75.010	29.220	15752.000	29.000	74.773959	15.6651444	152.396816	114.307328	5.74101039	179.406575	35	19.3739612	4.65123931	145.351228
3	12:59:14 PM	2.63	75.130	29.200	15722.000	29.000	74.909730	15.6935884	152.673531	114.514882	5.75143464	179.732332	35	19.3739612	4.65968480	145.615150
3	12:59:28 PM	2.88	73.880	29.380	15783.000	29.000	73.698396	15.4398139	150.204710	112.663109	5.65843057	176.825955	35	19.3739612	4.58433496	143.260468
3	12:59:43 PM	3.13	73.700	29.410	15718.000	29.000	73.498805	15.3979997	149.797925	112.357994	5.64310637	176.347074	35	19.3739612	4.57191964	142.872489
3	12:59:58 PM	3.38	74.880	29.240	15741.000	29.000	74.638485	15.6367625	152.120706	114.100228	5.73060891	179.081528	35	19.3739612	4.64281226	145.087883
3	13:00:13 PM	3.63	74.190	29.340	15694.000	29.000	73.965531	15.4957788	150.749159	113.071480	5.67894074	177.466898	35	19.3739612	4.60095185	143.779745
3	13:00:28 PM	3.88	75.260	29.180	15707.000	29.000	75.045798	15.7220947	152.950851	114.722890	5.76188172	180.058804	35	19.3739612	4.66814879	145.879650
3	13:00:44 PM	4.13	74.780	29.250	15687.000	29.000	74.570858	15.6225948	151.982876	113.996847	5.72541669	178.919271	35	19.3739612	4.63860563	144.956426
3	13:00:58 PM	4.38	75.490	29.150	15688.000	29.000	75.250460	15.7649714	153.367973	115.035758	5.77759529	180.549853	35	19.3739612	4.68087958	146.277487
3	13:01:13 PM	4.63	77.080	28.920	15689.000	29.000	76.842143	16.0984289	156.611982	117.468971	5.89980183	184.368807	35	19.3739612	4.77988861	149.371519
3	13:01:28 PM	4.88	75.400	29.160	15652.000	29.000	75.182165	15.7506635	153.228780	114.931354	5.77235169	180.385990	35	19.3739612	4.67663134	146.144729
3	13:01:44 PM	5.13	75.310	29.170	15674.000	29.000	75.113944	15.7363713	153.089740	114.827065	5.76711384	180.222307	35	19.3739612	4.67238774	146.012117
3	13:01:58 PM	5.38	74.510	29.290	15619.000	29.000	74.301090	15.5660785	151.433062	113.584451	5.70470439	178.272012	35	19.3739612	4.62182499	144.432031
3	13:02:14 PM	5.63	74.730	29.260	15650.000	29.000	74.503306	15.6084426	151.845198	113.893579	5.72023013	178.757192	35	19.3739612	4.63440360	144.825113
3	13:02:28 PM	5.88	74.390	29.310	15685.000	29.000	74.166647	15.5379126	151.159054	113.378927	5.69438208	177.949440	35	19.3739612	4.61346208	144.170690
3	13:02:44 PM	6.13	75.300	29.170	15650.000	29.000	75.113944	15.7363713	153.089740	114.827065	5.76711384	180.222307	35	19.3739612	4.67238774	146.012117
3	13:02:59 PM	6.38	76.150	29.050	15625.000	29.000	75.937551	15.9089169	154.768332	116.086116	5.83034886	182.198402	35	19.3739612	4.72361935	147.613105
3	13:03:13 PM	6.63	74.520	29.290	15601.000	29.000	74.301090	15.5660785	151.433062	113.584451	5.70470439	178.272012	35	19.3739612	4.62182499	144.432031
3	13:03:29 PM	6.88	74.870	29.240	15638.000	29.000	74.638485	15.6367625	152.120706	114.100228	5.73060891	179.081528	35	19.3739612	4.64281226	145.087883
3	13:03:44 PM	7.13	76.840	28.950	15607.000	29.000	76.632238	16.0544540	156.184175	117.148089	5.88368575	183.865180	35	19.3739612	4.76683172	148.963491
3	13:03:59 PM	7.38	75.800	29.100	15605.000	29.000	75.593063	15.8367466	154.066231	115.559496	5.80389969	181.371865	35	19.3739612	4.70219082	146.943463
3	13:04:13 PM	7.63	76.360	29.020	15554.000	29.000	76.145154	15.9524098	155.191449	116.403481	5.84628829	182.696509	35	19.3739612	4.73653313	148.016660
3	13:04:28 PM	7.88	75.670	29.120	15589.000	29.000	75.455796	15.8079893	153.786468	115.349656	5.79336061	181.042519	35	19.3739612	4.69365230	146.676634
3	13:04:43 PM	8.13	76.230	29.040	15581.000	29.000	76.006676	15.9233986	154.909216	116.191788	5.83565616	182.364255	35	19.3739612	4.72791921	147.747475
3	13:04:58 PM	8.38	77.290	28.890	15544.000	29.000	77.052744	16.1425499	157.041208	117.790918	5.91597140	184.874106	35	19.3739612	4.79298884	149.780901
3	13:05:13 PM	8.63	76.490	29.000	15608.000	29.000	76.283938	15.9814850	155.474304	116.615640	5.85694386	183.029496	35	19.3739612	4.74516603	148.286439
3	13:05:28 PM	8.88	76.170	29.050	15564.000	29.000	75.937551	15.9089169	154.768332	116.086116	5.83034886	182.198402	35	19.3739612	4.72361935	147.613105
3	13:05:43 PM	9.13	76.390	29.020	15562.000	29.000	76.145154	15.9524098	155.191449	116.403481	5.84628829	182.696509	35	19.3739612	4.73653313	148.016660
3	13:05:59 PM	9.38	76.350	29.020	15565.000	29.000	76.145154	15.9524098	155.191449	116.403481	5.84628829	182.696509	35	19.3739612	4.73653313	148.016660
3	13:06:14 PM	9.63	76.420	29.010	15548.000	29.000	76.214508	15.9669394	155.332799	116.509502	5.85161314	182.862911	35	19.3739612	4.74084721	148.151475
3	13:06:28 PM	9.88	75.830	29.100	15534.000	29.000	75.593063	15.8367466	154.066231	115.559496	5.80389969	181.371865	35	19.3739612	4.70219082	146.943463
3	13:06:44 PM	10.13	77.380	28.880	15531.000	29.000	77.123100	16.1572894	157.184600	117.898471	5.92137319	185.042912	35	19.3739612	4.79736525	149.917664
3	13:06:59 PM	10.38	77.440	28.870	15609.000	29.000	77.193533	16.1720452	157.328150	118.006143	5.92678095	185.211905	35	19.3739612	4.80174650	150.054578
3	13:07:14 PM	10.63	76.420	29.010	15559.000	29.000	76.214508	15.9669394	155.332799	116.509502	5.85161314	182.862911	35	19.3739612	4.74084721	148.151475
3	13:07:29 PM	10.88	77.150	28.910	15541.000	29.000	76.912266	16.1131197	156.754899	117.576168	5.90518573	184.537054	35	19.3739612	4.78425053	149.507829
3	13:07:43 PM	11.13	76.690	28.970	15530.000	29.000	76.492688	16.0252181	155.899757	116.934757	5.87297130	183.530353	35	19.3739612	4.75815111	148.692222
3	13:07:59 PM	11.38	78.010	28.790	15544.000	29.000	77.759819	16.2906820	158.482297	118.871827	5.97025933	186.570604	35	19.3739612	4.83697172	151.155366
3	13:08:13 PM	11.63	77.190	28.900	15502.000	29.000	76.982466	16.1278266	156.897974	117.683484	5.91057559	184.705487	35	19.3739612	4.78861727	149.644290
3	13:08:29 PM	11.88	76.350	29.020	15545.000	29.000	76.145154	15.9524098	155.191449	116.403481	5.84628829	182.696509	35	19.3739612	4.73653313	148.016660
3	13:08:44 PM	12.13	76.160	29.050	15501.000	29.000	75.937551	15.9089169	154.768332	116.086116	5.83034886	182.198402	35	19.3739612	4.72361935	147.613105
3	13:08:58 PM	12.38	77.350	28.880	15497.000	29.000	77.123100	16.1572894	157.184600	117.898471	5.92137319	185.042912	35	19.3739612	4.79736525	149.917664
