4/3/2023/5:13 PM SW ver:OXY10v3_33
Header Ch-3
Description: Deep_03_200_no_filter
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 97612
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.55 at 029.0°C amp 039300
100.00%a.s.phase 2: 26.16 at 029.0°C amp 016200
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;5:13:23 PM;0.00;76.470;29.010;15594.000;29.000
4/3/2023;5:13:32 PM;0.16;76.700;28.970;15633.000;29.000
4/3/2023;5:13:47 PM;0.41;77.420;28.870;15655.000;29.000
4/3/2023;5:14:02 PM;0.66;76.280;29.030;15589.000;29.000
4/3/2023;5:14:17 PM;0.91;77.150;28.910;15611.000;29.000
4/3/2023;5:14:32 PM;1.16;76.150;29.050;15630.000;29.000
4/3/2023;5:14:47 PM;1.41;77.400;28.870;15685.000;29.000
4/3/2023;5:15:02 PM;1.66;76.220;29.040;15644.000;29.000
4/3/2023;5:15:17 PM;1.91;76.730;28.970;15643.000;29.000
4/3/2023;5:15:32 PM;2.16;76.360;29.020;15630.000;29.000
4/3/2023;5:15:47 PM;2.41;76.310;29.030;15615.000;29.000
4/3/2023;5:16:02 PM;2.66;76.640;28.980;15626.000;29.000
4/3/2023;5:16:17 PM;2.91;75.430;29.160;15649.000;29.000
4/3/2023;5:16:32 PM;3.16;77.310;28.890;15620.000;29.000
4/3/2023;5:16:47 PM;3.41;77.080;28.920;15627.000;29.000
4/3/2023;5:17:02 PM;3.66;76.870;28.950;15591.000;29.000
4/3/2023;5:17:17 PM;3.91;76.930;28.940;15629.000;29.000
4/3/2023;5:17:32 PM;4.16;77.070;28.920;15614.000;29.000
4/3/2023;5:17:47 PM;4.41;76.050;29.060;15582.000;29.000
4/3/2023;5:18:02 PM;4.66;77.310;28.890;15609.000;29.000
4/3/2023;5:18:17 PM;4.91;75.740;29.110;15580.000;29.000
4/3/2023;5:18:32 PM;5.16;76.620;28.980;15580.000;29.000
4/3/2023;5:18:47 PM;5.41;77.460;28.860;15591.000;29.000
4/3/2023;5:19:02 PM;5.66;77.920;28.800;15586.000;29.000
4/3/2023;5:19:17 PM;5.91;78.200;28.760;15578.000;29.000
4/3/2023;5:19:32 PM;6.16;77.520;28.860;15567.000;29.000
4/3/2023;5:19:47 PM;6.41;77.690;28.830;15535.000;29.000
4/3/2023;5:20:02 PM;6.66;77.040;28.920;15543.000;29.000
4/3/2023;5:20:17 PM;6.91;76.960;28.940;15509.000;29.000
4/3/2023;5:20:32 PM;7.16;77.010;28.930;15509.000;29.000
4/3/2023;5:20:47 PM;7.41;78.370;28.740;15486.000;29.000
4/3/2023;5:21:02 PM;7.66;77.920;28.800;15457.000;29.000
4/3/2023;5:21:17 PM;7.91;77.070;28.920;15515.000;29.000
4/3/2023;5:21:32 PM;8.16;78.010;28.790;15500.000;29.000
4/3/2023;5:21:47 PM;8.41;77.260;28.890;15490.000;29.000
4/3/2023;5:22:02 PM;8.66;76.930;28.940;15463.000;29.000
4/3/2023;5:22:17 PM;8.91;78.580;28.710;15472.000;29.000
4/3/2023;5:22:32 PM;9.16;77.810;28.820;15479.000;29.000
4/3/2023;5:22:47 PM;9.41;78.150;28.770;15441.000;29.000
4/3/2023;5:23:02 PM;9.66;78.440;28.730;15458.000;29.000
4/3/2023;5:23:17 PM;9.91;79.020;28.650;15436.000;29.000
4/3/2023;5:23:32 PM;10.16;78.170;28.760;15434.000;29.000
4/3/2023;5:23:47 PM;10.41;78.910;28.660;15417.000;29.000
4/3/2023;5:24:02 PM;10.66;76.930;28.940;15410.000;29.000
4/3/2023;5:24:17 PM;10.91;77.740;28.820;15407.000;29.000
4/3/2023;5:24:32 PM;11.16;78.320;28.740;15421.000;29.000
4/3/2023;5:24:47 PM;11.41;78.220;28.760;15415.000;29.000
4/3/2023;5:25:02 PM;11.66;77.450;28.870;15417.000;29.000
4/3/2023;5:25:17 PM;11.91;79.240;28.620;15402.000;29.000
4/3/2023;5:25:32 PM;12.16;78.840;28.670;15371.000;29.000
4/3/2023;5:25:47 PM;12.41;78.980;28.650;15348.000;29.000
4/3/2023;5:26:02 PM;12.66;79.060;28.640;15339.000;29.000
4/3/2023;5:26:17 PM;12.91;79.630;28.560;15358.000;29.000
4/3/2023;5:26:32 PM;13.16;77.920;28.800;15338.000;29.000
4/3/2023;5:26:47 PM;13.41;79.150;28.630;15349.000;29.000
4/3/2023;5:27:02 PM;13.66;79.760;28.550;15330.000;29.000
4/3/2023;5:27:17 PM;13.91;80.440;28.450;15340.000;29.000
4/3/2023;5:27:32 PM;14.16;78.640;28.700;15326.000;29.000
4/3/2023;5:27:47 PM;14.41;80.040;28.510;15330.000;29.000
4/3/2023;5:28:02 PM;14.66;78.640;28.700;15333.000;29.000
4/3/2023;5:28:17 PM;14.91;78.400;28.730;15206.000;29.000
4/3/2023;5:28:32 PM;15.16;78.770;28.680;15155.000;29.000
4/3/2023;5:28:47 PM;15.41;79.410;28.590;15154.000;29.000
4/3/2023;5:29:02 PM;15.66;79.160;28.630;15150.000;29.000
4/3/2023;5:29:17 PM;15.91;79.300;28.610;15181.000;29.000
4/3/2023;5:29:32 PM;16.16;79.930;28.520;15164.000;29.000
4/3/2023;5:29:47 PM;16.41;79.220;28.620;15144.000;29.000
4/3/2023;5:30:02 PM;16.66;79.670;28.560;15143.000;29.000
4/3/2023;5:30:17 PM;16.91;79.540;28.580;15145.000;29.000
4/3/2023;5:30:32 PM;17.16;78.930;28.660;15151.000;29.000
4/3/2023;5:30:47 PM;17.41;79.400;28.590;15153.000;29.000
4/3/2023;5:31:02 PM;17.66;79.740;28.550;15177.000;29.000
4/3/2023;5:31:17 PM;17.91;79.620;28.560;15132.000;29.000
4/3/2023;5:31:32 PM;18.16;79.650;28.560;15171.000;29.000
4/3/2023;5:31:47 PM;18.41;79.400;28.590;15158.000;29.000
4/3/2023;5:32:02 PM;18.66;79.290;28.610;15150.000;29.000
4/3/2023;5:32:17 PM;18.91;79.280;28.610;15180.000;29.000
4/3/2023;5:32:32 PM;19.16;79.470;28.590;15166.000;29.000
4/3/2023;5:32:47 PM;19.41;78.190;28.760;15156.000;29.000
4/3/2023;5:33:02 PM;19.66;78.660;28.700;15189.000;29.000
4/3/2023;5:33:17 PM;19.91;79.120;28.630;15198.000;29.000
4/3/2023;5:33:32 PM;20.16;78.620;28.700;15220.000;29.000
4/3/2023;5:33:47 PM;20.41;78.350;28.740;15207.000;29.000
4/3/2023;5:34:02 PM;20.66;78.730;28.690;15214.000;29.000
4/3/2023;5:34:17 PM;20.91;78.300;28.750;15214.000;29.000
4/3/2023;5:34:32 PM;21.16;78.600;28.710;15204.000;29.000
4/3/2023;5:34:47 PM;21.41;78.500;28.720;15272.000;29.000
4/3/2023;5:35:02 PM;21.66;77.840;28.810;15253.000;29.000
4/3/2023;5:35:17 PM;21.91;77.940;28.800;15243.000;29.000
4/3/2023;5:35:32 PM;22.16;78.430;28.730;15271.000;29.000
4/3/2023;5:35:47 PM;22.41;78.040;28.780;15267.000;29.000
4/3/2023;5:36:02 PM;22.66;77.900;28.800;15288.000;29.000
4/3/2023;5:36:17 PM;22.91;77.890;28.800;15299.000;29.000
4/3/2023;5:36:32 PM;23.16;76.710;28.970;15295.000;29.000
4/3/2023;5:36:47 PM;23.41;78.450;28.730;15312.000;29.000
4/3/2023;5:37:02 PM;23.66;77.510;28.860;15283.000;29.000
4/3/2023;5:37:17 PM;23.91;77.160;28.910;15327.000;29.000
4/3/2023;5:37:32 PM;24.16;77.830;28.810;15321.000;29.000
4/3/2023;5:37:47 PM;24.41;76.520;29.000;15329.000;29.000
4/3/2023;5:38:02 PM;24.66;77.130;28.910;15385.000;29.000
4/3/2023;5:38:17 PM;24.91;77.840;28.810;15361.000;29.000
4/3/2023;5:38:32 PM;25.16;77.110;28.910;15396.000;29.000
