4/3/2023/11:13 AM SW ver:OXY10v3_33
Header Ch-1
Description: Deep_01_400
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 98888
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.45 at 029.0°C amp 030300
100.00%a.s.phase 2: 26.34 at 029.0°C amp 015300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;11:13:51 AM;0.00;70.160;30.150;15431.000;29.000
4/3/2023;11:14:05 AM;0.23;72.240;29.820;15398.000;29.000
4/3/2023;11:14:20 AM;0.48;70.640;30.070;15411.000;29.000
4/3/2023;11:14:35 AM;0.73;70.220;30.140;15337.000;29.000
4/3/2023;11:14:50 AM;0.98;69.960;30.180;15384.000;29.000
4/3/2023;11:15:05 AM;1.23;71.080;30.000;15327.000;29.000
4/3/2023;11:15:20 AM;1.48;70.520;30.090;15311.000;29.000
4/3/2023;11:15:35 AM;1.73;71.620;29.920;15266.000;29.000
4/3/2023;11:15:50 AM;1.98;71.350;29.960;15325.000;29.000
4/3/2023;11:16:05 AM;2.23;71.290;29.970;15276.000;29.000
4/3/2023;11:16:20 AM;2.48;71.670;29.910;15269.000;29.000
4/3/2023;11:16:35 AM;2.73;71.850;29.880;15255.000;29.000
4/3/2023;11:16:50 AM;2.98;71.970;29.860;15298.000;29.000
4/3/2023;11:17:05 AM;3.23;72.330;29.810;15239.000;29.000
4/3/2023;11:17:20 AM;3.48;72.430;29.790;15240.000;29.000
4/3/2023;11:17:35 AM;3.73;72.300;29.810;15227.000;29.000
4/3/2023;11:17:50 AM;3.98;72.630;29.760;15257.000;29.000
4/3/2023;11:18:05 AM;4.23;72.640;29.760;15237.000;29.000
4/3/2023;11:18:20 AM;4.48;71.830;29.890;15169.000;29.000
4/3/2023;11:18:35 AM;4.73;71.330;29.960;15211.000;29.000
4/3/2023;11:18:50 AM;4.98;71.930;29.870;15173.000;29.000
4/3/2023;11:19:05 AM;5.23;72.310;29.810;15145.000;29.000
4/3/2023;11:19:20 AM;5.48;71.930;29.870;15227.000;29.000
4/3/2023;11:19:35 AM;5.73;73.510;29.630;15150.000;29.000
4/3/2023;11:19:50 AM;5.98;72.600;29.770;15188.000;29.000
4/3/2023;11:20:05 AM;6.23;72.010;29.860;15146.000;29.000
4/3/2023;11:20:20 AM;6.48;73.090;29.690;15144.000;29.000
4/3/2023;11:20:35 AM;6.73;73.750;29.590;15061.000;29.000
4/3/2023;11:20:50 AM;6.98;73.570;29.620;15098.000;29.000
4/3/2023;11:21:05 AM;7.23;74.560;29.470;15086.000;29.000
4/3/2023;11:21:20 AM;7.48;73.580;29.620;15115.000;29.000
4/3/2023;11:21:35 AM;7.73;74.060;29.550;15064.000;29.000
4/3/2023;11:21:50 AM;7.98;74.070;29.550;15075.000;29.000
4/3/2023;11:22:05 AM;8.23;73.310;29.660;15058.000;29.000
4/3/2023;11:22:20 AM;8.48;73.680;29.600;15052.000;29.000
4/3/2023;11:22:35 AM;8.73;75.080;29.400;15033.000;29.000
4/3/2023;11:22:50 AM;8.98;75.200;29.380;14983.000;29.000
4/3/2023;11:23:05 AM;9.23;75.640;29.320;14970.000;29.000
4/3/2023;11:23:20 AM;9.48;74.840;29.430;14937.000;29.000
4/3/2023;11:23:35 AM;9.73;74.840;29.430;14934.000;29.000
4/3/2023;11:23:50 AM;9.98;74.600;29.470;14916.000;29.000
4/3/2023;11:24:05 AM;10.23;74.210;29.530;14921.000;29.000
4/3/2023;11:24:20 AM;10.48;74.550;29.480;14929.000;29.000
4/3/2023;11:24:35 AM;10.73;74.430;29.490;14880.000;29.000
4/3/2023;11:24:50 AM;10.98;75.380;29.350;14883.000;29.000
4/3/2023;11:25:05 AM;11.23;74.500;29.480;14919.000;29.000
4/3/2023;11:25:20 AM;11.48;74.450;29.490;14856.000;29.000
4/3/2023;11:25:35 AM;11.73;75.540;29.330;14856.000;29.000
4/3/2023;11:25:50 AM;11.98;75.360;29.360;14864.000;29.000
4/3/2023;11:26:05 AM;12.23;74.740;29.450;14836.000;29.000
4/3/2023;11:26:20 AM;12.48;76.720;29.160;14814.000;29.000
4/3/2023;11:26:35 AM;12.73;76.690;29.160;14818.000;29.000
4/3/2023;11:26:50 AM;12.98;76.570;29.180;14785.000;29.000
4/3/2023;11:27:05 AM;13.23;75.870;29.280;14786.000;29.000
4/3/2023;11:27:20 AM;13.48;75.740;29.300;14796.000;29.000
4/3/2023;11:27:35 AM;13.73;75.470;29.340;14795.000;29.000
4/3/2023;11:27:50 AM;13.98;76.590;29.180;14752.000;29.000
4/3/2023;11:28:05 AM;14.23;76.480;29.190;14779.000;29.000
4/3/2023;11:28:20 AM;14.48;77.160;29.100;14747.000;29.000
4/3/2023;11:28:35 AM;14.73;75.890;29.280;14703.000;29.000
4/3/2023;11:28:50 AM;14.98;77.150;29.100;14679.000;29.000
4/3/2023;11:29:05 AM;15.23;76.440;29.200;14728.000;29.000
4/3/2023;11:29:20 AM;15.48;76.760;29.150;14653.000;29.000
4/3/2023;11:29:35 AM;15.73;76.830;29.140;14730.000;29.000
4/3/2023;11:29:50 AM;15.98;77.230;29.090;14674.000;29.000
