4/3/2023/12:09 PM SW ver:OXY10v3_33
Header Ch-5
Description: Deep_01_500
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 99501
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.44 at 029.0°C amp 029900
100.00%a.s.phase 2: 26.14 at 029.0°C amp 012300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;12:09:05 PM;0.00;83.500;28.030;12793.000;29.000
4/3/2023;12:09:21 PM;0.25;81.880;28.240;12848.000;29.000
4/3/2023;12:09:36 PM;0.50;82.550;28.150;12852.000;29.000
4/3/2023;12:09:51 PM;0.75;83.370;28.050;12857.000;29.000
4/3/2023;12:10:06 PM;1.00;82.900;28.110;12805.000;29.000
4/3/2023;12:10:21 PM;1.25;84.310;27.930;12864.000;29.000
4/3/2023;12:10:36 PM;1.50;82.750;28.130;12868.000;29.000
4/3/2023;12:10:51 PM;1.75;83.730;28.000;12849.000;29.000
4/3/2023;12:11:06 PM;2.00;83.310;28.050;12888.000;29.000
4/3/2023;12:11:21 PM;2.25;82.710;28.130;12869.000;29.000
4/3/2023;12:11:35 PM;2.50;83.580;28.020;12882.000;29.000
4/3/2023;12:11:50 PM;2.75;82.380;28.180;12848.000;29.000
4/3/2023;12:12:05 PM;3.00;83.330;28.050;12880.000;29.000
4/3/2023;12:12:21 PM;3.25;83.490;28.030;12839.000;29.000
4/3/2023;12:12:36 PM;3.50;83.840;27.990;12815.000;29.000
4/3/2023;12:12:51 PM;3.75;82.950;28.100;12845.000;29.000
4/3/2023;12:13:06 PM;4.00;82.140;28.210;12906.000;29.000
4/3/2023;12:13:21 PM;4.25;82.690;28.140;12868.000;29.000
4/3/2023;12:13:35 PM;4.50;83.370;28.050;12861.000;29.000
4/3/2023;12:13:50 PM;4.75;82.010;28.220;12827.000;29.000
4/3/2023;12:14:06 PM;5.00;82.730;28.130;12847.000;29.000
4/3/2023;12:14:21 PM;5.25;84.760;27.870;12870.000;29.000
4/3/2023;12:14:36 PM;5.50;83.510;28.030;12840.000;29.000
