4/3/2023/1:36 PM SW ver:OXY10v3_33
Header Ch-2
Description: Deep_02_800
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 92662
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.62 at 029.0°C amp 037100
100.00%a.s.phase 2: 26.28 at 029.0°C amp 010600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;1:36:10 PM;0.00;76.520;29.130;19080.000;29.000
4/3/2023;1:36:24 PM;0.24;75.660;29.250;19131.000;29.000
4/3/2023;1:36:39 PM;0.49;75.140;29.330;19152.000;29.000
4/3/2023;1:36:54 PM;0.74;76.170;29.180;19166.000;29.000
4/3/2023;1:37:09 PM;0.99;75.790;29.230;19127.000;29.000
4/3/2023;1:37:24 PM;1.24;76.400;29.140;19117.000;29.000
4/3/2023;1:37:39 PM;1.49;75.290;29.300;19012.000;29.000
4/3/2023;1:37:54 PM;1.74;76.660;29.110;19004.000;29.000
4/3/2023;1:38:09 PM;1.99;76.510;29.130;19092.000;29.000
4/3/2023;1:38:24 PM;2.24;75.140;29.330;19038.000;29.000
4/3/2023;1:38:39 PM;2.49;76.160;29.180;19033.000;29.000
4/3/2023;1:38:54 PM;2.74;76.690;29.100;19036.000;29.000
4/3/2023;1:39:09 PM;2.99;75.990;29.200;19020.000;29.000
4/3/2023;1:39:24 PM;3.24;76.960;29.060;18949.000;29.000
4/3/2023;1:39:39 PM;3.49;75.400;29.290;18910.000;29.000
4/3/2023;1:39:54 PM;3.74;77.330;29.010;18901.000;29.000
4/3/2023;1:40:09 PM;3.99;76.870;29.080;18912.000;29.000
4/3/2023;1:40:24 PM;4.24;78.280;28.880;18916.000;29.000
4/3/2023;1:40:39 PM;4.49;77.080;29.050;18892.000;29.000
4/3/2023;1:40:54 PM;4.74;79.430;28.720;18812.000;29.000
4/3/2023;1:41:09 PM;4.99;78.050;28.910;18850.000;29.000
4/3/2023;1:41:24 PM;5.24;77.860;28.940;18782.000;29.000
4/3/2023;1:41:39 PM;5.49;79.040;28.770;18769.000;29.000
4/3/2023;1:41:54 PM;5.74;79.570;28.700;18804.000;29.000
4/3/2023;1:42:09 PM;5.99;79.640;28.690;18748.000;29.000
4/3/2023;1:42:24 PM;6.24;79.000;28.780;18776.000;29.000
4/3/2023;1:42:39 PM;6.49;78.540;28.840;18715.000;29.000
4/3/2023;1:42:54 PM;6.74;79.920;28.650;18758.000;29.000
4/3/2023;1:43:09 PM;6.99;80.560;28.560;18748.000;29.000
4/3/2023;1:43:24 PM;7.24;79.680;28.680;18678.000;29.000
4/3/2023;1:43:39 PM;7.49;79.170;28.750;18634.000;29.000
4/3/2023;1:43:54 PM;7.74;80.200;28.610;18651.000;29.000
4/3/2023;1:44:09 PM;7.99;79.800;28.670;18638.000;29.000
4/3/2023;1:44:24 PM;8.24;81.020;28.500;18611.000;29.000
4/3/2023;1:44:39 PM;8.49;79.990;28.640;18572.000;29.000
4/3/2023;1:44:54 PM;8.74;80.550;28.570;18563.000;29.000
4/3/2023;1:45:09 PM;8.99;80.870;28.520;18499.000;29.000
4/3/2023;1:45:24 PM;9.24;79.550;28.700;18503.000;29.000
4/3/2023;1:45:39 PM;9.49;80.210;28.610;18570.000;29.000
4/3/2023;1:45:54 PM;9.74;80.600;28.560;18479.000;29.000
4/3/2023;1:46:09 PM;9.99;82.310;28.330;18484.000;29.000
4/3/2023;1:46:24 PM;10.24;82.280;28.340;18453.000;29.000
4/3/2023;1:46:39 PM;10.49;81.360;28.460;18380.000;29.000
4/3/2023;1:46:54 PM;10.74;81.830;28.400;18482.000;29.000
4/3/2023;1:47:09 PM;10.99;81.270;28.470;18370.000;29.000
4/3/2023;1:47:24 PM;11.24;82.600;28.290;18426.000;29.000
4/3/2023;1:47:39 PM;11.49;81.750;28.410;18381.000;29.000
4/3/2023;1:47:54 PM;11.74;82.010;28.370;18367.000;29.000
4/3/2023;1:48:09 PM;11.99;82.630;28.290;18410.000;29.000
4/3/2023;1:48:24 PM;12.24;81.400;28.450;18311.000;29.000
4/3/2023;1:48:39 PM;12.49;83.190;28.220;18336.000;29.000
4/3/2023;1:48:54 PM;12.74;81.310;28.460;18308.000;29.000
4/3/2023;1:49:09 PM;12.99;81.160;28.480;18273.000;29.000
4/3/2023;1:49:24 PM;13.24;82.070;28.360;18245.000;29.000
4/3/2023;1:49:39 PM;13.49;82.960;28.250;18275.000;29.000
4/3/2023;1:49:54 PM;13.74;82.970;28.250;18250.000;29.000
4/3/2023;1:50:09 PM;13.99;82.710;28.280;18175.000;29.000
4/3/2023;1:50:24 PM;14.24;82.390;28.320;18242.000;29.000
4/3/2023;1:50:39 PM;14.49;84.390;28.060;18181.000;29.000
4/3/2023;1:50:54 PM;14.74;83.060;28.230;18195.000;29.000
4/3/2023;1:51:09 PM;14.99;81.880;28.390;18172.000;29.000
4/3/2023;1:51:24 PM;15.24;84.170;28.090;18202.000;29.000
4/3/2023;1:51:39 PM;15.49;83.450;28.180;18123.000;29.000
4/3/2023;1:51:54 PM;15.74;83.480;28.180;18192.000;29.000
4/3/2023;1:52:09 PM;15.99;83.890;28.130;18172.000;29.000
4/3/2023;1:52:24 PM;16.24;84.000;28.110;18096.000;29.000
4/3/2023;1:52:39 PM;16.49;84.600;28.040;18141.000;29.000
4/3/2023;1:52:54 PM;16.74;85.000;27.990;18080.000;29.000
4/3/2023;1:53:09 PM;16.99;84.700;28.020;18059.000;29.000
4/3/2023;1:53:24 PM;17.24;84.240;28.080;18046.000;29.000
4/3/2023;1:53:39 PM;17.49;84.280;28.080;18079.000;29.000
4/3/2023;1:53:54 PM;17.74;84.790;28.010;18089.000;29.000
4/3/2023;1:54:09 PM;17.99;84.790;28.010;18074.000;29.000
4/3/2023;1:54:24 PM;18.24;84.850;28.000;18092.000;29.000
4/3/2023;1:54:39 PM;18.49;85.460;27.930;18086.000;29.000
4/3/2023;1:54:54 PM;18.74;84.400;28.060;18079.000;29.000
4/3/2023;1:55:09 PM;18.99;83.390;28.190;18088.000;29.000
4/3/2023;1:55:24 PM;19.24;83.750;28.140;18112.000;29.000
4/3/2023;1:55:39 PM;19.49;84.510;28.050;18107.000;29.000
4/3/2023;1:55:54 PM;19.74;84.500;28.050;18133.000;29.000
4/3/2023;1:56:09 PM;19.99;83.630;28.160;18093.000;29.000
4/3/2023;1:56:24 PM;20.24;83.690;28.150;18112.000;29.000
4/3/2023;1:56:39 PM;20.49;83.750;28.150;18130.000;29.000
4/3/2023;1:56:54 PM;20.74;84.140;28.100;18165.000;29.000
4/3/2023;1:57:09 PM;20.99;83.870;28.130;18232.000;29.000
4/3/2023;1:57:24 PM;21.24;84.140;28.100;18211.000;29.000
4/3/2023;1:57:39 PM;21.49;83.030;28.240;18219.000;29.000
4/3/2023;1:57:54 PM;21.74;83.330;28.200;18244.000;29.000
4/3/2023;1:58:09 PM;21.99;83.360;28.200;18260.000;29.000
4/3/2023;1:58:24 PM;22.24;82.990;28.240;18264.000;29.000
4/3/2023;1:58:39 PM;22.49;83.260;28.210;18284.000;29.000
4/3/2023;1:58:54 PM;22.74;82.620;28.290;18287.000;29.000
4/3/2023;1:59:09 PM;22.99;82.350;28.330;18312.000;29.000
4/3/2023;1:59:24 PM;23.24;82.790;28.270;18357.000;29.000
4/3/2023;1:59:39 PM;23.49;83.270;28.210;18359.000;29.000
4/3/2023;1:59:54 PM;23.74;82.440;28.320;18387.000;29.000
4/3/2023;2:00:09 PM;23.99;81.830;28.390;18385.000;29.000
4/3/2023;2:00:24 PM;24.24;82.420;28.320;18393.000;29.000
4/3/2023;2:00:39 PM;24.49;81.560;28.430;18413.000;29.000
4/3/2023;2:00:54 PM;24.74;80.490;28.570;18426.000;29.000
4/3/2023;2:01:09 PM;24.99;81.070;28.500;18468.000;29.000
4/3/2023;2:01:24 PM;25.24;81.190;28.480;18452.000;29.000
4/3/2023;2:01:39 PM;25.49;80.150;28.620;18526.000;29.000
4/3/2023;2:01:54 PM;25.74;80.350;28.590;18491.000;29.000
4/3/2023;2:02:09 PM;25.99;81.540;28.430;18545.000;29.000
4/3/2023;2:02:24 PM;26.24;81.070;28.500;18545.000;29.000
4/3/2023;2:02:39 PM;26.49;80.520;28.570;18604.000;29.000
4/3/2023;2:02:54 PM;26.74;80.490;28.570;18569.000;29.000
4/3/2023;2:03:09 PM;26.99;80.150;28.620;18619.000;29.000
4/3/2023;2:03:24 PM;27.24;80.540;28.570;18614.000;29.000
4/3/2023;2:03:39 PM;27.49;79.360;28.730;18669.000;29.000
4/3/2023;2:03:54 PM;27.74;79.360;28.730;18681.000;29.000
4/3/2023;2:04:09 PM;27.99;78.960;28.780;18646.000;29.000
4/3/2023;2:04:24 PM;28.24;78.610;28.830;18708.000;29.000
4/3/2023;2:04:39 PM;28.49;79.280;28.740;18734.000;29.000
4/3/2023;2:04:54 PM;28.74;78.890;28.790;18747.000;29.000
4/3/2023;2:05:09 PM;28.99;78.620;28.830;18749.000;29.000
4/3/2023;2:05:24 PM;29.24;78.730;28.810;18793.000;29.000
4/3/2023;2:05:39 PM;29.49;78.070;28.910;18777.000;29.000
4/3/2023;2:05:54 PM;29.74;78.440;28.850;18810.000;29.000
4/3/2023;2:06:09 PM;29.99;78.810;28.800;18840.000;29.000
4/3/2023;2:06:24 PM;30.24;78.140;28.900;18837.000;29.000
4/3/2023;2:06:39 PM;30.49;78.090;28.900;18891.000;29.000
4/3/2023;2:06:54 PM;30.74;78.480;28.850;18880.000;29.000
4/3/2023;2:07:09 PM;30.99;77.180;29.030;18887.000;29.000
4/3/2023;2:07:24 PM;31.24;76.660;29.110;18929.000;29.000
4/3/2023;2:07:39 PM;31.49;77.220;29.030;18956.000;29.000
4/3/2023;2:07:54 PM;31.74;77.190;29.030;18980.000;29.000
4/3/2023;2:08:09 PM;31.99;76.590;29.120;18956.000;29.000
4/3/2023;2:08:24 PM;32.24;77.220;29.030;19006.000;29.000
4/3/2023;2:08:39 PM;32.49;75.950;29.210;19029.000;29.000
4/3/2023;2:08:54 PM;32.74;76.490;29.130;19022.000;29.000
