4/3/2023/7:12 AM SW ver:OXY10v3_33
Header Ch-7
Description: 
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 91296
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 040900
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;7:12:48 AM;0.00;76.890;29.090;15829.000;29.000
4/3/2023;7:12:59 AM;0.18;76.450;29.160;15832.000;29.000
4/3/2023;7:13:14 AM;0.42;75.920;29.230;15873.000;29.000
4/3/2023;7:13:29 AM;0.68;77.250;29.040;15765.000;29.000
4/3/2023;7:13:44 AM;0.92;76.130;29.200;15778.000;29.000
4/3/2023;7:13:59 AM;1.18;76.010;29.220;15805.000;29.000
4/3/2023;7:14:14 AM;1.43;75.670;29.270;15816.000;29.000
4/3/2023;7:14:29 AM;1.68;75.290;29.320;15807.000;29.000
4/3/2023;7:14:44 AM;1.93;75.570;29.280;15807.000;29.000
4/3/2023;7:14:59 AM;2.18;74.910;29.380;15805.000;29.000
4/3/2023;7:15:14 AM;2.43;75.270;29.330;15825.000;29.000
4/3/2023;7:15:29 AM;2.68;75.110;29.350;15799.000;29.000
4/3/2023;7:15:44 AM;2.93;75.230;29.330;15813.000;29.000
4/3/2023;7:15:59 AM;3.18;74.390;29.460;15805.000;29.000
4/3/2023;7:16:14 AM;3.43;74.550;29.430;15798.000;29.000
4/3/2023;7:16:29 AM;3.68;74.610;29.420;15801.000;29.000
4/3/2023;7:16:44 AM;3.93;74.760;29.400;15827.000;29.000
4/3/2023;7:16:59 AM;4.17;74.650;29.420;15817.000;29.000
4/3/2023;7:17:14 AM;4.43;74.610;29.420;15853.000;29.000
4/3/2023;7:17:29 AM;4.68;74.110;29.500;15856.000;29.000
4/3/2023;7:17:44 AM;4.93;73.670;29.560;15849.000;29.000
4/3/2023;7:17:59 AM;5.18;73.810;29.540;15853.000;29.000
4/3/2023;7:18:14 AM;5.43;73.840;29.540;15887.000;29.000
4/3/2023;7:18:29 AM;5.68;74.090;29.500;15874.000;29.000
4/3/2023;7:18:44 AM;5.93;73.790;29.550;15891.000;29.000
4/3/2023;7:18:59 AM;6.18;73.270;29.620;15900.000;29.000
4/3/2023;7:19:14 AM;6.43;73.020;29.660;15896.000;29.000
4/3/2023;7:19:29 AM;6.68;72.620;29.720;15895.000;29.000
4/3/2023;7:19:44 AM;6.93;72.980;29.670;15901.000;29.000
4/3/2023;7:19:59 AM;7.18;72.690;29.710;15915.000;29.000
4/3/2023;7:20:14 AM;7.43;72.710;29.710;15920.000;29.000
4/3/2023;7:20:29 AM;7.68;72.880;29.680;15940.000;29.000
4/3/2023;7:20:44 AM;7.93;73.020;29.660;15896.000;29.000
4/3/2023;7:20:59 AM;8.18;72.820;29.690;15934.000;29.000
4/3/2023;7:21:14 AM;8.43;71.830;29.840;15977.000;29.000
4/3/2023;7:21:29 AM;8.68;72.100;29.800;15972.000;29.000
4/3/2023;7:21:44 AM;8.93;72.760;29.700;15953.000;29.000
4/3/2023;7:21:59 AM;9.18;71.960;29.820;15990.000;29.000
4/3/2023;7:22:14 AM;9.43;72.190;29.790;15972.000;29.000
4/3/2023;7:22:29 AM;9.68;71.340;29.920;16007.000;29.000
4/3/2023;7:22:44 AM;9.93;71.370;29.920;16016.000;29.000
4/3/2023;7:22:59 AM;10.18;71.110;29.960;16006.000;29.000
4/3/2023;7:23:14 AM;10.43;71.250;29.930;16034.000;29.000
4/3/2023;7:23:29 AM;10.68;71.160;29.950;16036.000;29.000
4/3/2023;7:23:44 AM;10.93;71.070;29.960;16033.000;29.000
4/3/2023;7:23:59 AM;11.18;71.450;29.900;16033.000;29.000
4/3/2023;7:24:14 AM;11.43;70.770;30.010;16040.000;29.000
4/3/2023;7:24:29 AM;11.68;70.970;29.980;16044.000;29.000
4/3/2023;7:24:44 AM;11.93;70.550;30.040;16056.000;29.000
4/3/2023;7:24:59 AM;12.18;70.630;30.030;16065.000;29.000
4/3/2023;7:25:14 AM;12.43;70.650;30.030;16073.000;29.000
4/3/2023;7:25:29 AM;12.68;69.840;30.160;16078.000;29.000
4/3/2023;7:25:44 AM;12.93;70.170;30.100;16075.000;29.000
4/3/2023;7:25:59 AM;13.17;69.710;30.180;16091.000;29.000
