4/4/2023/9:06 AM SW ver:OXY10v3_33
Header Ch-3
Description: Midd_03_200
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 99477
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.55 at 029.0°C amp 039300
100.00%a.s.phase 2: 26.16 at 029.0°C amp 016200
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/4/2023;9:06:58 AM;0.00;61.960;31.350;4741.000;29.000
4/4/2023;9:07:01 AM;0.04;61.510;31.430;4738.000;29.000
4/4/2023;9:07:16 AM;0.29;61.820;31.380;4731.000;29.000
4/4/2023;9:07:31 AM;0.54;62.320;31.290;4742.000;29.000
4/4/2023;9:07:46 AM;0.79;62.160;31.310;4706.000;29.000
4/4/2023;9:08:01 AM;1.04;61.480;31.440;4720.000;29.000
4/4/2023;9:08:16 AM;1.28;62.000;31.340;4719.000;29.000
4/4/2023;9:08:31 AM;1.54;61.720;31.400;4706.000;29.000
4/4/2023;9:08:46 AM;1.79;62.550;31.240;4700.000;29.000
4/4/2023;9:09:01 AM;2.03;61.800;31.380;4694.000;29.000
4/4/2023;9:09:16 AM;2.28;62.910;31.180;4718.000;29.000
4/4/2023;9:09:31 AM;2.54;61.250;31.480;4701.000;29.000
4/4/2023;9:09:46 AM;2.79;62.580;31.240;4683.000;29.000
4/4/2023;9:10:01 AM;3.03;62.280;31.290;4687.000;29.000
4/4/2023;9:10:16 AM;3.29;62.890;31.180;4687.000;29.000
4/4/2023;9:10:31 AM;3.54;63.880;31.010;4678.000;29.000
4/4/2023;9:10:46 AM;3.79;63.310;31.110;4674.000;29.000
4/4/2023;9:11:01 AM;4.04;64.380;30.920;4674.000;29.000
4/4/2023;9:11:16 AM;4.29;63.140;31.140;4635.000;29.000
4/4/2023;9:11:31 AM;4.54;64.950;30.820;4663.000;29.000
4/4/2023;9:11:46 AM;4.79;64.590;30.880;4616.000;29.000
4/4/2023;9:12:01 AM;5.04;64.950;30.820;4643.000;29.000
4/4/2023;9:12:16 AM;5.29;63.890;31.000;4624.000;29.000
4/4/2023;9:12:31 AM;5.54;64.680;30.870;4637.000;29.000
4/4/2023;9:12:46 AM;5.79;64.940;30.820;4621.000;29.000
4/4/2023;9:13:01 AM;6.04;65.280;30.760;4623.000;29.000
