4/4/2023/7:57 AM SW ver:OXY10v3_33
Header Ch-2
Description: Midd_02_50
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 97926
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.62 at 029.0°C amp 037100
100.00%a.s.phase 2: 26.28 at 029.0°C amp 010600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/4/2023;7:57:13 AM;0.00;53.290;33.210;21388.000;29.000
4/4/2023;7:57:27 AM;0.23;53.420;33.180;21411.000;29.000
4/4/2023;7:57:42 AM;0.48;53.550;33.160;21373.000;29.000
4/4/2023;7:57:57 AM;0.73;53.240;33.220;21402.000;29.000
4/4/2023;7:58:12 AM;0.98;53.240;0.320;145.000;29.000
4/4/2023;7:58:27 AM;1.23;53.240;19.640;97.000;29.000
4/4/2023;7:58:42 AM;1.48;53.240;6.510;112.000;29.000
4/4/2023;7:58:57 AM;1.73;86.410;27.810;16549.000;29.000
4/4/2023;7:59:12 AM;1.98;87.270;27.700;16482.000;29.000
4/4/2023;7:59:27 AM;2.23;88.130;27.600;16475.000;29.000
4/4/2023;7:59:42 AM;2.48;88.070;27.610;16452.000;29.000
4/4/2023;7:59:57 AM;2.73;88.890;27.510;16218.000;29.000
4/4/2023;8:00:12 AM;2.98;87.820;27.640;16252.000;29.000
4/4/2023;8:00:27 AM;3.23;93.620;26.960;5090.000;29.000
4/4/2023;8:00:42 AM;3.48;90.070;27.370;4674.000;29.000
4/4/2023;8:00:57 AM;3.73;91.690;27.180;4664.000;29.000
4/4/2023;8:01:12 AM;3.98;91.020;27.260;4034.000;29.000
4/4/2023;8:01:27 AM;4.24;92.630;27.070;3870.000;29.000
4/4/2023;8:01:42 AM;4.49;92.940;27.040;3456.000;29.000
4/4/2023;8:01:57 AM;4.74;89.590;27.420;3450.000;29.000
4/4/2023;8:02:12 AM;4.99;92.660;27.070;3451.000;29.000
