4/4/2023/12:07 PM SW ver:OXY10v3_33
Header Ch-4
Description: Midd_04_600
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 88307
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.25 at 029.0°C amp 024900
100.00%a.s.phase 2: 26.13 at 029.0°C amp 011100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/4/2023;12:07:59 PM;0.00;90.280;27.190;11637.000;29.000
4/4/2023;12:08:04 PM;0.08;90.950;27.110;11664.000;29.000
4/4/2023;12:08:19 PM;0.33;90.540;27.160;11612.000;29.000
4/4/2023;12:08:34 PM;0.58;89.940;27.230;11681.000;29.000
4/4/2023;12:08:49 PM;0.83;90.350;27.180;11659.000;29.000
4/4/2023;12:09:04 PM;1.07;90.310;27.190;11701.000;29.000
4/4/2023;12:09:19 PM;1.32;89.210;27.310;11723.000;29.000
4/4/2023;12:09:34 PM;1.58;90.870;27.120;11738.000;29.000
4/4/2023;12:09:49 PM;1.82;89.570;27.270;11714.000;29.000
4/4/2023;12:10:04 PM;2.07;90.180;27.200;11725.000;29.000
4/4/2023;12:10:19 PM;2.32;90.230;27.190;11717.000;29.000
4/4/2023;12:10:34 PM;2.57;87.960;27.460;11723.000;29.000
4/4/2023;12:10:49 PM;2.83;90.270;27.190;11688.000;29.000
4/4/2023;12:11:04 PM;3.07;90.550;27.160;11670.000;29.000
4/4/2023;12:11:19 PM;3.33;90.470;27.170;11636.000;29.000
4/4/2023;12:11:34 PM;3.57;91.370;27.060;11633.000;29.000
4/4/2023;12:11:49 PM;3.82;90.450;27.170;11652.000;29.000
4/4/2023;12:12:04 PM;4.08;90.370;27.180;11643.000;29.000
4/4/2023;12:12:19 PM;4.32;90.760;27.130;11587.000;29.000
4/4/2023;12:12:34 PM;4.58;90.810;27.130;11537.000;29.000
4/4/2023;12:12:49 PM;4.83;91.270;27.070;11547.000;29.000
4/4/2023;12:13:04 PM;5.07;91.530;27.040;11527.000;29.000
4/4/2023;12:13:19 PM;5.32;93.620;26.810;11468.000;29.000
4/4/2023;12:13:34 PM;5.58;92.060;26.980;11512.000;29.000
4/4/2023;12:13:49 PM;5.82;93.260;26.850;11514.000;29.000
4/4/2023;12:14:04 PM;6.08;92.720;26.910;11495.000;29.000
4/4/2023;12:14:19 PM;6.33;91.660;27.030;11401.000;29.000
4/4/2023;12:14:34 PM;6.58;91.410;27.060;11461.000;29.000
4/4/2023;12:14:49 PM;6.83;95.210;26.630;11431.000;29.000
4/4/2023;12:15:04 PM;7.08;94.720;26.690;11418.000;29.000
4/4/2023;12:15:19 PM;7.33;93.580;26.810;11346.000;29.000
4/4/2023;12:15:34 PM;7.58;96.250;26.520;11388.000;29.000
4/4/2023;12:15:49 PM;7.83;95.270;26.630;11378.000;29.000
4/4/2023;12:16:04 PM;8.08;95.430;26.610;11351.000;29.000
4/4/2023;12:16:19 PM;8.33;95.630;26.590;11289.000;29.000
4/4/2023;12:16:34 PM;8.58;95.710;26.580;11327.000;29.000
4/4/2023;12:16:49 PM;8.83;97.680;26.370;11261.000;29.000
4/4/2023;12:17:04 PM;9.08;95.810;26.570;11286.000;29.000
4/4/2023;12:17:19 PM;9.33;97.610;26.370;11214.000;29.000
4/4/2023;12:17:34 PM;9.58;98.320;26.300;11209.000;29.000
4/4/2023;12:17:49 PM;9.83;99.160;26.210;11189.000;29.000
4/4/2023;12:18:04 PM;10.08;97.490;26.390;11168.000;29.000
4/4/2023;12:18:19 PM;10.33;98.540;26.280;11143.000;29.000
4/4/2023;12:18:34 PM;10.58;97.320;26.410;11112.000;29.000
4/4/2023;12:18:49 PM;10.83;98.640;26.270;11146.000;29.000
4/4/2023;12:19:04 PM;11.08;97.700;26.360;11072.000;29.000
4/4/2023;12:19:19 PM;11.33;98.640;26.270;11157.000;29.000
4/4/2023;12:19:34 PM;11.57;100.830;26.040;11052.000;29.000
4/4/2023;12:19:49 PM;11.83;98.690;26.260;11076.000;29.000
4/4/2023;12:20:04 PM;12.08;98.260;26.310;11066.000;29.000
4/4/2023;12:20:19 PM;12.33;100.120;26.110;10995.000;29.000
4/4/2023;12:20:34 PM;12.58;101.520;25.970;11076.000;29.000
4/4/2023;12:20:49 PM;12.83;102.450;25.880;11011.000;29.000
4/4/2023;12:21:04 PM;13.08;100.000;26.120;11032.000;29.000
4/4/2023;12:21:19 PM;13.33;103.760;25.750;10946.000;29.000
4/4/2023;12:21:34 PM;13.58;98.820;26.250;10934.000;29.000
4/4/2023;12:21:49 PM;13.83;100.300;26.090;10971.000;29.000
4/4/2023;12:22:04 PM;14.08;99.940;26.130;10945.000;29.000
4/4/2023;12:22:19 PM;14.33;102.370;25.890;10951.000;29.000
4/4/2023;12:22:34 PM;14.57;101.480;25.970;10926.000;29.000
4/4/2023;12:22:49 PM;14.83;102.120;25.910;10912.000;29.000
4/4/2023;12:23:04 PM;15.08;100.720;26.050;10903.000;29.000
4/4/2023;12:23:19 PM;15.33;102.640;25.860;10896.000;29.000
4/4/2023;12:23:34 PM;15.58;102.890;25.830;10826.000;29.000
4/4/2023;12:23:49 PM;15.83;104.500;25.680;10878.000;29.000
4/4/2023;12:24:04 PM;16.08;102.910;25.830;10835.000;29.000
4/4/2023;12:24:19 PM;16.33;104.210;25.700;10844.000;29.000
4/4/2023;12:24:34 PM;16.58;103.220;25.800;10862.000;29.000
4/4/2023;12:24:49 PM;16.83;102.560;25.870;10842.000;29.000
4/4/2023;12:25:04 PM;17.08;102.880;25.830;10774.000;29.000
4/4/2023;12:25:19 PM;17.33;104.540;25.670;10865.000;29.000
4/4/2023;12:25:34 PM;17.58;105.590;25.570;10727.000;29.000
4/4/2023;12:25:49 PM;17.83;105.230;25.600;10757.000;29.000
4/4/2023;12:26:04 PM;18.08;105.470;25.580;10774.000;29.000
4/4/2023;12:26:19 PM;18.33;105.530;25.580;10787.000;29.000
4/4/2023;12:26:34 PM;18.58;102.590;25.860;10772.000;29.000
4/4/2023;12:26:49 PM;18.83;107.390;25.400;10753.000;29.000
4/4/2023;12:27:04 PM;19.08;105.400;25.590;10718.000;29.000
4/4/2023;12:27:19 PM;19.33;106.270;25.500;10703.000;29.000
4/4/2023;12:27:34 PM;19.58;105.990;25.530;10682.000;29.000
4/4/2023;12:27:49 PM;19.83;106.860;25.450;10718.000;29.000
4/4/2023;12:28:04 PM;20.08;107.170;25.420;10684.000;29.000
4/4/2023;12:28:19 PM;20.33;107.340;25.400;10706.000;29.000
4/4/2023;12:28:34 PM;20.58;108.520;25.290;10656.000;29.000
4/4/2023;12:28:49 PM;20.83;106.550;25.480;10633.000;29.000
4/4/2023;12:29:04 PM;21.08;104.970;25.630;10693.000;29.000
4/4/2023;12:29:19 PM;21.33;107.110;25.430;10637.000;29.000
4/4/2023;12:29:34 PM;21.58;108.160;25.330;10658.000;29.000
4/4/2023;12:29:49 PM;21.83;106.530;25.480;10664.000;29.000
4/4/2023;12:30:04 PM;22.08;107.100;25.430;10586.000;29.000
4/4/2023;12:30:19 PM;22.33;107.120;25.420;10647.000;29.000
4/4/2023;12:30:34 PM;22.57;109.340;25.220;10614.000;29.000
4/4/2023;12:30:49 PM;22.83;106.250;25.510;10627.000;29.000
4/4/2023;12:31:04 PM;23.07;107.330;25.400;10624.000;29.000
4/4/2023;12:31:19 PM;23.33;108.260;25.320;10660.000;29.000
4/4/2023;12:31:34 PM;23.58;108.200;25.320;10632.000;29.000
4/4/2023;12:31:49 PM;23.83;106.680;25.470;10611.000;29.000
4/4/2023;12:32:04 PM;24.08;106.320;25.500;10623.000;29.000
4/4/2023;12:32:19 PM;24.32;108.500;25.300;10623.000;29.000
4/4/2023;12:32:34 PM;24.58;108.480;25.300;10631.000;29.000
4/4/2023;12:32:49 PM;24.83;109.190;25.230;10630.000;29.000
4/4/2023;12:33:04 PM;25.08;108.220;25.320;10615.000;29.000
4/4/2023;12:33:19 PM;25.33;107.140;25.420;10638.000;29.000
4/4/2023;12:33:34 PM;25.57;107.010;25.430;10601.000;29.000
4/4/2023;12:33:49 PM;25.83;108.410;25.300;10627.000;29.000
4/4/2023;12:34:04 PM;26.08;108.090;25.330;10648.000;29.000
4/4/2023;12:34:19 PM;26.33;107.390;25.400;10629.000;29.000
4/4/2023;12:34:34 PM;26.58;107.850;25.360;10634.000;29.000
4/4/2023;12:34:49 PM;26.83;107.910;25.350;10628.000;29.000
4/4/2023;12:35:04 PM;27.08;107.660;25.370;10655.000;29.000
4/4/2023;12:35:19 PM;27.33;107.770;25.360;10655.000;29.000
4/4/2023;12:35:34 PM;27.58;107.220;25.410;10649.000;29.000
4/4/2023;12:35:49 PM;27.83;107.910;25.350;10662.000;29.000
4/4/2023;12:36:04 PM;28.08;106.390;25.490;10681.000;29.000
4/4/2023;12:36:19 PM;28.33;107.260;25.410;10657.000;29.000
4/4/2023;12:36:34 PM;28.58;106.270;25.500;10686.000;29.000
4/4/2023;12:36:49 PM;28.83;107.290;25.410;10685.000;29.000
4/4/2023;12:37:04 PM;29.08;106.270;25.500;10704.000;29.000
4/4/2023;12:37:19 PM;29.33;104.820;25.640;10702.000;29.000
4/4/2023;12:37:34 PM;29.58;106.100;25.520;10731.000;29.000
4/4/2023;12:37:49 PM;29.83;106.660;25.470;10726.000;29.000
4/4/2023;12:38:04 PM;30.08;106.620;25.470;10752.000;29.000
4/4/2023;12:38:19 PM;30.33;104.610;25.660;10738.000;29.000
4/4/2023;12:38:34 PM;30.58;106.550;25.480;10751.000;29.000
4/4/2023;12:38:49 PM;30.83;105.250;25.600;10751.000;29.000
4/4/2023;12:39:04 PM;31.08;105.380;25.590;10774.000;29.000
4/4/2023;12:39:19 PM;31.33;104.640;25.660;10778.000;29.000
4/4/2023;12:39:34 PM;31.58;105.130;25.610;10782.000;29.000
4/4/2023;12:39:49 PM;31.83;105.440;25.580;10786.000;29.000
4/4/2023;12:40:04 PM;32.07;103.180;25.800;10822.000;29.000
4/4/2023;12:40:19 PM;32.33;105.120;25.620;10821.000;29.000
4/4/2023;12:40:34 PM;32.57;103.390;25.780;10862.000;29.000
4/4/2023;12:40:49 PM;32.82;102.110;25.910;10864.000;29.000
4/4/2023;12:41:04 PM;33.07;104.840;25.640;10864.000;29.000
4/4/2023;12:41:19 PM;33.33;104.230;25.700;10863.000;29.000
4/4/2023;12:41:34 PM;33.58;103.790;25.740;10887.000;29.000
4/4/2023;12:41:49 PM;33.83;104.960;25.630;10900.000;29.000
4/4/2023;12:42:04 PM;34.08;102.990;25.820;10933.000;29.000
4/4/2023;12:42:19 PM;34.33;103.940;25.730;10936.000;29.000
4/4/2023;12:42:34 PM;34.58;103.380;25.780;10917.000;29.000
4/4/2023;12:42:49 PM;34.83;101.420;25.980;10935.000;29.000
4/4/2023;12:43:04 PM;35.08;102.180;25.900;10967.000;29.000
4/4/2023;12:43:19 PM;35.33;102.910;25.830;10965.000;29.000
4/4/2023;12:43:34 PM;35.58;102.820;25.840;11005.000;29.000
4/4/2023;12:43:49 PM;35.83;101.410;25.980;10996.000;29.000
4/4/2023;12:44:04 PM;36.08;99.880;26.140;11006.000;29.000
4/4/2023;12:44:19 PM;36.33;101.610;25.960;11038.000;29.000
4/4/2023;12:44:34 PM;36.58;101.230;26.000;11045.000;29.000
4/4/2023;12:44:49 PM;36.83;101.760;25.950;11035.000;29.000
4/4/2023;12:45:04 PM;37.08;99.750;26.150;11041.000;29.000
4/4/2023;12:45:19 PM;37.33;100.790;26.040;11098.000;29.000
4/4/2023;12:45:34 PM;37.58;100.400;26.080;11073.000;29.000
4/4/2023;12:45:49 PM;37.83;99.090;26.220;11098.000;29.000
4/4/2023;12:46:04 PM;38.08;98.710;26.260;11114.000;29.000
4/4/2023;12:46:19 PM;38.33;99.020;26.230;11118.000;29.000
4/4/2023;12:46:34 PM;38.58;98.800;26.250;11146.000;29.000
4/4/2023;12:46:49 PM;38.83;97.630;26.370;11146.000;29.000
4/4/2023;12:47:04 PM;39.08;99.210;26.210;11133.000;29.000
4/4/2023;12:47:19 PM;39.33;99.150;26.210;11164.000;29.000
4/4/2023;12:47:34 PM;39.57;97.190;26.420;11188.000;29.000
