"","Sample_name","rep","rank","intercept_b0","slope_b1","rsq","row","endrow","time","endtime","oxy","endoxy","rate.2pt","rate"
"1","RSS_T1-34.5_13A",NA,1,3.81801305418719,3.4050355774495e-05,0.494,61,88,900,1305,3.8424,3.8643,5.40740740740741e-05,3.4050355774495e-05
"2","RSS_T1-34.5_13B",NA,1,4.21538587848932,-5.20215289180781e-05,0.872,61,88,900,1305,4.1686,4.1458,-5.62962962962945e-05,-5.20215289180781e-05
"3","RSS_T1-34.5_9A",NA,1,2.68220826585179,-0.000801812070282658,0.999,81,114,1200,1695,1.7281,1.3321,-8e-04,-0.000801812070282658
"4","RSS_T1-34.5_9B",NA,1,4.16785674560733,-0.00024807333842628,0.993,81,114,1200,1695,3.8683,3.7478,-0.000243434343434344,-0.00024807333842628
"5","RSS_T1-34.5_14A",NA,1,3.65488944232238,-0.000611302266361089,0.999,81,114,1200,1695,2.9243,2.6205,-0.000613737373737374,-0.000611302266361089
"6","RSS_T1-34.5_14B",NA,1,4.24209851795263,-0.000204310669722433,0.978,81,114,1200,1695,4.0047,3.895,-0.000221616161616161,-0.000204310669722433
"7","RSS_T1-34.5_15A",NA,1,4.04838085561497,-0.000146659536541887,0.988,81,114,1200,1695,3.8715,3.7983,-0.000147878787878789,-0.000146659536541887
"8","RSS_T1-34.5_15B",NA,1,4.37767205500381,-0.000143920550038193,0.859,81,114,1200,1695,4.1883,4.126,-0.000125858585858585,-0.000143920550038193
"9","Field_8",NA,1,3.80571070660045,0.000434476822619109,0.993,870,1433,1300,2100.28,4.3929,4.7251,0.000415104713350328,0.000434476822619109
"10","Field_9",NA,1,3.41327836918084,0.000446694957062142,0.994,870,1433,1300,2100.28,4.0211,4.3574,0.000420227920227921,0.000446694957062142
"11","Field_13",NA,1,3.78045116661665,0.000368325848699619,0.992,870,1433,1300,2100.28,4.283,4.5567,0.000342005298145649,0.000368325848699619
"12","Field_14",NA,1,3.82038547826266,0.000373501937945782,0.985,870,1433,1300,2100.28,4.3328,4.6045,0.000339506172839506,0.000373501937945782
"13","Field_15",NA,1,2.64649584412913,0.000988237710899803,0.997,1075,1619,1400.42,2100.03,4.0583,4.7239,0.000951387201440803,0.000988237710899803
"14","Field_drift1",NA,1,4.47840431659272,5.66400818986923e-05,0.839,999,1619,1300.25,2100.03,4.5669,4.6045,4.7012928555352e-05,5.66400818986923e-05
"15","Field_drift2",NA,1,4.56602066266653,-1.47760810950856e-05,0.794,999,1619,1300.25,2100.03,4.5477,4.5329,-1.85050888994475e-05,-1.47760810950856e-05
"16","Field_drift3",NA,1,4.55614304328305,2.04778802933594e-05,0.41,999,1619,1300.25,2100.03,4.5911,4.6064,1.91302608217258e-05,2.04778802933594e-05
"17","CBASS_T0_8",NA,1,3.69268994568943,0.0002806200625185,0.994,1092,1423,1500.09,1949.69,4.1195,4.2381,0.000263790035587188,0.0002806200625185
"18","CBASS_T0_9",NA,1,3.51848603366683,0.000127037464295459,0.992,1092,1423,1500.09,1949.69,3.7095,3.7676,0.000129225978647687,0.000127037464295459
"19","CBASS_T0_13",NA,1,4.15380611483778,0.000118118366852873,0.99,944,1387,1299.5,1900.06,4.3078,4.3791,0.000118722525642733,0.000118118366852873
"20","CBASS_T0_14",NA,1,4.35471522566031,1.87823348540674e-05,0.735,944,1387,1299.5,1900.06,4.3777,4.3943,2.76408685227128e-05,1.87823348540674e-05
"21","CBASS_T0_15",NA,1,3.34113292271603,0.000402058571367542,0.99,1131,1498,1500.02,1999.03,3.9502,4.1458,0.000391976112703153,0.000402058571367542
"22","CBASS_T0_drift1",NA,1,4.51127793546133,-5.78382713560133e-06,0.196,907,1425,1199.37,1899.23,4.51,4.4992,-1.5431657760123e-05,-5.78382713560133e-06
"23","CBASS_T0_drift2",NA,1,4.42688740453265,-1.08853402471018e-06,0.00936,907,1425,1199.37,1899.23,4.4234,4.4257,3.28637156002625e-06,-1.08853402471018e-06
"24","CBASS_T0_drift3",NA,1,4.49261550577577,5.49313739153563e-06,0.243,907,1425,1199.37,1899.23,4.4955,4.5034,1.12879718800906e-05,5.49313739153563e-06
"25","CBASS_T1-27A_9",NA,1,3.2947773459151,4.51668043986671e-05,0.896,931,1197,1449.84,1850.05,3.3618,3.3759,3.52315034606831e-05,4.51668043986671e-05
"26","CBASS_T1-27A_13",NA,1,4.10116929236531,-4.35092241279596e-05,0.943,762,1163,1199.53,1799.77,4.0513,4.0249,-4.39824070371862e-05,-4.35092241279596e-05
"27","CBASS_T1-27A_14",NA,1,3.47169915215649,3.18221298562541e-05,0.819,966,1197,1500.2,1850.05,3.519,3.5295,3.00128626554236e-05,3.18221298562541e-05
"28","CBASS_T1-27A_15",NA,1,3.85618475944425,9.12148685940017e-05,0.854,901,1094,1400.05,1700.23,3.9871,4.0173,0.000100606302884935,9.12148685940017e-05
"29","CBASS_T1-27B_9",NA,1,3.94661532387176,3.96735714740351e-05,0.829,887,1176,1499.83,1949.45,4.0049,4.0207,3.51407855522432e-05,3.96735714740351e-05
"30","CBASS_T1-27B_13",NA,1,3.87477531575201,-1.36343671610736e-05,0.542,887,1176,1499.83,1949.45,3.8566,3.8472,-2.09065433032335e-05,-1.36343671610736e-05
"31","CBASS_T1-27B_14",NA,1,3.74434027529927,5.33813261479781e-05,0.919,825,1176,1399.78,1949.45,3.8165,3.849,5.91263849218626e-05,5.33813261479781e-05
"32","CBASS_T1-27B_15",NA,1,3.96180346246819,3.414107473558e-06,0.0407,887,1143,1499.83,1901,3.9696,3.9692,-9.97083530672672e-07,3.414107473558e-06
"33","CBASS_T1-29.5A_9",NA,1,3.6575665350081,3.94339036177886e-05,0.914,1420,1832,1999.67,2549.64,3.7371,3.7619,4.50933687292033e-05,3.94339036177886e-05
"34","CBASS_T1-29.5A_13",NA,1,3.70223559982735,1.60847591159368e-05,0.627,1420,1832,1999.67,2549.64,3.7354,3.7458,1.89101223703115e-05,1.60847591159368e-05
"35","CBASS_T1-29.5A_14",NA,1,3.91313578258957,6.26570547461954e-06,0.208,1420,1832,1999.67,2549.64,3.9223,3.9303,1.45462479771624e-05,6.26570547461954e-06
"36","CBASS_T1-29.5A_15",NA,1,3.79369621555966,7.28160957391029e-05,0.949,1420,1832,1999.67,2549.64,3.9402,3.9819,7.58223175809591e-05,7.28160957391029e-05
"37","CBASS_T1-29.5B_9",NA,1,3.25077032093308,0.000166298793950098,0.988,1129,1899,1599.55,2650.12,3.5284,3.7051,0.000168194408749536,0.000166298793950098
"38","CBASS_T1-29.5B_13",NA,1,3.91615037902735,1.60998128283012e-05,0.583,1563,1825,2200.31,2550.25,3.9526,3.9564,1.08590044007545e-05,1.60998128283012e-05
"39","CBASS_T1-29.5B_14",NA,1,3.71546313445291,7.95719769161406e-06,0.218,1563,1825,2200.31,2550.25,3.7331,3.7335,1.14305309481613e-06,7.95719769161406e-06
"40","CBASS_T1-29.5B_15",NA,1,3.71231683502164,6.08704205927425e-05,0.959,1414,1899,1999.34,2650.12,3.8348,3.878,6.63818802052923e-05,6.08704205927425e-05
"41","CBASS_T1-32A_9",NA,1,3.89308018328052,-2.53749684994727e-05,0.722,1054,1321,1598.81,2000.33,3.8529,3.8396,-3.31241283124131e-05,-2.53749684994727e-05
"42","CBASS_T1-32A_13",NA,1,3.93104020051382,-0.000136924856262469,0.977,1054,1321,1598.81,2000.33,3.7139,3.658,-0.000139220960350668,-0.000136924856262469
"43","CBASS_T1-32A_14",NA,1,4.06788035153024,-4.34765944501292e-05,0.886,915,1190,1399.2,1800.16,4.009,3.9923,-4.16500399042302e-05,-4.34765944501292e-05
"44","CBASS_T1-32A_15",NA,1,4.06752393611881,-3.47244192703776e-05,0.797,987,1321,1500.25,2000.33,4.02,3.9963,-4.73924172132447e-05,-3.47244192703776e-05
"45","CBASS_T1-32B_9",NA,1,4.02328800324003,-1.83571561154511e-05,0.0206,82,161,110.25,199.72,4.0185,4.0222,4.13546440147465e-05,-1.83571561154511e-05
"46","CBASS_T1-32B_13",NA,1,4.02241315017416,8.26407122628987e-05,0.661,82,161,110.25,199.72,4.0318,4.0378,6.70615848887921e-05,8.26407122628987e-05
"47","CBASS_T1-32B_14",NA,1,4.0249795209654,-6.34517972235104e-05,0.509,82,161,110.25,199.72,4.0202,4.0136,-7.37677433776653e-05,-6.34517972235104e-05
"48","CBASS_T1-32B_15",NA,1,4.07537182857933,-2.96221539340376e-06,0.00148,82,161,110.25,199.72,4.0717,4.0743,2.90600201184772e-05,-2.96221539340376e-06
"49","CBASS_T1-32B2_9",NA,1,3.8796869155987,4.32709869872041e-05,0.947,921,1558,1299.98,2199.56,3.934,3.9758,4.64661286378086e-05,4.32709869872041e-05
"50","CBASS_T1-32B2_13",NA,1,4.00587243645169,-1.62272502333192e-05,0.36,1065,1288,1500.16,1799.59,3.9815,3.9789,-8.68316467955836e-06,-1.62272502333192e-05
"51","CBASS_T1-32B2_14",NA,1,3.9905601454972,-6.58465991558622e-05,0.984,992,1432,1399.36,1999.39,3.8991,3.8612,-6.31635084912414e-05,-6.58465991558622e-05
"52","CBASS_T1-32B2_15",NA,1,4.06750585295785,-3.42456487736049e-05,0.898,992,1432,1399.36,1999.39,4.0191,3.9961,-3.83314167624947e-05,-3.42456487736049e-05
"53","CBASS_T1-34.5A_9",NA,1,3.87307761986647,-9.87838290738371e-05,0.983,1044,1486,1399.44,2000.09,3.7386,3.6784,-0.000100224756513777,-9.87838290738371e-05
"54","CBASS_T1-34.5A_13",NA,1,3.80657380783396,-0.000121986284675998,0.963,1044,1486,1399.44,2000.09,3.6336,3.5655,-0.000113377174727378,-0.000121986284675998
