"","Sample_name","rep","rank","intercept_b0","slope_b1","rsq","row","endrow","time","endtime","oxy","endoxy","rate.2pt","rate"
"1","RSS_T1-34.5_13A",NA,1,3.81335394957983,-2.22144130379428e-05,0.772,1,34,0,495,3.813,3.8004,-2.54545454545462e-05,-2.22144130379428e-05
"2","RSS_T1-34.5_13B",NA,1,4.11375394957983,-1.31235039470351e-05,0.205,1,34,0,495,4.1105,4.1084,-4.24242424242512e-06,-1.31235039470351e-05
"3","RSS_T1-34.5_9A",NA,1,2.89770326086957,-0.0010433973172988,0.997,8,54,105,795,2.8086,2.0883,-0.00104391304347826,-0.0010433973172988
"4","RSS_T1-34.5_9B",NA,1,3.98180402405181,-8.25763182238691e-05,0.939,8,54,105,795,3.9707,3.9204,-7.28985507246377e-05,-8.25763182238691e-05
"5","RSS_T1-34.5_14A",NA,1,3.59489290009251,-0.00054968162195498,0.995,8,54,105,795,3.5551,3.1705,-0.000557391304347826,-0.00054968162195498
"6","RSS_T1-34.5_14B",NA,1,4.04595191951897,-3.25030835646023e-05,0.546,8,54,105,795,4.0451,4.0323,-1.85507246376804e-05,-3.25030835646023e-05
"7","RSS_T1-34.5_15A",NA,1,3.98446177150787,-8.55604378661754e-05,0.84,8,54,105,795,3.9881,3.9205,-9.79710144927538e-05,-8.55604378661754e-05
"8","RSS_T1-34.5_15B",NA,1,4.10021718316374,0.000113526827012025,0.904,8,54,105,795,4.1209,4.1994,0.000113768115942029,0.000113526827012025
"9","Field_8",NA,1,4.49084244617339,-0.000131947240095622,0.994,67,601,99.3,900.08,4.4767,4.3689,-0.000134618746721946,-0.000131947240095622
"10","Field_9",NA,1,4.42486084364079,-0.000437128760107443,0.999,67,601,99.3,900.08,4.3799,4.0346,-0.00043120457553885,-0.000437128760107443
"11","Field_13",NA,1,4.45983304919802,-0.000239137593465285,0.998,67,601,99.3,900.08,4.4325,4.2474,-0.000231149629111616,-0.000239137593465285
"12","Field_14",NA,1,4.52255687195939,-0.00021854114537633,0.953,67,601,99.3,900.08,4.4999,4.3336,-0.000207672519293689,-0.00021854114537633
"13","Field_15",NA,1,4.37087870272635,-0.000389495874621939,0.993,468,847,600.36,1100.02,4.1225,3.9486,-0.000348036664932153,-0.000389495874621939
"14","Field_drift1",NA,1,4.55649786144453,6.48317231456076e-06,0.512,75,692,99.73,899.69,4.5538,4.5622,1.05005250262513e-05,6.48317231456076e-06
"15","Field_drift2",NA,1,4.54714730359795,-2.02721392730082e-06,0.0746,75,692,99.73,899.69,4.5457,4.5444,-1.62508125406225e-06,-2.02721392730082e-06
"16","Field_drift3",NA,1,4.61186968146715,-1.35908701348708e-05,0.769,75,692,99.73,899.69,4.6098,4.6029,-8.62543127156346e-06,-1.35908701348708e-05
"17","CBASS_T0_8",NA,1,4.41536194328776,-0.000245201790476889,0.986,69,869,99.62,1199.94,4.3719,4.107,-0.000240748145993893,-0.000245201790476889
