Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/26/2019	00:50:56	0	3.813	4.1105	2.9316	3.9793
1/26/2019	00:51:11	15	3.8155	4.107	2.9141	3.9756
1/26/2019	00:51:26	30	3.8075	4.1106	2.8976	3.9756
1/26/2019	00:51:41	45	3.8126	4.1106	2.8785	3.9746
1/26/2019	00:51:56	60	3.8097	4.1098	2.8617	3.973
1/26/2019	00:52:11	75	3.8125	4.1131	2.8473	3.9733
1/26/2019	00:52:26	90	3.8111	4.115	2.8257	3.972
1/26/2019	00:52:41	105	3.8097	4.1145	2.8086	3.9707
1/26/2019	00:52:56	120	3.8116	4.1106	2.7929	3.9737
1/26/2019	00:53:11	135	3.8089	4.1191	2.7729	3.9711
1/26/2019	00:53:26	150	3.8128	4.1169	2.752	3.9715
1/26/2019	00:53:41	165	3.8099	4.1142	2.737	3.9705
1/26/2019	00:53:56	180	3.81	4.1193	2.7222	3.9734
1/26/2019	00:54:11	195	3.8077	4.1166	2.7051	3.9699
1/26/2019	00:54:26	210	3.8106	4.1139	2.6815	3.9724
1/26/2019	00:54:41	225	3.8077	4.1097	2.6639	3.9618
1/26/2019	00:54:56	240	3.8097	4.1055	2.6529	3.9591
1/26/2019	00:55:11	255	3.8081	4.1116	2.6328	3.961
1/26/2019	00:55:26	270	3.8088	4.1113	2.6167	3.9646
1/26/2019	00:55:41	285	3.8092	4.1122	2.5964	3.9619
1/26/2019	00:55:56	300	3.807	4.1129	2.5808	3.9568
1/26/2019	00:56:11	315	3.8055	4.1088	2.5637	3.9549
1/26/2019	00:56:26	330	3.8081	4.1061	2.5495	3.9568
1/26/2019	00:56:41	345	3.807	4.109	2.5332	3.9532
1/26/2019	00:56:56	360	3.8053	4.1048	2.5137	3.9527
1/26/2019	00:57:11	375	3.8055	4.1032	2.4973	3.9507
1/26/2019	00:57:26	390	3.803	4.1062	2.4771	3.9484
1/26/2019	00:57:41	405	3.8042	4.1012	2.4626	3.9428
1/26/2019	00:57:56	420	3.8015	4.1066	2.4425	3.9464
1/26/2019	00:58:11	435	3.8074	4.1052	2.427	3.9417
1/26/2019	00:58:26	450	3.803	4.1093	2.4126	3.9466
1/26/2019	00:58:41	465	3.8011	4.113	2.3975	3.9378
1/26/2019	00:58:56	480	3.8015	4.1105	2.3824	3.9352
1/26/2019	00:59:11	495	3.8004	4.1084	2.3679	3.9342
1/26/2019	00:59:26	510	3.8014	4.1009	2.3535	3.9351
1/26/2019	00:59:41	525	3.8022	4.1063	2.3341	3.9274
1/26/2019	00:59:56	540	3.8067	4.1042	2.3189	3.9308
1/26/2019	01:00:11	555	3.8077	4.1067	2.3073	3.9322
1/26/2019	01:00:26	570	3.8052	4.1105	2.2928	3.935
1/26/2019	01:00:41	585	3.8081	4.1115	2.2786	3.9336
1/26/2019	01:00:56	600	3.8067	4.1165	2.2641	3.9271
1/26/2019	01:01:11	615	3.8147	4.1214	2.2548	3.928
1/26/2019	01:01:26	630	3.8167	4.1244	2.2423	3.9276
1/26/2019	01:01:41	645	3.8202	4.1299	2.2268	3.9336
1/26/2019	01:01:56	660	3.8162	4.1343	2.2103	3.9266
1/26/2019	01:02:11	675	3.8203	4.1403	2.199	3.9248
1/26/2019	01:02:26	690	3.8235	4.1397	2.1872	3.9269
1/26/2019	01:02:41	705	3.8272	4.1427	2.1703	3.9231
1/26/2019	01:02:56	720	3.8286	4.1465	2.1599	3.9262
1/26/2019	01:03:11	735	3.829	4.1482	2.1451	3.929
1/26/2019	01:03:26	750	3.8247	4.1508	2.1327	3.9198
1/26/2019	01:03:41	765	3.8305	4.1523	2.1159	3.9269
1/26/2019	01:03:56	780	3.8351	4.1574	2.0996	3.9244
1/26/2019	01:04:11	795	3.8366	4.1602	2.0883	3.9204
1/26/2019	01:04:26	810	3.836	4.16	2.0775	3.9171
1/26/2019	01:04:41	825	3.8349	4.1652	2.0589	3.9191
1/26/2019	01:04:56	840	3.8362	4.1636	2.0473	3.9147
1/26/2019	01:05:11	855	3.8373	4.165	2.0325	3.9188
1/26/2019	01:05:26	870	3.8416	4.1644	2.0168	3.9169
1/26/2019	01:05:41	885	3.8435	4.1644	2.0044	3.915
1/26/2019	01:05:56	900	3.8424	4.1686	1.9908	3.908
1/26/2019	01:06:11	915	3.8434	4.164	1.9765	3.9095
1/26/2019	01:06:26	930	3.8453	4.1661	1.9661	3.9063
1/26/2019	01:06:41	945	3.8489	4.1649	1.9505	3.9061
1/26/2019	01:06:56	960	3.8465	4.1608	1.9356	3.9038
1/26/2019	01:07:11	975	3.847	4.1608	1.9225	3.9047
1/26/2019	01:07:26	990	3.8529	4.165	1.9091	3.9076
1/26/2019	01:07:41	1005	3.8564	4.165	1.8973	3.9001
1/26/2019	01:07:56	1020	3.8571	4.1665	1.8828	3.8983
1/26/2019	01:08:11	1035	3.8621	4.1626	1.8696	3.8986
1/26/2019	01:08:26	1050	3.8601	4.1621	1.8576	3.8911
1/26/2019	01:08:41	1065	3.8548	4.1646	1.8448	3.8935
1/26/2019	01:08:56	1080	3.8615	4.1622	1.8304	3.8936
1/26/2019	01:09:11	1095	3.8586	4.1596	1.8169	3.887
1/26/2019	01:09:26	1110	3.8568	4.1602	1.8065	3.8829
1/26/2019	01:09:41	1125	3.8603	4.1576	1.794	3.886
1/26/2019	01:09:56	1140	3.8578	4.1557	1.7809	3.8825
1/26/2019	01:10:11	1155	3.8595	4.1571	1.7658	3.8798
1/26/2019	01:10:26	1170	3.8587	4.1529	1.753	3.8791
1/26/2019	01:10:41	1185	3.8597	4.1556	1.7388	3.8736
1/26/2019	01:10:56	1200	3.8559	4.1534	1.7281	3.8683
1/26/2019	01:11:11	1215	3.8546	4.151	1.7125	3.8662
1/26/2019	01:11:26	1230	3.8601	4.1514	1.7022	3.8597
1/26/2019	01:11:41	1245	3.8601	4.1456	1.6866	3.8582
1/26/2019	01:11:56	1260	3.8551	4.1476	1.6741	3.8527
1/26/2019	01:12:11	1275	3.8609	4.1489	1.6591	3.857
1/26/2019	01:12:26	1290	3.8547	4.1493	1.6475	3.8509
1/26/2019	01:12:41	1305	3.8643	4.1458	1.635	3.8403
1/26/2019	01:12:56	1320	3.8623	4.1428	1.6223	3.8393
1/26/2019	01:13:11	1335	3.8562	4.1441	1.6119	3.8378
1/26/2019	01:13:26	1350	3.8579	4.1447	1.5986	3.8316
1/26/2019	01:13:41	1365	3.8558	4.1404	1.5859	3.8303
1/26/2019	01:13:56	1380	3.8576	4.1395	1.5741	3.823
1/26/2019	01:14:11	1395	3.8539	4.1413	1.5595	3.8211
1/26/2019	01:14:26	1410	3.8529	4.1378	1.546	3.8146
1/26/2019	01:14:41	1425	3.8487	4.1342	1.5339	3.8187
1/26/2019	01:14:56	1440	3.8548	4.1316	1.5232	3.8128
1/26/2019	01:15:11	1455	3.8533	4.1276	1.5117	3.8045
1/26/2019	01:15:26	1470	3.8509	4.131	1.5009	3.8079
1/26/2019	01:15:41	1485	3.8508	4.1261	1.4888	3.799
1/26/2019	01:15:56	1500	3.8501	4.1306	1.4771	3.7966
1/26/2019	01:16:11	1515	3.8472	4.1283	1.4667	3.7991
1/26/2019	01:16:26	1530	3.8501	4.1222	1.4556	3.7908
1/26/2019	01:16:41	1545	3.847	4.1176	1.4418	3.7836
1/26/2019	01:16:56	1560	3.8469	4.1118	1.4295	3.7849
1/26/2019	01:17:11	1575	3.8434	4.11	1.4182	3.7793
1/26/2019	01:17:26	1590	3.8437	4.1087	1.4077	3.7766
1/26/2019	01:17:41	1605	3.8379	4.1046	1.3975	3.7631
1/26/2019	01:17:56	1620	3.8383	4.1108	1.3843	3.7641
1/26/2019	01:18:11	1635	3.8396	4.113	1.3708	3.765
1/26/2019	01:18:26	1650	3.8368	4.1153	1.3609	3.7548
1/26/2019	01:18:41	1665	3.8321	4.112	1.3498	3.7494
