Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/27/2019	14:35:14	0	4.3481	4.4336	4.3739	4.4456
1/27/2019	14:35:17	3.45	4.3502	4.4315	4.375	4.4451
1/27/2019	14:35:19	5.08	4.3508	4.4309	4.3735	4.4428
1/27/2019	14:35:20	6.41	4.3524	4.4324	4.3742	4.4407
1/27/2019	14:35:22	7.69	4.355	4.4324	4.3759	4.4399
1/27/2019	14:35:23	9.02	4.3561	4.4312	4.374	4.4402
1/27/2019	14:35:24	10.2	4.3585	4.4317	4.3731	4.4404
1/27/2019	14:35:26	11.66	4.3569	4.4304	4.3702	4.4406
1/27/2019	14:35:27	12.89	4.3532	4.4317	4.3705	4.4402
1/27/2019	14:35:28	14.27	4.3519	4.4314	4.3701	4.4368
1/27/2019	14:35:29	15.41	4.3494	4.4319	4.3719	4.4354
1/27/2019	14:35:31	16.89	4.3507	4.4324	4.3712	4.4372
1/27/2019	14:35:32	18.17	4.349	4.434	4.3719	4.4391
1/27/2019	14:35:34	19.5	4.3501	4.4338	4.3716	4.441
1/27/2019	14:35:35	20.91	4.3487	4.433	4.3733	4.4392
1/27/2019	14:35:37	22.67	4.3506	4.4314	4.374	4.4382
1/27/2019	14:35:38	24.19	4.3483	4.4314	4.3733	4.434
1/27/2019	14:35:40	25.77	4.3459	4.4324	4.3728	4.4338
1/27/2019	14:35:41	27.36	4.3429	4.4321	4.3722	4.4338
1/27/2019	14:35:43	28.86	4.3424	4.4309	4.3725	4.4336
1/27/2019	14:35:44	30.25	4.3413	4.4289	4.3724	4.4319
1/27/2019	14:35:46	31.7	4.3414	4.4254	4.3715	4.4311
1/27/2019	14:35:47	33.25	4.3403	4.4254	4.3708	4.4311
1/27/2019	14:35:49	34.78	4.3412	4.4261	4.3711	4.4319
1/27/2019	14:35:50	36.34	4.3405	4.4289	4.3712	4.4326
1/27/2019	14:35:52	37.89	4.3363	4.4296	4.3721	4.4339
1/27/2019	14:35:54	39.89	4.3337	4.4317	4.3721	4.4346
1/27/2019	14:35:56	42.31	4.3318	4.434	4.372	4.4331
1/27/2019	14:35:58	44	4.3319	4.4352	4.3705	4.4341
1/27/2019	14:35:59	45.44	4.3365	4.4351	4.3694	4.4295
1/27/2019	14:36:01	46.52	4.337	4.4326	4.3696	4.4285
1/27/2019	14:36:02	47.72	4.342	4.4304	4.37	4.4262
1/27/2019	14:36:03	48.98	4.3398	4.4286	4.3705	4.4283
1/27/2019	14:36:04	50.36	4.3366	4.428	4.3676	4.4299
1/27/2019	14:36:06	51.52	4.3328	4.4289	4.3663	4.4303
1/27/2019	14:36:07	53.02	4.334	4.4276	4.3661	4.4305
1/27/2019	14:36:08	54.27	4.3347	4.4272	4.3683	4.4295
1/27/2019	14:36:09	55.41	4.332	4.4283	4.3708	4.43
1/27/2019	14:36:11	56.72	4.3273	4.4313	4.3711	4.4297
1/27/2019	14:36:12	58.22	4.3266	4.4335	4.3728	4.4282
1/27/2019	14:36:14	59.72	4.3296	4.4334	4.3717	4.4266
1/27/2019	14:36:15	61.27	4.3306	4.4341	4.3714	4.4268
1/27/2019	14:36:17	62.48	4.3318	4.4342	4.3694	4.4264
1/27/2019	14:36:18	63.83	4.3314	4.4359	4.3697	4.4268
1/27/2019	14:36:19	65.27	4.3323	4.4368	4.3694	4.4265
1/27/2019	14:36:21	66.56	4.33	4.4348	4.3718	4.4265
1/27/2019	14:36:22	68.09	4.3299	4.433	4.3728	4.4254
1/27/2019	14:36:23	69.31	4.3265	4.431	4.3714	4.4262
1/27/2019	14:36:25	70.87	4.3265	4.4317	4.3696	4.4254
1/27/2019	14:36:26	72.28	4.3225	4.4314	4.3686	4.4225
1/27/2019	14:36:28	73.7	4.3258	4.4306	4.3705	4.4217
1/27/2019	14:36:29	74.89	4.328	4.4302	4.3702	4.4218
1/27/2019	14:36:30	76.03	4.3311	4.4292	4.3697	4.423
1/27/2019	14:36:31	77.2	4.3296	4.4269	4.3688	4.4216
1/27/2019	14:36:32	78.36	4.3291	4.4275	4.3696	4.4216
1/27/2019	14:36:34	79.69	4.3276	4.428	4.3707	4.422
1/27/2019	14:36:35	81.08	4.3261	4.4296	4.3726	4.4216
1/27/2019	14:36:37	82.52	4.3214	4.43	4.3726	4.4225
1/27/2019	14:36:38	83.81	4.3198	4.4306	4.3717	4.4232
1/27/2019	14:36:39	85.02	4.3177	4.4299	4.3691	4.4234
1/27/2019	14:36:40	86.41	4.3177	4.43	4.3679	4.4245
1/27/2019	14:36:42	87.61	4.3176	4.4297	4.3668	4.4242
1/27/2019	14:36:43	89.14	4.3169	4.431	4.3696	4.4245
1/27/2019	14:36:44	90.34	4.3194	4.4303	4.3689	4.4228
1/27/2019	14:36:46	91.89	4.3201	4.4293	4.3696	4.4221
1/27/2019	14:36:47	93.02	4.3224	4.4289	4.3679	4.4236
1/27/2019	14:36:49	94.7	4.3203	4.4263	4.3704	4.4253
1/27/2019	14:36:50	95.95	4.3206	4.4261	4.3701	4.4257
1/27/2019	14:36:51	97.3	4.3227	4.4244	4.3704	4.424
1/27/2019	14:36:53	98.64	4.3213	4.4266	4.3687	4.4232
1/27/2019	14:36:54	99.75	4.317	4.4268	4.3691	4.4245
1/27/2019	14:36:55	101.08	4.3151	4.4275	4.367	4.4237
1/27/2019	14:36:56	102.41	4.3139	4.4271	4.3687	4.4232
1/27/2019	14:36:58	103.91	4.3172	4.4293	4.3681	4.4205
1/27/2019	14:36:59	105.19	4.3132	4.4325	4.3708	4.4208
1/27/2019	14:37:01	106.78	4.3154	4.4349	4.3714	4.4213
1/27/2019	14:37:02	107.89	4.3166	4.4331	4.3715	4.4228
1/27/2019	14:37:03	109.44	4.3186	4.4325	4.371	4.4234
1/27/2019	14:37:05	110.67	4.3166	4.431	4.37	4.4229
1/27/2019	14:37:06	111.83	4.3118	4.4321	4.3697	4.4228
1/27/2019	14:37:08	113.53	4.31	4.4315	4.3705	4.4224
1/27/2019	14:37:09	114.89	4.3118	4.4322	4.3705	4.4217
1/27/2019	14:37:10	116.19	4.3121	4.4339	4.3715	4.4222
1/27/2019	14:37:11	117.42	4.3168	4.437	4.3711	4.4217
1/27/2019	14:37:13	118.95	4.3151	4.4422	4.3698	4.4215
1/27/2019	14:37:14	120.06	4.3141	4.4442	4.3701	4.4215
1/27/2019	14:37:16	122	4.3104	4.4431	4.3705	4.4205
1/27/2019	14:37:18	123.64	4.3115	4.4403	4.3723	4.4218
1/27/2019	14:37:19	125	4.3138	4.4389	4.3732	4.4212
1/27/2019	14:37:20	126.25	4.3155	4.4377	4.3723	4.4222
1/27/2019	14:37:22	127.66	4.3152	4.4375	4.3719	4.4195
1/27/2019	14:37:23	128.81	4.3166	4.4353	4.3715	4.4213
1/27/2019	14:37:24	130.06	4.3115	4.4348	4.3726	4.4217
1/27/2019	14:37:25	131.36	4.31	4.432	4.3716	4.4229
1/27/2019	14:37:27	133.11	4.3069	4.4321	4.3729	4.4205
1/27/2019	14:37:28	134.33	4.3111	4.4327	4.3726	4.4196
1/27/2019	14:37:30	135.53	4.3114	4.4335	4.373	4.4201
1/27/2019	14:37:31	136.78	4.31	4.4366	4.3723	4.4221
1/27/2019	14:37:32	138.27	4.3087	4.4372	4.3719	4.423
1/27/2019	14:37:34	139.52	4.3076	4.4389	4.3739	4.4233
1/27/2019	14:37:35	140.81	4.308	4.4398	4.3747	4.4224
1/27/2019	14:37:36	141.95	4.3087	4.4418	4.3749	4.422
1/27/2019	14:37:37	143.17	4.3099	4.4432	4.374	4.4212
1/27/2019	14:37:39	144.75	4.3101	4.4414	4.3729	4.4197
1/27/2019	14:37:40	146.02	4.308	4.4408	4.3721	4.4202
1/27/2019	14:37:41	147.27	4.3082	4.4407	4.3723	4.4217
1/27/2019	14:37:42	148.42	4.308	4.4421	4.373	4.4236
1/27/2019	14:37:44	149.81	4.3077	4.4418	4.374	4.4264
1/27/2019	14:37:45	151.19	4.307	4.4443	4.3737	4.4256
1/27/2019	14:37:47	152.5	4.3049	4.4441	4.3719	4.4253
1/27/2019	14:37:48	153.72	4.3049	4.4448	4.3725	4.4234
1/27/2019	14:37:49	155.11	4.302	4.4442	4.3732	4.4237
1/27/2019	14:37:50	156.39	4.3042	4.4455	4.3744	4.4236
1/27/2019	14:37:52	157.95	4.3051	4.4474	4.3753	4.4224
1/27/2019	14:37:53	159.12	4.3068	4.4473	4.3751	4.423
1/27/2019	14:37:55	160.62	4.3057	4.4466	4.3764	4.4234
1/27/2019	14:37:56	161.95	4.3038	4.4443	4.374	4.4237
1/27/2019	14:37:57	163.31	4.3016	4.4416	4.3729	4.4236
1/27/2019	14:37:59	164.47	4.3013	4.4419	4.3718	4.4232
1/27/2019	14:38:00	165.84	4.2995	4.4417	4.3728	4.4236
1/27/2019	14:38:01	167.2	4.2986	4.4408	4.3728	4.4224
1/27/2019	14:38:03	168.73	4.2985	4.4395	4.3722	4.4209
