Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/28/2019	06:33:50	0	4.1512	4.2787	4.3521	4.2178
1/28/2019	06:33:52	2.2	4.1488	4.2751	4.3472	4.212
1/28/2019	06:33:53	3.39	4.1445	4.2719	4.3399	4.2099
1/28/2019	06:33:55	5.17	4.1425	4.27	4.3345	4.2131
1/28/2019	06:33:56	6.47	4.1398	4.2665	4.3302	4.2138
1/28/2019	06:33:58	8.34	4.1366	4.2637	4.3274	4.2101
1/28/2019	06:33:59	9.72	4.1347	4.2603	4.3243	4.202
1/28/2019	06:34:01	11.55	4.1319	4.2571	4.3222	4.1952
1/28/2019	06:34:03	13.37	4.1308	4.2536	4.3199	4.1899
1/28/2019	06:34:04	14.84	4.13	4.2519	4.317	4.1868
1/28/2019	06:34:06	16.09	4.131	4.248	4.3141	4.1824
1/28/2019	06:34:07	17.89	4.1294	4.2464	4.3102	4.1811
1/28/2019	06:34:09	19.39	4.1255	4.2419	4.308	4.1791
1/28/2019	06:34:11	21.17	4.124	4.2393	4.3039	4.1753
1/28/2019	06:34:12	22.58	4.1234	4.2348	4.3001	4.1677
1/28/2019	06:34:14	24.5	4.1215	4.2322	4.2957	4.1648
1/28/2019	06:34:16	26.25	4.1187	4.2271	4.2887	4.1664
1/28/2019	06:34:17	27.86	4.1152	4.2235	4.283	4.1678
1/28/2019	06:34:19	29.73	4.1122	4.2203	4.2773	4.1634
1/28/2019	06:34:21	31.47	4.1115	4.2183	4.2743	4.1592
1/28/2019	06:34:23	33.03	4.1102	4.2167	4.269	4.1561
1/28/2019	06:34:24	34.41	4.1065	4.2149	4.2635	4.1572
1/28/2019	06:34:25	35.83	4.1032	4.2146	4.258	4.1613
1/28/2019	06:34:27	37.41	4.1001	4.213	4.2539	4.1657
1/28/2019	06:34:28	38.56	4.1033	4.213	4.2481	4.1679
1/28/2019	06:34:30	40.03	4.0999	4.2121	4.2449	4.1647
1/28/2019	06:34:31	41.14	4.1002	4.212	4.2422	4.1583
1/28/2019	06:34:32	42.86	4.0958	4.2093	4.2427	4.1519
1/28/2019	06:34:34	44.25	4.0936	4.2076	4.242	4.1465
1/28/2019	06:34:36	46.09	4.0919	4.205	4.24	4.1433
1/28/2019	06:34:37	47.84	4.0921	4.2031	4.2365	4.1408
1/28/2019	06:34:39	49.5	4.0935	4.2026	4.2356	4.1411
1/28/2019	06:34:41	51.03	4.0937	4.2031	4.2362	4.1435
1/28/2019	06:34:42	52.47	4.0926	4.2029	4.2369	4.1452
1/28/2019	06:34:43	53.84	4.0912	4.2017	4.2377	4.1473
1/28/2019	06:34:45	55.31	4.0916	4.1989	4.2377	4.1478
1/28/2019	06:34:46	56.56	4.0904	4.1997	4.2389	4.1463
1/28/2019	06:34:47	57.84	4.09	4.196	4.2374	4.1399
1/28/2019	06:34:49	59.37	4.0884	4.1932	4.2358	4.1342
1/28/2019	06:34:50	60.59	4.089	4.1895	4.2365	4.1343
1/28/2019	06:34:52	62.23	4.0881	4.1901	4.2352	4.1354
1/28/2019	06:34:53	63.36	4.0873	4.1896	4.2348	4.1341
1/28/2019	06:34:54	64.92	4.0858	4.1894	4.2317	4.1295
1/28/2019	06:34:56	66.2	4.0859	4.1872	4.2291	4.1254
1/28/2019	06:34:57	67.75	4.0859	4.188	4.2257	4.1243
1/28/2019	06:34:59	68.98	4.0835	4.1851	4.2216	4.123
1/28/2019	06:35:00	70.59	4.0826	4.1822	4.2189	4.1226
1/28/2019	06:35:01	71.94	4.0813	4.1759	4.2184	4.1227
1/28/2019	06:35:03	73.58	4.0847	4.1733	4.2189	4.1237
1/28/2019	06:35:04	74.97	4.087	4.1711	4.2189	4.1242
1/28/2019	06:35:06	76.25	4.085	4.1712	4.2181	4.1258
1/28/2019	06:35:07	77.55	4.0834	4.1694	4.2166	4.1278
1/28/2019	06:35:09	79.08	4.0797	4.1683	4.214	4.1312
1/28/2019	06:35:10	80.23	4.0788	4.1668	4.2101	4.1306
1/28/2019	06:35:12	82.02	4.0761	4.1642	4.2061	4.1273
1/28/2019	06:35:13	83.16	4.0768	4.1625	4.2024	4.124
1/28/2019	06:35:14	84.58	4.0767	4.1604	4.1987	4.1231
1/28/2019	06:35:15	85.92	4.0769	4.1608	4.1955	4.1222
1/28/2019	06:35:17	87.39	4.0766	4.1605	4.1943	4.1247
1/28/2019	06:35:18	88.61	4.0763	4.1597	4.1955	4.1287
1/28/2019	06:35:20	90.14	4.076	4.1588	4.1947	4.1335
1/28/2019	06:35:21	91.67	4.0779	4.1578	4.1937	4.1324
1/28/2019	06:35:23	93.06	4.0789	4.1608	4.1899	4.1296
1/28/2019	06:35:24	94.28	4.0791	4.1617	4.1901	4.1254
1/28/2019	06:35:25	95.78	4.075	4.1618	4.1895	4.1254
1/28/2019	06:35:27	97.05	4.0738	4.1591	4.188	4.1215
1/28/2019	06:35:28	98.61	4.0746	4.1588	4.1848	4.1199
1/28/2019	06:35:29	99.87	4.077	4.1589	4.1802	4.1195
1/28/2019	06:35:31	101.44	4.0799	4.1592	4.1793	4.1239
1/28/2019	06:35:32	102.8	4.0781	4.1584	4.178	4.1281
1/28/2019	06:35:34	104.19	4.078	4.1566	4.1773	4.1281
1/28/2019	06:35:35	105.91	4.0787	4.1553	4.1759	4.1247
1/28/2019	06:35:37	107.34	4.082	4.153	4.1744	4.1204
1/28/2019	06:35:38	108.5	4.0794	4.1511	4.1735	4.1189
1/28/2019	06:35:40	110.02	4.0738	4.1506	4.173	4.1175
1/28/2019	06:35:41	111.23	4.0699	4.1498	4.1727	4.1183
1/28/2019	06:35:42	112.81	4.0696	4.1496	4.173	4.1181
1/28/2019	06:35:44	114.87	4.0717	4.1479	4.1722	4.1188
1/28/2019	06:35:46	116.28	4.0722	4.1474	4.1701	4.1171
1/28/2019	06:35:47	117.69	4.0745	4.1474	4.1683	4.1144
1/28/2019	06:35:49	119.34	4.0734	4.1474	4.1657	4.1133
1/28/2019	06:35:50	120.72	4.0733	4.1482	4.1669	4.1138
1/28/2019	06:35:52	122.22	4.0731	4.1502	4.167	4.1165
1/28/2019	06:35:53	123.55	4.0742	4.1504	4.1658	4.1166
1/28/2019	06:35:55	125.06	4.0717	4.1505	4.1634	4.1176
1/28/2019	06:35:57	127.12	4.0676	4.1491	4.1629	4.1174
1/28/2019	06:35:58	128.28	4.0675	4.1488	4.163	4.1197
1/28/2019	06:35:59	129.8	4.0693	4.1474	4.1629	4.1193
