Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/29/2019	20:15:46	0	3.4188	4.1386	4.3757	4.0059
1/29/2019	20:15:48	2.25	3.4172	4.139	4.3765	4.0049
1/29/2019	20:15:50	3.59	3.4188	4.1384	4.3785	4.0058
1/29/2019	20:15:51	5.3	3.4178	4.1382	4.3784	4.0045
1/29/2019	20:15:53	6.84	3.4157	4.1379	4.3782	4.0043
1/29/2019	20:15:54	8.31	3.4124	4.1355	4.3764	4.0023
1/29/2019	20:15:56	10.55	3.4118	4.1336	4.3751	4.0012
1/29/2019	20:15:58	11.98	3.4111	4.1323	4.3739	3.9975
1/29/2019	20:16:00	13.83	3.4103	4.1331	4.3719	3.9945
1/29/2019	20:16:01	15.25	3.4109	4.1338	4.3737	3.9905
1/29/2019	20:16:02	16.53	3.4111	4.1334	4.3759	3.9889
1/29/2019	20:16:04	18.45	3.4115	4.1337	4.3794	3.9884
1/29/2019	20:16:06	19.73	3.409	4.1335	4.3778	3.9887
1/29/2019	20:16:07	21.44	3.4084	4.1317	4.3771	3.9878
1/29/2019	20:16:10	24.08	3.4097	4.1304	4.3749	3.9835
1/29/2019	20:16:12	25.81	3.4105	4.1282	4.3756	3.9817
1/29/2019	20:16:13	27.41	3.4105	4.1285	4.3755	3.9784
1/29/2019	20:16:14	28.5	3.4088	4.1268	4.376	3.9782
1/29/2019	20:16:16	29.66	3.4079	4.1276	4.3747	3.9783
1/29/2019	20:16:17	31.27	3.4066	4.1278	4.374	3.9783
1/29/2019	20:16:19	32.94	3.4053	4.128	4.3718	3.9751
1/29/2019	20:16:20	34.36	3.4031	4.1281	4.3728	3.9727
1/29/2019	20:16:21	35.53	3.403	4.1272	4.3749	3.9718
1/29/2019	20:16:23	37.02	3.4014	4.1274	4.377	3.9733
1/29/2019	20:16:24	38.28	3.4032	4.1277	4.3778	3.9728
1/29/2019	20:16:26	39.89	3.4036	4.1282	4.3746	3.9719
1/29/2019	20:16:27	40.98	3.4057	4.1295	4.3739	3.9716
1/29/2019	20:16:28	42.42	3.4062	4.1295	4.3726	3.971
1/29/2019	20:16:30	43.69	3.4068	4.1296	4.3737	3.9694
1/29/2019	20:16:31	45.11	3.4072	4.1297	4.3744	3.9693
1/29/2019	20:16:32	46.42	3.4053	4.1274	4.374	3.9681
1/29/2019	20:16:34	47.7	3.4038	4.1273	4.3743	3.9681
1/29/2019	20:16:35	49.05	3.4028	4.1266	4.3733	3.9648
