Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
2/1/19	19:23:54	0	4.4522	4.5233	4.4453	4.4576
2/1/19	19:23:57	2.36	4.4593	4.6007	4.4764	4.4867
2/1/19	19:23:59	4.44	4.4668	4.6757	4.5087	4.5147
2/1/19	19:24:01	6.3	4.4674	4.6741	4.5083	4.5125
2/1/19	19:24:03	8.2	4.468	4.6723	4.5084	4.5139
2/1/19	19:24:04	9.42	4.4679	4.6718	4.5089	4.5132
2/1/19	19:24:05	10.64	4.4667	4.6741	4.5081	4.5136
2/1/19	19:24:06	11.86	4.4661	4.6732	4.5071	4.5091
2/1/19	19:24:07	13.02	4.4643	4.6723	4.5036	4.5078
2/1/19	19:24:09	14.5	4.4637	4.6729	4.5013	4.5052
2/1/19	19:24:10	15.83	4.4637	4.6727	4.4999	4.5056
2/1/19	19:24:12	17.31	4.4642	4.6717	4.4997	4.5045
2/1/19	19:24:13	18.41	4.4655	4.6699	4.4988	4.5044
2/1/19	19:24:14	19.66	4.4676	4.6714	4.4983	4.5036
2/1/19	19:24:15	20.78	4.4679	4.6732	4.4986	4.5034
2/1/19	19:24:16	21.8	4.4673	4.6718	4.4997	4.502
2/1/19	19:24:17	22.92	4.4658	4.6702	4.4994	4.5035
2/1/19	19:24:19	24.14	4.4655	4.6675	4.497	4.502
2/1/19	19:24:20	25.42	4.4667	4.6658	4.4948	4.5006
2/1/19	19:24:21	26.55	4.4658	4.6636	4.4932	4.4971
2/1/19	19:24:22	27.64	4.4646	4.6648	4.4919	4.4959
2/1/19	19:24:23	28.72	4.4654	4.6656	4.4896	4.4929
2/1/19	19:24:24	29.8	4.4649	4.665	4.4876	4.4915
2/1/19	19:24:25	30.81	4.4671	4.6644	4.4879	4.4902
2/1/19	19:24:26	32.02	4.4684	4.6644	4.4888	4.492
2/1/19	19:24:28	33.11	4.4705	4.6653	4.4863	4.491
2/1/19	19:24:29	34.2	4.4698	4.6641	4.4854	4.4913
2/1/19	19:24:30	35.23	4.4662	4.663	4.4823	4.489
2/1/19	19:24:31	36.45	4.4642	4.6606	4.484	4.4863
2/1/19	19:24:32	37.5	4.4626	4.6618	4.483	4.484
2/1/19	19:24:33	38.52	4.4602	4.6608	4.4836	4.4831
2/1/19	19:24:34	39.73	4.4615	4.6602	4.483	4.4835
2/1/19	19:24:36	41.34	4.4621	4.6579	4.4807	4.4813
2/1/19	19:24:37	42.41	4.4668	4.6584	4.4798	4.4816
2/1/19	19:24:38	43.56	4.468	4.659	4.4768	4.4805
2/1/19	19:24:39	44.59	4.4683	4.6597	4.477	4.48
2/1/19	19:24:40	45.61	4.4661	4.6587	4.4754	4.478
2/1/19	19:24:41	46.73	4.4648	4.6597	4.4755	4.4757
2/1/19	19:24:42	47.94	4.4637	4.6575	4.4722	4.4747
2/1/19	19:24:43	48.97	4.4651	4.6547	4.4716	4.4731
2/1/19	19:24:45	50.09	4.4649	4.6535	4.4705	4.4735
2/1/19	19:24:46	51.12	4.4677	4.6541	4.4716	4.4727
2/1/19	19:24:47	52.2	4.4673	4.6562	4.4702	4.4704
2/1/19	19:24:48	53.36	4.4671	4.6575	4.4692	4.4665
2/1/19	19:24:49	54.56	4.4652	4.6569	4.4672	4.4644
2/1/19	19:24:50	55.62	4.4649	4.655	4.4655	4.4655
2/1/19	19:24:51	56.66	4.4667	4.6517	4.4635	4.468
2/1/19	19:24:52	57.77	4.4664	4.6511	4.4613	4.4667
2/1/19	19:24:53	58.87	4.4661	4.653	4.4605	4.4657
2/1/19	19:24:54	59.89	4.4633	4.6515	4.4595	4.4639
2/1/19	19:24:55	60.97	4.4637	4.652	4.458	4.4644
2/1/19	19:24:57	62.25	4.4642	4.6521	4.4573	4.4627
2/1/19	19:24:58	63.34	4.4634	4.655	4.4553	4.4607
2/1/19	19:24:59	64.48	4.4627	4.6554	4.4538	4.4584
2/1/19	19:25:00	65.95	4.4615	4.6536	4.4479	4.4565
2/1/19	19:25:02	67.05	4.4637	4.6508	4.4438	4.4556
2/1/19	19:25:03	68.17	4.464	4.6492	4.4396	4.4544
2/1/19	19:25:04	69.3	4.4659	4.6483	4.4386	4.4523
2/1/19	19:25:05	70.86	4.4652	4.649	4.4358	4.4525
2/1/19	19:25:06	71.94	4.4662	4.6501	4.4337	4.4536
2/1/19	19:25:07	72.98	4.4661	4.6496	4.4314	4.4533
2/1/19	19:25:09	74.62	4.4664	4.6504	4.4304	4.4513
2/1/19	19:25:10	75.92	4.4658	4.6489	4.4269	4.4506
2/1/19	19:25:11	77.02	4.4674	4.649	4.4225	4.4498
2/1/19	19:25:13	78.84	4.4674	4.6474	4.4181	4.4486
2/1/19	19:25:14	79.94	4.4684	4.6465	4.4194	4.4456
2/1/19	19:25:16	81.2	4.4667	4.6448	4.4198	4.4446
2/1/19	19:25:17	82.55	4.4677	4.6447	4.4197	4.4432
2/1/19	19:25:18	83.84	4.4686	4.6435	4.4163	4.4425
2/1/19	19:25:20	85.42	4.4671	4.6439	4.411	4.441
2/1/19	19:25:21	86.61	4.4651	4.6423	4.4075	4.4401
2/1/19	19:25:22	87.83	4.464	4.6423	4.4052	4.4394
2/1/19	19:25:23	88.97	4.4631	4.6411	4.4055	4.4393
2/1/19	19:25:25	90.44	4.4646	4.6438	4.4057	4.4376
2/1/19	19:25:26	91.83	4.4646	4.645	4.4046	4.4357
2/1/19	19:25:28	93.17	4.4662	4.647	4.4033	4.4333
2/1/19	19:25:29	94.36	4.4651	4.6461	4.4027	4.433
2/1/19	19:25:30	95.69	4.4659	4.6431	4.4007	4.4336
2/1/19	19:25:32	97.67	4.4667	4.6422	4.3989	4.4341
2/1/19	19:25:33	98.97	4.47	4.6391	4.3973	4.4331
2/1/19	19:25:35	100.2	4.468	4.6392	4.3961	4.4319
2/1/19	19:25:36	101.3	4.467	4.638	4.3959	4.4313
2/1/19	19:25:37	102.66	4.4651	4.6388	4.3954	4.4321
2/1/19	19:25:38	103.7	4.4673	4.6392	4.3964	4.4309
2/1/19	19:25:39	104.75	4.4665	4.6388	4.3968	4.4324
2/1/19	19:25:41	106.03	4.4652	4.6385	4.3958	4.4302
2/1/19	19:25:42	107.3	4.4617	4.6392	4.3954	4.4287
2/1/19	19:25:43	108.58	4.4621	4.6382	4.3954	4.4242
2/1/19	19:25:44	109.69	4.4623	4.6355	4.3954	4.4228
2/1/19	19:25:47	112.09	4.4634	4.633	4.3957	4.4238
2/1/19	19:25:48	113.22	4.4634	4.6324	4.3954	4.423
2/1/19	19:25:49	114.41	4.4643	4.6333	4.3967	4.4214
2/1/19	19:25:50	115.45	4.4634	4.6339	4.3972	4.418
2/1/19	19:25:51	116.53	4.4639	4.6337	4.3969	4.4186
2/1/19	19:25:52	117.64	4.4649	4.6331	4.3964	4.4173
2/1/19	19:25:53	118.91	4.4696	4.6326	4.3967	4.4164
2/1/19	19:25:55	120.86	4.4686	4.6318	4.3972	4.4132
2/1/19	19:25:56	121.95	4.4696	4.6315	4.3977	4.4136
2/1/19	19:25:58	123.06	4.4656	4.6288	4.3957	4.4116
2/1/19	19:25:59	124.19	4.4646	4.6274	4.3964	4.4106
2/1/19	19:26:00	125.19	4.4615	4.6275	4.3961	4.4105
2/1/19	19:26:01	126.31	4.4607	4.6274	4.3978	4.4109
2/1/19	19:26:02	127.47	4.4634	4.628	4.3969	4.4117
2/1/19	19:26:03	128.59	4.4621	4.6274	4.3973	4.4096
2/1/19	19:26:04	129.77	4.4617	4.6254	4.3961	4.4077
2/1/19	19:26:05	130.87	4.4652	4.6231	4.3977	4.4069
2/1/19	19:26:06	131.95	4.4702	4.6197	4.3964	4.4039
2/1/19	19:26:08	133.03	4.4734	4.6204	4.3975	4.4043
2/1/19	19:26:09	134.09	4.4723	4.6213	4.3958	4.4002
2/1/19	19:26:10	135.2	4.4704	4.6219	4.3978	4.4003
2/1/19	19:26:11	136.37	4.4723	4.6232	4.3984	4.3991
2/1/19	19:26:12	137.81	4.4719	4.6211	4.4012	4.3996
2/1/19	19:26:13	138.98	4.4704	4.6196	4.3999	4.4003
2/1/19	19:26:15	140.14	4.4695	4.6172	4.3995	4.3985
2/1/19	19:26:16	141.16	4.4681	4.6175	4.3981	4.3987
2/1/19	19:26:17	142.25	4.4698	4.6188	4.3985	4.3975
2/1/19	19:26:18	143.45	4.4714	4.6202	4.3978	4.3969
2/1/19	19:26:19	144.56	4.4699	4.6179	4.3972	4.3947
2/1/19	19:26:20	145.84	4.4703	4.6178	4.3977	4.3922
2/1/19	19:26:22	147.69	4.4691	4.6165	4.3998	4.391
2/1/19	19:26:23	148.97	4.4715	4.6176	4.3987	4.3899
2/1/19	19:26:24	150.02	4.4708	4.6157	4.3978	4.3903
2/1/19	19:26:26	151.98	4.4721	4.6119	4.3971	4.3892
2/1/19	19:26:28	153.17	4.4727	4.6113	4.3984	4.3879
2/1/19	19:26:29	154.77	4.4739	4.6114	4.3998	4.3859
2/1/19	19:26:30	155.97	4.4731	4.6131	4.398	4.3832
2/1/19	19:26:32	157.25	4.4733	4.6135	4.3975	4.3851
2/1/19	19:26:33	158.72	4.4723	4.6135	4.3958	4.3846
2/1/19	19:26:34	159.91	4.4698	4.6131	4.3988	4.3866
2/1/19	19:26:36	161.2	4.4689	4.6119	4.3985	4.3816
2/1/19	19:26:37	162.39	4.4708	4.6119	4.3987	4.3796
2/1/19	19:26:38	163.62	4.4712	4.6131	4.396	4.3767
2/1/19	19:26:39	164.98	4.4715	4.6125	4.3963	4.3772
2/1/19	19:26:41	166.12	4.4697	4.6101	4.3949	4.3752
2/1/19	19:26:42	167.37	4.4695	4.6077	4.3937	4.3744
2/1/19	19:26:43	168.5	4.4675	4.608	4.3936	4.373
2/1/19	19:26:44	169.81	4.4664	4.608	4.3929	4.374
2/1/19	19:26:46	171.22	4.4664	4.6082	4.3923	4.3726
2/1/19	19:26:47	172.5	4.47	4.6051	4.3898	4.3719
2/1/19	19:26:49	174.16	4.4705	4.6045	4.3896	4.3701
2/1/19	19:26:50	175.78	4.4708	4.6045	4.3892	4.3706
2/1/19	19:26:51	176.89	4.4683	4.6055	4.3892	4.3694
2/1/19	19:26:53	178.27	4.468	4.6069	4.3894	4.3683
2/1/19	19:26:54	179.75	4.4678	4.6054	4.3873	4.3676
2/1/19	19:26:55	180.81	4.4674	4.6038	4.3867	4.3667
2/1/19	19:26:57	182.34	4.4684	4.6044	4.3872	4.3658
2/1/19	19:26:58	183.77	4.4689	4.6045	4.3872	4.363
2/1/19	19:26:59	184.92	4.4703	4.6073	4.3852	4.3611
2/1/19	19:27:01	186.05	4.4715	4.6044	4.383	4.3604
2/1/19	19:27:02	187.11	4.4723	4.605	4.3803	4.3583
2/1/19	19:27:03	188.23	4.4712	4.6026	4.3792	4.3576
2/1/19	19:27:05	190.03	4.4708	4.6007	4.3761	4.3565
2/1/19	19:27:06	191.52	4.4703	4.6	4.3762	4.3583
2/1/19	19:27:07	192.92	4.4692	4.5989	4.3738	4.3587
2/1/19	19:27:09	194.41	4.4692	4.5998	4.3729	4.3586
2/1/19	19:27:10	195.59	4.47	4.5989	4.3687	4.3588
2/1/19	19:27:11	196.83	4.4705	4.5983	4.3671	4.3565
2/1/19	19:27:13	198.16	4.4712	4.5967	4.3654	4.3547
2/1/19	19:27:14	199.25	4.469	4.5953	4.3645	4.3516
2/1/19	19:27:15	200.78	4.4693	4.5969	4.3628	4.3502
2/1/19	19:27:16	201.87	4.4656	4.5951	4.3597	4.3502
2/1/19	19:27:18	203.64	4.4676	4.5948	4.3597	4.3494
2/1/19	19:27:19	204.87	4.4683	4.5925	4.359	4.3495
2/1/19	19:27:21	206.03	4.4677	4.5919	4.3588	4.3476
2/1/19	19:27:22	207.17	4.4668	4.5923	4.3563	4.3456
2/1/19	19:27:23	208.31	4.4636	4.5901	4.3545	4.3456
2/1/19	19:27:24	209.36	4.4653	4.5901	4.3518	4.3441
2/1/19	19:27:25	210.41	4.4656	4.5866	4.3486	4.3438
2/1/19	19:27:26	211.55	4.4676	4.5873	4.3469	4.342
2/1/19	19:27:27	212.56	4.4689	4.5869	4.3451	4.3412
