Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4								
2/1/19	21:35:52	0	3.6418	4.6272	4.4637	4.671								
2/1/19	21:35:54	2.09	3.6361	4.6275	4.4617	4.6715								
2/1/19	21:35:55	3.48	3.6311	4.6253	4.4626	4.6706								
2/1/19	21:35:57	5	3.6281	4.6266	4.4599	4.6707								
2/1/19	21:35:59	6.84	3.6259	4.6282	4.4588	4.6698								
2/1/19	21:36:00	8.44	3.6235	4.6304	4.4563	4.6713								
2/1/19	21:36:02	9.94	3.6205	4.6307	4.4556	4.674								
2/1/19	21:36:03	11.44	3.6201	4.6294	4.4547	4.6723								
2/1/19	21:36:05	13.05	3.6173	4.6285	4.4522	4.6717								
2/1/19	21:36:06	14.81	3.6152	4.6279	4.4522	4.6696								
2/1/19	21:36:08	16.39	3.6111	4.6263	4.451	4.6712								
2/1/19	21:36:10	17.97	3.6091	4.6265	4.4495	4.671								
2/1/19	21:36:11	19.41	3.6054	4.6261	4.4472	4.6715								
2/1/19	21:36:12	20.8	3.604	4.6265	4.4473	4.672								
2/1/19	21:36:14	22.31	3.5978	4.626	4.4479	4.6703								
2/1/19	21:36:16	23.89	3.593	4.6276	4.4475	4.6695								
2/1/19	21:36:18	26.05	3.5867	4.6268	4.4439	4.6687								
2/1/19	21:36:19	27.48	3.5849	4.6282	4.4429	4.6682								
2/1/19	21:36:21	29.05	3.582	4.6269	4.441	4.6673								
2/1/19	21:36:22	30.56	3.5781	4.6281	4.4418	4.6676								
2/1/19	21:36:24	32.09	3.5746	4.6263	4.4424	4.6678								
2/1/19	21:36:25	33.61	3.572	4.6253	4.4427	4.6692								
2/1/19	21:36:27	35.12	3.5694	4.6243	4.4415	4.6641								
2/1/19	21:36:28	36.7	3.5659	4.6245	4.4388	4.6636								
2/1/19	21:36:30	38.31	3.5626	4.6239	4.4392	4.663								
2/1/19	21:36:31	39.78	3.5624	4.6239	4.4394	4.665								
2/1/19	21:36:33	41.23	3.5608	4.6224	4.4385	4.6647								
2/1/19	21:36:34	42.72	3.5592	4.6227	4.4366	4.6619								
2/1/19	21:36:36	44.75	3.5558	4.6227	4.4356	4.6613								
2/1/19	21:36:38	46.34	3.5529	4.6243	4.4357	4.6611								
2/1/19	21:36:40	47.89	3.5498	4.6243	4.4363	4.6613								
2/1/19	21:36:41	49.44	3.5455	4.6243	4.4363	4.663								
2/1/19	21:36:43	51.02	3.5413	4.6239	4.4374	4.6628								
2/1/19	21:36:44	52.61	3.5383	4.6264	4.4367	4.6636								
2/1/19	21:36:46	53.97	3.5353	4.6272	4.4351	4.6637								
2/1/19	21:36:47	55.75	3.5338	4.6271	4.4321	4.6639								
2/1/19	21:36:49	57.25	3.5307	4.6258	4.4293	4.665								
2/1/19	21:36:50	58.78	3.5289	4.6246	4.4293	4.6641								
2/1/19	21:36:52	60.28	3.5243	4.6223	4.429	4.6638								
2/1/19	21:36:54	62.25	3.5224	4.6197	4.4306	4.6617								
2/1/19	21:36:55	63.8	3.5208	4.62	4.4315	4.6608								
2/1/19	21:36:57	65.37	3.5187	4.6224	4.4306	4.6622								
