Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
2/1/19	20:37:33	0	3.6123	4.6033	4.4132	4.5609
2/1/19	20:37:36	2.69	3.6094	4.6039	4.4121	4.5619
2/1/19	20:37:37	4.23	3.6072	4.6035	4.4104	4.561
2/1/19	20:37:39	5.59	3.6046	4.6031	4.4124	4.5577
2/1/19	20:37:40	6.98	3.6045	4.6035	4.4127	4.5578
2/1/19	20:37:41	8.36	3.6021	4.6054	4.4145	4.5577
2/1/19	20:37:43	9.78	3.6016	4.6061	4.4141	4.5559
2/1/19	20:37:44	11.22	3.6002	4.6052	4.4147	4.5575
2/1/19	20:37:46	12.59	3.5991	4.6043	4.4136	4.5592
2/1/19	20:37:47	14.34	3.5982	4.6041	4.415	4.5601
2/1/19	20:37:49	16.27	3.5974	4.6048	4.4154	4.5586
2/1/19	20:37:51	17.72	3.5975	4.6046	4.4165	4.5568
2/1/19	20:37:52	19.06	3.5955	4.6031	4.4173	4.5587
2/1/19	20:37:53	20.36	3.5936	4.6026	4.4182	4.5598
2/1/19	20:37:55	21.8	3.5921	4.6025	4.4191	4.5604
2/1/19	20:37:56	23.19	3.594	4.6035	4.4165	4.5598
2/1/19	20:37:58	24.62	3.5942	4.6035	4.4153	4.5571
2/1/19	20:37:59	26.05	3.594	4.603	4.4145	4.5571
2/1/19	20:38:00	27.34	3.5919	4.6038	4.4154	4.5563
2/1/19	20:38:02	28.7	3.59	4.6038	4.4142	4.5581
2/1/19	20:38:03	30.27	3.5896	4.6052	4.4133	4.5578
2/1/19	20:38:05	31.67	3.5891	4.6058	4.4142	4.5565
2/1/19	20:38:06	32.94	3.5888	4.6065	4.4151	4.5567
2/1/19	20:38:07	34.2	3.587	4.6064	4.4162	4.5567
2/1/19	20:38:08	35.45	3.5856	4.6058	4.4141	4.559
2/1/19	20:38:10	36.66	3.5841	4.6055	4.4131	4.5598
2/1/19	20:38:11	37.89	3.5861	4.6053	4.4133	4.5605
2/1/19	20:38:12	39.12	3.5847	4.6046	4.4144	4.5604
2/1/19	20:38:13	40.48	3.5832	4.6068	4.4145	4.5599
2/1/19	20:38:15	41.83	3.5792	4.6081	4.413	4.5598
2/1/19	20:38:16	43.19	3.5796	4.6104	4.4131	4.5592
2/1/19	20:38:18	44.72	3.5809	4.6117	4.4134	4.5592
2/1/19	20:38:19	46.17	3.5803	4.6109	4.4133	4.5582
2/1/19	20:38:21	47.92	3.5787	4.6107	4.4115	4.557
2/1/19	20:38:22	49.45	3.5762	4.6091	4.4104	4.5581
2/1/19	20:38:24	50.8	3.574	4.6084	4.4101	4.5586
2/1/19	20:38:25	52.12	3.5699	4.6089	4.4112	4.5592
2/1/19	20:38:26	53.52	3.5681	4.6088	4.4098	4.5587
2/1/19	20:38:28	54.87	3.5671	4.6094	4.4107	4.558
2/1/19	20:38:29	56.39	3.5679	4.6086	4.4107	4.558
2/1/19	20:38:31	57.83	3.5678	4.6076	4.4133	4.5569
2/1/19	20:38:33	59.62	3.5665	4.6076	4.4125	4.5575
2/1/19	20:38:34	61.19	3.5642	4.6066	4.4125	4.5587
2/1/19	20:38:36	62.87	3.5621	4.6055	4.4133	4.558
2/1/19	20:38:37	64.27	3.5593	4.6043	4.4142	4.558
2/1/19	20:38:39	65.64	3.5558	4.6048	4.415	4.5581
2/1/19	20:38:40	67.33	3.5515	4.6066	4.4138	4.5581
2/1/19	20:38:42	68.75	3.5489	4.6069	4.4124	4.5586
2/1/19	20:38:43	70.48	3.5466	4.6069	4.4097	4.5598
2/1/19	20:38:45	72.09	3.5467	4.6078	4.4098	4.5601
2/1/19	20:38:46	73.28	3.5446	4.6081	4.4098	4.5589
2/1/19	20:38:48	75.11	3.5447	4.6079	4.4122	4.5564
2/1/19	20:38:50	76.62	3.5409	4.6065	4.4115	4.5563
2/1/19	20:38:51	78.2	3.5376	4.6062	4.4136	4.5555
2/1/19	20:38:53	79.62	3.5338	4.6069	4.4122	4.5563
2/1/19	20:38:54	81.03	3.5313	4.6065	4.4126	4.5564
2/1/19	20:38:55	82.27	3.5311	4.6086	4.411	4.5577
2/1/19	20:38:57	83.61	3.5294	4.6075	4.4104	4.5587
2/1/19	20:38:58	85.05	3.5278	4.6085	4.4097	4.5592
2/1/19	20:38:59	86.48	3.5264	4.6065	4.4097	4.5596
2/1/19	20:39:01	88.05	3.5249	4.6066	4.41	4.5595
2/1/19	20:39:02	89.52	3.5224	4.6069	4.4106	4.5584
2/1/19	20:39:04	91.25	3.52	4.6066	4.4103	4.559
2/1/19	20:39:06	92.72	3.5175	4.6061	4.4103	4.5572
2/1/19	20:39:07	94.23	3.5169	4.6053	4.4097	4.5579
2/1/19	20:39:09	95.61	3.5132	4.6058	4.4086	4.5579
2/1/19	20:39:10	97.48	3.5126	4.6074	4.4089	4.5563
2/1/19	20:39:12	99.02	3.5091	4.6071	4.4087	4.5546
2/1/19	20:39:13	100.42	3.5091	4.6072	4.408	4.5539
2/1/19	20:39:15	101.98	3.505	4.6055	4.4071	4.5545
2/1/19	20:39:17	103.66	3.5032	4.6062	4.4086	4.5542
2/1/19	20:39:18	105.27	3.5005	4.6052	4.4112	4.5537
2/1/19	20:39:20	106.91	3.4999	4.6066	4.413	4.5551
2/1/19	20:39:22	108.62	3.4977	4.6058	4.4133	4.5572
2/1/19	20:39:24	110.73	3.4959	4.6063	4.4144	4.5586
2/1/19	20:39:25	112.47	3.4937	4.6055	4.4129	4.5586
2/1/19	20:39:27	114.11	3.493	4.605	4.4121	4.5589
2/1/19	20:39:29	115.69	3.4909	4.6066	4.4119	4.5572
2/1/19	20:39:30	117.22	3.4888	4.6069	4.4121	4.5561
2/1/19	20:39:32	118.78	3.4878	4.6095	4.4121	4.5561
2/1/19	20:39:33	120.48	3.4855	4.6084	4.4116	4.5578
2/1/19	20:39:35	121.98	3.4858	4.6086	4.4126	4.5578
2/1/19	20:39:36	123.52	3.4844	4.6075	4.4109	4.5573
2/1/19	20:39:38	125	3.4835	4.6076	4.4087	4.5551
2/1/19	20:39:40	127.12	3.4801	4.6065	4.4074	4.5558
2/1/19	20:39:41	128.55	3.4773	4.6065	4.4101	4.5555
2/1/19	20:39:43	130.03	3.4746	4.6065	4.4113	4.5549
2/1/19	20:39:45	132.2	3.4733	4.6071	4.4112	4.5555
2/1/19	20:39:46	133.58	3.4715	4.6071	4.4091	4.5543
2/1/19	20:39:48	135.11	3.4694	4.6066	4.4077	4.5569
2/1/19	20:39:50	136.84	3.4662	4.6069	4.4085	4.5548
2/1/19	20:39:52	138.73	3.4631	4.6069	4.4077	4.5563
2/1/19	20:39:53	140.19	3.4621	4.6078	4.4066	4.5548
2/1/19	20:39:55	141.59	3.4624	4.6079	4.4059	4.5533
2/1/19	20:39:56	143.44	3.462	4.6089	4.4059	4.553
2/1/19	20:39:58	144.91	3.4621	4.6088	4.406	4.5524
2/1/19	20:40:00	146.67	3.4614	4.6106	4.4039	4.5545
2/1/19	20:40:01	148.03	3.4603	4.6091	4.4025	4.5539
2/1/19	20:40:03	150.08	3.4587	4.6096	4.4027	4.5543
2/1/19	20:40:05	151.77	3.4569	4.6069	4.4045	4.5545
2/1/19	20:40:06	153	3.4552	4.6083	4.4053	4.5542
2/1/19	20:40:07	154.19	3.4527	4.6075	4.4045	4.5552
2/1/19	20:40:09	155.87	3.4515	4.6092	4.4033	4.5546
2/1/19	20:40:10	157.55	3.4511	4.6081	4.4015	4.5563
2/1/19	20:40:12	158.83	3.4514	4.6066	4.4009	4.5556
2/1/19	20:40:14	160.84	3.4493	4.6053	4.4006	4.5565
2/1/19	20:40:16	162.66	3.4478	4.6065	4.4012	4.5537
2/1/19	20:40:17	164.3	3.4458	4.6089	4.4015	4.5525
2/1/19	20:40:19	165.87	3.4452	4.6096	4.4012	4.5522
2/1/19	20:40:21	167.67	3.4429	4.6091	4.4006	4.5543
2/1/19	20:41:09	216.39	3.4243	4.6087	4.4009	4.5557
2/1/19	20:41:10	217.5	3.4034	4.6094	4.4016	4.5534
2/1/19	20:41:13	219.7	3.3825	4.6094	4.4026	4.5515
2/1/19	20:41:15	222.03	3.3795	4.6093	4.4032	4.5509
2/1/19	20:41:18	225.03	3.3763	4.6104	4.4029	4.5519
2/1/19	20:41:20	226.84	3.3749	4.6106	4.4032	4.5536
2/1/19	20:41:22	229.27	3.3713	4.6107	4.402	4.5528
2/1/19	20:41:24	231.2	3.3695	4.6087	4.401	4.5518
2/1/19	20:41:26	232.64	3.3669	4.6077	4.4	4.5498
2/1/19	20:41:27	234.14	3.3651	4.6067	4.3992	4.551
2/1/19	20:41:28	235.45	3.3638	4.608	4.3997	4.5518
2/1/19	20:41:30	236.75	3.363	4.6087	4.4007	4.5516
2/1/19	20:41:31	238.14	3.3616	4.6093	4.4	4.5507
2/1/19	20:41:33	239.98	3.3608	4.6081	4.3998	4.5508
2/1/19	20:41:35	241.64	3.359	4.6085	4.3985	4.5498
2/1/19	20:41:37	244.27	3.3585	4.609	4.3995	4.548
2/1/19	20:41:39	246.19	3.3583	4.6088	4.3998	4.549
2/1/19	20:41:41	248.06	3.3589	4.6083	4.3991	4.5484
2/1/19	20:41:43	249.91	3.3588	4.6074	4.4003	4.5498
2/1/19	20:41:45	251.78	3.3578	4.6071	4.3979	4.5489
2/1/19	20:41:46	253.44	3.3563	4.6061	4.3991	4.549
2/1/19	20:41:48	254.77	3.3537	4.607	4.398	4.5489
2/1/19	20:41:50	257.06	3.3516	4.6077	4.3985	4.5474
2/1/19	20:41:52	259.12	3.3498	4.6085	4.3971	4.5486
2/1/19	20:41:53	260.3	3.3511	4.608	4.3973	4.5474
2/1/19	20:41:55	261.66	3.3513	4.608	4.3983	4.5469
2/1/19	20:41:56	263.05	3.3498	4.6084	4.3985	4.5472
2/1/19	20:41:57	264.55	3.3463	4.6107	4.3977	4.5492
2/1/19	20:41:59	266.39	3.3456	4.611	4.3973	4.5527
2/1/19	20:42:01	267.78	3.3461	4.612	4.3974	4.5519
2/1/19	20:42:02	269.36	3.3452	4.6114	4.3965	4.5492
2/1/19	20:42:04	270.92	3.3436	4.6116	4.396	4.5448
2/1/19	20:42:05	272.34	3.3432	4.6107	4.3938	4.5459
2/1/19	20:42:07	273.69	3.3444	4.6097	4.3944	4.5481
2/1/19	20:42:08	275.22	3.3428	4.6098	4.3947	4.5492
2/1/19	20:42:09	276.48	3.3424	4.609	4.3976	4.5478
2/1/19	20:42:11	277.95	3.3403	4.6085	4.3973	4.5469
2/1/19	20:42:13	280	3.3406	4.6101	4.3961	4.5481
2/1/19	20:42:15	282	3.3388	4.6133	4.3948	4.5487
2/1/19	20:42:16	283.33	3.3385	4.614	4.3945	4.5492
2/1/19	20:42:18	284.87	3.3372	4.6129	4.3945	4.5472
2/1/19	20:42:20	286.75	3.3368	4.6106	4.3954	4.5477
2/1/19	20:42:22	288.89	3.3358	4.6097	4.3963	4.5478
2/1/19	20:42:23	290.37	3.3362	4.6093	4.3961	4.5502
2/1/19	20:42:25	291.81	3.3376	4.609	4.3954	4.5495
2/1/19	20:42:26	293.08	3.3365	4.6087	4.3936	4.5483
2/1/19	20:42:28	294.78	3.3365	4.6078	4.3947	4.5486
2/1/19	20:42:29	296.3	3.3345	4.6068	4.3948	4.5516
2/1/19	20:42:33	299.69	3.3337	4.6068	4.3932	4.5545
2/1/19	20:42:35	301.69	3.3319	4.6065	4.3936	4.5524
2/1/19	20:42:36	303.2	3.3302	4.6061	4.3921	4.5507
2/1/19	20:42:38	305	3.3304	4.6075	4.3938	4.5486
2/1/19	20:42:40	306.75	3.33	4.6085	4.393	4.5495
2/1/19	20:42:42	308.64	3.3295	4.6104	4.3936	4.5498
2/1/19	20:42:43	310.53	3.3294	4.6097	4.3945	4.5478
2/1/19	20:42:45	312.31	3.329	4.6095	4.3924	4.5462
2/1/19	20:42:47	313.98	3.33	4.6103	4.3929	4.5445
2/1/19	20:42:49	315.84	3.3306	4.6107	4.3908	4.5451
2/1/19	20:42:52	318.72	3.3288	4.6093	4.3933	4.5437
2/1/19	20:42:53	320.34	3.3263	4.6077	4.3932	4.543
2/1/19	20:42:55	321.92	3.3247	4.6057	4.3945	4.5434
2/1/19	20:42:56	323.37	3.3252	4.608	4.3935	4.5446
2/1/19	20:42:58	324.7	3.3245	4.6074	4.3935	4.5451
2/1/19	20:43:00	326.73	3.3218	4.6084	4.3936	4.5436
2/1/19	20:43:01	328.12	3.3191	4.6077	4.3921	4.543
2/1/19	20:43:03	329.64	3.3175	4.6085	4.3917	4.5418
2/1/19	20:43:05	332.02	3.3172	4.6077	4.3909	4.5433
2/1/19	20:43:07	333.64	3.313	4.6061	4.3938	4.546
2/1/19	20:43:08	334.92	3.3098	4.6058	4.3941	4.5481
2/1/19	20:43:10	336.61	3.3079	4.6062	4.3953	4.5486
2/1/19	20:43:11	337.97	3.3079	4.6065	4.3939	4.5473
2/1/19	20:43:12	339.44	3.3065	4.6061	4.3924	4.546
2/1/19	20:43:14	340.84	3.3028	4.6062	4.3921	4.5467
2/1/19	20:43:15	342.28	3.3002	4.6069	4.3936	4.5466
2/1/19	20:43:17	343.69	3.2997	4.608	4.396	4.544
2/1/19	20:43:18	345.03	3.2964	4.6088	4.3969	4.5406
2/1/19	20:43:20	346.62	3.2948	4.6072	4.395	4.54
