filename	Ch1	Ch1RS	Ch1RE	Ch1PS	Ch1PE	Ch2	Ch2RS	Ch2RE	Ch2PS	Ch2PE	Ch3	Ch3RS	Ch3RE	Ch3PS	Ch3PE	Ch4	Ch4RS	Ch4RE	Ch4PS	Ch4PE
2019-01-25-26_oxy1-4_cleaned.txt	RSS_T1-34.5_13A	0	500	900	1300	RSS_T1-34.5_13B	0	500	900	1300	RSS_T1-34.5_9A	100	800	1200	1700	RSS_T1-34.5_9B	100	800	1200	1700
2019-01-25-26_oxy5-8_cleaned.txt	RSS_T1-34.5_14A	100	800	1200	1700	RSS_T1-34.5_14B	100	800	1200	1700	RSS_T1-34.5_15A	100	800	1200	1700	RSS_T1-34.5_15B	100	800	1200	1700
2019-01-27-Fields_oxy1-4_cleaned.txt	Field_8	100	900	1300	2100	Field_9	100	900	1300	2100	Field_13	100	900	1300	2100	Field_14	100	900	1300	2100
2019-01-27-Fields_oxy5-8_cleaned.txt	Field_15	600	1100	1400	2100	Field_drift1	100	900	1300	2100	Field_drift2	100	900	1300	2100	Field_drift3	100	900	1300	2100
2019-01-27-T0_oxy1-4_cleaned.txt	CBASS_T0_8	100	1200	1500	1950	CBASS_T0_9	300	1200	1500	1950	CBASS_T0_13	400	1100	1300	1900	CBASS_T0_14	950	1200	1300	1900
2019-01-27-T0_oxy5-8_cleaned.txt	CBASS_T0_15	100	1100	1500	2000	CBASS_T0_drift1	300	1000	1200	1900	CBASS_T0_drift2	300	1000	1200	1900	CBASS_T0_drift3	300	1000	1200	1900
2019-01-27_27-T1_oxy1-4_cleaned.txt	CBASS_T1-27A_9	50	800	1450	1850	CBASS_T1-27A_13	100	800	1200	1800	CBASS_T1-27A_14	100	800	1500	1850	CBASS_T1-27A_15	400	900	1400	1700
2019-01-27_27-T1_oxy5-8_cleaned.txt	CBASS_T1-27B_9	50	700	1500	1950	CBASS_T1-27B_13	50	700	1500	1950	CBASS_T1-27B_14	50	700	1400	1950	CBASS_T1-27B_15	100	750	1500	1900
2019-01-27_29.5-T1_oxy1-4_cleaned.txt	CBASS_T1-29.5A_9	100	900	2000	2550	CBASS_T1-29.5A_13	100	900	2000	2550	CBASS_T1-29.5A_14	100	900	2000	2550	CBASS_T1-29.5A_15	100	900	2000	2550
2019-01-27_29.5-T1_oxy5-8_cleaned.txt	CBASS_T1-29.5B_9	50	700	1600	2650	CBASS_T1-29.5B_13	100	800	2200	2550	CBASS_T1-29.5B_14	100	700	2200	2550	CBASS_T1-29.5B_15	100	800	2000	2650
2019-01-27_32-T1_oxy1-4_cleaned.txt	CBASS_T1-32A_9	500	1200	1600	2000	CBASS_T1-32A_13	500	1200	1600	2000	CBASS_T1-32A_14	300	1200	1400	1800	CBASS_T1-32A_15	500	1200	1500	2000
2019-01-27_32-T1_oxy5-8_cleaned.txt	CBASS_T1-32B_9	10	100	110	200	CBASS_T1-32B_13	10	100	110	200	CBASS_T1-32B_14	10	100	110	200	CBASS_T1-32B_15	10	100	110	200
2019-01-27_32-T1_oxy5-8also_cleaned.txt	CBASS_T1-32B2_9	400	900	1300	2200	CBASS_T1-32B2_13	400	1000	1500	1800	CBASS_T1-32B2_14	500	1000	1400	2000	CBASS_T1-32B2_15	500	1000	1400	2000
2019-01-27_34.5-T1_oxy1-4_cleaned.txt	CBASS_T1-34.5A_9	500	1000	1400	2000	CBASS_T1-34.5A_13	500	1000	1400	2000	CBASS_T1-34.5A_14	500	1000	1400	2000	CBASS_T1-34.5A_15	500	1000	1400	2000
2019-01-27_34.5-T1_oxy5-8_cleaned.txt	CBASS_T1-34.5B_9	500	1000	1400	2000	CBASS_T1-34.5B_13	500	1000	1400	2000	CBASS_T1-34.5B_14	500	1000	1400	2000	CBASS_T1-34.5B_15	500	1000	1400	2000
2019-01-28_27_T2_oxy1-4_cleaned.txt	CBASS_T2-27A_9	100	800	1000	1300	CBASS_T2-27A_13	100	600	1100	1300	CBASS_T2-27A_14	100	800	1100	1300	CBASS_T2-27A_15	100	600	1050	1300
2019-01-28_27_T2_oxy5-8_cleaned.txt	CBASS_T2-27B_9	100	800	1100	1300	CBASS_T2-27B_13	100	800	1000	1300	CBASS_T2-27B_14	100	350	400	600	CBASS_T2-27B_15	100	800	1000	1300
2019-01-28_29.5_T2_oxy1-4_cleaned.txt	CBASS_T2-29.5A_9	200	700	1000	1600	CBASS_T2-29.5A_13	400	700	1100	1600	CBASS_T2-29.5A_14	300	700	1380	1600	CBASS_T2-29.5A_15	50	250	1000	1600
2019-01-28_29.5_T2_oxy5-8_cleaned.txt	CBASS_T2-29.5B_9	300	850	1100	1550	CBASS_T2-29.5B_13	300	700	1000	1600	CBASS_T2-29.5B_14	200	900	1200	1600	CBASS_T2-29.5B_15	300	700	1050	1600
2019-01-28_32_T2_oxy1-4_cleaned.txt	CBASS_T2-32A_9	400	600	900	1300	CBASS_T2-32A_13	100	800	1000	1300	CBASS_T2-32A_14	350	450	900	1200	CBASS_T2-32A_15	210	800	1000	1330
2019-01-28_32_T2_oxy5-8_cleaned.txt	CBASS_T2-32B_9	50	800	1000	1350	CBASS_T2-32B_13	50	800	1050	1350	CBASS_T2-32B_14	50	800	1050	1350	CBASS_T2-32B_15	50	800	1050	1350
