
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/26/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/26/2019	00:52:12	0.00		3.5905	4.0462	4.0049	4.1156	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.059	19.777	19.995	19.796	204.381	254.320	240.159	230.004	4.608	4.035	4.014	3.985	
1/26/2019	00:52:27	15.00		3.5972	4.0480	3.9984	4.1137	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.040	19.772	20.012	19.801	204.277	254.319	240.358	229.891	4.919	3.721	4.261	3.361	
1/26/2019	00:52:42	30.00		3.5907	4.0401	3.9988	4.1132	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.058	19.792	20.011	19.802	204.440	254.554	240.450	229.882	5.738	3.813	3.843	3.926	
1/26/2019	00:52:57	45.00		3.5933	4.0460	3.9932	4.1170	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.051	19.777	20.025	19.792	204.342	254.364	240.479	229.718	4.548	4.154	3.866	4.197	
1/26/2019	00:53:12	60.00		3.5890	4.0507	3.9952	4.1194	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.063	19.765	20.020	19.786	204.584	254.190	240.557	229.705	4.230	3.939	3.165	3.492	
1/26/2019	00:53:27	75.00		3.5807	4.0532	3.9928	4.1222	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.087	19.759	20.026	19.778	204.845	254.145	240.511	229.691	5.405	3.496	4.321	4.225	
1/26/2019	00:53:42	90.00		3.5588	4.0522	3.9880	4.1167	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.149	19.761	20.038	19.793	205.416	254.164	240.634	229.672	4.784	3.616	4.069	4.202	
1/26/2019	00:53:57	105.00		3.5551	4.0451	3.9881	4.1209	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.160	19.779	20.038	19.782	205.636	254.465	240.481	229.539	4.472	3.939	3.553	4.153	
1/26/2019	00:54:12	120.00		3.5443	4.0468	3.9834	4.1236	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.191	19.775	20.050	19.775	206.016	254.271	240.657	229.579	5.154	3.575	3.578	3.550	
1/26/2019	00:54:27	135.00		3.5230	4.0450	3.9840	4.1237	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.253	19.780	20.048	19.774	206.603	254.489	240.562	229.534	4.759	3.675	3.564	4.651	
1/26/2019	00:54:42	150.00		3.5036	4.0428	3.9786	4.1228	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.309	19.785	20.062	19.777	207.320	254.588	240.670	229.492	5.214	3.291	3.688	3.724	
1/26/2019	00:54:57	165.00		3.4977	4.0491	3.9806	4.1247	34.500	34.500	34.500	34.500	---	---	---	26.087	---	21.327	19.769	20.057	19.772	207.451	254.417	240.703	229.350	5.244	3.538	4.334	3.604	
1/26/2019	00:55:12	180.00		3.4907	4.0404	3.9751	4.1299	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.347	19.791	20.071	19.758	207.621	254.543	240.741	229.336	5.207	3.111	4.189	3.812	
1/26/2019	00:55:27	195.00		3.4887	4.0536	3.9734	4.1271	34.500	34.500	34.500	34.500	---	---	---	26.087	---	21.353	19.758	20.076	19.765	207.712	254.266	240.763	229.347	4.017	3.928	4.055	3.554	
1/26/2019	00:55:42	210.00		3.4793	4.0371	3.9708	4.1303	34.500	34.500	34.500	34.500	---	---	---	26.091	---	21.381	19.800	20.082	19.757	208.080	254.676	240.765	229.278	5.031	3.494	4.333	3.567	
1/26/2019	00:55:57	225.00		3.4652	4.0365	3.9705	4.1300	34.500	34.500	34.500	34.500	---	---	---	26.087	---	21.422	19.801	20.083	19.758	208.461	254.848	240.941	229.145	5.035	3.339	4.451	3.246	
