
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	22.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	22.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	22.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	22.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/27/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/27/2019	13:10:53	0.00		4.4917	4.4179	4.4586	4.5215	22.000	22.000	22.000	22.000	1008.76	25.494	---	---	---	21.936	22.315	22.097	22.078	271.372	305.020	285.787	269.550	6.876	8.034	6.533	6.131	
1/27/2019	13:10:56	3.47		4.4936	4.4193	4.4573	4.5230	22.000	22.000	22.000	22.000	1008.79	25.494	---	---	---	21.932	22.312	22.100	22.074	271.389	305.074	285.800	269.566	6.933	8.036	6.558	6.102	
1/27/2019	13:10:58	4.94		4.4914	4.4181	4.4574	4.5208	22.000	22.000	22.000	22.000	1008.81	25.489	---	---	---	21.936	22.315	22.100	22.079	271.397	305.095	285.861	269.579	6.972	8.080	6.547	6.101	
1/27/2019	13:10:59	6.19		4.4920	4.4180	4.4561	4.5236	22.000	22.000	22.000	22.000	1008.83	25.489	---	---	---	21.935	22.315	22.103	22.073	271.398	305.105	285.888	269.595	6.959	8.104	6.543	6.114	
1/27/2019	13:11:01	7.61		4.4887	4.4151	4.4591	4.5223	22.000	22.000	22.000	22.000	1008.83	25.483	---	---	---	21.942	22.322	22.096	22.076	271.375	305.111	285.917	269.593	6.886	8.118	6.511	6.151	
1/27/2019	13:11:02	9.30		4.4885	4.4144	4.4584	4.5214	22.000	22.000	22.000	22.000	1008.84	25.489	---	---	---	21.942	22.324	22.098	22.078	271.378	305.153	285.916	269.596	6.843	8.089	6.522	6.168	
1/27/2019	13:11:04	10.70		4.4872	4.4135	4.4574	4.5209	22.000	22.000	22.000	22.000	1008.83	25.489	---	---	---	21.945	22.326	22.100	22.079	271.410	305.194	285.912	269.609	6.841	8.089	6.506	6.184	
1/27/2019	13:11:05	12.16		4.4887	4.4137	4.4541	4.5214	22.000	22.000	22.000	22.000	1008.81	25.494	---	---	---	21.942	22.326	22.107	22.078	271.445	305.232	285.907	269.637	6.845	8.080	6.538	6.128	
1/27/2019	13:11:07	13.61		4.4903	4.4147	4.4529	4.5221	22.000	22.000	22.000	22.000	1008.80	25.494	---	---	---	21.939	22.323	22.110	22.076	271.456	305.244	285.923	269.664	6.881	8.078	6.528	6.090	
1/27/2019	13:11:08	14.94		4.4900	4.4140	4.4529	4.5187	22.000	22.000	22.000	22.000	1008.77	25.507	---	---	---	21.939	22.325	22.110	22.084	271.441	305.257	285.951	269.661	6.855	8.047	6.561	6.037	
1/27/2019	13:11:09	16.33		4.4874	4.4149	4.4530	4.5186	22.000	22.000	22.000	22.000	1008.78	25.519	---	---	---	21.945	22.323	22.109	22.084	271.434	305.265	285.957	269.659	6.921	8.015	6.576	6.055	
1/27/2019	13:11:11	17.83		4.4879	4.4154	4.4527	4.5195	22.000	22.000	22.000	22.000	1008.79	25.527	---	---	---	21.944	22.322	22.110	22.082	271.437	305.303	285.955	269.662	6.929	8.024	6.580	6.055	
1/27/2019	13:11:13	19.62		4.4893	4.4150	4.4547	4.5208	22.000	22.000	22.000	22.000	1008.84	25.527	---	---	---	21.941	22.323	22.106	22.079	271.467	305.334	285.940	269.691	6.931	8.028	6.592	6.081	
1/27/2019	13:11:14	21.30		4.4920	4.4134	4.4552	4.5196	22.000	22.000	22.000	22.000	1008.84	25.522	---	---	---	21.935	22.327	22.105	22.082	271.485	305.362	285.945	269.696	6.843	8.093	6.572	6.137	
1/27/2019	13:11:16	22.66		4.4909	4.4127	4.4549	4.5177	22.000	22.000	22.000	22.000	1008.82	25.527	---	---	---	21.937	22.328	22.105	22.086	271.488	305.363	285.947	269.703	6.829	8.107	6.576	6.114	
1/27/2019	13:11:18	24.52		4.4892	4.4142	4.4530	4.5171	22.000	22.000	22.000	22.000	1008.82	25.522	---	---	---	21.941	22.325	22.109	22.088	271.479	305.371	285.974	269.702	6.883	8.133	6.575	6.103	
1/27/2019	13:11:19	26.06		4.4885	4.4142	4.4511	4.5160	22.000	22.000	22.000	22.000	1008.83	25.540	---	---	---	21.942	22.325	22.114	22.090	271.473	305.404	285.987	269.719	6.922	8.069	6.574	6.093	
1/27/2019	13:11:20	27.42		4.4877	4.4124	4.4502	4.5155	22.000	22.000	22.000	22.000	1008.85	25.547	---	---	---	21.944	22.329	22.116	22.091	271.473	305.445	286.015	269.718	6.926	8.044	6.572	6.086	
1/27/2019	13:11:22	28.73		4.4882	4.4116	4.4515	4.5137	22.000	22.000	22.000	22.000	1008.80	25.560	---	---	---	21.943	22.331	22.113	22.095	271.478	305.457	286.027	269.729	6.890	8.023	6.543	6.137	
1/27/2019	13:11:23	30.05		4.4866	4.4104	4.4515	4.5136	22.000	22.000	22.000	22.000	1008.81	25.555	---	---	---	21.946	22.334	22.113	22.096	271.480	305.475	286.044	269.764	6.901	8.052	6.539	6.138	
1/27/2019	13:11:24	31.41		4.4864	4.4110	4.4524	4.5151	22.000	22.000	22.000	22.000	1008.76	25.555	---	---	---	21.947	22.333	22.111	22.092	271.495	305.463	286.067	269.800	6.905	8.078	6.536	6.230	
