
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/28/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/28/2019	07:13:24	0.00		4.1093	4.1363	4.1351	4.1587	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.393	21.291	21.395	21.510	206.300	276.891	256.159	261.071	6.786	3.213	4.051	3.806	
1/28/2019	07:13:26	2.53		4.1062	4.1351	4.1319	4.1587	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.401	21.294	21.403	21.510	206.347	276.900	256.276	261.094	5.906	3.504	4.187	3.912	
1/28/2019	07:13:27	3.81		4.1057	4.1355	4.1308	4.1606	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.402	21.293	21.406	21.505	206.386	276.896	256.335	261.082	5.322	3.738	3.510	4.652	
1/28/2019	07:13:29	5.05		4.1051	4.1356	4.1284	4.1622	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.403	21.293	21.412	21.500	206.374	276.896	256.400	260.956	4.480	3.770	3.649	4.675	
1/28/2019	07:13:30	6.64		4.1078	4.1364	4.1265	4.1623	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.397	21.291	21.417	21.500	206.389	276.867	256.433	260.877	5.341	3.396	3.601	4.495	
1/28/2019	07:13:32	7.91		4.1094	4.1368	4.1232	4.1624	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.393	21.290	21.425	21.500	206.392	276.873	256.469	260.853	4.990	3.515	3.587	3.680	
1/28/2019	07:13:33	9.30		4.1098	4.1372	4.1238	4.1619	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.392	21.289	21.423	21.501	206.432	276.857	256.480	260.944	5.702	3.446	3.691	3.291	
1/28/2019	07:13:34	10.64		4.1092	4.1374	4.1253	4.1611	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.393	21.288	21.420	21.503	206.433	276.865	256.476	261.003	4.642	3.956	3.330	3.598	
1/28/2019	07:13:36	12.03		4.1105	4.1366	4.1278	4.1602	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.390	21.290	21.413	21.506	206.402	276.848	256.435	261.021	4.605	4.255	3.281	3.486	
1/28/2019	07:13:37	13.41		4.1101	4.1374	4.1303	4.1573	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.391	21.288	21.407	21.514	206.332	276.859	256.385	261.098	3.956	4.622	3.036	4.469	
1/28/2019	07:13:38	14.70		4.1146	4.1393	4.1300	4.1575	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.380	21.284	21.408	21.513	206.272	276.846	256.400	261.137	4.466	4.255	3.514	4.221	
1/28/2019	07:13:40	15.97		4.1101	4.1389	4.1283	4.1569	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.391	21.285	21.412	21.515	206.245	276.837	256.471	261.185	4.481	4.389	3.846	4.131	
1/28/2019	07:13:41	17.28		4.1121	4.1382	4.1248	4.1590	27.000	27.000	27.000	27.000	---	---	---	25.458	---	21.386	21.286	21.421	21.509	206.263	276.816	256.591	261.160	4.670	3.782	4.239	3.684	
