
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/28/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/28/2019	06:33:50	0.00		4.1512	4.2787	4.3521	4.2178	27.000	27.000	27.000	27.000	---	---	---	25.497	---	21.289	20.932	20.859	21.351	204.409	275.172	248.534	262.117	4.697	3.831	3.664	4.048	
1/28/2019	06:33:52	2.20		4.1488	4.2751	4.3472	4.2120	27.000	27.000	27.000	27.000	---	---	---	25.494	---	21.295	20.941	20.871	21.367	204.504	275.317	248.703	262.257	4.760	3.933	3.569	4.390	
1/28/2019	06:33:53	3.39		4.1445	4.2719	4.3399	4.2099	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.306	20.949	20.889	21.372	204.634	275.464	248.843	262.315	4.824	3.607	3.816	3.567	
1/28/2019	06:33:55	5.17		4.1425	4.2700	4.3345	4.2131	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.311	20.954	20.902	21.364	204.723	275.532	249.002	262.261	5.145	3.475	3.818	3.261	
1/28/2019	06:33:56	6.47		4.1398	4.2665	4.3302	4.2138	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.317	20.962	20.912	21.362	204.780	275.593	249.128	262.300	5.048	3.157	4.428	3.124	
1/28/2019	06:33:58	8.34		4.1366	4.2637	4.3274	4.2101	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.325	20.969	20.919	21.372	204.835	275.659	249.245	262.487	4.965	3.255	4.415	3.290	
1/28/2019	06:33:59	9.72		4.1347	4.2603	4.3243	4.2020	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.330	20.978	20.926	21.393	204.884	275.779	249.334	262.781	4.600	3.439	4.479	3.566	
1/28/2019	06:34:01	11.55		4.1319	4.2571	4.3222	4.1952	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.337	20.986	20.931	21.412	204.956	275.911	249.435	262.992	5.056	3.569	4.234	3.536	
1/28/2019	06:34:03	13.37		4.1308	4.2536	4.3199	4.1899	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.340	20.994	20.937	21.426	204.991	276.018	249.568	263.166	4.637	3.791	4.539	3.514	
1/28/2019	06:34:04	14.84		4.1300	4.2519	4.3170	4.1868	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.342	20.999	20.944	21.434	205.015	276.101	249.688	263.278	4.701	3.699	4.789	3.722	
1/28/2019	06:34:06	16.09		4.1310	4.2480	4.3141	4.1824	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.339	21.008	20.951	21.446	205.021	276.213	249.791	263.408	4.477	3.927	4.736	3.601	
1/28/2019	06:34:07	17.89		4.1294	4.2464	4.3102	4.1811	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.343	21.012	20.960	21.449	205.042	276.322	249.878	263.466	4.558	3.960	4.397	4.474	
1/28/2019	06:34:09	19.39		4.1255	4.2419	4.3080	4.1791	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.353	21.024	20.966	21.455	205.083	276.493	249.969	263.531	4.532	4.340	3.875	4.817	
1/28/2019	06:34:11	21.17		4.1240	4.2393	4.3039	4.1753	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.357	21.030	20.976	21.465	205.165	276.641	250.081	263.685	4.605	4.415	3.694	5.106	
1/28/2019	06:34:12	22.58		4.1234	4.2348	4.3001	4.1677	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.358	21.041	20.985	21.486	205.257	276.818	250.241	263.930	5.368	4.346	3.495	4.832	
1/28/2019	06:34:14	24.50		4.1215	4.2322	4.2957	4.1648	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.363	21.048	20.996	21.493	205.318	276.970	250.401	264.036	5.059	4.267	3.458	4.173	
1/28/2019	06:34:16	26.25		4.1187	4.2271	4.2887	4.1664	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.370	21.061	21.013	21.489	205.367	277.146	250.608	264.061	5.222	4.061	3.339	4.709	
1/28/2019	06:34:17	27.86		4.1152	4.2235	4.2830	4.1678	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.379	21.070	21.027	21.485	205.419	277.291	250.809	264.021	5.439	3.848	3.332	5.000	
1/28/2019	06:34:19	29.73		4.1122	4.2203	4.2773	4.1634	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.386	21.078	21.041	21.497	205.465	277.372	250.999	264.119	5.395	3.341	4.094	4.698	
1/28/2019	06:34:21	31.47		4.1115	4.2183	4.2743	4.1592	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.388	21.083	21.048	21.509	205.525	277.426	251.171	264.254	5.986	3.099	4.784	4.141	
1/28/2019	06:34:23	33.03		4.1102	4.2167	4.2690	4.1561	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.391	21.087	21.061	21.517	205.576	277.490	251.307	264.370	5.299	3.744	5.074	3.372	
1/28/2019	06:34:24	34.41		4.1065	4.2149	4.2635	4.1572	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.400	21.091	21.074	21.514	205.697	277.550	251.454	264.335	6.000	3.769	4.546	3.714	
1/28/2019	06:34:25	35.83		4.1032	4.2146	4.2580	4.1613	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.409	21.092	21.088	21.503	205.733	277.583	251.620	264.171	5.261	3.911	4.265	3.395	
1/28/2019	06:34:27	37.41		4.1001	4.2130	4.2539	4.1657	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.417	21.096	21.098	21.491	205.755	277.614	251.776	263.991	5.237	3.515	3.912	3.473	
1/28/2019	06:34:28	38.56		4.1033	4.2130	4.2481	4.1679	27.000	27.000	27.000	27.000	---	---	---	25.490	---	21.408	21.096	21.112	21.485	205.733	277.652	251.928	263.947	4.569	3.428	3.984	3.254	
1/28/2019	06:34:30	40.03		4.0999	4.2121	4.2449	4.1647	27.000	27.000	27.000	27.000	---	---	---	25.487	---	21.417	21.098	21.120	21.494	205.801	277.713	252.021	264.056	4.809	3.896	3.574	4.056	
1/28/2019	06:34:31	41.14		4.1002	4.2120	4.2422	4.1583	27.000	27.000	27.000	27.000	---	---	---	25.483	---	21.416	21.099	21.127	21.511	205.872	277.736	252.093	264.294	5.439	3.567	3.579	4.163	
1/28/2019	06:34:32	42.86		4.0958	4.2093	4.2427	4.1519	27.000	27.000	27.000	27.000	---	---	---	25.480	---	21.427	21.105	21.126	21.528	205.931	277.800	252.159	264.547	5.617	4.273	4.052	4.177	
1/28/2019	06:34:34	44.25		4.0936	4.2076	4.2420	4.1465	27.000	27.000	27.000	27.000	---	---	---	25.480	---	21.433	21.110	21.127	21.543	205.963	277.819	252.204	264.727	5.448	3.910	4.439	3.828	
1/28/2019	06:34:36	46.09		4.0919	4.2050	4.2400	4.1433	27.000	27.000	27.000	27.000	---	---	---	25.480	---	21.437	21.116	21.132	21.552	206.016	277.879	252.272	264.851	5.152	4.386	4.821	4.089	
1/28/2019	06:34:37	47.84		4.0921	4.2031	4.2365	4.1408	27.000	27.000	27.000	27.000	---	---	---	25.480	---	21.436	21.121	21.141	21.559	206.038	277.877	252.341	264.907	5.852	3.976	4.717	4.338	
1/28/2019	06:34:39	49.50		4.0935	4.2026	4.2356	4.1411	27.000	27.000	27.000	27.000	---	---	---	25.480	---	21.433	21.122	21.143	21.558	206.025	277.910	252.376	264.872	5.614	3.986	4.574	4.070	
1/28/2019	06:34:41	51.03		4.0937	4.2031	4.2362	4.1435	27.000	27.000	27.000	27.000	---	---	---	25.480	---	21.432	21.121	21.142	21.551	205.975	277.941	252.390	264.818	5.202	4.103	4.127	3.783	
1/28/2019	06:34:42	52.47		4.0926	4.2029	4.2369	4.1452	27.000	27.000	27.000	27.000	---	---	---	25.480	---	21.435	21.121	21.140	21.547	205.989	278.005	252.364	264.790	4.601	4.114	3.645	3.507	
1/28/2019	06:34:43	53.84		4.0912	4.2017	4.2377	4.1473	27.000	27.000	27.000	27.000	---	---	---	25.480	---	21.439	21.124	21.138	21.541	206.040	278.037	252.373	264.787	5.129	3.991	3.954	3.215	
