
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/29/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/29/2019	21:18:37	0.00		3.8068	4.0145	4.3729	3.8874	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.579	20.991	20.208	21.618	225.087	290.616	257.409	250.962	4.982	3.620	4.190	3.723	
1/29/2019	21:18:39	2.45		3.8046	4.0126	4.3727	3.8874	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.585	20.996	20.208	21.618	225.122	290.654	257.437	251.000	4.745	3.347	4.089	3.593	
1/29/2019	21:18:41	3.75		3.8031	4.0114	4.3750	3.8861	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.589	20.999	20.203	21.622	225.153	290.705	257.431	251.036	5.061	3.280	3.891	3.849	
1/29/2019	21:18:42	5.19		3.8018	4.0107	4.3764	3.8840	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.593	21.001	20.199	21.628	225.188	290.727	257.394	251.066	5.235	3.299	3.602	4.430	
1/29/2019	21:18:43	6.56		3.8012	4.0121	4.3751	3.8826	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.594	20.997	20.202	21.632	225.276	290.751	257.388	251.072	5.155	3.430	3.964	4.257	
1/29/2019	21:18:45	8.03		3.7990	4.0121	4.3726	3.8818	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.600	20.997	20.208	21.634	225.307	290.761	257.379	251.075	5.206	3.415	3.991	4.186	
1/29/2019	21:18:46	9.48		3.7976	4.0132	4.3740	3.8823	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.604	20.995	20.205	21.633	225.347	290.767	257.416	251.108	5.548	3.414	4.084	3.629	
1/29/2019	21:18:48	11.56		3.7945	4.0114	4.3756	3.8823	29.500	29.500	29.500	29.500	---	---	---	26.084	---	21.612	20.999	20.201	21.633	225.358	290.789	257.423	251.139	5.511	3.421	3.873	3.675	
1/29/2019	21:18:50	13.17		3.7950	4.0104	4.3764	3.8827	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.611	21.002	20.199	21.632	225.396	290.807	257.446	251.189	5.083	3.421	4.195	3.648	
1/29/2019	21:18:51	14.55		3.7927	4.0090	4.3750	3.8809	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.617	21.006	20.203	21.637	225.461	290.853	257.443	251.214	4.485	3.563	4.044	3.874	
1/29/2019	21:18:53	16.03		3.7928	4.0086	4.3733	3.8796	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.617	21.007	20.207	21.641	225.510	290.855	257.444	251.243	4.913	3.422	3.847	3.795	
1/29/2019	21:18:54	17.33		3.7911	4.0077	4.3744	3.8782	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.622	21.009	20.204	21.645	225.566	290.885	257.423	251.281	4.898	3.737	3.478	3.886	
1/29/2019	21:18:56	18.72		3.7901	4.0078	4.3736	3.8779	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.624	21.009	20.206	21.645	225.595	290.878	257.388	251.342	5.126	3.571	3.433	3.904	
1/29/2019	21:18:57	20.27		3.7879	4.0077	4.3744	3.8762	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.630	21.009	20.204	21.650	225.627	290.900	257.381	251.409	5.014	3.502	3.624	3.780	
1/29/2019	21:18:59	21.92		3.7886	4.0095	4.3714	3.8744	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.629	21.004	20.211	21.656	225.630	290.888	257.401	251.459	4.783	3.337	3.820	3.708	
1/29/2019	21:19:00	23.37		3.7892	4.0081	4.3709	3.8723	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.627	21.008	20.212	21.662	225.615	290.908	257.440	251.499	4.620	3.677	3.813	4.035	
1/29/2019	21:19:02	24.92		3.7899	4.0071	4.3707	3.8725	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.625	21.011	20.213	21.661	225.589	290.896	257.451	251.520	4.310	4.112	3.805	3.935	
1/29/2019	21:19:03	26.45		3.7895	4.0063	4.3729	3.8730	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.626	21.013	20.208	21.660	225.621	290.915	257.453	251.564	4.845	4.004	4.114	4.227	
1/29/2019	21:19:05	27.94		3.7897	4.0070	4.3722	3.8715	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.626	21.011	20.209	21.664	225.647	290.947	257.456	251.574	5.106	3.856	4.404	3.747	
1/29/2019	21:19:06	29.31		3.7883	4.0063	4.3710	3.8694	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.629	21.013	20.212	21.670	225.689	291.000	257.485	251.609	5.619	3.611	4.343	3.993	
1/29/2019	21:19:07	30.69		3.7865	4.0045	4.3705	3.8678	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.634	21.017	20.213	21.675	225.706	291.033	257.512	251.644	5.063	3.899	4.035	3.766	
1/29/2019	21:19:09	32.20		3.7840	4.0044	4.3707	3.8679	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.641	21.018	20.213	21.675	225.758	291.038	257.534	251.700	5.216	3.712	3.789	3.938	
1/29/2019	21:19:10	33.69		3.7822	4.0037	4.3710	3.8671	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.646	21.020	20.212	21.677	225.771	291.033	257.542	251.746	4.713	3.764	3.814	3.884	
1/29/2019	21:19:12	35.34		3.7832	4.0040	4.3702	3.8672	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.643	21.019	20.214	21.677	225.849	291.057	257.562	251.764	5.045	3.431	3.835	3.907	
1/29/2019	21:19:13	36.69		3.7813	4.0040	4.3708	3.8655	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.648	21.019	20.213	21.682	225.889	291.060	257.595	251.811	4.816	3.433	4.077	3.895	
1/29/2019	21:19:15	38.11		3.7804	4.0058	4.3684	3.8655	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.651	21.014	20.218	21.682	225.939	291.092	257.625	251.863	5.116	3.644	4.293	3.769	
1/29/2019	21:19:16	39.44		3.7767	4.0037	4.3675	3.8637	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.661	21.020	20.220	21.687	225.950	291.102	257.672	251.918	4.830	3.830	4.231	3.714	
1/29/2019	21:19:18	40.78		3.7757	4.0022	4.3645	3.8623	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.664	21.024	20.227	21.691	225.993	291.125	257.660	251.930	4.982	3.996	4.020	3.699	
1/29/2019	21:19:19	42.09		3.7751	4.0011	4.3651	3.8607	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.665	21.026	20.226	21.696	226.053	291.132	257.678	251.935	4.974	3.563	3.824	3.900	
1/29/2019	21:19:20	43.59		3.7735	4.0021	4.3635	3.8607	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.670	21.024	20.230	21.696	226.096	291.145	257.667	251.949	4.959	3.569	3.710	3.709	
1/29/2019	21:19:22	45.02		3.7721	4.0011	4.3647	3.8621	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.674	21.026	20.227	21.692	226.091	291.169	257.690	251.963	4.526	3.573	3.706	4.062	
1/29/2019	21:19:23	46.53		3.7730	4.0013	4.3643	3.8617	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.671	21.026	20.228	21.693	226.122	291.176	257.693	251.981	4.542	3.554	3.757	4.077	
1/29/2019	21:19:25	47.84		3.7721	4.0001	4.3661	3.8613	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.674	21.029	20.224	21.694	226.156	291.197	257.683	251.988	4.825	3.383	3.757	4.562	
1/29/2019	21:19:26	49.23		3.7722	3.9998	4.3657	3.8601	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.673	21.030	20.225	21.697	226.200	291.205	257.707	251.968	4.928	3.387	3.795	4.396	
1/29/2019	21:19:27	50.64		3.7671	3.9971	4.3652	3.8613	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.687	21.037	20.226	21.694	226.211	291.219	257.723	251.933	5.253	3.501	3.819	4.241	
1/29/2019	21:19:29	51.91		3.7663	3.9970	4.3638	3.8597	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.689	21.037	20.229	21.699	226.218	291.235	257.756	251.928	5.574	3.496	3.986	3.755	
1/29/2019	21:19:30	53.31		3.7656	3.9967	4.3654	3.8611	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.691	21.038	20.225	21.694	226.249	291.262	257.773	251.934	6.098	3.549	4.071	3.295	
1/29/2019	21:19:32	55.16		3.7661	3.9974	4.3654	3.8600	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.690	21.036	20.225	21.698	226.292	291.310	257.763	251.962	6.140	3.755	3.884	3.456	
1/29/2019	21:19:34	56.73		3.7640	3.9966	4.3662	3.8611	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.696	21.038	20.223	21.694	226.313	291.335	257.763	251.959	5.528	3.929	3.816	3.544	
1/29/2019	21:19:35	58.22		3.7639	3.9975	4.3650	3.8592	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.696	21.036	20.226	21.700	226.358	291.347	257.757	251.977	5.511	3.874	4.143	3.587	
1/29/2019	21:19:36	59.69		3.7643	3.9960	4.3675	3.8606	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.695	21.040	20.220	21.696	226.365	291.333	257.793	252.035	5.306	3.597	4.421	3.503	
1/29/2019	21:19:38	61.47		3.7650	3.9960	4.3657	3.8591	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.693	21.040	20.225	21.700	226.398	291.346	257.814	252.095	5.342	3.594	4.509	3.640	
1/29/2019	21:19:40	63.42		3.7646	3.9971	4.3670	3.8577	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.694	21.037	20.222	21.704	226.380	291.350	257.835	252.182	4.988	3.578	4.077	3.865	
1/29/2019	21:19:42	64.84		3.7665	3.9988	4.3655	3.8551	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.689	21.033	20.225	21.712	226.381	291.394	257.814	252.213	5.090	3.564	3.920	3.899	
1/29/2019	21:19:43	66.69		3.7668	3.9991	4.3661	3.8537	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.688	21.032	20.224	21.716	226.346	291.417	257.814	252.245	5.341	3.374	3.917	3.878	
1/29/2019	21:19:45	68.28		3.7681	3.9959	4.3637	3.8529	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.685	21.040	20.229	21.718	226.308	291.468	257.803	252.229	5.273	3.235	4.347	3.863	
1/29/2019	21:19:46	69.45		3.7656	3.9947	4.3633	3.8565	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.691	21.043	20.230	21.708	226.333	291.479	257.832	252.223	4.842	3.327	4.159	3.886	
1/29/2019	21:19:48	71.05		3.7644	3.9933	4.3613	3.8559	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.695	21.047	20.235	21.710	226.383	291.514	257.841	252.270	5.078	3.516	4.431	4.022	
1/29/2019	21:19:50	72.75		3.7616	3.9932	4.3620	3.8562	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.702	21.047	20.233	21.709	226.491	291.513	257.834	252.328	5.313	3.484	4.424	3.804	
1/29/2019	21:19:51	74.16		3.7620	3.9932	4.3606	3.8524	29.500	29.500	29.500	29.500	---	---	---	26.084	---	21.701	21.047	20.237	21.720	226.531	291.539	257.825	252.339	5.196	3.576	4.467	4.020	
1/29/2019	21:19:52	75.69		3.7610	3.9926	4.3628	3.8520	29.500	29.500	29.500	29.500	---	---	---	26.084	---	21.704	21.049	20.231	21.721	226.582	291.508	257.798	252.324	5.081	3.371	4.384	3.677	
1/29/2019	21:19:54	77.19		3.7597	3.9939	4.3635	3.8507	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.708	21.046	20.230	21.725	226.620	291.529	257.812	252.306	5.254	3.488	4.287	3.712	
1/29/2019	21:19:55	78.41		3.7584	3.9930	4.3640	3.8487	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.711	21.048	20.229	21.731	226.662	291.559	257.786	252.355	5.492	3.466	4.387	3.729	
1/29/2019	21:19:57	79.83		3.7582	3.9936	4.3640	3.8489	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.712	21.046	20.229	21.730	226.682	291.600	257.782	252.371	5.276	3.859	4.052	4.268	
1/29/2019	21:19:58	81.44		3.7582	3.9928	4.3627	3.8495	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.712	21.048	20.232	21.728	226.715	291.609	257.797	252.401	5.135	3.792	3.866	4.256	
1/29/2019	21:20:00	82.78		3.7566	3.9930	4.3623	3.8487	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.716	21.048	20.233	21.731	226.739	291.609	257.837	252.386	5.095	3.733	3.990	3.873	
1/29/2019	21:20:01	84.27		3.7558	3.9928	4.3599	3.8472	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.718	21.048	20.238	21.735	226.793	291.595	257.889	252.440	5.194	3.365	4.157	3.775	
1/29/2019	21:20:03	86.11		3.7533	3.9912	4.3595	3.8453	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.725	21.053	20.239	21.741	226.845	291.626	257.926	252.494	4.723	3.486	4.032	3.986	
1/29/2019	21:20:04	87.69		3.7494	3.9901	4.3579	3.8450	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.736	21.056	20.243	21.742	226.922	291.642	257.946	252.576	4.787	3.465	4.209	3.867	
1/29/2019	21:20:06	89.09		3.7436	3.9876	4.3579	3.8467	29.500	29.500	29.500	29.500	---	---	---	26.084	---	21.752	21.062	20.243	21.737	226.977	291.663	257.947	252.571	4.494	3.620	4.033	3.711	
1/29/2019	21:20:08	90.87		3.7414	3.9873	4.3572	3.8474	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.758	21.063	20.245	21.735	227.007	291.689	257.941	252.560	4.588	3.724	4.166	3.503	
1/29/2019	21:20:09	92.19		3.7403	3.9863	4.3571	3.8482	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.761	21.066	20.245	21.732	227.024	291.711	257.936	252.570	4.359	3.800	3.764	3.902	
1/29/2019	21:20:11	93.91		3.7426	3.9863	4.3576	3.8469	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.755	21.066	20.244	21.736	227.060	291.760	257.959	252.565	4.631	3.830	3.789	3.674	
1/29/2019	21:20:12	95.64		3.7429	3.9871	4.3579	3.8475	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.754	21.064	20.243	21.734	227.101	291.773	257.966	252.561	4.983	3.560	3.563	3.892	
1/29/2019	21:20:14	97.05		3.7431	3.9867	4.3571	3.8460	29.500	29.500	29.500	29.500	---	---	---	26.084	---	21.753	21.065	20.245	21.739	227.152	291.810	257.993	252.539	5.313	3.562	3.604	4.021	
1/29/2019	21:20:15	98.69		3.7410	3.9882	4.3562	3.8461	29.500	29.500	29.500	29.500	---	---	---	26.080	---	21.759	21.061	20.247	21.738	227.160	291.812	257.987	252.559	5.221	3.548	3.501	3.914	
1/29/2019	21:20:17	100.33		3.7407	3.9879	4.3565	3.8448	29.500	29.500	29.500	29.500	---	---	---	26.084	---	21.760	21.061	20.246	21.742	227.164	291.805	257.998	252.589	5.323	3.674	4.005	3.711	
1/29/2019	21:20:19	101.81		3.7414	3.9884	4.3565	3.8442	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.758	21.060	20.246	21.744	227.161	291.775	257.998	252.618	5.243	3.584	4.120	3.183	
1/29/2019	21:20:20	103.28		3.7423	3.9878	4.3562	3.8433	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.756	21.062	20.247	21.747	227.196	291.780	258.019	252.645	5.140	3.847	4.359	3.337	
1/29/2019	21:20:22	105.14		3.7418	3.9863	4.3538	3.8424	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.757	21.066	20.253	21.749	227.234	291.800	258.023	252.677	5.257	3.869	3.863	3.796	
1/29/2019	21:20:24	106.91		3.7380	3.9861	4.3550	3.8431	29.500	29.500	29.500	29.500	---	---	---	26.091	---	21.767	21.066	20.250	21.747	227.268	291.836	258.022	252.693	5.024	4.216	3.680	4.046	
1/29/2019	21:20:25	108.36		3.7338	3.9854	4.3547	3.8425	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.779	21.068	20.251	21.749	227.331	291.856	258.034	252.740	5.339	3.775	3.654	4.433	
1/29/2019	21:20:27	110.12		3.7317	3.9864	4.3548	3.8421	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.785	21.065	20.250	21.750	227.372	291.879	258.046	252.747	4.988	3.609	3.976	3.889	
1/29/2019	21:20:28	111.39		3.7314	3.9848	4.3541	3.8417	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.786	21.070	20.252	21.751	227.403	291.897	258.071	252.763	5.092	3.360	3.975	3.948	
1/29/2019	21:20:30	113.16		3.7316	3.9834	4.3555	3.8407	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.785	21.073	20.249	21.754	227.419	291.943	258.073	252.740	4.683	3.600	3.797	3.425	
1/29/2019	21:20:32	114.78		3.7303	3.9814	4.3548	3.8402	29.500	29.500	29.500	29.500	---	---	---	26.087	---	21.789	21.079	20.250	21.756	227.459	291.964	258.094	252.780	4.569	3.690	3.585	3.815	
1/29/2019	21:20:33	116.22		3.7308	3.9824	4.3552	3.8389	29.500	29.500	29.500	29.500	---	---	---	26.084	---	21.787	21.076	20.249	21.760	227.491	291.977	258.095	252.846	4.413	3.767	3.621	4.059	
1/29/2019	21:20:35	117.83		3.7315	3.9825	4.3534	3.8381	29.500	29.500	29.500	29.500	---	---	---	26.084	---	21.785	21.076	20.254	21.762	227.532	291.980	258.102	252.920	4.871	3.580	3.798	4.587	
1/29/2019	21:20:37	119.81		3.7314	3.9822	4.3544	3.8364	29.500	29.500	29.500	29.500	---	---	---	26.080	---	21.786	21.077	20.251	21.767	227.517	292.026	258.102	252.956	5.228	3.570	4.177	4.268	
1/29/2019	21:20:38	121.08		3.7303	3.9817	4.3540	3.8361	29.500	29.500	29.500	29.500	---	---	---	26.080	---	21.789	21.078	20.252	21.768	227.499	292.065	258.123	252.971	5.327	3.744	4.208	3.995	
1/29/2019	21:20:40	122.78		3.7326	3.9813	4.3530	3.8349	29.500	29.500	29.500	29.500	---	---	---	26.080	---	21.782	21.079	20.255	21.771	227.451	292.098	258.155	253.027	5.044	3.883	4.353	4.033	
1/29/2019	21:20:41	124.44		3.7331	3.9800	4.3523	3.8346	29.500	29.500	29.500	29.500	---	---	---	26.080	---	21.781	21.082	20.256	21.772	227.437	292.103	258.150	253.073	4.565	3.945	3.872	4.295	
1/29/2019	21:20:43	126.00		3.7336	3.9798	4.3507	3.8331	29.500	29.500	29.500	29.500	---	---	---	26.080	---	21.780	21.083	20.260	21.777	227.475	292.085	258.151	253.082	5.126	3.542	4.003	4.046	
