
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/29/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/29/2019	22:28:07	0.00		3.3451	4.1010	3.4756	4.0154	32.000	32.000	32.000	32.000	1014.10	26.537	---	---	---	22.430	20.540	22.178	20.851	276.869	280.832	284.935	253.807	6.815	8.029	6.428	5.748	
1/29/2019	22:28:09	2.28		3.3433	4.1017	3.4749	4.0168	32.000	32.000	32.000	32.000	1014.05	26.549	---	---	---	22.435	20.538	22.180	20.848	276.911	280.864	285.042	253.806	6.825	8.018	6.451	5.746	
1/29/2019	22:28:11	4.33		3.3420	4.1029	3.4735	4.0174	32.000	32.000	32.000	32.000	1014.08	26.549	---	---	---	22.439	20.535	22.184	20.846	276.984	280.882	285.143	253.825	6.841	8.016	6.479	5.740	
1/29/2019	22:28:12	5.42		3.3417	4.1032	3.4726	4.0152	32.000	32.000	32.000	32.000	1014.10	26.549	---	---	---	22.440	20.534	22.186	20.852	277.047	280.882	285.215	253.892	6.857	8.036	6.487	5.762	
1/29/2019	22:28:14	6.73		3.3419	4.1036	3.4693	4.0138	32.000	32.000	32.000	32.000	1014.15	26.537	---	---	---	22.439	20.533	22.195	20.855	277.108	280.881	285.290	253.946	6.866	8.071	6.468	5.762	
1/29/2019	22:28:15	8.12		3.3404	4.1019	3.4662	4.0138	32.000	32.000	32.000	32.000	1014.14	26.537	---	---	---	22.444	20.537	22.204	20.855	277.140	280.866	285.355	253.988	6.852	8.046	6.464	5.763	
1/29/2019	22:28:16	9.31		3.3397	4.1009	3.4650	4.0144	32.000	32.000	32.000	32.000	1014.16	26.524	---	---	---	22.446	20.540	22.207	20.854	277.170	280.860	285.415	254.015	6.852	8.042	6.473	5.729	
1/29/2019	22:28:18	10.61		3.3374	4.0996	3.4636	4.0132	32.000	32.000	32.000	32.000	1014.13	26.524	---	---	---	22.452	20.543	22.211	20.857	277.204	280.859	285.466	254.051	6.862	8.031	6.482	5.757	
1/29/2019	22:28:19	11.81		3.3384	4.0990	3.4635	4.0113	32.000	32.000	32.000	32.000	1014.17	26.524	---	---	---	22.449	20.545	22.211	20.861	277.250	280.877	285.501	254.088	6.862	8.048	6.507	5.773	
1/29/2019	22:28:20	13.14		3.3364	4.0988	3.4624	4.0091	32.000	32.000	32.000	32.000	1014.13	26.524	---	---	---	22.455	20.545	22.214	20.867	277.293	280.862	285.561	254.113	6.835	8.028	6.508	5.800	
1/29/2019	22:28:21	14.47		3.3373	4.0990	3.4616	4.0103	32.000	32.000	32.000	32.000	1014.14	26.524	---	---	---	22.452	20.545	22.217	20.864	277.333	280.852	285.642	254.115	6.780	7.997	6.520	5.797	
1/29/2019	22:28:23	15.97		3.3329	4.0997	3.4595	4.0093	32.000	32.000	32.000	32.000	1014.11	26.524	---	---	---	22.465	20.543	22.223	20.866	277.390	280.871	285.736	254.093	6.768	7.982	6.498	5.789	
1/29/2019	22:28:24	17.27		3.3324	4.0988	3.4562	4.0100	32.000	32.000	32.000	32.000	1014.14	26.511	---	---	---	22.466	20.545	22.232	20.865	277.453	280.914	285.806	254.052	6.786	8.004	6.512	5.794	
1/29/2019	22:28:26	18.52		3.3300	4.0978	3.4543	4.0105	32.000	32.000	32.000	32.000	1014.15	26.498	---	---	---	22.473	20.548	22.237	20.863	277.495	280.931	285.851	254.017	6.863	7.997	6.521	5.773	
1/29/2019	22:28:27	19.80		3.3298	4.0981	3.4536	4.0115	32.000	32.000	32.000	32.000	1014.14	26.485	---	---	---	22.473	20.547	22.239	20.861	277.507	280.949	285.880	253.986	6.903	7.996	6.504	5.777	
1/29/2019	22:28:28	21.06		3.3310	4.0988	3.4537	4.0112	32.000	32.000	32.000	32.000	1014.10	26.485	---	---	---	22.470	20.545	22.239	20.862	277.483	280.944	285.928	254.005	6.897	7.983	6.512	5.753	
1/29/2019	22:28:29	22.42		3.3319	4.0988	3.4529	4.0101	32.000	32.000	32.000	32.000	1014.10	26.485	---	---	---	22.467	20.545	22.241	20.864	277.479	280.988	285.958	254.037	6.862	8.015	6.491	5.782	
1/29/2019	22:28:31	23.64		3.3326	4.0972	3.4523	4.0103	32.000	32.000	32.000	32.000	1014.12	26.485	---	---	---	22.465	20.550	22.243	20.864	277.491	281.001	286.002	254.073	6.827	8.016	6.532	5.785	
1/29/2019	22:28:32	24.95		3.3300	4.0955	3.4505	4.0117	32.000	32.000	32.000	32.000	1014.12	26.485	---	---	---	22.473	20.554	22.248	20.860	277.541	281.019	286.024	254.077	6.810	8.040	6.519	5.779	
1/29/2019	22:28:33	26.42		3.3265	4.0954	3.4494	4.0103	32.000	32.000	32.000	32.000	1014.13	26.457	---	---	---	22.482	20.554	22.251	20.864	277.618	281.047	286.068	254.078	6.793	8.030	6.529	5.773	
1/29/2019	22:28:35	27.73		3.3217	4.0959	3.4478	4.0099	32.000	32.000	32.000	32.000	1014.12	26.430	---	---	---	22.496	20.553	22.256	20.865	277.739	281.075	286.119	254.089	6.817	8.052	6.490	5.757	
1/29/2019	22:28:36	29.06		3.3187	4.0967	3.4456	4.0104	32.000	32.000	32.000	32.000	1014.13	26.402	---	---	---	22.504	20.551	22.262	20.864	277.846	281.112	286.190	254.090	6.853	8.040	6.478	5.795	
1/29/2019	22:28:37	30.37		3.3160	4.0972	3.4447	4.0109	32.000	32.000	32.000	32.000	1014.10	26.402	---	---	---	22.512	20.550	22.265	20.862	277.943	281.084	286.268	254.122	6.856	8.028	6.450	5.797	
1/29/2019	22:28:39	31.64		3.3150	4.0962	3.4434	4.0101	32.000	32.000	32.000	32.000	1014.10	26.402	---	---	---	22.515	20.552	22.268	20.864	278.000	281.062	286.336	254.133	6.842	8.023	6.442	5.796	
1/29/2019	22:28:40	32.92		3.3138	4.0955	3.4430	4.0084	32.000	32.000	32.000	32.000	1014.12	26.402	---	---	---	22.518	20.554	22.269	20.869	278.047	281.014	286.420	254.150	6.828	8.001	6.441	5.756	
1/29/2019	22:28:41	34.19		3.3131	4.0960	3.4408	4.0088	32.000	32.000	32.000	32.000	1014.10	26.402	---	---	---	22.520	20.553	22.276	20.868	278.089	281.029	286.493	254.113	6.830	7.997	6.488	5.732	
1/29/2019	22:28:43	35.50		3.3122	4.0972	3.4371	4.0096	32.000	32.000	32.000	32.000	1014.10	26.402	---	---	---	22.523	20.550	22.286	20.866	278.120	281.021	286.579	254.100	6.842	7.986	6.488	5.755	
1/29/2019	22:28:44	36.91		3.3118	4.0973	3.4329	4.0089	32.000	32.000	32.000	32.000	1014.09	26.402	---	---	---	22.524	20.549	22.298	20.867	278.135	281.010	286.633	254.104	6.836	7.983	6.513	5.762	
1/29/2019	22:28:45	38.17		3.3125	4.0967	3.4302	4.0080	32.000	32.000	32.000	32.000	1014.10	26.402	---	---	---	22.522	20.551	22.306	20.870	278.132	281.001	286.691	254.125	6.822	7.976	6.497	5.745	
1/29/2019	22:28:46	39.44		3.3149	4.0960	3.4296	4.0075	32.000	32.000	32.000	32.000	1014.10	26.402	---	---	---	22.515	20.553	22.307	20.871	278.150	280.991	286.741	254.153	6.824	7.992	6.507	5.759	
1/29/2019	22:28:48	40.67		3.3135	4.0958	3.4295	4.0072	32.000	32.000	32.000	32.000	1014.08	26.402	---	---	---	22.519	20.553	22.308	20.872	278.206	281.003	286.839	254.168	6.814	7.999	6.484	5.762	
1/29/2019	22:28:49	41.94		3.3123	4.0964	3.4281	4.0059	32.000	32.000	32.000	32.000	1014.10	26.402	---	---	---	22.522	20.552	22.312	20.875	278.264	281.013	286.912	254.185	6.833	8.022	6.468	5.778	
1/29/2019	22:28:50	43.19		3.3085	4.0959	3.4263	4.0035	32.000	32.000	32.000	32.000	1014.11	26.402	---	---	---	22.533	20.553	22.317	20.881	278.342	281.015	286.999	254.195	6.825	8.001	6.483	5.759	
1/29/2019	22:28:51	44.45		3.3072	4.0971	3.4247	4.0040	32.000	32.000	32.000	32.000	1014.11	26.402	---	---	---	22.537	20.550	22.321	20.880	278.391	281.047	287.052	254.227	6.859	8.011	6.477	5.751	
1/29/2019	22:28:53	45.70		3.3045	4.0959	3.4245	4.0042	32.000	32.000	32.000	32.000	1014.12	26.402	---	---	---	22.544	20.553	22.322	20.879	278.454	281.058	287.122	254.264	6.845	7.992	6.495	5.781	
1/29/2019	22:28:54	47.02		3.3026	4.0953	3.4234	4.0055	32.000	32.000	32.000	32.000	1014.14	26.402	---	---	---	22.550	20.555	22.325	20.876	278.481	281.073	287.183	254.301	6.823	8.011	6.517	5.781	
1/29/2019	22:28:55	48.36		3.3021	4.0942	3.4225	4.0063	32.000	32.000	32.000	32.000	1014.14	26.402	---	---	---	22.551	20.557	22.328	20.874	278.510	281.108	287.224	254.320	6.802	8.006	6.550	5.784	
1/29/2019	22:28:57	49.72		3.3025	4.0940	3.4218	4.0079	32.000	32.000	32.000	32.000	1014.18	26.389	---	---	---	22.550	20.558	22.330	20.870	278.538	281.118	287.264	254.337	6.815	8.011	6.532	5.749	
1/29/2019	22:28:58	51.12		3.3029	4.0946	3.4207	4.0070	32.000	32.000	32.000	32.000	1014.12	26.376	---	---	---	22.549	20.556	22.333	20.872	278.620	281.177	287.316	254.353	6.830	8.004	6.496	5.739	
1/29/2019	22:29:00	52.61		3.2988	4.0939	3.4196	4.0044	32.000	32.000	32.000	32.000	1014.17	26.363	---	---	---	22.560	20.558	22.336	20.879	278.692	281.180	287.363	254.362	6.844	8.002	6.461	5.734	
1/29/2019	22:29:01	53.94		3.2964	4.0937	3.4173	4.0019	32.000	32.000	32.000	32.000	1014.14	26.363	---	---	---	22.567	20.559	22.343	20.885	278.795	281.212	287.425	254.371	6.869	8.001	6.448	5.733	
1/29/2019	22:29:03	55.83		3.2933	4.0939	3.4159	4.0003	32.000	32.000	32.000	32.000	1014.14	26.363	---	---	---	22.576	20.558	22.347	20.889	278.857	281.196	287.482	254.377	6.890	8.003	6.472	5.746	
1/29/2019	22:29:04	57.06		3.2914	4.0942	3.4158	4.0003	32.000	32.000	32.000	32.000	1014.14	26.363	---	---	---	22.581	20.557	22.347	20.889	278.948	281.190	287.572	254.391	6.887	8.014	6.500	5.759	
1/29/2019	22:29:05	58.37		3.2882	4.0937	3.4145	3.9990	32.000	32.000	32.000	32.000	1014.14	26.363	---	---	---	22.590	20.559	22.351	20.892	279.001	281.158	287.643	254.424	6.876	8.009	6.528	5.758	
1/29/2019	22:29:07	59.59		3.2856	4.0917	3.4141	3.9990	32.000	32.000	32.000	32.000	1014.17	26.350	---	---	---	22.598	20.564	22.352	20.892	279.069	281.189	287.702	254.457	6.863	7.996	6.510	5.747	
1/29/2019	22:29:08	60.87		3.2853	4.0918	3.4117	3.9974	32.000	32.000	32.000	32.000	1014.12	26.338	---	---	---	22.599	20.564	22.359	20.896	279.125	281.188	287.758	254.482	6.900	7.988	6.487	5.726	
1/29/2019	22:29:09	62.12		3.2848	4.0921	3.4104	3.9978	32.000	32.000	32.000	32.000	1014.12	26.325	---	---	---	22.600	20.563	22.362	20.895	279.157	281.260	287.816	254.492	6.874	8.007	6.493	5.728	
1/29/2019	22:29:10	63.39		3.2840	4.0936	3.4071	3.9961	32.000	32.000	32.000	32.000	1014.10	26.325	---	---	---	22.602	20.559	22.372	20.900	279.185	281.263	287.889	254.515	6.882	8.041	6.513	5.733	
1/29/2019	22:29:12	64.64		3.2831	4.0921	3.4059	3.9936	32.000	32.000	32.000	32.000	1014.11	26.325	---	---	---	22.605	20.563	22.375	20.906	279.206	281.318	287.930	254.552	6.861	8.070	6.506	5.737	
1/29/2019	22:29:13	65.92		3.2822	4.0918	3.4048	3.9920	32.000	32.000	32.000	32.000	1014.11	26.325	---	---	---	22.607	20.564	22.378	20.910	279.283	281.262	287.973	254.587	6.855	8.050	6.493	5.742	
1/29/2019	22:29:14	67.17		3.2824	4.0905	3.4052	3.9926	32.000	32.000	32.000	32.000	1014.11	26.325	---	---	---	22.607	20.567	22.377	20.908	279.372	281.227	288.008	254.584	6.848	8.012	6.468	5.726	
1/29/2019	22:29:15	68.42		3.2791	4.0919	3.4045	3.9945	32.000	32.000	32.000	32.000	1014.13	26.325	---	---	---	22.616	20.563	22.379	20.904	279.483	281.166	288.062	254.560	6.867	7.978	6.505	5.737	
1/29/2019	22:29:17	69.73		3.2761	4.0916	3.4026	3.9969	32.000	32.000	32.000	32.000	1014.09	26.325	---	---	---	22.625	20.564	22.385	20.898	279.600	281.194	288.128	254.515	6.850	7.972	6.498	5.733	
1/29/2019	22:29:18	70.95		3.2727	4.0922	3.4005	3.9997	32.000	32.000	32.000	32.000	1014.12	26.325	---	---	---	22.634	20.563	22.391	20.891	279.682	281.199	288.182	254.502	6.827	8.020	6.503	5.761	
