
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/29/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/29/2019	22:25:06	2.05		3.7426	4.3549	3.8743	4.2929	29.500	29.500	29.500	29.500	1014.09	26.211	---	---	---	21.911	20.489	21.668	20.740	269.645	279.912	277.564	252.245	6.854	8.035	6.487	5.746	
1/29/2019	22:25:07	3.78		3.7414	4.3559	3.8711	4.2924	29.500	29.500	29.500	29.500	1014.08	26.211	---	---	---	21.914	20.487	21.676	20.742	269.700	279.878	277.631	252.237	6.875	8.049	6.466	5.759	
1/29/2019	22:25:09	5.11		3.7395	4.3540	3.8687	4.2897	29.500	29.500	29.500	29.500	1014.11	26.211	---	---	---	21.919	20.491	21.682	20.748	269.755	279.919	277.716	252.228	6.883	8.048	6.453	5.744	
1/29/2019	22:25:10	6.47		3.7394	4.3531	3.8673	4.2905	29.500	29.500	29.500	29.500	1014.12	26.211	---	---	---	21.919	20.494	21.685	20.746	269.774	279.932	277.786	252.257	6.864	8.023	6.439	5.743	
1/29/2019	22:25:11	7.78		3.7392	4.3513	3.8656	4.2880	29.500	29.500	29.500	29.500	1014.15	26.211	---	---	---	21.920	20.498	21.690	20.752	269.793	279.956	277.876	252.265	6.861	8.041	6.456	5.726	
1/29/2019	22:25:13	9.23		3.7389	4.3525	3.8628	4.2872	29.500	29.500	29.500	29.500	1014.13	26.211	---	---	---	21.921	20.495	21.697	20.754	269.793	279.973	277.907	252.313	6.879	8.054	6.478	5.752	
1/29/2019	22:25:14	10.44		3.7387	4.3528	3.8597	4.2871	29.500	29.500	29.500	29.500	1014.15	26.211	---	---	---	21.921	20.494	21.704	20.754	269.790	280.019	277.947	252.317	6.883	8.068	6.477	5.777	
1/29/2019	22:25:15	11.70		3.7366	4.3515	3.8607	4.2884	29.500	29.500	29.500	29.500	1014.12	26.211	---	---	---	21.926	20.498	21.702	20.751	269.828	280.088	277.964	252.353	6.889	8.047	6.483	5.796	
1/29/2019	22:25:17	13.00		3.7361	4.3498	3.8588	4.2907	29.500	29.500	29.500	29.500	1014.15	26.224	---	---	---	21.928	20.502	21.707	20.746	269.921	280.153	278.004	252.320	6.851	8.034	6.485	5.789	
1/29/2019	22:25:18	14.53		3.7318	4.3488	3.8587	4.2914	29.500	29.500	29.500	29.500	1014.15	26.236	---	---	---	21.938	20.504	21.707	20.744	270.032	280.222	278.079	252.302	6.877	8.013	6.469	5.781	
1/29/2019	22:25:20	15.98		3.7290	4.3473	3.8537	4.2935	29.500	29.500	29.500	29.500	1014.17	26.249	---	---	---	21.945	20.508	21.720	20.739	270.150	280.257	278.152	252.290	6.873	8.007	6.465	5.784	
1/29/2019	22:25:21	17.47		3.7250	4.3467	3.8521	4.2925	29.500	29.500	29.500	29.500	1014.13	26.249	---	---	---	21.955	20.509	21.724	20.741	270.219	280.292	278.232	252.313	6.888	8.019	6.468	5.815	
1/29/2019	22:25:23	18.80		3.7242	4.3456	3.8485	4.2912	29.500	29.500	29.500	29.500	1014.13	26.249	---	---	---	21.957	20.512	21.733	20.744	270.294	280.325	278.297	252.324	6.834	8.070	6.516	5.808	
