
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/29/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/29/2019	22:26:53	0.00		3.7784	3.7992	3.2979	3.9415	32.000	32.000	32.000	32.000	---	---	---	25.991	---	21.083	20.986	22.581	20.846	220.639	292.919	292.403	236.831	4.524	3.474	3.994	3.855	
1/29/2019	22:26:55	2.50		3.7787	3.7977	3.2961	3.9401	32.000	32.000	32.000	32.000	---	---	---	25.987	---	21.082	20.990	22.586	20.850	220.668	292.988	292.490	236.894	4.288	3.651	4.223	3.667	
1/29/2019	22:26:57	4.12		3.7784	3.7966	3.2951	3.9394	32.000	32.000	32.000	32.000	---	---	---	25.987	---	21.083	20.993	22.590	20.852	220.690	293.072	292.616	236.949	4.315	3.706	4.198	3.912	
1/29/2019	22:26:58	5.64		3.7794	3.7972	3.2921	3.9382	32.000	32.000	32.000	32.000	---	---	---	25.991	---	21.080	20.992	22.599	20.856	220.699	293.133	292.662	236.948	4.339	3.734	3.938	3.509	
1/29/2019	22:27:00	6.83		3.7799	3.7958	3.2909	3.9375	32.000	32.000	32.000	32.000	---	---	---	25.991	---	21.079	20.996	22.603	20.858	220.712	293.178	292.767	236.977	4.222	3.557	3.768	3.728	
1/29/2019	22:27:01	7.95		3.7796	3.7953	3.2899	3.9391	32.000	32.000	32.000	32.000	---	---	---	25.991	---	21.080	20.997	22.607	20.853	220.755	293.196	292.805	236.991	4.195	3.407	3.783	3.489	
1/29/2019	22:27:02	9.17		3.7762	3.7947	3.2892	3.9380	32.000	32.000	32.000	32.000	---	---	---	25.991	---	21.089	20.999	22.609	20.856	220.778	293.211	292.865	237.031	4.382	3.389	4.214	3.696	
1/29/2019	22:27:03	10.36		3.7741	3.7937	3.2867	3.9375	32.000	32.000	32.000	32.000	---	---	---	25.991	---	21.095	21.001	22.617	20.858	220.824	293.242	292.937	237.040	4.909	3.392	4.814	3.686	
1/29/2019	22:27:04	11.66		3.7757	3.7932	3.2855	3.9339	32.000	32.000	32.000	32.000	---	---	---	25.987	---	21.090	21.003	22.621	20.868	220.823	293.305	293.020	237.079	5.196	3.477	4.667	3.863	
1/29/2019	22:27:06	12.81		3.7761	3.7913	3.2838	3.9366	32.000	32.000	32.000	32.000	---	---	---	25.987	---	21.089	21.008	22.626	20.860	220.849	293.331	293.091	237.095	5.233	3.531	4.168	3.787	
1/29/2019	22:27:07	14.03		3.7771	3.7911	3.2827	3.9361	32.000	32.000	32.000	32.000	---	---	---	25.991	---	21.086	21.009	22.630	20.862	220.844	293.328	293.181	237.118	4.776	3.490	3.799	3.623	
1/29/2019	22:27:08	15.56		3.7743	3.7906	3.2792	3.9378	32.000	32.000	32.000	32.000	---	---	---	25.994	---	21.094	21.010	22.641	20.857	220.867	293.352	293.319	237.126	4.513	3.694	3.649	3.682	
1/29/2019	22:27:10	17.03		3.7736	3.7910	3.2781	3.9364	32.000	32.000	32.000	32.000	---	---	---	25.994	---	21.096	21.009	22.645	20.861	220.907	293.357	293.449	237.154	4.776	3.834	3.621	4.136	
