
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	2/1/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2/1/2019	21:35:24	2.11		4.3948	4.4786	4.2674	4.3607	27.000	27.000	27.000	27.000	---	---	---	26.262	---	20.705	20.450	21.064	20.978	205.286	279.240	268.954	259.450	4.314	3.831	3.971	4.181	
2/1/2019	21:35:26	4.09		4.3942	4.4804	4.2688	4.3632	27.000	27.000	27.000	27.000	---	---	---	26.262	---	20.706	20.446	21.061	20.971	205.272	279.250	268.983	259.365	4.199	3.587	4.010	3.888	
2/1/2019	21:35:28	5.34		4.3931	4.4793	4.2674	4.3653	27.000	27.000	27.000	27.000	---	---	---	26.266	---	20.709	20.449	21.064	20.966	205.247	279.268	268.986	259.315	4.128	3.887	3.847	4.347	
2/1/2019	21:35:29	6.81		4.3931	4.4764	4.2677	4.3663	27.000	27.000	27.000	27.000	---	---	---	26.266	---	20.709	20.455	21.064	20.963	205.237	279.285	269.024	259.222	4.377	3.903	3.732	4.204	
2/1/2019	21:35:31	8.34		4.3910	4.4743	4.2658	4.3671	27.000	27.000	27.000	27.000	---	---	---	26.269	---	20.713	20.460	21.068	20.961	205.259	279.311	269.018	259.162	5.060	3.878	3.561	4.013	
2/1/2019	21:35:32	10.08		4.3925	4.4730	4.2646	4.3673	27.000	27.000	27.000	27.000	---	---	---	26.266	---	20.710	20.463	21.071	20.961	205.298	279.347	269.038	259.119	5.312	3.778	3.720	3.506	
2/1/2019	21:35:35	12.42		4.3922	4.4750	4.2628	4.3705	27.000	27.000	27.000	27.000	---	---	---	26.266	---	20.711	20.459	21.076	20.953	205.358	279.406	269.028	259.082	5.604	3.779	3.650	3.723	
2/1/2019	21:35:36	14.05		4.3931	4.4736	4.2628	4.3736	27.000	27.000	27.000	27.000	---	---	---	26.266	---	20.709	20.462	21.076	20.945	205.369	279.412	269.043	259.050	5.738	3.698	3.671	3.700	
2/1/2019	21:35:38	15.45		4.3914	4.4730	4.2630	4.3744	27.000	27.000	27.000	27.000	---	---	---	26.269	---	20.713	20.463	21.075	20.943	205.374	279.409	269.028	258.993	5.466	3.788	3.660	3.676	
2/1/2019	21:35:39	17.14		4.3855	4.4720	4.2637	4.3753	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.726	20.466	21.073	20.940	205.417	279.380	269.028	258.952	5.629	3.718	4.138	3.386	
2/1/2019	21:35:41	18.59		4.3833	4.4730	4.2628	4.3751	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.731	20.463	21.076	20.941	205.467	279.393	269.015	258.900	5.157	3.767	4.261	3.356	
2/1/2019	21:35:42	19.92		4.3794	4.4740	4.2640	4.3765	27.000	27.000	27.000	27.000	---	---	---	26.269	---	20.740	20.461	21.073	20.937	205.525	279.396	269.026	258.870	5.133	3.823	4.184	3.428	
2/1/2019	21:35:44	21.61		4.3819	4.4750	4.2648	4.3768	27.000	27.000	27.000	27.000	---	---	---	26.269	---	20.735	20.459	21.071	20.937	205.551	279.433	269.033	258.831	4.968	4.014	3.929	3.317	
2/1/2019	21:35:45	23.19		4.3818	4.4726	4.2669	4.3764	27.000	27.000	27.000	27.000	---	---	---	26.269	---	20.735	20.464	21.066	20.938	205.566	279.439	269.038	258.809	4.653	4.028	3.768	4.033	
2/1/2019	21:35:47	24.98		4.3805	4.4702	4.2671	4.3775	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.738	20.470	21.065	20.935	205.576	279.478	269.021	258.794	4.718	3.584	3.839	4.103	
2/1/2019	21:35:49	27.17		4.3836	4.4664	4.2682	4.3778	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.731	20.479	21.062	20.934	205.557	279.515	268.986	258.746	4.427	3.551	4.188	4.023	
2/1/2019	21:35:51	28.67		4.3839	4.4669	4.2701	4.3809	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.730	20.478	21.058	20.926	205.564	279.557	268.939	258.708	4.911	3.464	4.172	3.384	
2/1/2019	21:35:53	30.94		4.3894	4.4664	4.2705	4.3823	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.717	20.479	21.057	20.923	205.544	279.559	268.910	258.661	5.096	3.920	3.945	3.435	
2/1/2019	21:35:54	32.17		4.3843	4.4685	4.2711	4.3836	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.729	20.474	21.055	20.919	205.549	279.584	268.892	258.661	4.786	4.241	3.533	3.629	
2/1/2019	21:35:56	33.52		4.3858	4.4694	4.2703	4.3834	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.726	20.472	21.057	20.920	205.542	279.609	268.924	258.657	4.608	4.223	4.026	3.800	
2/1/2019	21:35:57	35.03		4.3828	4.4706	4.2714	4.3834	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.733	20.469	21.055	20.920	205.563	279.642	268.931	258.628	4.415	3.968	4.072	3.944	
2/1/2019	21:35:59	36.98		4.3848	4.4698	4.2686	4.3825	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.728	20.471	21.061	20.922	205.559	279.639	268.941	258.604	4.703	3.818	3.946	3.965	
2/1/2019	21:36:01	38.48		4.3818	4.4692	4.2686	4.3845	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.735	20.472	21.061	20.917	205.589	279.646	268.952	258.554	4.732	3.752	3.886	4.201	
2/1/2019	21:36:02	40.05		4.3822	4.4688	4.2669	4.3855	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.734	20.473	21.066	20.914	205.607	279.671	268.954	258.502	4.994	3.654	4.073	3.914	
2/1/2019	21:36:04	41.47		4.3790	4.4688	4.2688	4.3875	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.741	20.473	21.061	20.909	205.659	279.685	268.965	258.459	5.006	3.484	4.019	4.251	
2/1/2019	21:36:05	42.55		4.3800	4.4685	4.2674	4.3864	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.739	20.474	21.064	20.912	205.665	279.703	268.947	258.468	4.949	3.566	3.976	3.973	
2/1/2019	21:36:06	44.08		4.3776	4.4674	4.2679	4.3863	27.000	27.000	27.000	27.000	---	---	---	26.277	---	20.745	20.477	21.063	20.912	205.687	279.696	268.923	258.492	5.230	3.617	3.801	4.408	
2/1/2019	21:36:08	45.56		4.3785	4.4678	4.2673	4.3858	27.000	27.000	27.000	27.000	---	---	---	26.277	---	20.743	20.476	21.065	20.914	205.671	279.706	268.899	258.483	5.102	3.479	4.180	3.818	
2/1/2019	21:36:09	46.97		4.3749	4.4672	4.2686	4.3867	27.000	27.000	27.000	27.000	---	---	---	26.280	---	20.751	20.477	21.061	20.911	205.697	279.720	268.885	258.440	5.186	3.394	4.015	3.614	
2/1/2019	21:36:11	48.37		4.3749	4.4674	4.2697	4.3891	27.000	27.000	27.000	27.000	---	---	---	26.277	---	20.751	20.477	21.059	20.905	205.707	279.741	268.900	258.402	4.986	3.238	4.004	3.506	
2/1/2019	21:36:12	49.81		4.3745	4.4658	4.2692	4.3896	27.000	27.000	27.000	27.000	---	---	---	26.277	---	20.752	20.480	21.060	20.904	205.754	279.768	268.890	258.372	5.147	3.335	3.760	3.523	
2/1/2019	21:36:13	51.19		4.3742	4.4648	4.2701	4.3900	27.000	27.000	27.000	27.000	---	---	---	26.277	---	20.753	20.483	21.058	20.903	205.759	279.788	268.879	258.371	5.479	3.396	4.031	3.819	
2/1/2019	21:36:15	52.39		4.3751	4.4630	4.2703	4.3887	27.000	27.000	27.000	27.000	---	---	---	26.280	---	20.751	20.487	21.057	20.906	205.762	279.806	268.866	258.375	5.499	3.325	4.569	3.697	
2/1/2019	21:36:16	53.62		4.3746	4.4616	4.2715	4.3897	27.000	27.000	27.000	27.000	---	---	---	26.284	---	20.752	20.490	21.054	20.904	205.748	279.815	268.881	258.425	5.704	3.318	4.648	3.918	
2/1/2019	21:36:17	54.95		4.3732	4.4623	4.2705	4.3880	27.000	27.000	27.000	27.000	---	---	---	26.280	---	20.755	20.489	21.057	20.908	205.760	279.840	268.869	258.458	5.435	3.273	4.397	3.753	
2/1/2019	21:36:19	56.47		4.3725	4.4633	4.2701	4.3872	27.000	27.000	27.000	27.000	---	---	---	26.277	---	20.757	20.486	21.058	20.910	205.765	279.866	268.868	258.495	5.178	3.289	4.173	4.057	
2/1/2019	21:36:20	57.80		4.3745	4.4634	4.2697	4.3864	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.752	20.486	21.059	20.912	205.788	279.875	268.851	258.477	4.744	3.584	4.041	3.875	
2/1/2019	21:36:22	59.34		4.3764	4.4614	4.2696	4.3883	27.000	27.000	27.000	27.000	---	---	---	26.277	---	20.748	20.491	21.059	20.907	205.807	279.908	268.857	258.418	4.703	3.589	3.943	3.963	
2/1/2019	21:36:23	60.55		4.3723	4.4609	4.2697	4.3889	27.000	27.000	27.000	27.000	---	---	---	26.280	---	20.757	20.492	21.059	20.906	205.849	279.935	268.834	258.358	4.854	3.654	3.789	3.523	
2/1/2019	21:36:24	61.72		4.3706	4.4593	4.2692	4.3884	27.000	27.000	27.000	27.000	---	---	---	26.280	---	20.761	20.496	21.060	20.907	205.860	279.976	268.823	258.346	5.092	3.340	3.733	4.133	
2/1/2019	21:36:25	63.11		4.3705	4.4589	4.2688	4.3896	27.000	27.000	27.000	27.000	---	---	---	26.277	---	20.761	20.497	21.061	20.904	205.849	279.956	268.819	258.360	4.946	3.418	4.034	4.247	
2/1/2019	21:36:27	64.48		4.3713	4.4589	4.2667	4.3922	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.759	20.497	21.066	20.897	205.871	279.956	268.823	258.380	5.258	3.512	3.943	4.077	
2/1/2019	21:36:28	65.80		4.3691	4.4594	4.2686	4.3949	27.000	27.000	27.000	27.000	---	---	---	26.273	---	20.765	20.495	21.061	20.891	205.894	279.953	268.822	258.349	5.054	3.378	4.231	3.634	
