
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	2/1/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2/1/2019	22:33:48	0.00		4.1724	4.4916	1.5066	4.5405	27.000	27.000	27.000	27.000	1019.70	22.002	---	---	---	21.447	20.779	31.135	20.763	260.624	293.483	407.058	239.255	6.839	8.037	6.462	5.815	
2/1/2019	22:33:51	2.52		4.1718	4.4905	1.4958	4.5399	27.000	27.000	27.000	27.000	1019.68	22.035	---	---	---	21.449	20.782	31.196	20.765	260.661	293.491	407.775	239.298	6.849	8.039	6.459	5.784	
2/1/2019	22:33:53	4.27		4.1746	4.4912	1.4835	4.5403	27.000	27.000	27.000	27.000	1019.69	22.058	---	---	---	21.442	20.780	31.265	20.764	260.688	293.502	408.586	239.342	6.816	8.021	6.475	5.779	
2/1/2019	22:33:54	6.09		4.1743	4.4931	1.4750	4.5420	27.000	27.000	27.000	27.000	1019.68	22.063	---	---	---	21.443	20.775	31.313	20.760	260.722	293.541	409.116	239.360	6.849	8.039	6.474	5.801	
2/1/2019	22:33:56	7.52		4.1737	4.4924	1.4683	4.5416	27.000	27.000	27.000	27.000	1019.71	22.063	---	---	---	21.444	20.777	31.351	20.761	260.746	293.554	409.532	239.363	6.866	8.032	6.507	5.829	
2/1/2019	22:33:57	8.97		4.1709	4.4929	1.4640	4.5418	27.000	27.000	27.000	27.000	1019.72	22.063	---	---	---	21.451	20.776	31.376	20.760	260.798	293.584	409.761	239.353	6.894	8.035	6.531	5.819	
2/1/2019	22:33:59	10.37		4.1706	4.4902	1.4609	4.5393	27.000	27.000	27.000	27.000	1019.72	22.063	---	---	---	21.451	20.782	31.394	20.766	260.832	293.583	409.929	239.350	6.867	8.016	6.528	5.795	
2/1/2019	22:34:00	11.86		4.1696	4.4910	1.4588	4.5387	27.000	27.000	27.000	27.000	1019.70	22.063	---	---	---	21.454	20.780	31.406	20.767	260.888	293.606	410.000	239.358	6.841	8.010	6.491	5.803	
2/1/2019	22:34:02	13.30		4.1679	4.4883	1.4577	4.5387	27.000	27.000	27.000	27.000	1019.71	22.068	---	---	---	21.457	20.787	31.412	20.767	260.928	293.642	410.042	239.377	6.840	8.043	6.477	5.781	
2/1/2019	22:34:03	14.67		4.1644	4.4881	1.4567	4.5394	27.000	27.000	27.000	27.000	1019.71	22.068	---	---	---	21.465	20.787	31.417	20.766	260.994	293.687	410.053	239.381	6.859	8.094	6.479	5.808	
2/1/2019	22:34:05	16.17		4.1621	4.4873	1.4554	4.5405	27.000	27.000	27.000	27.000	1019.73	22.068	---	---	---	21.470	20.789	31.425	20.763	261.029	293.725	410.085	239.402	6.865	8.087	6.489	5.783	
2/1/2019	22:34:06	17.86		4.1612	4.4897	1.4537	4.5394	27.000	27.000	27.000	27.000	1019.70	22.068	---	---	---	21.472	20.784	31.435	20.766	261.071	293.735	410.091	239.396	6.836	8.067	6.466	5.787	
2/1/2019	22:34:08	19.30		4.1617	4.4898	1.4541	4.5387	27.000	27.000	27.000	27.000	1019.69	22.068	---	---	---	21.471	20.783	31.433	20.767	261.093	293.748	409.979	239.420	6.803	8.025	6.492	5.753	
2/1/2019	22:34:09	20.70		4.1620	4.4902	1.4563	4.5390	27.000	27.000	27.000	27.000	1019.64	22.068	---	---	---	21.471	20.782	31.420	20.767	261.113	293.742	409.778	239.425	6.811	8.067	6.525	5.772	
2/1/2019	22:34:11	22.11		4.1584	4.4887	1.4600	4.5397	27.000	27.000	27.000	27.000	1019.67	22.063	---	---	---	21.479	20.786	31.399	20.765	261.132	293.711	409.473	239.421	6.811	8.064	6.543	5.767	
2/1/2019	22:34:12	23.55		4.1556	4.4888	1.4638	4.5387	27.000	27.000	27.000	27.000	1019.70	22.063	---	---	---	21.485	20.786	31.377	20.767	261.160	293.695	409.118	239.414	6.810	8.075	6.514	5.780	
2/1/2019	22:34:13	25.09		4.1528	4.4880	1.4684	4.5394	27.000	27.000	27.000	27.000	1019.69	22.063	---	---	---	21.491	20.788	31.351	20.766	261.248	293.705	408.743	239.418	6.802	8.023	6.475	5.787	
2/1/2019	22:34:15	26.34		4.1519	4.4877	1.4724	4.5403	27.000	27.000	27.000	27.000	1019.66	22.040	---	---	---	21.493	20.788	31.328	20.764	261.346	293.716	408.379	239.424	6.831	8.030	6.464	5.785	
2/1/2019	22:34:16	27.84		4.1510	4.4880	1.4753	4.5414	27.000	27.000	27.000	27.000	1019.64	22.012	---	---	---	21.495	20.788	31.311	20.761	261.424	293.742	408.124	239.431	6.856	8.010	6.466	5.754	
2/1/2019	22:34:18	29.37		4.1477	4.4872	1.4764	4.5407	27.000	27.000	27.000	27.000	1019.68	21.984	---	---	---	21.503	20.790	31.305	20.763	261.493	293.758	407.962	239.447	6.892	8.023	6.495	5.708	
2/1/2019	22:34:20	31.14		4.1440	4.4859	1.4767	4.5372	27.000	27.000	27.000	27.000	1019.71	22.012	---	---	---	21.511	20.793	31.303	20.771	261.567	293.788	407.918	239.471	6.847	8.029	6.527	5.710	
2/1/2019	22:34:21	32.66		4.1409	4.4845	1.4763	4.5372	27.000	27.000	27.000	27.000	1019.69	22.035	---	---	---	21.518	20.796	31.306	20.771	261.609	293.796	407.902	239.489	6.853	8.040	6.514	5.718	
2/1/2019	22:34:22	34.09		4.1406	4.4858	1.4761	4.5328	27.000	27.000	27.000	27.000	1019.67	22.063	---	---	---	21.519	20.793	31.307	20.780	261.628	293.792	407.890	239.494	6.843	8.031	6.496	5.727	
2/1/2019	22:34:24	35.62		4.1391	4.4862	1.4760	4.5349	27.000	27.000	27.000	27.000	1019.68	22.063	---	---	---	21.522	20.792	31.307	20.776	261.630	293.777	407.880	239.526	6.845	8.002	6.457	5.728	
2/1/2019	22:34:25	37.02		4.1375	4.4853	1.4760	4.5342	27.000	27.000	27.000	27.000	1019.66	22.068	---	---	---	21.526	20.794	31.307	20.777	261.685	293.760	407.878	239.551	6.847	7.998	6.485	5.738	
2/1/2019	22:34:27	38.58		4.1346	4.4844	1.4761	4.5369	27.000	27.000	27.000	27.000	1019.68	22.068	---	---	---	21.532	20.796	31.306	20.771	261.709	293.779	407.885	239.546	6.844	8.006	6.494	5.726	
2/1/2019	22:34:29	40.23		4.1352	4.4849	1.4753	4.5384	27.000	27.000	27.000	27.000	1019.66	22.063	---	---	---	21.531	20.795	31.311	20.768	261.745	293.794	407.951	239.531	6.868	7.992	6.528	5.758	
2/1/2019	22:34:30	41.80		4.1341	4.4867	1.4737	4.5381	27.000	27.000	27.000	27.000	1019.69	22.063	---	---	---	21.533	20.791	31.320	20.769	261.789	293.793	408.066	239.545	6.853	7.982	6.514	5.767	
2/1/2019	22:34:32	43.27		4.1343	4.4874	1.4710	4.5369	27.000	27.000	27.000	27.000	1019.70	22.071	---	---	---	21.533	20.789	31.336	20.771	261.824	293.792	408.209	239.560	6.886	7.984	6.515	5.774	
2/1/2019	22:34:33	44.52		4.1325	4.4865	1.4695	4.5318	27.000	27.000	27.000	27.000	1019.68	22.088	---	---	---	21.537	20.791	31.344	20.783	261.833	293.806	408.258	239.575	6.864	8.008	6.485	5.742	
2/1/2019	22:34:35	46.11		4.1312	4.4844	1.4701	4.5309	27.000	27.000	27.000	27.000	1019.69	22.096	---	---	---	21.540	20.796	31.341	20.785	261.825	293.833	408.202	239.594	6.859	8.016	6.517	5.729	
2/1/2019	22:34:36	47.66		4.1315	4.4840	1.4724	4.5300	27.000	27.000	27.000	27.000	1019.69	22.114	---	---	---	21.539	20.797	31.328	20.787	261.845	293.836	408.039	239.639	6.817	8.048	6.510	5.740	
2/1/2019	22:34:38	49.14		4.1307	4.4834	1.4746	4.5321	27.000	27.000	27.000	27.000	1019.71	22.126	---	---	---	21.541	20.799	31.315	20.782	261.875	293.832	407.830	239.662	6.816	8.074	6.526	5.783	
2/1/2019	22:34:39	50.47		4.1310	4.4849	1.4765	4.5315	27.000	27.000	27.000	27.000	1019.72	22.144	---	---	---	21.540	20.795	31.304	20.783	261.858	293.834	407.635	239.669	6.835	8.075	6.520	5.791	
2/1/2019	22:34:40	52.02		4.1291	4.4852	1.4784	4.5299	27.000	27.000	27.000	27.000	1019.67	22.144	---	---	---	21.545	20.794	31.294	20.787	261.870	293.833	407.428	239.676	6.844	8.043	6.522	5.826	
2/1/2019	22:34:42	53.52		4.1294	4.4855	1.4810	4.5302	27.000	27.000	27.000	27.000	1019.65	22.144	---	---	---	21.544	20.794	31.279	20.786	261.882	293.834	407.185	239.683	6.874	8.008	6.513	5.794	
2/1/2019	22:34:43	54.87		4.1284	4.4856	1.4852	4.5282	27.000	27.000	27.000	27.000	1019.62	22.144	---	---	---	21.546	20.793	31.255	20.791	261.950	293.817	406.820	239.670	6.852	8.009	6.511	5.806	
2/1/2019	22:34:45	56.37		4.1257	4.4848	1.4909	4.5285	27.000	27.000	27.000	27.000	1019.67	22.144	---	---	---	21.552	20.795	31.223	20.790	262.019	293.805	406.356	239.670	6.850	8.005	6.504	5.755	
2/1/2019	22:34:46	57.80		4.1234	4.4838	1.4971	4.5267	27.000	27.000	27.000	27.000	1019.68	22.131	---	---	---	21.558	20.798	31.187	20.794	262.108	293.808	405.833	239.655	6.824	8.011	6.520	5.756	
2/1/2019	22:34:48	59.45		4.1226	4.4821	1.5037	4.5283	27.000	27.000	27.000	27.000	1019.69	22.119	---	---	---	21.559	20.802	31.150	20.790	262.194	293.832	405.301	239.670	6.829	8.011	6.500	5.736	
2/1/2019	22:34:50	61.17		4.1212	4.4824	1.5095	4.5294	27.000	27.000	27.000	27.000	1019.70	22.106	---	---	---	21.563	20.801	31.118	20.788	262.259	293.857	404.811	239.667	6.810	8.002	6.498	5.770	
2/1/2019	22:34:51	62.67		4.1196	4.4826	1.5143	4.5275	27.000	27.000	27.000	27.000	1019.72	22.106	---	---	---	21.566	20.801	31.091	20.792	262.315	293.889	404.353	239.696	6.849	8.001	6.483	5.762	
2/1/2019	22:34:53	64.42		4.1168	4.4827	1.5180	4.5255	27.000	27.000	27.000	27.000	1019.73	22.093	---	---	---	21.573	20.800	31.070	20.797	262.361	293.918	403.937	239.690	6.855	8.006	6.463	5.774	
2/1/2019	22:34:55	66.64		4.1146	4.4824	1.5216	4.5244	27.000	27.000	27.000	27.000	1019.71	22.053	---	---	---	21.578	20.801	31.050	20.799	262.407	293.930	403.488	239.701	6.856	8.018	6.476	5.739	
2/1/2019	22:34:57	68.34		4.1153	4.4824	1.5248	4.5265	27.000	27.000	27.000	27.000	1019.73	22.012	---	---	---	21.576	20.801	31.032	20.794	262.418	293.951	403.029	239.709	6.847	8.013	6.475	5.781	
2/1/2019	22:34:58	69.87		4.1153	4.4812	1.5290	4.5279	27.000	27.000	27.000	27.000	1019.72	21.984	---	---	---	21.576	20.804	31.009	20.791	262.405	293.938	402.610	239.727	6.844	8.002	6.477	5.783	
2/1/2019	22:35:00	71.61		4.1166	4.4812	1.5313	4.5276	27.000	27.000	27.000	27.000	1019.71	21.966	---	---	---	21.573	20.804	30.996	20.792	262.386	293.952	402.336	239.729	6.854	8.020	6.462	5.828	
2/1/2019	22:35:02	73.67		4.1143	4.4819	1.5329	4.5273	27.000	27.000	27.000	27.000	1019.68	21.966	---	---	---	21.578	20.802	30.987	20.793	262.438	293.962	402.190	239.732	6.836	8.071	6.460	5.786	
2/1/2019	22:35:04	75.56		4.1107	4.4815	1.5328	4.5275	27.000	27.000	27.000	27.000	1019.70	21.966	---	---	---	21.586	20.803	30.988	20.792	262.503	293.977	402.071	239.746	6.864	8.071	6.484	5.779	
2/1/2019	22:35:05	77.03		4.1087	4.4799	1.5348	4.5263	27.000	27.000	27.000	27.000	1019.74	21.984	---	---	---	21.591	20.807	30.977	20.795	262.602	293.993	401.883	239.761	6.884	8.047	6.517	5.748	
2/1/2019	22:35:07	78.52		4.1055	4.4787	1.5381	4.5258	27.000	27.000	27.000	27.000	1019.74	22.012	---	---	---	21.598	20.810	30.959	20.796	262.662	293.995	401.543	239.749	6.890	8.012	6.536	5.786	
2/1/2019	22:35:09	80.45		4.1061	4.4790	1.5429	4.5273	27.000	27.000	27.000	27.000	1019.70	22.040	---	---	---	21.597	20.809	30.932	20.793	262.728	294.033	401.100	239.744	6.857	8.023	6.526	5.807	
2/1/2019	22:35:11	82.28		4.1061	4.4805	1.5479	4.5302	27.000	27.000	27.000	27.000	1019.67	22.081	---	---	---	21.597	20.806	30.905	20.786	262.767	294.077	400.614	239.757	6.848	8.031	6.482	5.796	
2/1/2019	22:35:12	83.95		4.1059	4.4801	1.5533	4.5300	27.000	27.000	27.000	27.000	1019.67	22.093	---	---	---	21.597	20.807	30.875	20.787	262.800	294.099	400.179	239.810	6.840	8.023	6.450	5.761	
2/1/2019	22:35:14	85.81		4.1033	4.4806	1.5566	4.5297	27.000	27.000	27.000	27.000	1019.68	22.106	---	---	---	21.603	20.805	30.857	20.787	262.828	294.086	399.860	239.828	6.880	8.022	6.474	5.736	
2/1/2019	22:35:15	87.09		4.1012	4.4801	1.5590	4.5281	27.000	27.000	27.000	27.000	1019.66	22.106	---	---	---	21.608	20.807	30.843	20.791	262.836	294.064	399.598	239.823	6.906	8.024	6.486	5.775	
2/1/2019	22:35:17	88.87		4.1008	4.4808	1.5601	4.5279	27.000	27.000	27.000	27.000	1019.67	22.106	---	---	---	21.609	20.805	30.838	20.791	262.853	294.021	399.425	239.806	6.917	8.013	6.496	5.769	
2/1/2019	22:35:19	90.78		4.1011	4.4804	1.5607	4.5249	27.000	27.000	27.000	27.000	1019.68	22.106	---	---	---	21.608	20.806	30.834	20.798	262.879	294.003	399.335	239.818	6.900	8.013	6.492	5.782	
2/1/2019	22:35:21	92.42		4.1027	4.4801	1.5594	4.5231	27.000	27.000	27.000	27.000	1019.69	22.093	---	---	---	21.605	20.807	30.841	20.802	262.931	293.978	399.365	239.834	6.887	8.021	6.495	5.777	
2/1/2019	22:35:22	93.94		4.1012	4.4802	1.5570	4.5225	27.000	27.000	27.000	27.000	1019.67	22.081	---	---	---	21.608	20.806	30.854	20.803	262.958	293.994	399.523	239.857	6.865	8.041	6.510	5.795	
2/1/2019	22:35:24	95.77		4.0998	4.4815	1.5528	4.5222	27.000	27.000	27.000	27.000	1019.68	22.068	---	---	---	21.611	20.803	30.878	20.804	263.006	293.992	399.791	239.883	6.850	8.045	6.482	5.783	
2/1/2019	22:35:26	97.58		4.0954	4.4801	1.5472	4.5227	27.000	27.000	27.000	27.000	1019.71	22.068	---	---	---	21.621	20.807	30.908	20.803	263.045	293.990	400.181	239.908	6.832	8.069	6.483	5.762	
2/1/2019	22:35:28	99.39		4.0926	4.4801	1.5407	4.5222	27.000	27.000	27.000	27.000	1019.76	22.081	---	---	---	21.628	20.807	30.945	20.804	263.113	293.985	400.638	239.910	6.841	8.100	6.480	5.756	
2/1/2019	22:35:29	100.91		4.0925	4.4805	1.5346	4.5227	27.000	27.000	27.000	27.000	1019.72	22.093	---	---	---	21.628	20.806	30.978	20.803	263.182	293.978	401.100	239.912	6.869	8.117	6.488	5.764	
2/1/2019	22:35:31	102.34		4.0922	4.4806	1.5282	4.5224	27.000	27.000	27.000	27.000	1019.72	22.106	---	---	---	21.629	20.805	31.014	20.804	263.240	293.986	401.537	239.931	6.870	8.083	6.496	5.756	
2/1/2019	22:35:33	104.28		4.0919	4.4794	1.5224	4.5239	27.000	27.000	27.000	27.000	1019.68	22.101	---	---	---	21.629	20.808	31.046	20.800	263.285	294.005	401.966	239.941	6.887	8.054	6.495	5.772	
2/1/2019	22:35:34	106.00		4.0881	4.4777	1.5173	4.5231	27.000	27.000	27.000	27.000	1019.70	22.101	---	---	---	21.638	20.812	31.075	20.802	263.326	294.036	402.342	239.932	6.862	8.031	6.535	5.800	
2/1/2019	22:35:36	107.55		4.0884	4.4798	1.5140	4.5210	27.000	27.000	27.000	27.000	1019.70	22.101	---	---	---	21.637	20.807	31.093	20.807	263.378	294.054	402.705	239.942	6.847	8.012	6.509	5.839	
2/1/2019	22:35:38	109.61		4.0866	4.4809	1.5112	4.5181	27.000	27.000	27.000	27.000	1019.72	22.093	---	---	---	21.641	20.805	31.109	20.813	263.398	294.066	403.027	239.985	6.843	8.007	6.542	5.856	
2/1/2019	22:35:40	111.17		4.0883	4.4819	1.5063	4.5182	27.000	27.000	27.000	27.000	1019.70	22.081	---	---	---	21.638	20.802	31.137	20.813	263.434	294.069	403.421	240.046	6.830	8.002	6.511	5.823	
2/1/2019	22:35:41	112.91		4.0847	4.4788	1.4988	4.5215	27.000	27.000	27.000	27.000	1019.69	22.068	---	---	---	21.646	20.810	31.178	20.806	263.459	294.067	403.918	240.059	6.860	8.030	6.527	5.797	
2/1/2019	22:35:43	114.69		4.0830	4.4774	1.4893	4.5220	27.000	27.000	27.000	27.000	1019.70	22.068	---	---	---	21.650	20.813	31.232	20.805	263.499	294.029	404.534	240.050	6.865	8.019	6.496	5.753	
2/1/2019	22:35:45	116.27		4.0802	4.4766	1.4789	4.5202	27.000	27.000	27.000	27.000	1019.72	22.040	---	---	---	21.656	20.815	31.291	20.809	263.519	294.017	405.309	240.015	6.865	8.030	6.501	5.753	
2/1/2019	22:35:47	118.69		4.0792	4.4787	1.4652	4.5178	27.000	27.000	27.000	27.000	1019.72	22.012	---	---	---	21.658	20.810	31.370	20.814	263.581	294.041	406.334	240.004	6.825	8.020	6.534	5.744	
2/1/2019	22:35:49	120.47		4.0780	4.4788	1.4498	4.5157	27.000	27.000	27.000	27.000	1019.71	21.984	---	---	---	21.661	20.810	31.458	20.819	263.682	294.088	407.442	240.002	6.831	8.024	6.523	5.776	
2/1/2019	22:35:51	122.16		4.0762	4.4773	1.4352	4.5173	27.000	27.000	27.000	27.000	1019.70	21.984	---	---	---	21.665	20.813	31.542	20.815	263.775	294.117	408.489	240.006	6.853	8.020	6.517	5.758	
2/1/2019	22:35:52	124.06		4.0743	4.4748	1.4254	4.5163	27.000	27.000	27.000	27.000	1019.70	21.984	---	---	---	21.670	20.819	31.599	20.817	263.842	294.105	409.284	240.045	6.872	8.020	6.484	5.749	
2/1/2019	22:35:54	125.66		4.0735	4.4752	1.4177	4.5167	27.000	27.000	27.000	27.000	1019.70	21.971	---	---	---	21.671	20.818	31.643	20.816	263.872	294.090	409.958	240.045	6.868	8.004	6.486	5.721	
2/1/2019	22:35:56	127.30		4.0738	4.4770	1.4096	4.5173	27.000	27.000	27.000	27.000	1019.71	21.959	---	---	---	21.671	20.814	31.690	20.815	263.900	294.084	410.627	240.069	6.867	8.007	6.480	5.779	
2/1/2019	22:35:58	129.14		4.0750	4.4777	1.4013	4.5170	27.000	27.000	27.000	27.000	1019.72	21.946	---	---	---	21.668	20.812	31.738	20.816	263.909	294.103	411.292	240.048	6.861	8.012	6.479	5.804	
2/1/2019	22:35:59	130.73		4.0727	4.4763	1.3915	4.5197	27.000	27.000	27.000	27.000	1019.71	21.946	---	---	---	21.673	20.816	31.796	20.810	263.959	294.147	412.069	240.088	6.842	8.059	6.490	5.833	
