
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/28/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/28/2019	07:12:52	0.00		4.0310	4.1593	4.2794	4.3974	27.000	27.000	27.000	27.000	1016.07	22.785	---	---	---	21.769	21.613	21.272	21.087	284.304	262.334	273.435	249.946	6.841	8.033	6.548	5.829	
1/28/2019	07:12:54	2.28		4.0316	4.1602	4.2767	4.3934	27.000	27.000	27.000	27.000	1016.04	22.785	---	---	---	21.768	21.611	21.278	21.096	284.258	262.307	273.474	250.038	6.836	8.042	6.533	5.823	
1/28/2019	07:12:56	3.62		4.0304	4.1617	4.2737	4.3853	27.000	27.000	27.000	27.000	1016.04	22.785	---	---	---	21.770	21.607	21.285	21.115	284.267	262.326	273.513	250.199	6.841	8.002	6.530	5.833	
1/28/2019	07:12:57	5.27		4.0314	4.1610	4.2706	4.3814	27.000	27.000	27.000	27.000	1016.02	22.785	---	---	---	21.768	21.608	21.292	21.124	284.270	262.308	273.556	250.289	6.815	8.040	6.530	5.811	
1/28/2019	07:12:59	6.55		4.0314	4.1608	4.2690	4.3792	27.000	27.000	27.000	27.000	1016.03	22.785	---	---	---	21.768	21.609	21.295	21.129	284.321	262.311	273.628	250.367	6.837	8.028	6.514	5.800	
1/28/2019	07:13:00	8.20		4.0303	4.1612	4.2690	4.3797	27.000	27.000	27.000	27.000	1016.05	22.785	---	---	---	21.771	21.608	21.295	21.128	284.346	262.300	273.683	250.430	6.828	8.054	6.527	5.783	
1/28/2019	07:13:02	9.58		4.0287	4.1616	4.2694	4.3778	27.000	27.000	27.000	27.000	1016.05	22.798	---	---	---	21.774	21.607	21.294	21.132	284.393	262.339	273.718	250.523	6.854	8.035	6.502	5.795	
1/28/2019	07:13:03	11.41		4.0271	4.1624	4.2681	4.3735	27.000	27.000	27.000	27.000	1016.02	22.823	---	---	---	21.778	21.605	21.297	21.142	284.423	262.336	273.760	250.577	6.862	8.038	6.518	5.799	
1/28/2019	07:13:05	13.50		4.0272	4.1613	4.2655	4.3694	27.000	27.000	27.000	27.000	1016.02	22.848	---	---	---	21.778	21.608	21.303	21.151	284.421	262.323	273.778	250.656	6.895	8.061	6.487	5.798	
1/28/2019	07:13:07	15.31		4.0288	4.1612	4.2642	4.3658	27.000	27.000	27.000	27.000	1016.02	22.848	---	---	---	21.774	21.608	21.306	21.160	284.372	262.293	273.790	250.756	6.884	8.058	6.505	5.784	
1/28/2019	07:13:09	17.30		4.0316	4.1607	4.2628	4.3634	27.000	27.000	27.000	27.000	1016.06	22.836	---	---	---	21.768	21.609	21.309	21.165	284.320	262.290	273.805	250.911	6.856	8.089	6.500	5.788	
1/28/2019	07:13:11	19.05		4.0324	4.1603	4.2621	4.3624	27.000	27.000	27.000	27.000	1016.01	22.823	---	---	---	21.766	21.610	21.311	21.168	284.294	262.310	273.834	251.007	6.853	8.039	6.506	5.815	
1/28/2019	07:13:13	20.72		4.0334	4.1602	4.2605	4.3606	27.000	27.000	27.000	27.000	1016.04	22.810	---	---	---	21.763	21.611	21.315	21.172	284.306	262.333	273.913	251.045	6.863	8.025	6.514	5.863	
1/28/2019	07:13:14	22.37		4.0316	4.1600	4.2599	4.3587	27.000	27.000	27.000	27.000	1016.04	22.798	---	---	---	21.768	21.611	21.316	21.176	284.314	262.310	273.965	251.088	6.867	8.008	6.512	5.868	
1/28/2019	07:13:16	24.27		4.0317	4.1619	4.2610	4.3567	27.000	27.000	27.000	27.000	1016.07	22.798	---	---	---	21.767	21.606	21.314	21.181	284.312	262.260	274.001	251.175	6.865	8.020	6.505	5.871	
1/28/2019	07:13:18	26.03		4.0301	4.1627	4.2591	4.3554	27.000	27.000	27.000	27.000	1016.04	22.810	---	---	---	21.771	21.604	21.318	21.184	284.313	262.211	273.996	251.289	6.849	8.048	6.484	5.828	
1/28/2019	07:13:20	27.72		4.0308	4.1631	4.2585	4.3536	27.000	27.000	27.000	27.000	1016.03	22.810	---	---	---	21.769	21.603	21.319	21.188	284.335	262.207	274.010	251.392	6.873	8.036	6.481	5.857	
1/28/2019	07:13:21	29.45		4.0294	4.1623	4.2576	4.3513	27.000	27.000	27.000	27.000	1016.04	22.798	---	---	---	21.773	21.605	21.321	21.194	284.360	262.222	274.050	251.469	6.840	8.030	6.497	5.832	
