
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/28/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/28/2019	05:53:44	0.00		4.0811	4.2594	4.1203	4.1972	27.000	27.000	27.000	27.000	---	---	---	25.194	---	21.464	20.979	21.433	21.406	207.238	277.096	264.220	262.756	4.374	4.237	4.312	4.310	
1/28/2019	05:53:46	2.23		4.0830	4.2597	4.1205	4.1984	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.459	20.979	21.433	21.403	207.200	277.089	264.230	262.705	3.989	4.356	4.306	3.808	
1/28/2019	05:53:48	3.50		4.0865	4.2586	4.1203	4.1994	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.450	20.981	21.433	21.400	207.169	277.124	264.256	262.712	3.870	3.941	4.089	4.108	
1/28/2019	05:53:49	4.59		4.0921	4.2575	4.1209	4.1987	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.436	20.984	21.432	21.402	207.178	277.160	264.238	262.717	3.865	4.544	3.462	3.505	
1/28/2019	05:53:50	5.61		4.0893	4.2550	4.1197	4.1946	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.443	20.990	21.435	21.413	207.200	277.191	264.272	262.757	4.288	3.999	3.971	3.189	
1/28/2019	05:53:51	6.62		4.0892	4.2526	4.1180	4.1929	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.444	20.996	21.439	21.418	207.235	277.219	264.290	262.824	4.258	3.760	4.079	3.700	
1/28/2019	05:53:52	7.70		4.0868	4.2511	4.1167	4.1938	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.450	21.000	21.442	21.415	207.257	277.234	264.295	262.892	4.319	3.251	4.336	4.044	
1/28/2019	05:53:53	8.84		4.0879	4.2520	4.1157	4.1941	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.447	20.998	21.445	21.414	207.263	277.285	264.300	262.985	4.041	3.716	3.586	4.614	
1/28/2019	05:53:54	9.97		4.0862	4.2523	4.1158	4.1925	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.451	20.997	21.444	21.419	207.308	277.308	264.368	263.008	4.648	3.839	3.750	4.000	
1/28/2019	05:53:55	10.97		4.0863	4.2516	4.1161	4.1924	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.451	20.999	21.443	21.419	207.324	277.349	264.436	263.059	4.949	3.888	4.009	4.147	
1/28/2019	05:53:56	12.08		4.0839	4.2495	4.1166	4.1899	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.457	21.004	21.442	21.426	207.350	277.375	264.437	263.073	4.856	3.941	3.999	3.750	
1/28/2019	05:53:57	13.20		4.0835	4.2477	4.1152	4.1868	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.458	21.008	21.446	21.434	207.348	277.417	264.434	263.120	4.785	3.758	4.066	3.411	
1/28/2019	05:53:58	14.25		4.0823	4.2461	4.1135	4.1836	27.000	27.000	27.000	27.000	---	---	---	25.190	---	21.461	21.012	21.451	21.443	207.392	277.454	264.431	263.174	4.793	4.233	3.749	3.694	
