
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/27/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/27/2019	20:50:19	0.00		4.0077	4.0271	4.0334	4.0733	32.000	32.000	32.000	32.000	---	---	---	26.788	---	20.483	20.375	20.467	20.483	195.473	261.931	242.965	237.448	4.941	3.385	3.958	3.926	
1/27/2019	20:50:21	2.12		4.0064	4.0275	4.0325	4.0729	32.000	32.000	32.000	32.000	---	---	---	26.788	---	20.487	20.374	20.470	20.484	195.439	261.945	243.002	237.480	4.222	3.596	3.946	4.621	
1/27/2019	20:50:22	3.34		4.0081	4.0280	4.0316	4.0746	32.000	32.000	32.000	32.000	---	---	---	26.788	---	20.482	20.373	20.472	20.479	195.440	261.943	243.002	237.380	4.465	3.385	3.851	4.143	
1/27/2019	20:50:23	4.58		4.0084	4.0292	4.0294	4.0794	32.000	32.000	32.000	32.000	---	---	---	26.788	---	20.482	20.370	20.478	20.466	195.438	261.960	243.056	237.281	4.744	3.547	4.151	4.110	
1/27/2019	20:50:25	5.98		4.0096	4.0284	4.0281	4.0818	32.000	32.000	32.000	32.000	---	---	---	26.788	---	20.479	20.372	20.481	20.460	195.426	261.959	243.051	237.218	4.874	3.840	3.471	3.663	
1/27/2019	20:50:27	7.80		4.0104	4.0283	4.0273	4.0814	32.000	32.000	32.000	32.000	---	---	---	26.788	---	20.477	20.372	20.483	20.461	195.394	262.000	243.077	237.255	4.314	4.366	3.551	3.766	
1/27/2019	20:50:28	9.28		4.0098	4.0269	4.0280	4.0772	32.000	32.000	32.000	32.000	---	---	---	26.784	---	20.478	20.376	20.481	20.472	195.368	262.000	243.064	237.370	4.871	4.197	3.557	4.171	
1/27/2019	20:50:30	10.87		4.0098	4.0271	4.0286	4.0741	32.000	32.000	32.000	32.000	---	---	---	26.784	---	20.478	20.375	20.480	20.481	195.371	261.980	243.117	237.472	4.776	4.257	3.918	3.803	
1/27/2019	20:50:31	12.33		4.0106	4.0274	4.0306	4.0732	32.000	32.000	32.000	32.000	---	---	---	26.781	---	20.476	20.374	20.475	20.483	195.341	261.951	243.150	237.538	5.151	3.742	4.158	3.451	
1/27/2019	20:50:33	13.77		4.0113	4.0266	4.0312	4.0708	32.000	32.000	32.000	32.000	---	---	---	26.781	---	20.474	20.376	20.473	20.490	195.348	261.942	243.144	237.560	4.387	3.692	4.106	2.870	
1/27/2019	20:50:34	15.45		4.0122	4.0275	4.0310	4.0714	32.000	32.000	32.000	32.000	---	---	---	26.777	---	20.472	20.374	20.474	20.488	195.327	261.936	243.122	237.584	4.353	3.651	3.906	3.488	
1/27/2019	20:50:36	16.70		4.0098	4.0272	4.0293	4.0674	32.000	32.000	32.000	32.000	---	---	---	26.777	---	20.478	20.375	20.478	20.499	195.341	261.926	243.140	237.582	4.324	3.663	3.882	4.277	
1/27/2019	20:50:37	18.20		4.0081	4.0267	4.0272	4.0699	32.000	32.000	32.000	32.000	---	---	---	26.777	---	20.482	20.376	20.483	20.492	195.371	261.946	243.176	237.567	4.730	3.594	4.191	4.381	
