
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/27/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/27/2019	19:52:03	0.00		3.9475	3.8424	3.8247	3.9778	34.500	34.500	34.500	34.500	1010.43	22.264	---	---	---	20.393	20.671	20.729	20.411	241.296	277.877	263.395	254.823	6.974	8.032	6.538	5.800	
1/27/2019	19:52:08	4.83		3.9458	3.8429	3.8227	3.9768	34.500	34.500	34.500	34.500	1010.42	22.223	---	---	---	20.397	20.670	20.734	20.413	241.276	277.848	263.423	254.850	6.900	8.050	6.533	5.806	
1/27/2019	19:52:09	6.19		3.9477	3.8420	3.8222	3.9740	34.500	34.500	34.500	34.500	1010.48	22.195	---	---	---	20.392	20.672	20.735	20.420	241.258	277.827	263.468	254.892	6.888	8.063	6.539	5.802	
1/27/2019	19:52:11	8.22		3.9494	3.8420	3.8222	3.9738	34.500	34.500	34.500	34.500	1010.48	22.169	---	---	---	20.388	20.672	20.735	20.421	241.296	277.826	263.474	254.981	6.836	8.059	6.532	5.832	
1/27/2019	19:52:12	9.34		3.9480	3.8402	3.8231	3.9711	34.500	34.500	34.500	34.500	1010.51	22.144	---	---	---	20.392	20.677	20.733	20.428	241.310	277.847	263.478	255.017	6.901	8.069	6.534	5.832	
1/27/2019	19:52:14	10.78		3.9475	3.8406	3.8239	3.9701	34.500	34.500	34.500	34.500	1010.51	22.119	---	---	---	20.393	20.676	20.731	20.430	241.297	277.860	263.450	255.079	6.869	8.067	6.533	5.852	
1/27/2019	19:52:15	12.08		3.9461	3.8399	3.8244	3.9685	34.500	34.500	34.500	34.500	1010.49	22.106	---	---	---	20.396	20.678	20.729	20.434	241.289	277.860	263.459	255.093	6.904	8.054	6.524	5.820	
1/27/2019	19:52:17	13.47		3.9488	3.8406	3.8256	3.9679	34.500	34.500	34.500	34.500	1010.48	22.093	---	---	---	20.390	20.676	20.726	20.436	241.258	277.865	263.443	255.098	6.877	8.049	6.544	5.849	
1/27/2019	19:52:18	14.80		3.9490	3.8408	3.8260	3.9686	34.500	34.500	34.500	34.500	1010.47	22.053	---	---	---	20.389	20.676	20.725	20.434	241.267	277.894	263.437	255.092	6.882	8.048	6.558	5.861	
1/27/2019	19:52:19	16.09		3.9487	3.8411	3.8244	3.9691	34.500	34.500	34.500	34.500	1010.48	21.987	---	---	---	20.390	20.675	20.729	20.433	241.231	277.901	263.375	255.088	6.854	8.067	6.563	5.854	
1/27/2019	19:52:21	17.78		3.9484	3.8421	3.8241	3.9683	34.500	34.500	34.500	34.500	1010.52	21.918	---	---	---	20.391	20.672	20.730	20.435	241.235	277.903	263.367	255.136	6.829	8.103	6.535	5.850	
1/27/2019	19:52:22	19.17		3.9508	3.8410	3.8233	3.9674	34.500	34.500	34.500	34.500	1010.53	21.877	---	---	---	20.385	20.675	20.732	20.437	241.228	277.888	263.360	255.149	6.852	8.134	6.499	5.819	
1/27/2019	19:52:24	20.62		3.9511	3.8406	3.8244	3.9657	34.500	34.500	34.500	34.500	1010.55	21.862	---	---	---	20.384	20.676	20.729	20.441	241.228	277.892	263.405	255.199	6.860	8.138	6.495	5.809	
