Date	Time_HH:MM:SS	Time_sec	Ch1_O2_15_field	Ch2_O2_drift	Ch3_O2_drift	Ch4_O2_drift	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	13:24:26	901.11	4.0203	4.5636	4.5465	4.5994	22.000	22.000	22.000	22.000
1/27/2019	13:24:28	902.44	4.0203	4.5624	4.5453	4.6013	22.000	22.000	22.000	22.000
1/27/2019	13:24:29	903.64	4.0203	4.5615	4.5450	4.5988	22.000	22.000	22.000	22.000
1/27/2019	13:24:30	904.95	4.0181	4.5602	4.5439	4.6007	22.000	22.000	22.000	22.000
1/27/2019	13:24:31	906.23	4.0184	4.5612	4.5446	4.5994	22.000	22.000	22.000	22.000
1/27/2019	13:24:33	907.67	4.0172	4.5625	4.5465	4.6016	22.000	22.000	22.000	22.000
1/27/2019	13:24:34	909.06	4.0178	4.5632	4.5483	4.6008	22.000	22.000	22.000	22.000
1/27/2019	13:24:36	910.44	4.0153	4.5626	4.5473	4.6017	22.000	22.000	22.000	22.000
1/27/2019	13:24:37	911.80	4.0134	4.5615	4.5443	4.6009	22.000	22.000	22.000	22.000
1/27/2019	13:24:38	913.05	4.0102	4.5629	4.5427	4.6024	22.000	22.000	22.000	22.000
1/27/2019	13:24:39	914.33	4.0106	4.5636	4.5439	4.6028	22.000	22.000	22.000	22.000
1/27/2019	13:24:41	915.56	4.0105	4.5636	4.5453	4.6022	22.000	22.000	22.000	22.000
1/27/2019	13:24:42	916.97	4.0101	4.5629	4.5463	4.6018	22.000	22.000	22.000	22.000
1/27/2019	13:24:43	918.22	4.0102	4.5628	4.5446	4.6016	22.000	22.000	22.000	22.000
1/27/2019	13:24:45	919.55	4.0093	4.5622	4.5452	4.6024	22.000	22.000	22.000	22.000
1/27/2019	13:24:46	920.77	4.0086	4.5635	4.5446	4.6020	22.000	22.000	22.000	22.000
1/27/2019	13:24:47	922.03	4.0068	4.5639	4.5440	4.5999	22.000	22.000	22.000	22.000
1/27/2019	13:24:48	923.37	4.0093	4.5665	4.5420	4.5990	22.000	22.000	22.000	22.000
1/27/2019	13:24:50	924.80	4.0102	4.5631	4.5414	4.5979	22.000	22.000	22.000	22.000
1/27/2019	13:24:51	926.06	4.0104	4.5622	4.5437	4.5989	22.000	22.000	22.000	22.000
1/27/2019	13:24:52	927.42	4.0065	4.5604	4.5460	4.5983	22.000	22.000	22.000	22.000
1/27/2019	13:24:54	928.83	4.0058	4.5626	4.5460	4.5984	22.000	22.000	22.000	22.000
1/27/2019	13:24:55	930.33	4.0060	4.5643	4.5459	4.5975	22.000	22.000	22.000	22.000
1/27/2019	13:24:57	931.59	4.0064	4.5648	4.5453	4.5978	22.000	22.000	22.000	22.000
1/27/2019	13:24:58	932.87	4.0077	4.5631	4.5449	4.5975	22.000	22.000	22.000	22.000
1/27/2019	13:24:59	934.33	4.0078	4.5631	4.5449	4.5991	22.000	22.000	22.000	22.000
1/27/2019	13:25:01	935.62	4.0068	4.5622	4.5450	4.5982	22.000	22.000	22.000	22.000
1/27/2019	13:25:02	936.89	4.0044	4.5639	4.5466	4.5988	22.000	22.000	22.000	22.000
