Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T1_29.5B	Ch2_O2_13|T1_29.5B	Ch3_O2_14|T1_29.5B	Ch4_O2_15|T1_29.5B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	22:20:53	901.14	3.5422	4.0007	3.8243	3.8645	29.500	29.500	29.500	29.500
1/27/2019	22:20:54	902.23	3.5430	4.0012	3.8273	3.8630	29.500	29.500	29.500	29.500
1/27/2019	22:20:56	903.55	3.5436	4.0009	3.8274	3.8619	29.500	29.500	29.500	29.500
1/27/2019	22:20:57	904.73	3.5419	4.0012	3.8251	3.8592	29.500	29.500	29.500	29.500
1/27/2019	22:20:58	905.87	3.5410	3.9989	3.8230	3.8585	29.500	29.500	29.500	29.500
1/27/2019	22:21:00	907.64	3.5417	3.9985	3.8242	3.8582	29.500	29.500	29.500	29.500
1/27/2019	22:21:01	909.05	3.5428	3.9982	3.8238	3.8587	29.500	29.500	29.500	29.500
1/27/2019	22:21:03	910.69	3.5418	3.9998	3.8238	3.8581	29.500	29.500	29.500	29.500
1/27/2019	22:21:05	912.45	3.5406	4.0001	3.8221	3.8586	29.500	29.500	29.500	29.500
1/27/2019	22:21:06	914.14	3.5400	4.0001	3.8238	3.8588	29.500	29.500	29.500	29.500
1/27/2019	22:21:07	915.33	3.5400	3.9987	3.8238	3.8584	29.500	29.500	29.500	29.500
1/27/2019	22:21:09	916.56	3.5393	3.9975	3.8267	3.8586	29.500	29.500	29.500	29.500
1/27/2019	22:21:10	918.31	3.5385	3.9966	3.8266	3.8566	29.500	29.500	29.500	29.500
1/27/2019	22:21:12	919.64	3.5376	3.9985	3.8272	3.8578	29.500	29.500	29.500	29.500
1/27/2019	22:21:13	920.87	3.5388	3.9991	3.8223	3.8570	29.500	29.500	29.500	29.500
1/27/2019	22:21:14	922.30	3.5381	3.9992	3.8198	3.8595	29.500	29.500	29.500	29.500
1/27/2019	22:21:16	924.00	3.5363	3.9975	3.8178	3.8573	29.500	29.500	29.500	29.500
1/27/2019	22:21:17	925.12	3.5341	3.9957	3.8192	3.8573	29.500	29.500	29.500	29.500
1/27/2019	22:21:18	926.36	3.5348	3.9948	3.8210	3.8557	29.500	29.500	29.500	29.500
1/27/2019	22:21:20	927.70	3.5373	3.9955	3.8198	3.8590	29.500	29.500	29.500	29.500
1/27/2019	22:21:21	928.95	3.5371	3.9963	3.8189	3.8584	29.500	29.500	29.500	29.500
1/27/2019	22:21:23	930.69	3.5370	3.9969	3.8170	3.8592	29.500	29.500	29.500	29.500
1/27/2019	22:21:24	932.30	3.5362	3.9954	3.8180	3.8556	29.500	29.500	29.500	29.500
1/27/2019	22:21:26	933.58	3.5348	3.9949	3.8171	3.8552	29.500	29.500	29.500	29.500
1/27/2019	22:21:27	934.84	3.5341	3.9931	3.8178	3.8535	29.500	29.500	29.500	29.500
1/27/2019	22:21:28	936.11	3.5353	3.9929	3.8172	3.8534	29.500	29.500	29.500	29.500
1/27/2019	22:21:29	937.28	3.5359	3.9918	3.8172	3.8532	29.500	29.500	29.500	29.500
1/27/2019	22:21:31	938.50	3.5359	3.9921	3.8168	3.8542	29.500	29.500	29.500	29.500
1/27/2019	22:21:32	940.12	3.5347	3.9914	3.8153	3.8551	29.500	29.500	29.500	29.500
1/27/2019	22:21:34	941.39	3.5353	3.9922	3.8164	3.8552	29.500	29.500	29.500	29.500
1/27/2019	22:21:35	942.62	3.5363	3.9924	3.8151	3.8550	29.500	29.500	29.500	29.500
1/27/2019	22:21:36	944.16	3.5348	3.9922	3.8157	3.8555	29.500	29.500	29.500	29.500
1/27/2019	22:21:37	945.27	3.5346	3.9924	3.8146	3.8554	29.500	29.500	29.500	29.500
1/27/2019	22:21:39	946.84	3.5318	3.9924	3.8152	3.8573	29.500	29.500	29.500	29.500
1/27/2019	22:21:40	948.20	3.5326	3.9914	3.8141	3.8571	29.500	29.500	29.500	29.500
1/27/2019	22:21:42	949.55	3.5334	3.9916	3.8134	3.8579	29.500	29.500	29.500	29.500
1/27/2019	22:21:43	950.91	3.5339	3.9924	3.8130	3.8553	29.500	29.500	29.500	29.500
1/27/2019	22:21:44	952.30	3.5330	3.9939	3.8131	3.8543	29.500	29.500	29.500	29.500
1/27/2019	22:21:46	953.47	3.5320	3.9932	3.8130	3.8525	29.500	29.500	29.500	29.500
1/27/2019	22:21:47	954.67	3.5299	3.9937	3.8133	3.8529	29.500	29.500	29.500	29.500
1/27/2019	22:21:48	955.94	3.5303	3.9934	3.8130	3.8543	29.500	29.500	29.500	29.500
1/27/2019	22:21:49	957.11	3.5287	3.9941	3.8136	3.8546	29.500	29.500	29.500	29.500
1/27/2019	22:21:51	958.69	3.5308	3.9923	3.8118	3.8542	29.500	29.500	29.500	29.500
1/27/2019	22:21:52	960.03	3.5289	3.9930	3.8121	3.8531	29.500	29.500	29.500	29.500
1/27/2019	22:21:54	961.94	3.5308	3.9938	3.8115	3.8526	29.500	29.500	29.500	29.500
1/27/2019	22:21:55	963.17	3.5300	3.9933	3.8124	3.8541	29.500	29.500	29.500	29.500
1/27/2019	22:21:57	964.42	3.5317	3.9923	3.8122	3.8529	29.500	29.500	29.500	29.500
1/27/2019	22:21:58	966.02	3.5306	3.9924	3.8106	3.8529	29.500	29.500	29.500	29.500
1/27/2019	22:22:00	967.61	3.5307	3.9934	3.8099	3.8504	29.500	29.500	29.500	29.500
1/27/2019	22:22:01	968.75	3.5290	3.9937	3.8099	3.8509	29.500	29.500	29.500	29.500
1/27/2019	22:22:02	969.94	3.5264	3.9927	3.8089	3.8528	29.500	29.500	29.500	29.500
1/27/2019	22:22:03	971.19	3.5265	3.9918	3.8088	3.8538	29.500	29.500	29.500	29.500
1/27/2019	22:22:05	972.58	3.5276	3.9917	3.8086	3.8538	29.500	29.500	29.500	29.500
1/27/2019	22:22:06	974.06	3.5288	3.9899	3.8101	3.8517	29.500	29.500	29.500	29.500
1/27/2019	22:22:07	975.25	3.5265	3.9910	3.8091	3.8501	29.500	29.500	29.500	29.500
1/27/2019	22:22:09	976.53	3.5252	3.9919	3.8086	3.8504	29.500	29.500	29.500	29.500
1/27/2019	22:22:10	978.09	3.5251	3.9926	3.8083	3.8497	29.500	29.500	29.500	29.500
1/27/2019	22:22:11	979.12	3.5251	3.9912	3.8083	3.8494	29.500	29.500	29.500	29.500
1/27/2019	22:22:13	980.72	3.5241	3.9890	3.8074	3.8475	29.500	29.500	29.500	29.500
1/27/2019	22:22:14	981.97	3.5222	3.9890	3.8062	3.8484	29.500	29.500	29.500	29.500
1/27/2019	22:22:16	983.75	3.5234	3.9889	3.8070	3.8478	29.500	29.500	29.500	29.500
1/27/2019	22:22:17	985.12	3.5239	3.9899	3.8063	3.8486	29.500	29.500	29.500	29.500
1/27/2019	22:22:19	986.80	3.5259	3.9895	3.8062	3.8485	29.500	29.500	29.500	29.500
1/27/2019	22:22:20	988.05	3.5251	3.9873	3.8059	3.8503	29.500	29.500	29.500	29.500
1/27/2019	22:22:21	989.30	3.5245	3.9856	3.8051	3.8495	29.500	29.500	29.500	29.500
1/27/2019	22:22:23	991.05	3.5233	3.9841	3.8062	3.8476	29.500	29.500	29.500	29.500
1/27/2019	22:22:24	992.31	3.5227	3.9868	3.8057	3.8468	29.500	29.500	29.500	29.500
1/27/2019	22:22:26	993.64	3.5240	3.9869	3.8070	3.8463	29.500	29.500	29.500	29.500
1/27/2019	22:22:27	994.94	3.5268	3.9864	3.8057	3.8478	29.500	29.500	29.500	29.500
1/27/2019	22:22:29	996.44	3.5256	3.9855	3.8039	3.8468	29.500	29.500	29.500	29.500
1/27/2019	22:22:30	997.56	3.5256	3.9866	3.8039	3.8475	29.500	29.500	29.500	29.500
1/27/2019	22:22:32	999.56	3.5235	3.9892	3.8036	3.8468	29.500	29.500	29.500	29.500
1/27/2019	22:22:33	1000.78	3.5229	3.9914	3.8040	3.8471	29.500	29.500	29.500	29.500
1/27/2019	22:22:34	1002.28	3.5229	3.9907	3.8050	3.8462	29.500	29.500	29.500	29.500
1/27/2019	22:22:36	1003.95	3.5220	3.9888	3.8040	3.8458	29.500	29.500	29.500	29.500
1/27/2019	22:22:37	1005.28	3.5210	3.9889	3.8052	3.8461	29.500	29.500	29.500	29.500
1/27/2019	22:22:39	1006.45	3.5188	3.9911	3.8040	3.8448	29.500	29.500	29.500	29.500
1/27/2019	22:22:40	1007.64	3.5181	3.9918	3.8038	3.8444	29.500	29.500	29.500	29.500
1/27/2019	22:22:41	1008.84	3.5192	3.9893	3.8022	3.8433	29.500	29.500	29.500	29.500
1/27/2019	22:22:42	1010.17	3.5189	3.9870	3.8009	3.8453	29.500	29.500	29.500	29.500
1/27/2019	22:22:44	1011.69	3.5187	3.9889	3.8008	3.8449	29.500	29.500	29.500	29.500
1/27/2019	22:22:45	1012.81	3.5179	3.9902	3.8000	3.8447	29.500	29.500	29.500	29.500
1/27/2019	22:22:46	1014.05	3.5183	3.9907	3.7992	3.8426	29.500	29.500	29.500	29.500
1/27/2019	22:22:48	1015.56	3.5177	3.9893	3.7986	3.8418	29.500	29.500	29.500	29.500
1/27/2019	22:22:49	1016.84	3.5183	3.9893	3.7975	3.8427	29.500	29.500	29.500	29.500
1/27/2019	22:22:51	1018.42	3.5177	3.9893	3.7981	3.8428	29.500	29.500	29.500	29.500
1/27/2019	22:22:52	1019.47	3.5173	3.9894	3.7991	3.8429	29.500	29.500	29.500	29.500
1/27/2019	22:22:53	1021.16	3.5156	3.9883	3.8005	3.8420	29.500	29.500	29.500	29.500
1/27/2019	22:22:55	1022.70	3.5136	3.9905	3.8005	3.8429	29.500	29.500	29.500	29.500
1/27/2019	22:22:56	1024.25	3.5138	3.9904	3.7998	3.8451	29.500	29.500	29.500	29.500
1/27/2019	22:22:58	1025.37	3.5152	3.9912	3.7983	3.8455	29.500	29.500	29.500	29.500
1/27/2019	22:22:59	1026.52	3.5179	3.9882	3.7998	3.8462	29.500	29.500	29.500	29.500
1/27/2019	22:23:00	1027.77	3.5182	3.9874	3.7998	3.8469	29.500	29.500	29.500	29.500
1/27/2019	22:23:01	1028.92	3.5178	3.9870	3.8008	3.8474	29.500	29.500	29.500	29.500
1/27/2019	22:23:03	1030.45	3.5149	3.9878	3.7988	3.8473	29.500	29.500	29.500	29.500
1/27/2019	22:23:04	1031.91	3.5141	3.9891	3.7983	3.8453	29.500	29.500	29.500	29.500
1/27/2019	22:23:06	1033.41	3.5139	3.9892	3.7998	3.8448	29.500	29.500	29.500	29.500
1/27/2019	22:23:07	1034.78	3.5162	3.9888	3.8018	3.8432	29.500	29.500	29.500	29.500
1/27/2019	22:23:09	1036.41	3.5144	3.9891	3.8020	3.8427	29.500	29.500	29.500	29.500
1/27/2019	22:23:10	1037.66	3.5120	3.9882	3.7997	3.8403	29.500	29.500	29.500	29.500
1/27/2019	22:23:11	1039.23	3.5100	3.9891	3.7978	3.8410	29.500	29.500	29.500	29.500
1/27/2019	22:23:12	1040.34	3.5118	3.9884	3.7986	3.8414	29.500	29.500	29.500	29.500
