Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_27A	Ch2_O2_13|T2_27A	Ch3_O2_14|T2_27A	Ch4_O2_15|T2_27A	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	08:13:37	901.11	3.7019	4.0198	3.8969	4.2136	27.000	27.000	27.000	27.000
1/28/2019	08:13:39	902.53	3.7017	4.0200	3.8963	4.2139	27.000	27.000	27.000	27.000
1/28/2019	08:13:40	904.00	3.7027	4.0192	3.8961	4.2107	27.000	27.000	27.000	27.000
1/28/2019	08:13:42	905.50	3.7031	4.0214	3.8955	4.2100	27.000	27.000	27.000	27.000
1/28/2019	08:13:43	906.87	3.7040	4.0255	3.8953	4.2114	27.000	27.000	27.000	27.000
1/28/2019	08:13:44	908.30	3.7034	4.0255	3.8944	4.2133	27.000	27.000	27.000	27.000
1/28/2019	08:13:46	909.55	3.7053	4.0219	3.8939	4.2124	27.000	27.000	27.000	27.000
1/28/2019	08:13:47	911.00	3.7031	4.0200	3.8943	4.2099	27.000	27.000	27.000	27.000
1/28/2019	08:13:49	912.47	3.7005	4.0192	3.8940	4.2092	27.000	27.000	27.000	27.000
1/28/2019	08:13:50	913.86	3.6993	4.0194	3.8946	4.2111	27.000	27.000	27.000	27.000
1/28/2019	08:13:51	915.14	3.7007	4.0179	3.8955	4.2122	27.000	27.000	27.000	27.000
1/28/2019	08:13:53	917.19	3.7005	4.0212	3.8943	4.2131	27.000	27.000	27.000	27.000
1/28/2019	08:13:55	918.61	3.6992	4.0212	3.8945	4.2118	27.000	27.000	27.000	27.000
1/28/2019	08:13:56	919.95	3.6996	4.0223	3.8932	4.2104	27.000	27.000	27.000	27.000
1/28/2019	08:13:57	921.25	3.7037	4.0200	3.8924	4.2121	27.000	27.000	27.000	27.000
1/28/2019	08:13:59	922.67	3.7058	4.0200	3.8916	4.2132	27.000	27.000	27.000	27.000
1/28/2019	08:14:00	924.06	3.7061	4.0175	3.8899	4.2161	27.000	27.000	27.000	27.000
1/28/2019	08:14:01	925.45	3.7046	4.0178	3.8907	4.2128	27.000	27.000	27.000	27.000
1/28/2019	08:14:03	926.70	3.7045	4.0170	3.8909	4.2126	27.000	27.000	27.000	27.000
1/28/2019	08:14:04	928.30	3.7052	4.0173	3.8943	4.2092	27.000	27.000	27.000	27.000
1/28/2019	08:14:06	929.52	3.7056	4.0166	3.8945	4.2086	27.000	27.000	27.000	27.000
1/28/2019	08:14:07	931.14	3.7052	4.0156	3.8964	4.2068	27.000	27.000	27.000	27.000
1/28/2019	08:14:09	932.67	3.7036	4.0152	3.8945	4.2078	27.000	27.000	27.000	27.000
1/28/2019	08:14:10	934.00	3.7019	4.0164	3.8937	4.2088	27.000	27.000	27.000	27.000
1/28/2019	08:14:11	935.42	3.7021	4.0183	3.8933	4.2084	27.000	27.000	27.000	27.000
1/28/2019	08:14:13	936.91	3.7032	4.0216	3.8951	4.2068	27.000	27.000	27.000	27.000
1/28/2019	08:14:14	938.23	3.7054	4.0214	3.8972	4.2062	27.000	27.000	27.000	27.000
1/28/2019	08:14:16	939.75	3.7057	4.0200	3.8988	4.2085	27.000	27.000	27.000	27.000
1/28/2019	08:14:17	941.22	3.7052	4.0179	3.8992	4.2091	27.000	27.000	27.000	27.000
1/28/2019	08:14:19	942.66	3.7044	4.0163	3.9002	4.2097	27.000	27.000	27.000	27.000
1/28/2019	08:14:20	943.98	3.7022	4.0163	3.9000	4.2078	27.000	27.000	27.000	27.000
1/28/2019	08:14:21	945.31	3.7025	4.0175	3.8997	4.2074	27.000	27.000	27.000	27.000
1/28/2019	08:14:23	946.78	3.7026	4.0190	3.8997	4.2074	27.000	27.000	27.000	27.000
1/28/2019	08:14:24	948.09	3.7057	4.0194	3.9004	4.2089	27.000	27.000	27.000	27.000
1/28/2019	08:14:25	949.44	3.7053	4.0191	3.9012	4.2102	27.000	27.000	27.000	27.000
1/28/2019	08:14:27	950.95	3.7053	4.0161	3.9009	4.2107	27.000	27.000	27.000	27.000
1/28/2019	08:14:28	952.34	3.7021	4.0161	3.8996	4.2113	27.000	27.000	27.000	27.000
1/28/2019	08:14:30	953.86	3.7042	4.0141	3.8993	4.2117	27.000	27.000	27.000	27.000
1/28/2019	08:14:31	955.30	3.7057	4.0159	3.8973	4.2107	27.000	27.000	27.000	27.000
1/28/2019	08:14:33	956.78	3.7090	4.0183	3.8980	4.2103	27.000	27.000	27.000	27.000
1/28/2019	08:14:34	958.19	3.7073	4.0184	3.8980	4.2091	27.000	27.000	27.000	27.000
1/28/2019	08:14:36	959.73	3.7056	4.0190	3.9004	4.2091	27.000	27.000	27.000	27.000
1/28/2019	08:14:37	961.12	3.7040	4.0169	3.9006	4.2064	27.000	27.000	27.000	27.000
1/28/2019	08:14:39	962.52	3.7065	4.0179	3.9016	4.2068	27.000	27.000	27.000	27.000
1/28/2019	08:14:40	964.05	3.7074	4.0179	3.9009	4.2068	27.000	27.000	27.000	27.000
1/28/2019	08:14:41	965.42	3.7086	4.0196	3.9002	4.2091	27.000	27.000	27.000	27.000
1/28/2019	08:14:43	967.06	3.7087	4.0207	3.8994	4.2093	27.000	27.000	27.000	27.000
1/28/2019	08:14:45	968.50	3.7101	4.0212	3.8985	4.2090	27.000	27.000	27.000	27.000
1/28/2019	08:14:46	969.94	3.7095	4.0248	3.8970	4.2093	27.000	27.000	27.000	27.000
1/28/2019	08:14:47	971.42	3.7090	4.0277	3.8963	4.2089	27.000	27.000	27.000	27.000
1/28/2019	08:14:49	972.72	3.7085	4.0308	3.8969	4.2099	27.000	27.000	27.000	27.000
1/28/2019	08:14:50	974.03	3.7073	4.0271	3.8977	4.2074	27.000	27.000	27.000	27.000
1/28/2019	08:14:51	975.31	3.7067	4.0239	3.8975	4.2057	27.000	27.000	27.000	27.000
1/28/2019	08:14:53	976.66	3.7041	4.0208	3.8983	4.2035	27.000	27.000	27.000	27.000
1/28/2019	08:14:54	977.91	3.7029	4.0211	3.8972	4.2045	27.000	27.000	27.000	27.000
1/28/2019	08:14:55	979.33	3.7044	4.0190	3.8982	4.2078	27.000	27.000	27.000	27.000
1/28/2019	08:14:57	980.87	3.7061	4.0207	3.8966	4.2107	27.000	27.000	27.000	27.000
1/28/2019	08:14:58	982.37	3.7087	4.0205	3.8982	4.2151	27.000	27.000	27.000	27.000
1/28/2019	08:15:00	983.87	3.7057	4.0227	3.8973	4.2147	27.000	27.000	27.000	27.000
1/28/2019	08:15:01	985.30	3.7069	4.0201	3.8972	4.2147	27.000	27.000	27.000	27.000
1/28/2019	08:15:03	986.73	3.7063	4.0170	3.8966	4.2121	27.000	27.000	27.000	27.000
1/28/2019	08:15:04	988.31	3.7090	4.0162	3.8972	4.2097	27.000	27.000	27.000	27.000
1/28/2019	08:15:06	989.70	3.7089	4.0168	3.8969	4.2091	27.000	27.000	27.000	27.000
1/28/2019	08:15:07	991.06	3.7113	4.0182	3.8972	4.2078	27.000	27.000	27.000	27.000
1/28/2019	08:15:08	992.33	3.7122	4.0173	3.8969	4.2092	27.000	27.000	27.000	27.000
1/28/2019	08:15:10	993.77	3.7123	4.0172	3.8973	4.2100	27.000	27.000	27.000	27.000
1/28/2019	08:15:11	995.03	3.7120	4.0173	3.8976	4.2095	27.000	27.000	27.000	27.000
1/28/2019	08:15:12	996.37	3.7101	4.0184	3.8972	4.2096	27.000	27.000	27.000	27.000
1/28/2019	08:15:14	997.95	3.7111	4.0185	3.8973	4.2074	27.000	27.000	27.000	27.000
1/28/2019	08:15:15	999.27	3.7079	4.0160	3.8972	4.2071	27.000	27.000	27.000	27.000
1/28/2019	08:15:17	1000.72	3.7086	4.0133	3.8969	4.2084	27.000	27.000	27.000	27.000
1/28/2019	08:15:18	1002.20	3.7075	4.0105	3.8968	4.2093	27.000	27.000	27.000	27.000
1/28/2019	08:15:20	1003.62	3.7103	4.0129	3.8959	4.2095	27.000	27.000	27.000	27.000
1/28/2019	08:15:21	1005.08	3.7119	4.0127	3.8951	4.2089	27.000	27.000	27.000	27.000
1/28/2019	08:15:22	1006.45	3.7111	4.0146	3.8943	4.2088	27.000	27.000	27.000	27.000
1/28/2019	08:15:24	1007.87	3.7115	4.0150	3.8941	4.2113	27.000	27.000	27.000	27.000
1/28/2019	08:15:25	1009.27	3.7099	4.0160	3.8945	4.2091	27.000	27.000	27.000	27.000
1/28/2019	08:15:27	1010.73	3.7126	4.0133	3.8933	4.2080	27.000	27.000	27.000	27.000
1/28/2019	08:15:28	1012.12	3.7124	4.0117	3.8919	4.2048	27.000	27.000	27.000	27.000
1/28/2019	08:15:30	1013.59	3.7130	4.0108	3.8920	4.2068	27.000	27.000	27.000	27.000
1/28/2019	08:15:31	1015.11	3.7131	4.0110	3.8923	4.2088	27.000	27.000	27.000	27.000
1/28/2019	08:15:33	1016.55	3.7160	4.0100	3.8937	4.2097	27.000	27.000	27.000	27.000
1/28/2019	08:15:34	1018.00	3.7152	4.0106	3.8927	4.2099	27.000	27.000	27.000	27.000
1/28/2019	08:15:35	1019.41	3.7143	4.0125	3.8925	4.2085	27.000	27.000	27.000	27.000
1/28/2019	08:15:37	1020.78	3.7118	4.0128	3.8905	4.2100	27.000	27.000	27.000	27.000
1/28/2019	08:15:38	1022.19	3.7146	4.0129	3.8902	4.2113	27.000	27.000	27.000	27.000
1/28/2019	08:15:40	1023.61	3.7165	4.0131	3.8904	4.2129	27.000	27.000	27.000	27.000
1/28/2019	08:15:41	1024.97	3.7192	4.0133	3.8910	4.2122	27.000	27.000	27.000	27.000
1/28/2019	08:15:42	1026.41	3.7187	4.0146	3.8902	4.2102	27.000	27.000	27.000	27.000
1/28/2019	08:15:44	1027.80	3.7185	4.0128	3.8904	4.2099	27.000	27.000	27.000	27.000
1/28/2019	08:15:45	1029.19	3.7155	4.0120	3.8884	4.2102	27.000	27.000	27.000	27.000
1/28/2019	08:15:47	1030.56	3.7163	4.0109	3.8880	4.2104	27.000	27.000	27.000	27.000
1/28/2019	08:15:48	1031.98	3.7147	4.0113	3.8859	4.2093	27.000	27.000	27.000	27.000
1/28/2019	08:15:49	1033.22	3.7155	4.0133	3.8865	4.2079	27.000	27.000	27.000	27.000
1/28/2019	08:15:51	1034.48	3.7172	4.0145	3.8865	4.2064	27.000	27.000	27.000	27.000
1/28/2019	08:15:52	1035.89	3.7175	4.0166	3.8871	4.2082	27.000	27.000	27.000	27.000
1/28/2019	08:15:53	1037.25	3.7181	4.0149	3.8871	4.2095	27.000	27.000	27.000	27.000
1/28/2019	08:15:55	1038.84	3.7173	4.0150	3.8863	4.2111	27.000	27.000	27.000	27.000
1/28/2019	08:15:56	1040.33	3.7195	4.0153	3.8859	4.2102	27.000	27.000	27.000	27.000
1/28/2019	08:15:58	1041.72	3.7204	4.0183	3.8857	4.2103	27.000	27.000	27.000	27.000
1/28/2019	08:15:59	1043.06	3.7221	4.0171	3.8863	4.2088	27.000	27.000	27.000	27.000
1/28/2019	08:16:01	1044.62	3.7224	4.0194	3.8867	4.2086	27.000	27.000	27.000	27.000
1/28/2019	08:16:02	1046.08	3.7224	4.0194	3.8863	4.2093	27.000	27.000	27.000	27.000
1/28/2019	08:16:04	1047.53	3.7199	4.0218	3.8863	4.2106	27.000	27.000	27.000	27.000
1/28/2019	08:16:05	1048.86	3.7187	4.0188	3.8850	4.2122	27.000	27.000	27.000	27.000
1/28/2019	08:16:06	1050.34	3.7181	4.0184	3.8842	4.2138	27.000	27.000	27.000	27.000
1/28/2019	08:16:08	1051.75	3.7194	4.0172	3.8825	4.2168	27.000	27.000	27.000	27.000
1/28/2019	08:16:09	1053.20	3.7205	4.0163	3.8826	4.2147	27.000	27.000	27.000	27.000
1/28/2019	08:16:11	1054.47	3.7228	4.0128	3.8812	4.2117	27.000	27.000	27.000	27.000
1/28/2019	08:16:12	1055.77	3.7242	4.0108	3.8803	4.2093	27.000	27.000	27.000	27.000
1/28/2019	08:16:13	1057.08	3.7241	4.0118	3.8796	4.2093	27.000	27.000	27.000	27.000
1/28/2019	08:16:15	1058.55	3.7250	4.0147	3.8791	4.2118	27.000	27.000	27.000	27.000
1/28/2019	08:16:16	1060.06	3.7245	4.0160	3.8789	4.2104	27.000	27.000	27.000	27.000
1/28/2019	08:16:18	1061.56	3.7245	4.0163	3.8773	4.2104	27.000	27.000	27.000	27.000
1/28/2019	08:16:19	1062.95	3.7229	4.0151	3.8783	4.2082	27.000	27.000	27.000	27.000
1/28/2019	08:16:20	1064.44	3.7242	4.0166	3.8783	4.2093	27.000	27.000	27.000	27.000
1/28/2019	08:16:22	1065.83	3.7268	4.0149	3.8775	4.2115	27.000	27.000	27.000	27.000
1/28/2019	08:16:23	1067.34	3.7260	4.0149	3.8760	4.2131	27.000	27.000	27.000	27.000
1/28/2019	08:16:25	1068.92	3.7258	4.0125	3.8745	4.2142	27.000	27.000	27.000	27.000
1/28/2019	08:16:26	1070.22	3.7236	4.0125	3.8742	4.2140	27.000	27.000	27.000	27.000
1/28/2019	08:16:28	1071.56	3.7261	4.0120	3.8738	4.2133	27.000	27.000	27.000	27.000
1/28/2019	08:16:29	1072.92	3.7249	4.0125	3.8729	4.2147	27.000	27.000	27.000	27.000
1/28/2019	08:16:31	1074.55	3.7260	4.0139	3.8712	4.2156	27.000	27.000	27.000	27.000
1/28/2019	08:16:32	1076.09	3.7248	4.0168	3.8700	4.2178	27.000	27.000	27.000	27.000
1/28/2019	08:16:34	1077.47	3.7269	4.0163	3.8705	4.2158	27.000	27.000	27.000	27.000
1/28/2019	08:16:35	1078.77	3.7280	4.0156	3.8704	4.2171	27.000	27.000	27.000	27.000
1/28/2019	08:16:36	1080.19	3.7308	4.0147	3.8712	4.2169	27.000	27.000	27.000	27.000
1/28/2019	08:16:38	1081.83	3.7314	4.0150	3.8697	4.2172	27.000	27.000	27.000	27.000
1/28/2019	08:16:39	1083.12	3.7298	4.0156	3.8708	4.2133	27.000	27.000	27.000	27.000
1/28/2019	08:16:40	1084.44	3.7258	4.0165	3.8696	4.2135	27.000	27.000	27.000	27.000
1/28/2019	08:16:42	1085.81	3.7239	4.0172	3.8701	4.2136	27.000	27.000	27.000	27.000
1/28/2019	08:16:43	1087.20	3.7259	4.0179	3.8695	4.2157	27.000	27.000	27.000	27.000
1/28/2019	08:16:44	1088.45	3.7290	4.0171	3.8695	4.2149	27.000	27.000	27.000	27.000
1/28/2019	08:16:46	1089.73	3.7326	4.0166	3.8706	4.2157	27.000	27.000	27.000	27.000
1/28/2019	08:16:47	1091.02	3.7331	4.0151	3.8710	4.2172	27.000	27.000	27.000	27.000
1/28/2019	08:16:48	1092.39	3.7330	4.0124	3.8725	4.2178	27.000	27.000	27.000	27.000
1/28/2019	08:16:50	1093.92	3.7313	4.0114	3.8722	4.2180	27.000	27.000	27.000	27.000
1/28/2019	08:16:51	1095.39	3.7309	4.0106	3.8726	4.2165	27.000	27.000	27.000	27.000
1/28/2019	08:16:53	1096.69	3.7309	4.0135	3.8725	4.2167	27.000	27.000	27.000	27.000
1/28/2019	08:16:54	1097.98	3.7301	4.0129	3.8735	4.2168	27.000	27.000	27.000	27.000
1/28/2019	08:16:55	1099.23	3.7291	4.0139	3.8734	4.2186	27.000	27.000	27.000	27.000
1/28/2019	08:16:57	1100.52	3.7297	4.0128	3.8726	4.2172	27.000	27.000	27.000	27.000
1/28/2019	08:16:58	1102.30	3.7317	4.0135	3.8714	4.2172	27.000	27.000	27.000	27.000
1/28/2019	08:17:00	1103.72	3.7330	4.0120	3.8712	4.2165	27.000	27.000	27.000	27.000
1/28/2019	08:17:01	1105.05	3.7343	4.0103	3.8722	4.2177	27.000	27.000	27.000	27.000
1/28/2019	08:17:02	1106.37	3.7320	4.0119	3.8728	4.2179	27.000	27.000	27.000	27.000
1/28/2019	08:17:04	1107.70	3.7337	4.0153	3.8734	4.2190	27.000	27.000	27.000	27.000
1/28/2019	08:17:05	1109.05	3.7334	4.0163	3.8729	4.2201	27.000	27.000	27.000	27.000
1/28/2019	08:17:07	1110.56	3.7371	4.0159	3.8722	4.2207	27.000	27.000	27.000	27.000
1/28/2019	08:17:08	1112.17	3.7355	4.0164	3.8718	4.2209	27.000	27.000	27.000	27.000
1/28/2019	08:17:10	1113.58	3.7361	4.0168	3.8724	4.2205	27.000	27.000	27.000	27.000
1/28/2019	08:17:11	1114.91	3.7328	4.0161	3.8722	4.2208	27.000	27.000	27.000	27.000
1/28/2019	08:17:12	1116.20	3.7339	4.0129	3.8712	4.2198	27.000	27.000	27.000	27.000
1/28/2019	08:17:14	1117.66	3.7320	4.0142	3.8693	4.2194	27.000	27.000	27.000	27.000
1/28/2019	08:17:15	1119.02	3.7332	4.0168	3.8687	4.2171	27.000	27.000	27.000	27.000
1/28/2019	08:17:16	1120.36	3.7339	4.0182	3.8693	4.2161	27.000	27.000	27.000	27.000
1/28/2019	08:17:18	1121.87	3.7378	4.0186	3.8712	4.2154	27.000	27.000	27.000	27.000
1/28/2019	08:17:19	1123.39	3.7382	4.0161	3.8709	4.2176	27.000	27.000	27.000	27.000
1/28/2019	08:17:21	1124.80	3.7386	4.0175	3.8697	4.2173	27.000	27.000	27.000	27.000
