Date	Time_HH:MM:SS	Time_sec	Ch1_O2_14A	Ch2_O2_14B	Ch3_O2_15A	Ch4_O2_15B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/26/2019	00:52:12	0.00	3.5905	4.0462	4.0049	4.1156	34.500	34.500	34.500	34.500
1/26/2019	00:52:27	15.00	3.5972	4.0480	3.9984	4.1137	34.500	34.500	34.500	34.500
1/26/2019	00:52:42	30.00	3.5907	4.0401	3.9988	4.1132	34.500	34.500	34.500	34.500
1/26/2019	00:52:57	45.00	3.5933	4.0460	3.9932	4.1170	34.500	34.500	34.500	34.500
1/26/2019	00:53:12	60.00	3.5890	4.0507	3.9952	4.1194	34.500	34.500	34.500	34.500
1/26/2019	00:53:27	75.00	3.5807	4.0532	3.9928	4.1222	34.500	34.500	34.500	34.500
1/26/2019	00:53:42	90.00	3.5588	4.0522	3.9880	4.1167	34.500	34.500	34.500	34.500
1/26/2019	00:53:57	105.00	3.5551	4.0451	3.9881	4.1209	34.500	34.500	34.500	34.500
1/26/2019	00:54:12	120.00	3.5443	4.0468	3.9834	4.1236	34.500	34.500	34.500	34.500
1/26/2019	00:54:27	135.00	3.5230	4.0450	3.9840	4.1237	34.500	34.500	34.500	34.500
1/26/2019	00:54:42	150.00	3.5036	4.0428	3.9786	4.1228	34.500	34.500	34.500	34.500
1/26/2019	00:54:57	165.00	3.4977	4.0491	3.9806	4.1247	34.500	34.500	34.500	34.500
1/26/2019	00:55:12	180.00	3.4907	4.0404	3.9751	4.1299	34.500	34.500	34.500	34.500
1/26/2019	00:55:27	195.00	3.4887	4.0536	3.9734	4.1271	34.500	34.500	34.500	34.500
1/26/2019	00:55:42	210.00	3.4793	4.0371	3.9708	4.1303	34.500	34.500	34.500	34.500
1/26/2019	00:55:57	225.00	3.4652	4.0365	3.9705	4.1300	34.500	34.500	34.500	34.500
1/26/2019	00:56:12	240.00	3.4422	4.0340	3.9622	4.1310	34.500	34.500	34.500	34.500
1/26/2019	00:56:27	255.00	3.4464	4.0316	3.9601	4.1327	34.500	34.500	34.500	34.500
1/26/2019	00:56:42	270.00	3.4386	4.0356	3.9592	4.1311	34.500	34.500	34.500	34.500
1/26/2019	00:56:57	285.00	3.4370	4.0426	3.9577	4.1320	34.500	34.500	34.500	34.500
1/26/2019	00:57:12	300.00	3.4346	4.0370	3.9560	4.1393	34.500	34.500	34.500	34.500
