Date	Time_HH:MM:SS	Time_sec	Ch1_O2_15_field	Ch2_O2_drift	Ch3_O2_drift	Ch4_O2_drift	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	13:09:25	0.00	4.0960	4.5577	4.5452	4.6134	22.000	22.000	22.000	22.000
1/27/2019	13:09:28	3.00	4.0989	4.5584	4.5484	4.6123	22.000	22.000	22.000	22.000
1/27/2019	13:09:29	4.00	4.0962	4.5600	4.5504	4.6132	22.000	22.000	22.000	22.000
1/27/2019	13:09:30	5.02	4.0990	4.5583	4.5513	4.6117	22.000	22.000	22.000	22.000
1/27/2019	13:09:31	6.05	4.1010	4.5579	4.5495	4.6128	22.000	22.000	22.000	22.000
1/27/2019	13:09:32	7.17	4.1074	4.5553	4.5493	4.6120	22.000	22.000	22.000	22.000
1/27/2019	13:09:34	9.22	4.1042	4.5559	4.5487	4.6127	22.000	22.000	22.000	22.000
1/27/2019	13:09:35	10.33	4.0980	4.5559	4.5501	4.6123	22.000	22.000	22.000	22.000
1/27/2019	13:09:37	11.73	4.0921	4.5566	4.5498	4.6127	22.000	22.000	22.000	22.000
1/27/2019	13:09:44	18.62	4.0883	4.5555	4.5503	4.6132	22.000	22.000	22.000	22.000
1/27/2019	13:09:45	19.72	4.0872	4.5552	4.5488	4.6136	22.000	22.000	22.000	22.000
1/27/2019	13:09:46	20.81	4.0875	4.5562	4.5495	4.6128	22.000	22.000	22.000	22.000
1/27/2019	13:09:47	22.33	4.0913	4.5565	4.5511	4.6123	22.000	22.000	22.000	22.000
1/27/2019	13:09:49	23.61	4.0960	4.5556	4.5507	4.6111	22.000	22.000	22.000	22.000
1/27/2019	13:09:50	24.80	4.0957	4.5556	4.5502	4.6126	22.000	22.000	22.000	22.000
1/27/2019	13:09:51	25.97	4.0956	4.5582	4.5494	4.6126	22.000	22.000	22.000	22.000
1/27/2019	13:09:52	27.16	4.0954	4.5593	4.5501	4.6149	22.000	22.000	22.000	22.000
1/27/2019	13:09:54	28.45	4.0954	4.5591	4.5517	4.6142	22.000	22.000	22.000	22.000
1/27/2019	13:09:55	29.72	4.0933	4.5584	4.5495	4.6146	22.000	22.000	22.000	22.000
1/27/2019	13:09:56	31.20	4.0952	4.5583	4.5503	4.6134	22.000	22.000	22.000	22.000
1/27/2019	13:09:57	32.33	4.0969	4.5580	4.5482	4.6123	22.000	22.000	22.000	22.000
1/27/2019	13:09:59	33.44	4.0984	4.5569	4.5480	4.6119	22.000	22.000	22.000	22.000
1/27/2019	13:10:00	34.66	4.0938	4.5569	4.5477	4.6108	22.000	22.000	22.000	22.000
1/27/2019	13:10:01	35.80	4.0923	4.5559	4.5481	4.6119	22.000	22.000	22.000	22.000
1/27/2019	13:10:02	36.97	4.0917	4.5553	4.5504	4.6124	22.000	22.000	22.000	22.000
1/27/2019	13:10:04	38.48	4.0904	4.5548	4.5506	4.6117	22.000	22.000	22.000	22.000
1/27/2019	13:10:05	39.62	4.0861	4.5573	4.5493	4.6104	22.000	22.000	22.000	22.000
1/27/2019	13:10:06	40.73	4.0850	4.5573	4.5484	4.6087	22.000	22.000	22.000	22.000
1/27/2019	13:10:07	41.91	4.0794	4.5583	4.5464	4.6093	22.000	22.000	22.000	22.000
1/27/2019	13:10:08	43.22	4.0737	4.5563	4.5464	4.6102	22.000	22.000	22.000	22.000
1/27/2019	13:10:10	44.73	4.0633	4.5577	4.5467	4.6096	22.000	22.000	22.000	22.000
1/27/2019	13:10:11	45.94	4.0586	4.5574	4.5472	4.6102	22.000	22.000	22.000	22.000
1/27/2019	13:10:12	47.08	4.0535	4.5577	4.5482	4.6092	22.000	22.000	22.000	22.000
1/27/2019	13:10:13	48.28	4.0521	4.5580	4.5494	4.6119	22.000	22.000	22.000	22.000
1/27/2019	13:10:15	49.77	4.0494	4.5584	4.5507	4.6108	22.000	22.000	22.000	22.000
1/27/2019	13:10:16	50.87	4.0471	4.5593	4.5517	4.6104	22.000	22.000	22.000	22.000
1/27/2019	13:10:17	52.14	4.0443	4.5574	4.5507	4.6100	22.000	22.000	22.000	22.000
1/27/2019	13:10:19	53.56	4.0423	4.5572	4.5511	4.6104	22.000	22.000	22.000	22.000
1/27/2019	13:10:20	54.70	4.0416	4.5559	4.5518	4.6112	22.000	22.000	22.000	22.000
1/27/2019	13:10:21	56.22	4.0399	4.5569	4.5523	4.6096	22.000	22.000	22.000	22.000
1/27/2019	13:10:23	57.47	4.0395	4.5566	4.5516	4.6102	22.000	22.000	22.000	22.000
