Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T1_27A	Ch2_O2_13|T1_27A	Ch3_O2_14|T1_27A	Ch4_O2_15|T1_27A	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	23:13:24	0.00	4.0411	4.2526	4.1115	4.0623	27.000	27.000	27.000	27.000
1/27/2019	23:13:28	3.11	4.0372	4.2521	4.1097	4.0645	27.000	27.000	27.000	27.000
1/27/2019	23:13:29	4.77	4.0362	4.2512	4.1101	4.0657	27.000	27.000	27.000	27.000
1/27/2019	23:13:31	6.33	4.0352	4.2512	4.1107	4.0662	27.000	27.000	27.000	27.000
1/27/2019	23:13:32	7.69	4.0346	4.2523	4.1122	4.0654	27.000	27.000	27.000	27.000
1/27/2019	23:13:34	9.09	4.0320	4.2533	4.1111	4.0647	27.000	27.000	27.000	27.000
1/27/2019	23:13:36	11.55	4.0323	4.2540	4.1080	4.0638	27.000	27.000	27.000	27.000
1/27/2019	23:13:38	13.62	4.0308	4.2529	4.1051	4.0646	27.000	27.000	27.000	27.000
1/27/2019	23:13:40	15.75	4.0303	4.2517	4.1044	4.0670	27.000	27.000	27.000	27.000
1/27/2019	23:13:41	17.06	4.0290	4.2528	4.1062	4.0706	27.000	27.000	27.000	27.000
1/27/2019	23:13:44	19.14	4.0276	4.2524	4.1059	4.0734	27.000	27.000	27.000	27.000
1/27/2019	23:13:46	21.30	4.0270	4.2531	4.1040	4.0739	27.000	27.000	27.000	27.000
1/27/2019	23:13:48	23.30	4.0240	4.2502	4.1006	4.0742	27.000	27.000	27.000	27.000
1/27/2019	23:13:49	25.03	4.0217	4.2508	4.0977	4.0746	27.000	27.000	27.000	27.000
1/27/2019	23:13:51	26.47	4.0199	4.2499	4.0961	4.0760	27.000	27.000	27.000	27.000
1/27/2019	23:13:52	27.97	4.0190	4.2489	4.0950	4.0755	27.000	27.000	27.000	27.000
1/27/2019	23:13:54	29.87	4.0199	4.2467	4.0945	4.0740	27.000	27.000	27.000	27.000
1/27/2019	23:13:56	31.89	4.0186	4.2460	4.0915	4.0724	27.000	27.000	27.000	27.000
