Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T1_29.5A	Ch2_O2_13|T1_29.5A	Ch3_O2_14|T1_29.5A	Ch4_O2_15|T1_29.5A	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	22:06:59	0.00	4.0627	4.0649	4.1412	4.1619	29.500	29.500	29.500	29.500
1/27/2019	22:07:02	2.89	4.0611	4.0649	4.1405	4.1590	29.500	29.500	29.500	29.500
1/27/2019	22:07:03	4.03	4.0620	4.0668	4.1375	4.1573	29.500	29.500	29.500	29.500
1/27/2019	22:07:05	5.33	4.0607	4.0667	4.1364	4.1573	29.500	29.500	29.500	29.500
1/27/2019	22:07:06	6.69	4.0591	4.0647	4.1359	4.1577	29.500	29.500	29.500	29.500
1/27/2019	22:07:07	8.00	4.0579	4.0627	4.1371	4.1595	29.500	29.500	29.500	29.500
1/27/2019	22:07:09	9.72	4.0577	4.0614	4.1369	4.1586	29.500	29.500	29.500	29.500
1/27/2019	22:07:10	10.97	4.0590	4.0633	4.1368	4.1593	29.500	29.500	29.500	29.500
1/27/2019	22:07:12	12.25	4.0571	4.0649	4.1362	4.1583	29.500	29.500	29.500	29.500
1/27/2019	22:07:13	13.48	4.0575	4.0658	4.1364	4.1586	29.500	29.500	29.500	29.500
1/27/2019	22:07:14	14.75	4.0561	4.0638	4.1367	4.1564	29.500	29.500	29.500	29.500
1/27/2019	22:07:15	16.02	4.0578	4.0617	4.1344	4.1554	29.500	29.500	29.500	29.500
1/27/2019	22:07:17	17.45	4.0546	4.0597	4.1330	4.1550	29.500	29.500	29.500	29.500
1/27/2019	22:07:18	18.84	4.0549	4.0605	4.1294	4.1561	29.500	29.500	29.500	29.500
1/27/2019	22:07:20	20.17	4.0545	4.0593	4.1311	4.1564	29.500	29.500	29.500	29.500
1/27/2019	22:07:21	21.36	4.0574	4.0589	4.1312	4.1559	29.500	29.500	29.500	29.500
1/27/2019	22:07:22	22.62	4.0555	4.0589	4.1337	4.1575	29.500	29.500	29.500	29.500
1/27/2019	22:07:23	23.91	4.0554	4.0608	4.1334	4.1572	29.500	29.500	29.500	29.500
1/27/2019	22:07:25	25.17	4.0530	4.0614	4.1321	4.1568	29.500	29.500	29.500	29.500
1/27/2019	22:07:26	26.61	4.0545	4.0609	4.1316	4.1545	29.500	29.500	29.500	29.500
1/27/2019	22:07:27	28.05	4.0545	4.0609	4.1308	4.1539	29.500	29.500	29.500	29.500
1/27/2019	22:07:29	29.34	4.0549	4.0597	4.1317	4.1537	29.500	29.500	29.500	29.500
1/27/2019	22:07:30	30.86	4.0527	4.0589	4.1306	4.1538	29.500	29.500	29.500	29.500
1/27/2019	22:07:32	32.34	4.0526	4.0582	4.1307	4.1533	29.500	29.500	29.500	29.500
1/27/2019	22:07:33	33.56	4.0500	4.0597	4.1304	4.1531	29.500	29.500	29.500	29.500
1/27/2019	22:07:34	34.84	4.0485	4.0610	4.1303	4.1515	29.500	29.500	29.500	29.500
1/27/2019	22:07:36	36.64	4.0471	4.0614	4.1293	4.1523	29.500	29.500	29.500	29.500
1/27/2019	22:07:37	37.91	4.0494	4.0615	4.1277	4.1516	29.500	29.500	29.500	29.500
1/27/2019	22:07:39	39.12	4.0507	4.0595	4.1256	4.1516	29.500	29.500	29.500	29.500
1/27/2019	22:07:40	40.36	4.0507	4.0599	4.1263	4.1493	29.500	29.500	29.500	29.500
1/27/2019	22:07:41	41.67	4.0494	4.0592	4.1254	4.1483	29.500	29.500	29.500	29.500
1/27/2019	22:07:42	42.98	4.0485	4.0606	4.1249	4.1478	29.500	29.500	29.500	29.500
1/27/2019	22:07:44	44.36	4.0480	4.0596	4.1224	4.1493	29.500	29.500	29.500	29.500
1/27/2019	22:07:45	45.98	4.0469	4.0583	4.1237	4.1500	29.500	29.500	29.500	29.500
1/27/2019	22:07:47	47.31	4.0469	4.0579	4.1240	4.1490	29.500	29.500	29.500	29.500
1/27/2019	22:07:48	48.59	4.0456	4.0579	4.1240	4.1479	29.500	29.500	29.500	29.500
1/27/2019	22:07:49	49.83	4.0448	4.0587	4.1239	4.1435	29.500	29.500	29.500	29.500
1/27/2019	22:07:50	51.08	4.0440	4.0592	4.1249	4.1430	29.500	29.500	29.500	29.500
1/27/2019	22:07:52	52.47	4.0435	4.0572	4.1253	4.1407	29.500	29.500	29.500	29.500
1/27/2019	22:07:53	53.94	4.0446	4.0574	4.1239	4.1422	29.500	29.500	29.500	29.500
1/27/2019	22:07:55	55.19	4.0426	4.0536	4.1233	4.1420	29.500	29.500	29.500	29.500
1/27/2019	22:07:56	56.39	4.0427	4.0532	4.1223	4.1407	29.500	29.500	29.500	29.500
1/27/2019	22:07:57	57.70	4.0401	4.0512	4.1229	4.1420	29.500	29.500	29.500	29.500
1/27/2019	22:07:58	59.00	4.0404	4.0521	4.1216	4.1431	29.500	29.500	29.500	29.500
1/27/2019	22:08:00	60.28	4.0394	4.0528	4.1202	4.1452	29.500	29.500	29.500	29.500
1/27/2019	22:08:01	61.78	4.0390	4.0531	4.1192	4.1431	29.500	29.500	29.500	29.500
1/27/2019	22:08:03	63.37	4.0390	4.0531	4.1176	4.1430	29.500	29.500	29.500	29.500
1/27/2019	22:08:04	64.69	4.0371	4.0513	4.1169	4.1429	29.500	29.500	29.500	29.500
1/27/2019	22:08:05	66.02	4.0369	4.0502	4.1166	4.1427	29.500	29.500	29.500	29.500
1/27/2019	22:08:07	67.44	4.0352	4.0483	4.1181	4.1419	29.500	29.500	29.500	29.500
1/27/2019	22:08:08	68.84	4.0355	4.0488	4.1185	4.1412	29.500	29.500	29.500	29.500
1/27/2019	22:08:10	70.27	4.0351	4.0471	4.1152	4.1406	29.500	29.500	29.500	29.500
1/27/2019	22:08:11	72.05	4.0362	4.0476	4.1134	4.1401	29.500	29.500	29.500	29.500
1/27/2019	22:08:13	73.50	4.0365	4.0476	4.1130	4.1393	29.500	29.500	29.500	29.500
1/27/2019	22:08:14	75.06	4.0360	4.0471	4.1148	4.1392	29.500	29.500	29.500	29.500
1/27/2019	22:08:16	76.58	4.0342	4.0457	4.1155	4.1382	29.500	29.500	29.500	29.500
1/27/2019	22:08:17	77.75	4.0329	4.0435	4.1148	4.1371	29.500	29.500	29.500	29.500
1/27/2019	22:08:18	79.00	4.0341	4.0445	4.1145	4.1377	29.500	29.500	29.500	29.500
1/27/2019	22:08:20	80.22	4.0344	4.0445	4.1147	4.1373	29.500	29.500	29.500	29.500
1/27/2019	22:08:21	81.77	4.0341	4.0444	4.1160	4.1358	29.500	29.500	29.500	29.500
1/27/2019	22:08:23	83.14	4.0326	4.0442	4.1153	4.1359	29.500	29.500	29.500	29.500
1/27/2019	22:08:24	84.41	4.0323	4.0432	4.1154	4.1355	29.500	29.500	29.500	29.500
1/27/2019	22:08:25	85.95	4.0303	4.0432	4.1140	4.1355	29.500	29.500	29.500	29.500
1/27/2019	22:08:27	87.30	4.0299	4.0410	4.1138	4.1336	29.500	29.500	29.500	29.500
1/27/2019	22:08:28	88.48	4.0284	4.0411	4.1113	4.1339	29.500	29.500	29.500	29.500
1/27/2019	22:08:30	90.27	4.0299	4.0407	4.1111	4.1347	29.500	29.500	29.500	29.500
1/27/2019	22:08:31	91.58	4.0296	4.0415	4.1114	4.1333	29.500	29.500	29.500	29.500
