Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T1_32B2	Ch2_O2_13|T1_32B2	Ch3_O2_14|T1_32B2	Ch4_O2_15|T1_32B2	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	20:55:35	0.00	4.0256	4.0428	4.0100	4.0766	32.000	32.000	32.000	32.000
1/27/2019	20:55:38	3.22	4.0240	4.0434	4.0089	4.0765	32.000	32.000	32.000	32.000
1/27/2019	20:55:39	4.69	4.0252	4.0442	4.0067	4.0775	32.000	32.000	32.000	32.000
1/27/2019	20:55:41	6.12	4.0225	4.0428	4.0062	4.0793	32.000	32.000	32.000	32.000
1/27/2019	20:55:42	7.47	4.0238	4.0442	4.0059	4.0806	32.000	32.000	32.000	32.000
1/27/2019	20:55:44	8.97	4.0234	4.0429	4.0056	4.0825	32.000	32.000	32.000	32.000
1/27/2019	20:55:45	10.50	4.0245	4.0452	4.0075	4.0815	32.000	32.000	32.000	32.000
1/27/2019	20:55:47	12.03	4.0213	4.0446	4.0080	4.0821	32.000	32.000	32.000	32.000
1/27/2019	20:55:48	13.30	4.0213	4.0438	4.0099	4.0796	32.000	32.000	32.000	32.000
1/27/2019	20:55:49	14.72	4.0196	4.0421	4.0103	4.0789	32.000	32.000	32.000	32.000
1/27/2019	20:55:51	16.05	4.0216	4.0413	4.0105	4.0767	32.000	32.000	32.000	32.000
1/27/2019	20:55:54	19.12	4.0197	4.0442	4.0100	4.0773	32.000	32.000	32.000	32.000
1/27/2019	20:55:56	21.03	4.0219	4.0454	4.0080	4.0772	32.000	32.000	32.000	32.000
1/27/2019	20:55:57	22.55	4.0207	4.0458	4.0081	4.0791	32.000	32.000	32.000	32.000
1/27/2019	20:55:58	23.94	4.0229	4.0432	4.0091	4.0796	32.000	32.000	32.000	32.000
1/27/2019	20:56:00	25.23	4.0191	4.0413	4.0093	4.0810	32.000	32.000	32.000	32.000
1/27/2019	20:56:01	26.58	4.0219	4.0407	4.0081	4.0792	32.000	32.000	32.000	32.000
1/27/2019	20:56:03	28.12	4.0209	4.0402	4.0062	4.0806	32.000	32.000	32.000	32.000
1/27/2019	20:56:04	29.50	4.0231	4.0395	4.0063	4.0810	32.000	32.000	32.000	32.000
1/27/2019	20:56:05	30.91	4.0196	4.0407	4.0079	4.0803	32.000	32.000	32.000	32.000
1/27/2019	20:56:07	32.23	4.0191	4.0407	4.0070	4.0779	32.000	32.000	32.000	32.000
1/27/2019	20:56:08	33.55	4.0187	4.0404	4.0040	4.0780	32.000	32.000	32.000	32.000
1/27/2019	20:56:10	35.16	4.0228	4.0394	4.0028	4.0776	32.000	32.000	32.000	32.000
1/27/2019	20:56:11	36.50	4.0220	4.0393	4.0036	4.0778	32.000	32.000	32.000	32.000
1/27/2019	20:56:12	37.72	4.0247	4.0394	4.0050	4.0762	32.000	32.000	32.000	32.000
