Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_27B	Ch2_O2_13|T2_27B	Ch3_O2_14|T2_27B	Ch4_O2_15|T2_27B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	08:03:52	300.03	4.0375	4.1654	3.9908	4.2773	27.000	27.000	27.000	27.000
1/28/2019	08:03:54	301.52	4.0376	4.1662	3.9875	4.2751	27.000	27.000	27.000	27.000
1/28/2019	08:03:55	302.98	4.0376	4.1657	3.9863	4.2742	27.000	27.000	27.000	27.000
1/28/2019	08:03:57	304.37	4.0366	4.1682	3.9889	4.2736	27.000	27.000	27.000	27.000
1/28/2019	08:03:58	305.70	4.0362	4.1667	3.9899	4.2760	27.000	27.000	27.000	27.000
1/28/2019	08:04:00	307.22	4.0360	4.1668	3.9898	4.2746	27.000	27.000	27.000	27.000
1/28/2019	08:04:01	308.64	4.0365	4.1660	3.9888	4.2740	27.000	27.000	27.000	27.000
1/28/2019	08:04:03	310.34	4.0362	4.1678	3.9878	4.2731	27.000	27.000	27.000	27.000
1/28/2019	08:04:04	311.80	4.0368	4.1681	3.9864	4.2719	27.000	27.000	27.000	27.000
1/28/2019	08:04:06	313.14	4.0349	4.1689	3.9864	4.2712	27.000	27.000	27.000	27.000
1/28/2019	08:04:07	314.62	4.0363	4.1693	3.9863	4.2718	27.000	27.000	27.000	27.000
1/28/2019	08:04:08	315.89	4.0344	4.1721	3.9864	4.2722	27.000	27.000	27.000	27.000
1/28/2019	08:04:10	317.36	4.0346	4.1709	3.9840	4.2716	27.000	27.000	27.000	27.000
1/28/2019	08:04:11	318.75	4.0311	4.1710	3.9820	4.2698	27.000	27.000	27.000	27.000
1/28/2019	08:04:13	320.16	4.0297	4.1691	3.9819	4.2713	27.000	27.000	27.000	27.000
1/28/2019	08:04:14	321.61	4.0268	4.1682	3.9825	4.2723	27.000	27.000	27.000	27.000
1/28/2019	08:04:15	322.97	4.0253	4.1668	3.9823	4.2726	27.000	27.000	27.000	27.000
1/28/2019	08:04:17	324.36	4.0250	4.1646	3.9832	4.2738	27.000	27.000	27.000	27.000
1/28/2019	08:04:18	325.91	4.0242	4.1645	3.9844	4.2744	27.000	27.000	27.000	27.000
1/28/2019	08:04:20	327.31	4.0228	4.1653	3.9873	4.2743	27.000	27.000	27.000	27.000
1/28/2019	08:04:21	328.41	4.0211	4.1654	3.9884	4.2725	27.000	27.000	27.000	27.000
1/28/2019	08:04:22	329.67	4.0195	4.1659	3.9876	4.2722	27.000	27.000	27.000	27.000
