Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_29.5B	Ch2_O2_13|T2_29.5B	Ch3_O2_14|T2_29.5B	Ch4_O2_15|T2_29.5B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	07:13:24	0.00	4.1093	4.1363	4.1351	4.1587	27.000	27.000	27.000	27.000
1/28/2019	07:13:26	2.53	4.1062	4.1351	4.1319	4.1587	27.000	27.000	27.000	27.000
1/28/2019	07:13:27	3.81	4.1057	4.1355	4.1308	4.1606	27.000	27.000	27.000	27.000
1/28/2019	07:13:29	5.05	4.1051	4.1356	4.1284	4.1622	27.000	27.000	27.000	27.000
1/28/2019	07:13:30	6.64	4.1078	4.1364	4.1265	4.1623	27.000	27.000	27.000	27.000
1/28/2019	07:13:32	7.91	4.1094	4.1368	4.1232	4.1624	27.000	27.000	27.000	27.000
1/28/2019	07:13:33	9.30	4.1098	4.1372	4.1238	4.1619	27.000	27.000	27.000	27.000
1/28/2019	07:13:34	10.64	4.1092	4.1374	4.1253	4.1611	27.000	27.000	27.000	27.000
1/28/2019	07:13:36	12.03	4.1105	4.1366	4.1278	4.1602	27.000	27.000	27.000	27.000
1/28/2019	07:13:37	13.41	4.1101	4.1374	4.1303	4.1573	27.000	27.000	27.000	27.000
1/28/2019	07:13:38	14.70	4.1146	4.1393	4.1300	4.1575	27.000	27.000	27.000	27.000
1/28/2019	07:13:40	15.97	4.1101	4.1389	4.1283	4.1569	27.000	27.000	27.000	27.000
1/28/2019	07:13:41	17.28	4.1121	4.1382	4.1248	4.1590	27.000	27.000	27.000	27.000
1/28/2019	07:13:42	18.64	4.1075	4.1383	4.1201	4.1584	27.000	27.000	27.000	27.000
1/28/2019	07:13:44	19.84	4.1066	4.1404	4.1178	4.1570	27.000	27.000	27.000	27.000
1/28/2019	07:13:45	21.17	4.1017	4.1404	4.1165	4.1552	27.000	27.000	27.000	27.000
1/28/2019	07:13:46	22.59	4.1047	4.1395	4.1186	4.1560	27.000	27.000	27.000	27.000
1/28/2019	07:13:48	23.92	4.1098	4.1389	4.1203	4.1571	27.000	27.000	27.000	27.000
1/28/2019	07:13:49	25.22	4.1118	4.1384	4.1236	4.1587	27.000	27.000	27.000	27.000
1/28/2019	07:13:50	26.50	4.1096	4.1364	4.1278	4.1581	27.000	27.000	27.000	27.000
1/28/2019	07:13:51	27.81	4.1075	4.1359	4.1287	4.1573	27.000	27.000	27.000	27.000
1/28/2019	07:13:53	29.20	4.1059	4.1352	4.1244	4.1555	27.000	27.000	27.000	27.000
1/28/2019	07:13:54	30.41	4.1042	4.1347	4.1162	4.1543	27.000	27.000	27.000	27.000
1/28/2019	07:13:55	31.69	4.1035	4.1331	4.1093	4.1568	27.000	27.000	27.000	27.000
1/28/2019	07:13:57	32.98	4.1042	4.1321	4.1058	4.1600	27.000	27.000	27.000	27.000
1/28/2019	07:13:58	34.30	4.1017	4.1319	4.1043	4.1650	27.000	27.000	27.000	27.000
1/28/2019	07:13:59	35.59	4.1002	4.1317	4.1019	4.1664	27.000	27.000	27.000	27.000
1/28/2019	07:14:01	36.92	4.0997	4.1301	4.1008	4.1654	27.000	27.000	27.000	27.000
1/28/2019	07:14:02	38.30	4.0997	4.1286	4.1012	4.1622	27.000	27.000	27.000	27.000
1/28/2019	07:14:03	39.52	4.0998	4.1271	4.1037	4.1577	27.000	27.000	27.000	27.000
1/28/2019	07:14:05	40.83	4.1020	4.1254	4.1082	4.1553	27.000	27.000	27.000	27.000
1/28/2019	07:14:06	42.16	4.1056	4.1245	4.1107	4.1534	27.000	27.000	27.000	27.000
1/28/2019	07:14:07	43.50	4.1061	4.1241	4.1138	4.1536	27.000	27.000	27.000	27.000
1/28/2019	07:14:09	44.94	4.1042	4.1249	4.1112	4.1568	27.000	27.000	27.000	27.000
1/28/2019	07:14:10	46.20	4.1045	4.1249	4.1100	4.1575	27.000	27.000	27.000	27.000
1/28/2019	07:14:11	47.56	4.1038	4.1235	4.1066	4.1575	27.000	27.000	27.000	27.000
1/28/2019	07:14:13	48.87	4.1006	4.1226	4.1067	4.1574	27.000	27.000	27.000	27.000
1/28/2019	07:14:14	50.20	4.0981	4.1227	4.1035	4.1564	27.000	27.000	27.000	27.000
1/28/2019	07:14:15	51.53	4.0989	4.1210	4.1038	4.1590	27.000	27.000	27.000	27.000
