Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_34.5A	Ch2_O2_13|T2_34.5A	Ch3_O2_14|T2_34.5A	Ch4_O2_15|T2_34.5A	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	05:53:21	2.84	4.0910	4.2497	4.2095	4.2559	27.000	27.000	27.000	27.000
1/28/2019	05:53:23	5.16	4.0897	4.2488	4.2080	4.2536	27.000	27.000	27.000	27.000
1/28/2019	05:53:25	6.56	4.0882	4.2499	4.2088	4.2504	27.000	27.000	27.000	27.000
1/28/2019	05:53:26	8.19	4.0862	4.2493	4.2088	4.2483	27.000	27.000	27.000	27.000
1/28/2019	05:53:28	9.97	4.0873	4.2482	4.2098	4.2467	27.000	27.000	27.000	27.000
1/28/2019	05:53:30	12.05	4.0875	4.2492	4.2104	4.2471	27.000	27.000	27.000	27.000
1/28/2019	05:53:32	13.80	4.0887	4.2509	4.2076	4.2480	27.000	27.000	27.000	27.000
1/28/2019	05:53:34	15.77	4.0870	4.2510	4.2086	4.2509	27.000	27.000	27.000	27.000
1/28/2019	05:53:36	17.39	4.0848	4.2484	4.2076	4.2505	27.000	27.000	27.000	27.000
1/28/2019	05:53:38	19.44	4.0824	4.2466	4.2089	4.2498	27.000	27.000	27.000	27.000
1/28/2019	05:53:39	21.00	4.0802	4.2469	4.2076	4.2467	27.000	27.000	27.000	27.000
1/28/2019	05:53:41	22.77	4.0792	4.2479	4.2076	4.2477	27.000	27.000	27.000	27.000
1/28/2019	05:53:43	24.55	4.0768	4.2479	4.2072	4.2494	27.000	27.000	27.000	27.000
1/28/2019	05:53:45	26.73	4.0765	4.2483	4.2063	4.2501	27.000	27.000	27.000	27.000
1/28/2019	05:53:46	28.12	4.0760	4.2456	4.2054	4.2484	27.000	27.000	27.000	27.000
1/28/2019	05:53:48	29.72	4.0764	4.2464	4.2050	4.2463	27.000	27.000	27.000	27.000
1/28/2019	05:53:50	31.28	4.0762	4.2453	4.2063	4.2473	27.000	27.000	27.000	27.000
1/28/2019	05:53:51	32.59	4.0768	4.2470	4.2078	4.2495	27.000	27.000	27.000	27.000
1/28/2019	05:53:52	34.12	4.0790	4.2464	4.2079	4.2505	27.000	27.000	27.000	27.000
1/28/2019	05:53:54	35.56	4.0797	4.2458	4.2068	4.2498	27.000	27.000	27.000	27.000
1/28/2019	05:53:55	37.12	4.0812	4.2438	4.2081	4.2476	27.000	27.000	27.000	27.000
1/28/2019	05:53:57	38.50	4.0825	4.2422	4.2088	4.2478	27.000	27.000	27.000	27.000
1/28/2019	05:53:59	40.36	4.0856	4.2421	4.2091	4.2488	27.000	27.000	27.000	27.000
1/28/2019	05:54:01	42.48	4.0872	4.2413	4.2081	4.2515	27.000	27.000	27.000	27.000
1/28/2019	05:54:03	44.23	4.0880	4.2413	4.2068	4.2525	27.000	27.000	27.000	27.000
1/28/2019	05:54:04	45.81	4.0885	4.2402	4.2060	4.2513	27.000	27.000	27.000	27.000
1/28/2019	05:54:05	47.12	4.0888	4.2398	4.2069	4.2526	27.000	27.000	27.000	27.000
1/28/2019	05:54:07	48.72	4.0876	4.2401	4.2081	4.2523	27.000	27.000	27.000	27.000
1/28/2019	05:54:08	50.02	4.0860	4.2406	4.2083	4.2538	27.000	27.000	27.000	27.000
1/28/2019	05:54:10	51.42	4.0848	4.2418	4.2072	4.2508	27.000	27.000	27.000	27.000
1/28/2019	05:54:11	52.91	4.0844	4.2411	4.2057	4.2485	27.000	27.000	27.000	27.000
1/28/2019	05:54:13	55.16	4.0821	4.2419	4.2049	4.2490	27.000	27.000	27.000	27.000
1/28/2019	05:54:15	56.58	4.0806	4.2413	4.2034	4.2506	27.000	27.000	27.000	27.000
