4/8/2023/10:13 AM SW ver:OXY10v3_33
Header Ch-6
Description: Shall_06_400
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 98546
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 038800
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016500
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/8/2023;10:13:52 AM;0.00;79.360;28.750;16767.000;29.000
4/8/2023;10:13:54 AM;0.03;78.360;28.890;16771.000;29.000
4/8/2023;10:14:07 AM;0.25;78.100;28.920;16781.000;29.000
4/8/2023;10:14:22 AM;0.50;78.590;28.850;16802.000;29.000
4/8/2023;10:14:37 AM;0.75;78.410;28.880;16767.000;29.000
4/8/2023;10:14:52 AM;1.00;80.700;28.570;16728.000;29.000
4/8/2023;10:15:07 AM;1.24;78.800;28.830;16785.000;29.000
4/8/2023;10:15:22 AM;1.50;78.110;28.920;16693.000;29.000
4/8/2023;10:15:37 AM;1.75;79.980;28.660;16818.000;29.000
4/8/2023;10:15:52 AM;2.00;79.640;28.710;16779.000;29.000
4/8/2023;10:16:07 AM;2.24;78.960;28.800;16703.000;29.000
4/8/2023;10:16:22 AM;2.50;79.390;28.740;16741.000;29.000
4/8/2023;10:16:37 AM;2.75;79.170;28.770;16758.000;29.000
4/8/2023;10:16:52 AM;3.00;79.550;28.720;16682.000;29.000
4/8/2023;10:17:07 AM;3.25;79.790;28.690;16654.000;29.000
4/8/2023;10:17:22 AM;3.50;80.430;28.600;16731.000;29.000
4/8/2023;10:17:37 AM;3.75;82.230;28.360;16676.000;29.000
4/8/2023;10:17:52 AM;3.99;80.390;28.610;16616.000;29.000
4/8/2023;10:18:07 AM;4.24;80.210;28.630;16624.000;29.000
4/8/2023;10:18:22 AM;4.50;80.300;28.620;16630.000;29.000
4/8/2023;10:18:37 AM;4.75;79.170;28.770;16627.000;29.000
4/8/2023;10:18:52 AM;5.00;80.550;28.590;16599.000;29.000
4/8/2023;10:19:07 AM;5.24;81.580;28.450;16563.000;29.000
4/8/2023;10:19:22 AM;5.49;82.240;28.360;16548.000;29.000
4/8/2023;10:19:37 AM;5.75;80.190;28.630;16531.000;29.000
4/8/2023;10:19:52 AM;6.00;82.640;28.310;16453.000;29.000
4/8/2023;10:20:07 AM;6.25;81.140;28.510;16447.000;29.000
4/8/2023;10:20:22 AM;6.49;82.770;28.290;16432.000;29.000
4/8/2023;10:20:37 AM;6.75;82.150;28.370;16458.000;29.000
4/8/2023;10:20:52 AM;6.99;83.140;28.240;16372.000;29.000
4/8/2023;10:21:07 AM;7.25;82.200;28.370;16386.000;29.000
4/8/2023;10:21:22 AM;7.50;82.410;28.340;16359.000;29.000
4/8/2023;10:21:37 AM;7.75;82.630;28.310;16429.000;29.000
4/8/2023;10:21:52 AM;8.00;84.150;28.110;16385.000;29.000
4/8/2023;10:22:07 AM;8.25;83.120;28.250;16331.000;29.000
4/8/2023;10:22:22 AM;8.50;82.280;28.360;16302.000;29.000
4/8/2023;10:22:37 AM;8.75;83.370;28.210;16283.000;29.000
