4/8/2023/7:20 AM SW ver:OXY10v3_33
Header Ch-4
Description: Shall_04_50 
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 86032
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.25 at 029.0°C amp 024900
100.00%a.s.phase 2: 26.13 at 029.0°C amp 011100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/8/2023;7:20:45 AM;0.00;78.070;28.750;12536.000;29.000
4/8/2023;7:21:00 AM;0.25;78.210;28.730;12559.000;29.000
4/8/2023;7:21:15 AM;0.50;78.380;28.700;12560.000;29.000
4/8/2023;7:21:30 AM;0.75;78.690;28.660;12551.000;29.000
4/8/2023;7:21:45 AM;1.00;78.060;28.750;12545.000;29.000
4/8/2023;7:22:00 AM;1.25;78.880;28.630;12592.000;29.000
4/8/2023;7:22:15 AM;1.50;77.420;28.840;12570.000;29.000
4/8/2023;7:22:30 AM;1.75;77.640;28.810;12617.000;29.000
4/8/2023;7:22:45 AM;2.00;76.700;28.940;12605.000;29.000
4/8/2023;7:23:00 AM;2.25;76.750;28.930;12626.000;29.000
4/8/2023;7:23:15 AM;2.50;77.080;28.880;12615.000;29.000
4/8/2023;7:23:30 AM;2.75;77.340;28.850;12651.000;29.000
4/8/2023;7:23:45 AM;3.00;76.790;28.930;12624.000;29.000
4/8/2023;7:24:00 AM;3.25;77.170;28.870;12654.000;29.000
4/8/2023;7:24:15 AM;3.50;76.980;28.900;12666.000;29.000
4/8/2023;7:24:30 AM;3.75;76.380;28.980;12654.000;29.000
4/8/2023;7:24:45 AM;4.00;75.840;29.060;12671.000;29.000
4/8/2023;7:25:00 AM;4.25;76.250;29.000;12642.000;29.000
4/8/2023;7:25:15 AM;4.50;76.370;28.980;12666.000;29.000
4/8/2023;7:25:30 AM;4.75;76.790;28.920;12677.000;29.000
4/8/2023;7:25:45 AM;5.00;76.320;28.990;12695.000;29.000
4/8/2023;7:26:00 AM;5.25;75.910;29.050;12695.000;29.000
4/8/2023;7:26:15 AM;5.50;76.040;29.030;12698.000;29.000
4/8/2023;7:26:30 AM;5.75;75.850;29.060;12694.000;29.000
4/8/2023;7:26:45 AM;6.00;75.430;29.120;12719.000;29.000
4/8/2023;7:27:00 AM;6.25;76.040;29.030;12702.000;29.000
4/8/2023;7:27:15 AM;6.50;75.260;29.140;12722.000;29.000
4/8/2023;7:27:30 AM;6.75;75.450;29.120;12731.000;29.000
4/8/2023;7:27:45 AM;7.00;75.160;29.160;12714.000;29.000
4/8/2023;7:28:00 AM;7.25;74.680;29.230;12700.000;29.000
4/8/2023;7:28:15 AM;7.50;75.090;29.170;12744.000;29.000
4/8/2023;7:28:30 AM;7.75;75.220;29.150;12757.000;29.000
4/8/2023;7:28:45 AM;8.00;75.160;29.160;12778.000;29.000
4/8/2023;7:29:00 AM;8.25;75.160;29.160;12791.000;29.000
