4/8/2023/12:21 PM SW ver:OXY10v3_33
Header Ch-4
Description: Shall_04_800
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 86032
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.25 at 029.0°C amp 024900
100.00%a.s.phase 2: 26.13 at 029.0°C amp 011100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/8/2023;12:21:12 PM;0.00;92.670;26.910;13498.000;29.000
4/8/2023;12:21:15 PM;0.05;93.190;26.860;13569.000;29.000
4/8/2023;12:21:30 PM;0.30;94.390;26.720;13536.000;29.000
4/8/2023;12:21:45 PM;0.55;93.230;26.850;13492.000;29.000
4/8/2023;12:22:00 PM;0.80;93.460;26.830;13510.000;29.000
4/8/2023;12:22:15 PM;1.05;93.640;26.810;13472.000;29.000
4/8/2023;12:22:30 PM;1.30;93.900;26.780;13414.000;29.000
4/8/2023;12:22:45 PM;1.54;93.640;26.810;13438.000;29.000
4/8/2023;12:23:00 PM;1.79;94.540;26.710;13459.000;29.000
4/8/2023;12:23:15 PM;2.05;93.470;26.820;13399.000;29.000
4/8/2023;12:23:30 PM;2.29;94.350;26.730;13337.000;29.000
4/8/2023;12:23:45 PM;2.55;95.240;26.630;13334.000;29.000
4/8/2023;12:24:00 PM;2.79;95.710;26.580;13336.000;29.000
4/8/2023;12:24:15 PM;3.05;95.130;26.640;13353.000;29.000
4/8/2023;12:24:30 PM;3.29;96.860;26.450;13265.000;29.000
4/8/2023;12:24:45 PM;3.55;97.410;26.400;13266.000;29.000
4/8/2023;12:25:00 PM;3.80;96.170;26.530;13235.000;29.000
4/8/2023;12:25:15 PM;4.05;97.460;26.390;13183.000;29.000
4/8/2023;12:25:30 PM;4.30;97.100;26.430;13165.000;29.000
