sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
AS_NMS_Mgri_Deep_01,216789,0.09530407351857834,-0.039048229771703954,-0.004631253523930474,0.009001953239928043,-0.004011795657446417,-0.0006750026218366846,0.0006466973594863099,-0.001609075012967542,0.0025172060259539475,-0.0004898203134770922,0.0023027946307917937,0.0016472473018612852,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_02,216790,-0.6467955253149704,-0.11850706353690775,0.004264609577197983,0.006659130738355625,-0.0005717767495634754,0.00010982937034751223,-0.0003723493722776327,-0.0001927609290635403,1.23869962610268e-05,-4.849394662294824e-05,-1.38184574425115e-05,8.455718618653592e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_03,216791,0.1304202560876898,0.04658543311281757,-0.03574237715718066,0.044309813407265614,0.004272176222360094,0.002356057620783178,0.006322102356234086,-0.0008083327974707956,-0.0002034915556057813,0.0002893754956201516,-0.00011438736513850839,-9.605386294376325e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_04,216792,0.10423367132533769,0.03287662148925062,0.011853922410994236,-0.007295873897836972,-0.017516103534812425,0.016737312469580764,-0.007928712160403095,0.0003546934008214005,-0.0016761826662856567,-0.0009964771018895649,0.0006273319417301621,0.00015262759652981414,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_05,216793,-0.25537396628993736,0.07596543714216585,0.11297659051876587,-0.0032282624264727295,0.004650236547216488,-0.0005707238180651401,-6.80119620900532e-05,-0.00019896156287389763,9.619855140341555e-05,0.000141672986678072,1.7901006269618536e-05,-3.109483164196558e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_06,216794,-0.7030463609285793,0.07466774879739445,-0.05594972731683721,-0.004928769873005165,-0.00041509228087930814,0.0003956444279391139,0.00017511163230319953,0.0001187022147243855,-5.457207617545722e-05,-5.680193161601997e-05,9.633797507221565e-06,4.50869321429795e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_07,216795,0.08863922818932687,0.04445465005593636,-0.03734284849336501,-0.014205222296025707,0.0015417916441638508,-0.0009281168336308822,-0.0006165189254043168,0.0006692116091132601,0.0038068792721471945,-0.0007065776099114566,0.00023314110607554128,-0.00037133701278277474,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_01,216796,0.09962449715734917,-0.014516876986078654,0.024203565990413838,0.007182620906230412,0.00879037578081916,0.0021873710371352593,0.005273711337959964,-0.006797909842855375,0.002267499863292708,-0.0022039771083685418,0.0009115585075890877,-0.00023197137706833723,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_02,216797,0.09986481793969028,-0.008088570862689808,0.0009231395712816598,0.008479187324397501,-0.012928265411220453,-0.013216559300202222,-0.015440191940011835,-0.002174491164253829,0.0022901606055545968,0.00013288838822284922,-0.001077688010450379,9.064247568543275e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_03,216798,0.08879519069908115,-0.02149121442626841,-0.004836949447095347,0.008846077234373055,-0.0018380250683601826,-0.0004427631650051186,0.0027562150263305924,-0.002429900388936154,-0.005909272388403379,0.0010155551662523266,-0.0026835967688587222,0.0007909952245050439,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_04,216799,0.09801104934275791,-0.015181543380838283,-0.0070793585954033785,0.01291361538553939,0.013718441505324969,0.0023889058858306026,-0.009241348653615604,0.005677813946116359,-0.00513882695643717,-0.0004628930351594413,0.0018603861570746173,-0.00011964468743529701,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_05,216800,0.07431351413857791,-0.023859524860943133,0.03850067509255279,0.0062470973563301885,-0.012975396802997679,-0.00381750948598679,0.011226579786510234,0.005692106101511143,-8.390057147195151e-05,0.0008253027866973826,1.107075589602694e-06,-6.649449004680196e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_06,216801,0.09606125649769102,0.046046979992057264,-0.01629150285449884,-0.011679091888739515,-0.004604397042951791,-0.015840136049084866,0.005385685665476734,0.0018786847865872084,-0.0011788973538112207,-7.664825158314465e-05,0.0014314204962070584,-3.3158329283981006e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_01,216802,0.1361524985537801,-0.0586321684930739,-0.00585308030674705,-0.0289743100559043,0.012591055280623783,-0.0008112589725594572,0.0009931682701353728,0.0032134756771751375,0.0011934448707723497,-0.0022246939426580734,-0.0015216980129052974,0.0006363354189500205,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_02,216803,0.09000104229694529,0.0029104317299186782,-0.012933237063383342,-0.002465092024042275,-0.001147294858285973,0.011080000177011624,0.002866053747404724,0.0028373382625639346,0.005735061206362184,0.0021994432344735284,-0.0011002302291003773,0.00019303385410857584,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
