sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
AS_NMS_Mgri_Deep_01,216789,0.021064514217615998,-0.004210992556229552,-0.006165065071641258,0.0010161988304455947,-0.0011976352805335977,-0.0005866622150966191,-0.0013212974025127826,0.0015882552481454766,-0.0007141296964059151,0.000864296482786105,-0.0002020874865887059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_02,216790,-0.13082243259563556,-0.0017014463249394015,-0.021250859324089537,0.009505033639229464,-0.0006642397671242387,-0.0006405573807764714,0.00028283644724520497,0.0001508045185016109,6.241817483206682e-05,-4.443643793935534e-05,-2.3196077921478052e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_03,216791,0.03837264316937393,-0.01812662367622593,0.01819219941514951,0.011131491936892274,0.002537340447764356,0.0013567356316635734,-0.000486998650475619,0.0006399278253855555,0.00010121434088681224,-2.6152676404520627e-05,2.7059807300570753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_04,216792,0.027763179355817076,0.009887882671764965,0.0011876084664322354,0.002391096937226289,-0.007544098724279046,0.002037081455471471,0.005256082258289903,-0.0007299638661767137,-5.031967936882107e-05,-0.00020375980304825403,-7.587274509953227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_05,216793,-0.06398262767027446,0.03227456989109288,0.015487575950981335,-0.00035796564466695726,0.003017262592677352,-0.0007133692516002253,-2.0949163369757994e-05,0.00017388814759131075,-3.7122507594784464e-05,7.985910562167831e-05,1.0314839505365475e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_06,216794,-0.16647027162581296,-0.014668695054039994,0.01068765120441047,-0.0069347859471196325,-0.00010964950302408282,0.0007232636853224908,9.293388444122084e-05,-0.00020280778009177484,-3.4016061905352495e-05,-2.0866335916276037e-05,-7.709176439593955e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Deep_07,216795,0.016983642452907108,-0.008443059980134471,0.005081744127569289,-0.006129779336265658,-0.0010957958869354874,0.0004441956404696378,0.0016906551202208844,-0.0004126086193625766,0.0013577574451013822,0.00048659947523280026,-0.00015505293242363793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_01,216796,0.022839488601508837,0.0048309379553455895,0.0005802293264356991,0.004742011932754371,0.0028431341475279735,-0.0010736917160385705,-0.001006464762425902,0.002013812416470093,2.5393578998124475e-05,-0.0008437534816092737,-0.0003564080147924993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_02,216797,0.022561227304737842,0.0001561949653624527,-0.0014252194434880312,-0.00021928346399224783,-0.006801825152908661,-0.006472579094885327,-0.0026348765070939983,-0.0023106438120539313,-2.011205721326037e-05,0.00027974349075165795,-6.704321119275678e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_03,216798,0.019426128316229377,-0.005233020716889989,-0.005044189275368617,0.0019775478521824644,-0.0011804970110092941,-0.00021478487094449402,-0.00024407602618899425,0.0005823095207740803,-0.00011348219979181696,-0.0015082395234212792,0.000220583199927465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_04,216799,0.023294640696785666,-0.003900849232464154,0.0009614949819395296,0.0008017411839701318,0.006819385064103093,0.002035606850253149,0.0003844470613966859,-0.003503287019405819,-0.0016184362411181994,0.0001743839091011533,-9.684287109416488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_05,216800,0.012072473543857478,0.011490387320041552,-0.0011644952977624403,0.001852034703825919,-0.003560762555268955,0.005913238665817049,-0.0045647170128884735,-0.00045930891190849204,1.2556811988059569e-05,7.032069372829611e-05,0.00010287796817471176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Midd_06,216801,0.018760837975782544,-0.005115432558573206,0.009135001696726625,-0.009339192681849628,-0.003530104905000585,-0.0006790500407055633,-0.001613903471491765,0.0003487472630469597,-0.00023024365044610703,-0.00039444692048610293,6.615852807636036e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_01,216802,0.030243231812421126,0.003236188074372496,-0.011190332715956973,-0.007971104262223522,0.007264883582744308,-0.0004695441136564257,-0.00044369649152563594,-0.0004780248493052334,0.002162840223875342,-0.000303476638170877,1.549621489284573e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_02,216803,0.01977507189739191,-0.0012921602162927624,-0.0035951337413277188,0.0031759099966737307,-0.0008350961915586413,0.0018802408564971564,0.00035196522359245616,0.0006952529913520798,0.0010490095121413196,0.0019233888999072484,0.0001133843764747383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_03,216804,0.027829270029475463,0.00029791601182231354,-0.013915857534903493,-0.009664504098961158,0.0022521945641106123,0.0005304749171825336,0.0009589466102414722,0.0011750958985543747,-0.0018973573945389392,0.00041006997950591203,6.375171021341939e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_04,216805,0.01828557585703386,0.0007383547172725508,0.005480415002954725,-0.003794553878449247,-0.0007950104098335913,-0.0013581878185019221,0.001224771308877366,0.0020304795293335427,-0.000517277306056839,-0.0001020522616631333,0.00011986654219705504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_05,216806,0.020981668198981538,-0.0025166984305515163,-0.006080304797444398,0.0008656954326792233,-0.0012843626927291365,0.0018922200745435202,0.0008282656394128155,-0.0009043501396629092,0.0005216505291303429,-0.001179428286641225,-1.0159132852405569e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS_NMS_Mgri_Shall_06,216807,0.02102173846180309,0.0022965471392660418,0.0030375370293830987,0.006952406867648727,0.00386487768127757,-0.004604631275014886,0.0012660759342543917,-0.00039757836118844606,-6.034382251431592e-05,0.0003379503286638758,0.0002432853470734221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.9212141257885157,0.032341287384861916,0.027544163131114838,0.010468935951630572,0.004454112982158096,0.0019386619443988423,0.001105793475988881,0.0005315573982790926,0.0002394204091017021,0.0001560798111178484,5.861722832662615e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
