ITS2 type profile UID		1159159	1160361	1158218	1158998	1161119
Clade		C	C	C	C	D
Majority ITS2 sequence		C15	C3	C3	C15	D4
Associated species		None	None	None	None	None
ITS2 profile abundance local		18	2	1	1	5
ITS2 profile abundance DB		62	142	2	1	11
ITS2 type profile		C15-C15vd-C15ev-C15ww	C3	C3-C115d-C1	C15-C15vd-C15ev	D4/D1ab-D1-D6-D1ns-D1nt
216795	AS_NMS_Mgri_Deep_07	0.9545931365203058	0	0	0	0
216805	AS_NMS_Mgri_Shall_04	0.9509186161608846	0	0	0	0
216798	AS_NMS_Mgri_Midd_03	0.945836687850083	0	0	0	0
216797	AS_NMS_Mgri_Midd_02	0.9406391955899707	0	0	0	0
216789	AS_NMS_Mgri_Deep_01	0.9381473850582823	0	0	0	0
216803	AS_NMS_Mgri_Shall_02	0.9354275741710296	0	0	0	0
216806	AS_NMS_Mgri_Shall_05	0.9247022925498879	0	0	0	0
216799	AS_NMS_Mgri_Midd_04	0.9220285821571357	0	0	0	0
216791	AS_NMS_Mgri_Deep_03	0.9193901832407942	0	0	0	0
216801	AS_NMS_Mgri_Midd_06	0.9187121171959214	0	0	0	0.029387336761561432
216792	AS_NMS_Mgri_Deep_04	0.9174889956558013	0	0	0	0
216807	AS_NMS_Mgri_Shall_06	0.917281399046105	0	0	0	0
216804	AS_NMS_Mgri_Shall_03	0.9156697681287845	0	0	0	0
216796	AS_NMS_Mgri_Midd_01	0.9149269682935518	0	0	0	0
216802	AS_NMS_Mgri_Shall_01	0.8723167435204325	0	0	0	0
216793	AS_NMS_Mgri_Deep_05	0.012604657127677115	0	0.0008610739607570123	0	0.9183811809537769
216794	AS_NMS_Mgri_Deep_06	0	0.0006948620297988909	0	0.007135698536780918	0.8521547404289437
216790	AS_NMS_Mgri_Deep_02	0.04109043309999431	0.00465255250128052	0	0	0.8308576631950373
216800	AS_NMS_Mgri_Midd_05	0.4532161445546499	0	0	0	0.4729254640086419
Sequence accession / SymPortal UID		517-70044-4073-1932	32	32-2-358	517-70044-4073	854-853-1674-933-68161-212300
Average defining sequence proportions and [stdev]		0.761[0.017]-0.165[0.019]-0.042[0.012]-0.031[0.005]	1.000[0.000]	0.830[nan]-0.085[nan]-0.085[nan]	0.831[nan]-0.144[nan]-0.024[nan]	0.303[0.022]-0.225[0.026]-0.187[0.046]-0.153[0.016]-0.084[0.026]-0.048[0.008]
