sample_uid	C15	C15vd	C15ev	C15ww	C15qz	C15ch	C15m	C15pm	2174772_C	2174554_C	70761_C	C15v	462388_C	457187_C	484811_C	C15he	C15ld	154330_C	4916514_C	C15lj	C15qi	4925719_C	C3	4916462_C	C116aj	4925720_C	3052392_C	14880_C	12753_C	461129_C	C15om	C1	C116ai	410179_C	11806_C	C15ma	C115d	2175517_C	C3fx	C116aw	259662_C	C1de	C3fv	C116a	C3fy	C15eo	C3xw	C3cl	10395_C	C3mj	D4	D1	D1ab	D6	D1ns	D1nt	2174767_D	D1d	15655_D	68175_D	4925718_D	2174768_D	10617_D	22784_D	D6c	2193482_D	D4ae	446316_D	12428_D	15659_D	205376_D	22669_D	2174770_D	2191395_D	2174769_D	D2ac	258977_D	D2	946_D	D17aj	D17ai	D5m	938_D	D17o	470665_D	D17p	D17k	16614_D	13070_D	D1r	D2.2	937_D	D1np	G3x
216795	39990	7891	1639	1440	0	379	1007	0	555	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	22	14	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216805	29725	7219	970	1474	0	442	440	452	449	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216798	41628	9249	2384	1956	1107	1030	635	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	34	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	24	0	0	0	0	0	0	0	0	0	0	0	0	14	0	4	0
216797	42963	10782	2620	1822	1138	0	1139	482	0	278	0	0	0	0	0	0	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216789	50941	9979	3491	2068	1696	1662	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216803	49347	10698	1942	1797	874	1415	1087	0	0	647	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216806	51511	11298	3516	2164	1587	1619	963	0	646	407	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216799	32093	6340	2135	1175	885	259	667	0	276	0	398	310	0	293	0	188	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216791	51144	12252	2701	2290	552	985	1331	0	0	0	581	652	0	0	0	394	0	422	0	577	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	30	23	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216801	37877	9895	2131	2086	0	387	891	712	0	270	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	330	242	272	199	69	20	62	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	30	0	26	25	23	20	19	18	17	16	16	16	16	14	0	12	0	0
