sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C15	C15vd	C15ev	C15ww	C15qz	C15ch	C15m	C15pm	2174772_C	2174554_C	70761_C	C15v	462388_C	457187_C	484811_C	C15he	C15ld	154330_C	4916514_C	C15lj	C15qi	4925719_C	C3	4916462_C	C116aj	4925720_C	3052392_C	14880_C	12753_C	461129_C	C15om	C1	C116ai	410179_C	11806_C	C15ma	C115d	2175517_C	C3fx	C116aw	259662_C	C1de	C3fv	C116a	C3fy	C15eo	C3xw	C3cl	10395_C	C3mj	D4	D1	D1ab	D6	D1ns	D1nt	2174767_D	D1d	15655_D	68175_D	4925718_D	2174768_D	10617_D	22784_D	D6c	2193482_D	D4ae	446316_D	12428_D	15659_D	205376_D	22669_D	2174770_D	2191395_D	2174769_D	D2ac	258977_D	D2	946_D	D17aj	D17ai	D5m	938_D	D17o	470665_D	D17p	D17k	16614_D	13070_D	D1r	D2.2	937_D	D1np	G3x
216795	AS_NMS_Mgri_Deep_07	Q2181825D3_20241029090935__2023DeepCRESMgrisdeep07_S180_R1_001.fastq.gz	4ba4168935b7a0bb72cf85263169420f2e6e32b0f1aed46845d53054311db0c1	Q2181825D3_20241029090935__2023DeepCRESMgrisdeep07_S180_R2_001.fastq.gz	7fedfa50becf2a9f39a1cffe0a075e1f18d13144c0a6cb155dd8c4194bfd46cd	1135	20250130T125725_colinlu1	1.412857785104151	1.0197250112393226	0.010995803986213097	1.0197250112393226	0.010995803986213097	0.0	0.0	0.0	0.0	1.0	0.0002435186572755882	0	0	0.018151506069234227	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36630000	-170.76500000	20230331	42	0.7491008541885209	0.14781582496628204	0.030702083021129926	0.026974374344372845	0	0.007099505469803686	0.018863329836655177	0	0.010396373445227034	0.007755132624007193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002997152704930316	0.00041210849692791847	0.00026225086168140267	0.0002435186572755882	7.49288176232579e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216805	AS_NMS_Mgri_Shall_04	Q2181835DA_20241029090935__2023DeepCRESMgrisshall04_S190_R1_001.fastq.gz	c96c41781bd5ca687a6517e544110261720f19060467dab34cd0a25ca6d0f852	Q2181835DA_20241029090935__2023DeepCRESMgrisshall04_S190_R2_001.fastq.gz	a62bec5d7669d4e65ad81bbbf83e90ddcb5419e276e342d1fd502e304430545c	1135	20250130T125725_colinlu1	1.4468989160087877	1.016972067308853	0.012191883344197388	1.016972067308853	0.012191883344197388	0.0	0.0	0.0	0.0	1.0	0.00021728108930252772	0	0	0.016875497935829653	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36544000	-170.76086000	20230405	5.5	0.7176311532797374	0.17428357596388305	0.02341807295816132	0.03558581395910287	0	0.010670915719079695	0.010622631032568022	0.010912339151638058	0.010839912121870549	0	0	0	0	0	0.006035585813959103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216798	AS_NMS_Mgri_Midd_03	Q2181828DR_20241105163934__2023DeepCRESMgrismidd03_S117_R1_001.fastq.gz	08e2ddf57b721c0269cf1c9a7cf8fa4c0c591678f8fd67bf522426c81aac7ce0	Q2181828DR_20241105163934__2023DeepCRESMgrismidd03_S117_R2_001.fastq.gz	9d727481285a9c32a938e32197d8db9c92f03e1cfba0d88eef3259a7d2d47295	1135	20250130T125725_colinlu1	1.2586546532143408	1.0232446598948253	0.010791551756624813	1.0232446598948253	0.010791551756624813	0.0	0.0	0.0	0.0	1.0	0.0002740711557238048	0	0	0.004487915174977304	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36601100	-170.76412000	20230401	23.8	0.7130646294044091	0.15843025745559192	0.04083660220284691	0.03350519878723514	0.018962298086640746	0.017643330649719933	0.010877198992788504	0	0	0.004487915174977304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000171294472327378	0.0005824012059130852	0.0002226828140255914	0.0001541650250946402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000342588944654756	0	0.0004111067335857072	0	0	0	0	0	0	0	0	0	0	0	0	0.0002398122612583292	0	6.85177889309512e-05	0
216797	AS_NMS_Mgri_Midd_02	Q2181827DJ_20241029090935__2023DeepCRESMgrismidd02_S182_R1_001.fastq.gz	e481d84fdf25e8b2d20aaee2ac73cf8d975fdf7076e01558fd8bfaadf552c85f	Q2181827DJ_20241029090935__2023DeepCRESMgrismidd02_S182_R2_001.fastq.gz	fe202ed3a73891037df1f04c8dd36b9776bb3c3ecf48e308c2719758413af669	1135	20250130T125725_colinlu1	1.3981312339352399	1.0345624727202185	0.011154399521492426	1.0345624727202185	0.011154399521492426	0.0	0.0	0.0	0.0	1.0	0.00017782376048756043	0	0	0.00449409140141289	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36601100	-170.76412000	20230401	23.4	0.6945311110751872	0.17429961687062512	0.0423543865888553	0.02945408105530319	0.018396676312258522	0	0.018412842108666484	0.007791913868636738	0	0.00449409140141289	0	0	0	0	0	0	0.010087456958567064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.08289820398002e-05	0	0	9.699477844776023e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216789	AS_NMS_Mgri_Deep_01	Q2181819DS_20241029090935__2023DeepCRESMgrisdeep01_S174_R1_001.fastq.gz	6be4cd410a8eb905e2f657ff30b61c9e8325285143d519d6b4b7cff523f7e764	Q2181819DS_20241029090935__2023DeepCRESMgrisdeep01_S174_R2_001.fastq.gz	3dc30d7cb0ec908482ef9ee684d8a66417a04540bfc2c528d0008edae0179350	1135	20250130T125725_colinlu1	1.3869069458948378	1.023030679348593	0.010626287714148627	1.023030679348593	0.010626287714148627	0.0	0.0	0.0	0.0	1.0	9.878355112754367e-05	0	0	0	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36630000	-170.76500000	20230331	47.4	0.7188761254268861	0.1408230081002512	0.04926476814089357	0.029183483390251473	0.023933843244616296	0.02345403742485394	0.014464734272247468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216803	AS_NMS_Mgri_Shall_02	Q2181833DS_20241029090935__2023DeepCRESMgrisshall02_S188_R1_001.fastq.gz	ba7babfab3cb3c3f452a721809c654448a054d0d0ce3307e61072d07b6fa59d1	Q2181833DS_20241029090935__2023DeepCRESMgrisshall02_S188_R2_001.fastq.gz	69339132620c92bdd9243ae5f98df33e69b5103dbf0e449e93220571d178553a	1135	20250130T125725_colinlu1	1.4095648730696466	1.031970903544664	0.011292475105225337	1.031970903544664	0.011292475105225337	0.0	0.0	0.0	0.0	1.0	0.00013198996876237406	0	0	0.01506152199099535	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36544000	-170.76086000	20230405	6.1	0.723700998724097	0.15689207620220863	0.02848050214850338	0.026353997096220688	0.012817692522034992	0.020751756199862144	0.015941455116077845	0	0	0.009488612198806224	0	0	0	0	0	0	0	0	0.005572909792189127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216806	AS_NMS_Mgri_Shall_05	Q2181836DI_20241105163934__2023DeepCRESMgrisshall05_S280_R1_001.fastq.gz	e34371b7d77e7234da3b0a71342c66bcb4ae6b5e551dc4ebe90b451cf3620868	Q2181836DI_20241105163934__2023DeepCRESMgrisshall05_S280_R2_001.fastq.gz	3f4e3515ac4b1307ab7fa50aae2e830985da770f41ce00f74f6928099fe8b7e0	1135	20250130T125725_colinlu1	1.248062538816731	1.0187670456079714	0.01015310668862906	1.0187670456079714	0.01015310668862906	0.0	0.0	0.0	0.0	1.0	0.00013501471660410985	0	0	0.01901007209785867	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36544000	-170.76086000	20230405	5.8	0.6954743066994302	0.15253962681932332	0.04747117435800502	0.029217184673129372	0.021426835525072234	0.021858882618205386	0.013001917208975778	0	0.008721950692625496	0.005495098965787271	0	0	0	0	0.0047930224394459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216799	AS_NMS_Mgri_Midd_04	Q2181829D1_20241029090935__2023DeepCRESMgrismidd04_S184_R1_001.fastq.gz	f11c4446c16def3fd247ac161541e2dd3d8e41857647ffb561487dca847b057e	Q2181829D1_20241029090935__2023DeepCRESMgrismidd04_S184_R2_001.fastq.gz	105825ec479269b5dbb55302dd917b4b46140247f7c97396ff78e9c5a6700108	1135	20250130T125725_colinlu1	1.380646301327502	1.0270580699313057	0.011353345260972323	1.0270580699313057	0.011353345260972323	0.0	0.0	0.0	0.0	1.0	0.00030923508492920727	0	0	0.021359309080467386	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36601100	-170.76412000	20230401	22.5	0.7088772557595034	0.14003931703222672	0.047158350451704106	0.025953658913701324	0.019548075011596316	0.005720849071190334	0.014732842974841518	0	0.0060963488171758	0	0.00879111170013032	0.006847348309146732	0	0.006471848563161266	0	0.004152585426192212	0	0	0	0.0055220550880215585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.835288140834493e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216791	AS_NMS_Mgri_Deep_03	Q2181821D5_20241029090935__2023DeepCRESMgrisdeep03_S176_R1_001.fastq.gz	a34ad7f0f584d6eede897a89d5a7d13892929b3736fc7cb68322eace08d20fc2	Q2181821D5_20241029090935__2023DeepCRESMgrisdeep03_S176_R2_001.fastq.gz	166b2847a03d54b9c79241d953d89b8f117275bf88e33334f117b88a3e5441ff	1135	20250130T125725_colinlu1	1.4578868827554683	1.0367960421063953	0.011508005861554387	1.0367960421063953	0.011508005861554387	0.0	0.0	0.0	0.0	1.0	0.00024199077746259225	0	0	0.018902168506244706	0	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36630000	-170.76500000	20230331	46	0.6875764623637122	0.1647150558595378	0.03631206055147009	0.030786604466074237	0.007421050508852829	0.0132422731000363	0.017893873600150573	0	0	0	0.007810924539209228	0.008765443716978343	0	0	0	0.005296909240014519	0	0.005673339338289663	0	0.007757148810884207	0	0	0	0	0	0	0	0.005417904628745815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003092104378688679	0.00040331796243765376	0.0003092104378688679	0.00020165898121882688	0.00010755145665004101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216801	AS_NMS_Mgri_Midd_06	Q2181831DC_20241029090935__2023DeepCRESMgrismidd06_S186_R1_001.fastq.gz	43b13126a16bf263cd679835fceb6ccd8500d6d1de38f5dec3ccfba5e5cc2dd7	Q2181831DC_20241029090935__2023DeepCRESMgrismidd06_S186_R2_001.fastq.gz	56d40b2e25f35899c2cfda8696964bee11bf112226ec79ec17d39c49aea04e02	1135	20250130T125725_colinlu1	1.4162999876301048	1.0293519942038205	0.012246196257223136	1.0292989803672092	0.012228524978352683	0.0	0.0	5.3013836611355566e-05	1.7671278870451854e-05	1.0	0.0005654809238544593	0	0	0.010178656629380268	0.003127816360069978	0	0	0	0	0	coral_field	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	grisea	-14.36601100	-170.76412000	20230401	21	0.6693350297761049	0.1748573044231211	0.037657495272932905	0.03686228772376257	0	0.0068387849228648675	0.0157451094735726	0.012581950555761721	0	0.004771245295022001	0	0	0	0	0.005407411334358268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009736874657618973	0.005831522027249112	0.004276449486649349	0.004806587852762905	0.003516584495219919	0.001219318242061178	0.00035342557740903707	0.001095619289968015	0	0	0	0	0	0	0	0	0	0.00037109685627948895	0	0	0	0	0	0	0	0	0.0005301383661135557	0	0.00045945325063174823	0.00044178197176129635	0.00040643941402039265	0.00035342557740903707	0.00033575429853858525	0.00031808301966813337	0.00030041174079768155	0.00028274046192722967	0.00028274046192722967	0.00028274046192722967	0.00028274046192722967	0.00024739790418632597	0	0.00021205534644542227	0	0
