sample_uid	C15	C15vd	C15ev	C15ww	C15qz	C15ch	C15m	C15pm	2174772_C	2174554_C	70761_C	C15v	462388_C	457187_C	484811_C	C15he	C15ld	154330_C	4916514_C	C15lj	C15qi	4925719_C	C3	4916462_C	C116aj	4925720_C	3052392_C	14880_C	12753_C	461129_C	C15om	C1	C116ai	410179_C	11806_C	C15ma	C115d	2175517_C	C3fx	C116aw	259662_C	C1de	C3fv	C116a	C3fy	C15eo	C3xw	C3cl	10395_C	C3mj	D4	D1	D1ab	D6	D1ns	D1nt	2174767_D	D1d	15655_D	68175_D	4925718_D	2174768_D	10617_D	22784_D	D6c	2193482_D	D4ae	446316_D	12428_D	15659_D	205376_D	22669_D	2174770_D	2191395_D	2174769_D	D2ac	258977_D	D2	946_D	D17aj	D17ai	D5m	938_D	D17o	470665_D	D17p	D17k	16614_D	13070_D	D1r	D2.2	937_D	D1np	G3x
216795	0.7491008541885209	0.14781582496628204	0.030702083021129926	0.026974374344372845	0	0.007099505469803686	0.018863329836655177	0	0.010396373445227034	0.007755132624007193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002997152704930316	0.00041210849692791847	0.00026225086168140267	0.0002435186572755882	7.49288176232579e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216805	0.7176311532797374	0.17428357596388305	0.02341807295816132	0.03558581395910287	0	0.010670915719079695	0.010622631032568022	0.010912339151638058	0.010839912121870549	0	0	0	0	0	0.006035585813959103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216798	0.7130646294044091	0.15843025745559192	0.04083660220284691	0.03350519878723514	0.018962298086640746	0.017643330649719933	0.010877198992788504	0	0	0.004487915174977304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000171294472327378	0.0005824012059130852	0.0002226828140255914	0.0001541650250946402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000342588944654756	0	0.0004111067335857072	0	0	0	0	0	0	0	0	0	0	0	0	0.0002398122612583292	0	6.85177889309512e-05	0
216797	0.6945311110751872	0.17429961687062512	0.0423543865888553	0.02945408105530319	0.018396676312258522	0	0.018412842108666484	0.007791913868636738	0	0.00449409140141289	0	0	0	0	0	0	0.010087456958567064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.08289820398002e-05	0	0	9.699477844776023e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216789	0.7188761254268861	0.1408230081002512	0.04926476814089357	0.029183483390251473	0.023933843244616296	0.02345403742485394	0.014464734272247468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216803	0.723700998724097	0.15689207620220863	0.02848050214850338	0.026353997096220688	0.012817692522034992	0.020751756199862144	0.015941455116077845	0	0	0.009488612198806224	0	0	0	0	0	0	0	0	0.005572909792189127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216806	0.6954743066994302	0.15253962681932332	0.04747117435800502	0.029217184673129372	0.021426835525072234	0.021858882618205386	0.013001917208975778	0	0.008721950692625496	0.005495098965787271	0	0	0	0	0.0047930224394459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216799	0.7088772557595034	0.14003931703222672	0.047158350451704106	0.025953658913701324	0.019548075011596316	0.005720849071190334	0.014732842974841518	0	0.0060963488171758	0	0.00879111170013032	0.006847348309146732	0	0.006471848563161266	0	0.004152585426192212	0	0	0	0.0055220550880215585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.835288140834493e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216791	0.6875764623637122	0.1647150558595378	0.03631206055147009	0.030786604466074237	0.007421050508852829	0.0132422731000363	0.017893873600150573	0	0	0	0.007810924539209228	0.008765443716978343	0	0	0	0.005296909240014519	0	0.005673339338289663	0	0.007757148810884207	0	0	0	0	0	0	0	0.005417904628745815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003092104378688679	0.00040331796243765376	0.0003092104378688679	0.00020165898121882688	0.00010755145665004101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216801	0.6693350297761049	0.1748573044231211	0.037657495272932905	0.03686228772376257	0	0.0068387849228648675	0.0157451094735726	0.012581950555761721	0	0.004771245295022001	0	0	0	0	0.005407411334358268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009736874657618973	0.005831522027249112	0.004276449486649349	0.004806587852762905	0.003516584495219919	0.001219318242061178	0.00035342557740903707	0.001095619289968015	0	0	0	0	0	0	0	0	0	0.00037109685627948895	0	0	0	0	0	0	0	0	0.0005301383661135557	0	0.00045945325063174823	0.00044178197176129635	0.00040643941402039265	0.00035342557740903707	0.00033575429853858525	0.00031808301966813337	0.00030041174079768155	0.00028274046192722967	0.00028274046192722967	0.00028274046192722967	0.00028274046192722967	0.00024739790418632597	0	0.00021205534644542227	0	0
