7530-216339
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1697546700, +3.48, +29.406,  +443.0, +1361.0,  +240.0,  +145.0
1697547300, +3.48, +29.430,  +306.9, +1369.0,  +176.0,   +72.0
1697547900, +3.48, +29.430,  +926.4, +1366.0,  +208.0,  +120.0
1697548500, +3.48, +29.503, +1278.5, +1368.0,  +206.0,  +112.0
1697549100, +3.49, +29.552, +1042.3, +1252.0,  +184.0,  +304.0
1697549700, +3.49, +29.601,   +90.0, +1364.0,  +216.0,  +128.0
1697550300, +3.49, +29.609,  +128.8, +1347.0,  +232.0,  +142.0
1697550900, +3.49, +29.601,  +236.5, +1254.0,  +176.0,  +296.0
1697551500, +3.49, +29.552,  +534.5, +1260.0,  +166.0,  +284.0
1697552100, +3.49, +29.536,  +463.2, +1363.0,  +230.0,  +136.0
1697552700, +3.49, +29.520,  +260.4, +1368.0,  +216.0,  +120.0
1697553300, +3.49, +29.455,  +187.2, +1366.0,  +216.0,  +120.0
1697553900, +3.49, +29.438,  +234.1, +1256.0,  +180.0,  +296.0
1697554500, +3.49, +29.438,  +212.9, +1352.0,  +192.0,  +124.0
1697555100, +3.49, +29.422,  +516.0, +1359.0,  +240.0,  +142.0
1697555700, +3.49, +29.438,  +407.1, +1359.0,  +240.0,  +144.0
1697556300, +3.49, +29.455,  +330.8, +1360.0,  +230.0,  +136.0
1697556900, +3.49, +29.463,  +344.6, +1360.0,  +236.0,  +146.0
1697557500, +3.49, +29.479,  +205.9, +1363.0,  +232.0,  +144.0
1697558100, +3.49, +29.487,  +276.1, +1361.0,  +228.0,  +136.0
1697558700, +3.49, +29.503,  +151.9, +1366.0,  +211.0,  +120.0
1697559300, +3.49, +29.503,   +61.8, +1369.0,  +220.0,  +124.0
1697559900, +3.49, +29.495,   +46.1, +1363.0,  +232.0,  +140.0
