7530-432503
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1661780340, +3.48, +27.441,    -0.1, +1195.0,  -112.0,  +280.0
1661780940, +3.49, +27.433,    -0.1, +1204.0,   -78.0,  +240.0
1661781540, +3.48, +27.441,    +0.4, +1216.0,  -180.0,  +576.0
1661782140, +3.48, +27.424,    +0.7, +1312.0,  -154.0,  +552.0
1661782740, +3.48, +27.441,    +0.6, +1352.0,  -128.0,  +496.0
1661783340, +3.49, +27.424,    +0.0, +1356.0,  -126.0,  +486.0
1661783940, +3.48, +27.433,    -0.4, +1356.0,  -128.0,  +496.0
1661784540, +3.48, +27.424,    +0.7, +1191.0,   -90.0,  +230.0
1661785140, +3.48, +27.416,    +0.3, +1218.0,  -113.0,  +235.0
1661785740, +3.48, +27.433,    +0.1, +1195.0,  -106.0,  +240.0
1661786340, +3.48, +27.424,    +0.2, +1190.0,   -84.0,  +230.0
1661786940, +3.48, +27.408,    +0.6, +1219.0,  -100.0,  +271.0
1661787540, +3.48, +27.408,    +0.8, +1368.0,  -124.0,  +481.0
1661788140, +3.49, +27.416,    -0.7, +1334.0,  -144.0,  +532.0
1661788740, +3.48, +27.424,    -0.3, +1328.0,  -152.0,  +544.0
1661789340, +3.48, +27.400,    -0.9, +1336.0,  -144.0,  +536.0
1661789940, +3.48, +27.424,    -0.2, +1366.0,  -128.0,  +496.0
1661790540, +3.49, +27.424,    -0.9, +1356.0,  -128.0,  +512.0
1661791140, +3.49, +27.424,    -0.6, +1299.0,  -160.0,  +568.0
1661791740, +3.49, +27.433,    -0.6, +1220.0,   -95.0,  +259.0
1661792340, +3.49, +27.416,    -0.9, +1222.0,   -97.0,  +261.0
1661792940, +3.48, +27.416,    -0.2, +1223.0,   -90.0,  +268.0
1661793540, +3.48, +27.400,    -1.0, +1231.0,   -97.0,  +254.0
1661794140, +3.48, +27.408,    -0.5, +1227.0,   -80.0,  +255.0
1661794740, +3.49, +27.416,    +0.8, +1216.0,   -84.0,  +264.0
1661795340, +3.49, +27.416,    +2.1, +1273.0,   -81.0,  +279.0
1661795940, +3.49, +27.424,    +1.9, +1223.0,   -92.0,  +269.0
1661796540, +3.49, +27.424,    +4.0, +1294.0,   -78.0,  +275.0
1661797140, +3.49, +27.424,    +4.7, +1216.0,   -97.0,  +248.0
1661797740, +3.49, +27.424,    +6.6, +1248.0,   -81.0,  +280.0
1661798340, +3.49, +27.416,    +9.4, +1284.0,   -80.0,  +272.0
1661798940, +3.49, +27.400,   +10.7, +1222.0,  -176.0,  +580.0
1661799540, +3.49, +27.424,   +13.5, +1240.0,   -97.0,  +273.0
1661800140, +3.49, +27.408,   +14.7, +1308.0,   -75.0,  +284.0
1661800740, +3.49, +27.416,   +16.9, +1324.0,   -77.0,  +280.0
1661801340, +3.49, +27.424,   +18.6, +1308.0,   -79.0,  +282.0
1661801940, +3.49, +27.433,   +19.7, +1276.0,   -76.0,  +265.0
1661802540, +3.49, +27.449,   +22.9, +1255.0,   -88.0,  +280.0
1661803140, +3.49, +27.408,   +26.3, +1336.0,   -80.0,  +281.0
1661803740, +3.49, +27.433,   +29.2, +1328.0,   -68.0,  +281.0
1661804340, +3.49, +27.449,   +31.2, +1318.0,   -80.0,  +291.0
1661804940, +3.49, +27.424,   +36.4, +1315.0,  -160.0,  +563.0
1661805540, +3.49, +27.433,   +38.8, +1351.0,  -144.0,  +528.0
1661806140, +3.49, +27.441,   +40.0, +1342.0,  -148.0,  +540.0
1661806740, +3.49, +27.449,   +44.1, +1315.0,  -160.0,  +562.0
1661807340, +3.49, +27.449,   +47.3, +1292.0,  -168.0,  +576.0
1661807940, +3.49, +27.433,   +49.1, +1201.0,   -98.0,  +243.0
1661808540, +3.49, +27.441,   +51.2, +1283.0,  -168.0,  +576.0
1661809140, +3.49, +27.457,   +55.8, +1248.0,  -176.0,  +583.0
1661809740, +3.49, +27.466,   +60.1, +1288.0,  -168.0,  +576.0
1661810340, +3.49, +27.441,   +62.2, +1267.0,  -174.0,  +576.0
1661810940, +3.49, +27.433,   +63.8, +1264.0,   -87.0,  +270.0
1661811540, +3.49, +27.466,   +65.1, +1182.0,  -184.0,  +576.0
1661812140, +3.49, +27.449,   +70.4, +1190.0,   -89.0,  +255.0
1661812740, +3.49, +27.457,   +71.3, +1212.0,   -77.0,  +263.0
1661813340, +3.49, +27.482,   +62.9, +1264.0,  -174.0,  +580.0
1661813940, +3.49, +27.474,   +77.6, +1222.0,  -180.0,  +583.0
1661814540, +3.49, +27.482,   +73.6, +1268.0,   -80.0,  +266.0
1661815140, +3.49, +27.474,   +73.5, +1267.0,   -85.0,  +265.0
1661815740, +3.49, +27.482,   +75.4, +1283.0,   -71.0,  +272.0
1661816340, +3.49, +27.482,   +75.5, +1343.0,   -72.0,  +296.0
1661816940, +3.49, +27.457,   +75.7, +1347.0,  -144.0,  +518.0
1661817540, +3.49, +27.457,   +75.1, +1356.0,  -140.0,  +516.0
1661818140, +3.49, +27.449,   +73.7, +1353.0,   -78.0,  +318.0
1661818740, +3.49, +27.466,   +73.2, +1360.0,   -79.0,  +307.0
1661819340, +3.49, +27.482,   +70.3, +1400.0,   -97.0,  +433.0
1661819940, +3.49, +27.441,   +60.2, +1363.0,   -76.0,  +333.0
1661820540, +3.49, +27.482,   +64.1, +1264.0,  -172.0,  +580.0
1661821140, +3.49, +27.457,   +63.7, +1231.0,   -93.0,  +246.0
1661821740, +3.49, +27.474,   +60.1, +1342.0,  -144.0,  +528.0
1661822340, +3.49, +27.490,   +55.0, +1235.0,  -176.0,  +588.0
1661822940, +3.49, +27.507,   +47.9, +1256.0,  -172.0,  +582.0
1661823540, +3.49, +27.482,   +50.5, +1248.0,  -176.0,  +584.0
1661824140, +3.49, +27.515,   +48.6, +1225.0,  -178.0,  +584.0
1661824740, +3.49, +27.490,   +46.1, +1216.0,  -180.0,  +583.0
1661825340, +3.49, +27.523,   +13.7, +1217.0,   -77.0,  +255.0
1661825940, +3.49, +27.532,   +34.8, +1326.0,   -84.0,  +287.0
1661826540, +3.49, +27.499,   +30.3, +1353.0,   -84.0,  +329.0
1661827140, +3.49, +27.507,   +30.8, +1217.0,   -97.0,  +222.0
1661827740, +3.49, +27.499,   +27.7, +1231.0,   -98.0,  +259.0
1661828340, +3.49, +27.482,    +7.6, +1295.0,   -84.0,  +294.0
1661828940, +3.49, +27.466,    +7.0, +1200.0,  -180.0,  +582.0
1661829540, +3.49, +27.482,    +7.5, +1289.0,   -84.0,  +281.0
1661830140, +3.49, +27.490,   +11.0, +1211.0,   -89.0,  +236.0
1661830740, +3.49, +27.449,   +13.2, +1280.0,  -168.0,  +576.0
1661831340, +3.49, +27.449,   +10.0, +1185.0,  -184.0,  +576.0
1661831940, +3.49, +27.466,   +10.5, +1214.0,   -89.0,  +251.0
1661832540, +3.49, +27.457,    +7.5, +1302.0,   -80.0,  +345.0
1661833140, +3.49, +27.482,    +7.4, +1261.0,   -97.0,  +295.0
1661833740, +3.49, +27.490,    +5.5, +1366.0,  -120.0,  +461.0
1661834340, +3.49, +27.499,    +4.4, +1313.0,  -152.0,  +540.0
1661834940, +3.49, +27.515,    +3.3, +1267.0,  -172.0,  +577.0
1661835540, +3.49, +27.490,    +1.8, +1320.0,  -148.0,  +528.0
1661836140, +3.49, +27.499,    +0.4, +1344.0,  -128.0,  +483.0
1661836740, +3.49, +27.466,    +0.5, +1352.0,  -128.0,  +472.0
1661837340, +3.49, +27.416,    +0.1, +1334.0,  -140.0,  +504.0
1661837940, +3.49, +27.424,    -0.0, +1311.0,  -154.0,  +536.0
1661838540, +3.49, +27.408,    -0.5, +1264.0,  -172.0,  +579.0
1661839140, +3.49, +27.416,    +0.1, +1228.0,  -180.0,  +584.0
1661839740, +3.49, +27.474,    -0.1, +1249.0,   -95.0,  +291.0
1661840340, +3.49, +27.507,    +0.2, +1244.0,  -176.0,  +584.0
1661840940, +3.49, +27.507,    -0.3, +1328.0,  -144.0,  +512.0
1661841540, +3.49, +27.466,    +0.3, +1367.0,  -109.0,  +403.0
1661842140, +3.49, +27.499,    -0.5, +1247.0,  -176.0,  +584.0
1661842740, +3.49, +27.499,    +0.8, +1288.0,  -160.0,  +560.0
1661843340, +3.49, +27.515,    -0.1, +1236.0,  -176.0,  +584.0
1661843940, +3.49, +27.515,    +0.5, +1223.0,  -180.0,  +584.0
1661844540, +3.49, +27.482,    +0.4, +1217.0,  -180.0,  +588.0
1661845140, +3.49, +27.490,    -0.2, +1223.0,  -180.0,  +588.0
1661845740, +3.49, +27.490,    -0.1, +1240.0,  -176.0,  +584.0
1661846340, +3.49, +27.515,    +0.2, +1230.0,  -180.0,  +588.0
1661846940, +3.49, +27.490,    +0.4, +1292.0,  -160.0,  +560.0
1661847540, +3.49, +27.507,    -0.1, +1228.0,  -180.0,  +585.0
1661848140, +3.49, +27.515,    +0.5, +1216.0,  -180.0,  +588.0
1661848740, +3.49, +27.482,    -0.2, +1219.0,  -180.0,  +588.0
1661849340, +3.49, +27.490,    -0.7, +1216.0,  -180.0,  +588.0
1661849940, +3.49, +27.474,    -0.4, +1225.0,  -180.0,  +590.0
1661850540, +3.49, +27.466,    -0.1, +1283.0,  -164.0,  +564.0
1661851140, +3.49, +27.441,    -0.2, +1216.0,  -180.0,  +586.0
1661851740, +3.49, +27.466,    -0.8, +1203.0,  -184.0,  +583.0
1661852340, +3.49, +27.474,    -0.0, +1219.0,  -184.0,  +588.0
1661852940, +3.49, +27.482,    -0.1, +1238.0,  -100.0,  +279.0
1661853540, +3.49, +27.499,    +0.4, +1212.0,  -184.0,  +584.0
1661854140, +3.49, +27.482,    -0.3, +1184.0,  -184.0,  +579.0
1661854740, +3.49, +27.474,    -0.3, +1212.0,  -184.0,  +584.0
1661855340, +3.49, +27.490,    +0.0, +1209.0,  -180.0,  +584.0
1661855940, +3.49, +27.474,    -0.2, +1305.0,  -152.0,  +536.0
1661856540, +3.49, +27.499,    +0.0, +1283.0,  -164.0,  +560.0
1661857140, +3.49, +27.482,    -0.1, +1222.0,  -180.0,  +588.0
1661857740, +3.49, +27.482,    -0.2, +1219.0,  -180.0,  +588.0
1661858340, +3.49, +27.466,    -0.3, +1216.0,  -180.0,  +588.0
1661858940, +3.49, +27.482,    +0.5, +1203.0,  -184.0,  +588.0
1661859540, +3.49, +27.482,    +0.7, +1233.0,   -97.0,  +295.0
1661860140, +3.49, +27.490,    +0.1, +1287.0,  -160.0,  +560.0
1661860740, +3.49, +27.490,    -0.7, +1200.0,  -185.0,  +585.0
1661861340, +3.49, +27.466,    +0.1, +1217.0,  -180.0,  +588.0
1661861940, +3.49, +27.507,    +0.0, +1359.0,  -116.0,  +403.0
1661862540, +3.49, +27.482,    +0.3, +1328.0,  -104.0,  +361.0
1661863140, +3.49, +27.474,    +0.7, +1203.0,  -180.0,  +584.0
1661863740, +3.49, +27.482,    -0.3, +1327.0,  -108.0,  +354.0
1661864340, +3.49, +27.449,    +0.7, +1316.0,  -102.0,  +352.0
