7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1651775040, +3.52, +29.219,   +48.3, +1142.0,  -474.0,  +451.0
1651775640, +3.52, +29.243,   +63.9, +1148.0,  -474.0,  +438.0
1651776240, +3.52, +29.219,   +78.7, +1144.0,  -476.0,  +448.0
1651776840, +3.52, +29.235,  +131.4, +1148.0,  -476.0,  +440.0
1651777440, +3.52, +29.235,  +115.9, +1136.0,  -477.0,  +462.0
1651778040, +3.52, +29.243,  +128.5, +1136.0,  -477.0,  +464.0
1651778640, +3.52, +29.235,  +142.4, +1148.0,  -474.0,  +438.0
1651779240, +3.52, +29.243,  +174.1, +1136.0,  -479.0,  +460.0
1651779840, +3.52, +29.243,  +232.9, +1144.0,  -474.0,  +448.0
1651780440, +3.52, +29.235,  +110.2, +1147.0,  -474.0,  +444.0
1651781040, +3.52, +29.243,  +247.9, +1136.0,  -480.0,  +464.0
1651781640, +3.52, +29.243,  +264.9, +1148.0,  -474.0,  +440.0
1651782240, +3.52, +29.243,  +269.9, +1150.0,  -476.0,  +440.0
1651782840, +3.52, +29.243,   +88.8, +1136.0,  -480.0,  +463.0
1651783440, +3.52, +29.268,  +332.3, +1132.0,  -480.0,  +473.0
1651784040, +3.52, +29.276,   +89.7, +1142.0,  -474.0,  +448.0
1651784640, +3.52, +29.284,   +91.2, +1143.0,  -474.0,  +448.0
1651785240, +3.52, +29.251,   +76.8, +1139.0,  -476.0,  +452.0
1651785840, +3.52, +29.268,  +253.7, +1136.0,  -480.0,  +465.0
1651786440, +3.52, +29.268,  +399.1, +1148.0,  -474.0,  +438.0
1651787040, +3.52, +29.276,  +443.8, +1136.0,  -477.0,  +462.0
1651787640, +3.52, +29.300,  +292.2, +1144.0,  -474.0,  +448.0
1651788240, +3.52, +29.268,  +103.2, +1144.0,  -474.0,  +448.0
1651788840, +3.52, +29.284,  +481.7, +1142.0,  -474.0,  +451.0
1651789440, +3.52, +29.300,  +491.1, +1132.0,  -480.0,  +470.0
1651790040, +3.52, +29.308,  +520.4, +1144.0,  -472.0,  +448.0
1651790640, +3.52, +29.300,  +543.9, +1142.0,  -476.0,  +448.0
1651791240, +3.52, +29.317,  +558.8, +1132.0,  -480.0,  +470.0
1651791840, +3.52, +29.300,  +549.9, +1120.0,  -484.0,  +487.0
1651792440, +3.52, +29.317,  +577.9, +1136.0,  -477.0,  +460.0
1651793040, +3.52, +29.317,  +534.8, +1153.0,  -474.0,  +432.0
1651793640, +3.52, +29.317,  +550.6, +1134.0,  -480.0,  +464.0
1651794240, +3.52, +29.325,  +567.6, +1144.0,  -476.0,  +440.0
1651794840, +3.52, +29.308,  +585.1, +1126.0,  -480.0,  +478.0
1651795440, +3.52, +29.325,  +566.1, +1136.0,  -480.0,  +462.0
1651796040, +3.52, +29.325,  +453.8, +1134.0,  -480.0,  +465.0
1651796640, +3.52, +29.349,  +577.0, +1147.0,  -474.0,  +440.0
1651797240, +3.52, +29.365,  +565.0, +1129.0,  -480.0,  +476.0
1651797840, +3.52, +29.365,  +594.3, +1129.0,  -480.0,  +473.0
1651798440, +3.52, +29.349,  +570.3, +1120.0,  -484.0,  +487.0
1651799040, +3.52, +29.365,  +584.6, +1136.0,  -480.0,  +464.0
1651799640, +3.52, +29.390,  +550.1, +1132.0,  -480.0,  +468.0
1651800240, +3.52, +29.373,  +538.6, +1135.0,  -480.0,  +464.0
1651800840, +3.52, +29.357,  +500.3, +1120.0,  -482.0,  +486.0
1651801440, +3.52, +29.349,  +475.4, +1119.0,  -484.0,  +492.0
1651802040, +3.52, +29.341,  +451.1, +1123.0,  -484.0,  +480.0
1651802640, +3.52, +29.341,  +407.5, +1134.0,  -480.0,  +463.0
1651803240, +3.52, +29.341,  +381.3, +1129.0,  -480.0,  +476.0
1651803840, +3.52, +29.333,  +353.8, +1116.0,  -488.0,  +494.0
1651804440, +3.52, +29.325,  +269.8, +1121.0,  -484.0,  +486.0
1651805040, +3.52, +29.333,  +161.3, +1132.0,  -480.0,  +472.0
1651805640, +3.52, +29.308,  +109.1, +1142.0,  -479.0,  +454.0
1651806240, +3.52, +29.308,  +101.3, +1144.0,  -474.0,  +444.0
1651806840, +3.52, +29.300,   +96.8, +1132.0,  -480.0,  +472.0
1651807440, +3.52, +29.300,   +81.2, +1137.0,  -477.0,  +460.0
1651808040, +3.52, +29.308,   +70.7, +1136.0,  -480.0,  +464.0
1651808640, +3.52, +29.284,   +61.2, +1144.0,  -474.0,  +448.0
1651809240, +3.52, +29.300,   +56.4, +1143.0,  -476.0,  +448.0
1651809840, +3.52, +29.300,   +53.0, +1142.0,  -474.0,  +448.0
1651810440, +3.52, +29.308,   +61.2, +1136.0,  -477.0,  +464.0
1651811040, +3.52, +29.317,   +67.3, +1140.0,  -477.0,  +452.0
1651811640, +3.52, +29.308,   +42.4, +1142.0,  -474.0,  +448.0
1651812240, +3.52, +29.308,   +30.3, +1128.0,  -480.0,  +472.0
1651812840, +3.52, +29.284,   +13.5, +1128.0,  -479.0,  +472.0
1651813440, +3.52, +29.292,    +3.8, +1148.0,  -474.0,  +440.0
1651814040, +3.52, +29.292,    +0.6, +1148.0,  -477.0,  +444.0
1651814640, +3.52, +29.317,    +0.1, +1129.0,  -479.0,  +472.0
1651815240, +3.52, +29.333,    -0.0, +1136.0,  -477.0,  +460.0
1651815840, +3.52, +29.365,    +0.1, +1148.0,  -474.0,  +444.0
1651816440, +3.52, +29.357,    -0.2, +1112.0,  -488.0,  +496.0
1651817040, +3.52, +29.349,    -0.1, +1136.0,  -480.0,  +460.0
1651817640, +3.52, +29.341,    -0.0, +1107.0,  -488.0,  +496.0
1651818240, +3.52, +29.349,    -0.0, +1142.0,  -477.0,  +454.0
1651818840, +3.52, +29.341,    +0.1, +1137.0,  -477.0,  +460.0
1651819440, +3.52, +29.325,    +0.1, +1137.0,  -480.0,  +462.0
1651820040, +3.52, +29.300,    -0.2, +1134.0,  -479.0,  +464.0
1651820640, +3.52, +29.333,    -0.2, +1137.0,  -474.0,  +460.0
1651821240, +3.52, +29.341,    -0.1, +1121.0,  -484.0,  +480.0
1651821840, +3.52, +29.341,    -0.2, +1120.0,  -484.0,  +486.0
1651822440, +3.52, +29.341,    -0.1, +1127.0,  -480.0,  +480.0
1651823040, +3.52, +29.357,    -0.1, +1110.0,  -488.0,  +497.0
1651823640, +3.52, +29.349,    -0.0, +1139.0,  -477.0,  +454.0
1651824240, +3.52, +29.333,    -0.1, +1127.0,  -480.0,  +476.0
1651824840, +3.52, +29.341,    -0.1, +1136.0,  -480.0,  +464.0
1651825440, +3.52, +29.325,    -0.3, +1116.0,  -488.0,  +492.0
1651826040, +3.52, +29.333,    -0.6, +1120.0,  -484.0,  +486.0
1651826640, +3.52, +29.341,    -0.3, +1116.0,  -484.0,  +488.0
1651827240, +3.52, +29.349,    +0.1, +1112.0,  -484.0,  +497.0
1651827840, +3.52, +29.333,    -0.1, +1112.0,  -488.0,  +496.0
1651828440, +3.52, +29.349,    -0.0, +1132.0,  -480.0,  +470.0
1651829040, +3.52, +29.357,    -0.1, +1120.0,  -482.0,  +487.0
1651829640, +3.52, +29.349,    +0.1, +1136.0,  -480.0,  +464.0
1651830240, +3.52, +29.357,    -0.3, +1139.0,  -477.0,  +455.0
1651830840, +3.52, +29.349,    -0.2, +1108.0,  -488.0,  +496.0
1651831440, +3.52, +29.349,    -0.2, +1127.0,  -484.0,  +480.0
1651832040, +3.52, +29.357,    +0.1, +1112.0,  -488.0,  +496.0
1651832640, +3.52, +29.325,    +0.1, +1116.0,  -480.0,  +492.0
1651833240, +3.52, +29.333,    -0.3, +1136.0,  -480.0,  +463.0
1651833840, +3.52, +29.349,    -0.1, +1131.0,  -480.0,  +472.0
1651834440, +3.52, +29.333,    -0.1, +1127.0,  -484.0,  +476.0
1651835040, +3.52, +29.325,    -0.2, +1136.0,  -480.0,  +462.0
1651835640, +3.52, +29.325,    -0.3, +1132.0,  -480.0,  +463.0
1651836240, +3.52, +29.333,    +0.0, +1128.0,  -484.0,  +478.0
