7530-458116
OS REV: 1.08 Sensor Cal: 1657263600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1692146040, +3.48, +28.345,   +79.3, +1055.0,  +227.0,    -8.0
1692146640, +3.47, +28.386,   +76.6, +1056.0,  +231.0,   -13.0
1692147240, +3.47, +28.394,   +72.1, +1052.0,  +227.0,    +0.0
1692147840, +3.47, +28.411,   +72.0, +1055.0,  +227.0,   -10.0
1692148440, +3.47, +28.419,   +67.9,  +982.0,  +190.0,   +76.0
1692149040, +3.47, +28.419,   +65.8, +1054.0,  +230.0,    -8.0
1692149640, +3.47, +28.394,   +60.5,  +982.0,  +188.0,   +72.0
1692150240, +3.47, +28.378,   +57.3, +1056.0,  +228.0,    -8.0
1692150840, +3.47, +28.370,   +53.9, +1094.0,  +216.0,   -81.0
1692151440, +3.47, +28.370,   +49.2, +1096.0,  +227.0,   -89.0
1692152040, +3.47, +28.378,   +45.7, +1046.0,  +220.0,   +16.0
1692152640, +3.47, +28.386,   +40.3, +1048.0,  +224.0,   +12.0
1692153240, +3.47, +28.370,   +36.9, +1046.0,  +224.0,   +16.0
1692153840, +3.47, +28.370,   +34.0, +1048.0,  +224.0,    +6.0
1692154440, +3.47, +28.378,   +31.1, +1039.0,  +216.0,   +24.0
