7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1687078740, +3.48, +28.173,  -0.00026, +1278.000, +116.000, +410.000
1687079340, +3.48, +28.173,  +0.02606, +1281.000, +115.000, +408.000
1687079940, +3.48, +28.173,  -0.05290, +1276.000, +113.000, +406.000
1687080540, +3.48, +28.124,  -0.01342, +1286.000, +120.000, +396.000
1687081140, +3.48, +28.107,  -0.05290, +1288.000, +120.000, +390.000
1687081740, +3.48, +28.107,  -0.00553, +1292.000, +120.000, +387.000
1687082340, +3.48, +28.140,  +0.11817, +1275.000, +116.000, +408.000
1687082940, +3.48, +28.238,  +0.06553, +1296.000, +120.000, +376.000
1687083540, +3.48, +28.402,  -0.01079, +1249.000, +102.000, +448.000
1687084140, +3.48, +28.484,  +0.05501, +1267.000, +112.000, +422.000
1687084740, +3.48, +28.411,  -0.03974, +1272.000, +112.000, +419.000
1687085340, +3.48, +28.304,  +0.00237, +1187.000, +76.000, +490.000
1687085940, +3.48, +28.181,  -0.03711, +1295.000, +118.000, +384.000
1687086540, +3.48, +28.124,  -0.05816, +1292.000, +120.000, +384.000
1687087140, +3.48, +28.206,  +0.05501, +1278.000, +120.000, +408.000
1687087740, +3.48, +28.140,  +0.01553, +1308.000, +113.000, +368.000
1687088340, +3.48, +28.000,  -0.00816, +1144.000, +60.000, +480.000
1687088940, +3.48, +27.787,  +0.08396, +1262.000, +104.000, +436.000
1687089540, +3.48, +27.746,  +0.02606, +1139.000, +63.000, +473.000
1687090140, +3.48, +27.754,  -0.01605, +1145.000, +64.000, +480.000
1687090740, +3.48, +27.795,  +0.03132, +1148.000, +64.000, +483.000
1687091340, +3.48, +27.877,  +0.05237, +1307.000, +112.000, +372.000
1687091940, +3.48, +27.918,  +0.02869, +1308.000, +108.000, +345.000
1687092540, +3.48, +27.935,  -0.01342, +1260.000, +108.000, +438.000
1687093140, +3.48, +27.918,  +0.00763, +1295.000, +120.000, +384.000
1687093740, +3.48, +27.853,  +0.00500, +1315.000, +113.000, +360.000
1687094340, +3.48, +27.523,  +0.04711, +1204.000, +80.000, +486.000
1687094940, +3.48, +27.194,  -0.05027, +1235.000, +96.000, +464.000
1687095540, +3.48, +27.202,  +0.01026, +1232.000, +92.000, +470.000
1687096140, +3.48, +27.202,  -0.02132, +1231.000, +92.000, +472.000
1687096740, +3.48, +27.103,  -0.00816, +1244.000, +99.000, +460.000
1687097340, +3.48, +26.921,  -0.04764, +1272.000, +112.000, +420.000
1687097940, +3.48, +26.814,  -0.01079, +1260.000, +108.000, +434.000
1687098540, +3.48, +26.814,  -0.04764, +1287.000, +120.000, +398.000
1687099140, +3.48, +26.896,  +0.03132, +1283.000, +120.000, +393.000
1687099740, +3.48, +26.979,  +0.04974, +1292.000, +120.000, +388.000
1687100340, +3.48, +27.078,  -0.03448, +1276.000, +115.000, +416.000
1687100940, +3.48, +27.218,  -0.01869, +1235.000, +96.000, +466.000
1687101540, +3.48, +27.301,  +0.01026, +1239.000, +96.000, +464.000
1687102140, +3.48, +27.350,  -0.00553, +1256.000, +102.000, +444.000
1687102740, +3.48, +27.367,  +0.00763, +1264.000, +112.000, +432.000
1687103340, +3.48, +27.441,  +0.03658, +1271.000, +114.000, +416.000
1687103940, +3.48, +27.507,  +0.02606, +1230.000, +92.000, +472.000
1687104540, +3.48, +27.606,  -0.02658, +1216.000, +86.000, +480.000
1687105140, +3.48, +27.614,  -0.00553, +1191.000, +76.000, +488.000
1687105740, +3.48, +27.606,  -0.02395, +1166.000, +70.000, +488.000
1687106340, +3.48, +27.532,  -0.00553, +1204.000, +80.000, +486.000
1687106940, +3.48, +27.441,  +0.00763, +1216.000, +86.000, +480.000
1687107540, +3.48, +27.606,  -0.02395, +1144.000, +64.000, +483.000
1687108140, +3.48, +27.729,  +0.04185, +1159.000, +67.000, +488.000
1687108740, +3.48, +27.787,  -0.02658, +1140.000, +60.000, +472.000
1687109340, +3.48, +27.828,  -0.03974, +1144.000, +64.000, +480.000
1687109940, +3.48, +27.836,  -0.07659, +1156.000, +65.000, +486.000
1687110540, +3.48, +27.828,  +0.04974, +1304.000, +116.000, +372.000
1687111140, +3.48, +27.836,  +0.03395, +1160.000, +67.000, +487.000
1687111740, +3.48, +27.853,  +0.10764, +1217.000, +88.000, +480.000
1687112340, +3.48, +27.844,  +0.12080, +1190.000, +78.000, +492.000
1687112940, +3.48, +27.853,  +0.10238, +1222.000, +88.000, +476.000
1687113540, +3.48, +27.853,  +0.14449, +1214.000, +84.000, +480.000
1687114140, +3.48, +27.844,  +0.23660, +1182.000, +76.000, +488.000
1687114740, +3.48, +27.918,  +0.31292, +1196.000, +78.000, +488.000
1687115340, +3.48, +27.992,  +0.55768, +1192.000, +78.000, +488.000
1687115940, +3.48, +28.091,  +0.54716, +1176.000, +72.000, +488.000
1687116540, +3.48, +28.197,  +0.82087, +1318.000, +115.000, +359.000
1687117140, +3.48, +28.402,  +1.14984, +1311.000, +115.000, +368.000
1687117740, +3.48, +28.525,  +1.19985, +1308.000, +112.000, +369.000
1687118340, +3.48, +28.566,  +1.39197, +1288.000, +120.000, +390.000
1687118940, +3.48, +28.582,  +1.76832, +1283.000, +120.000, +400.000
1687119540, +3.48, +28.607,  +2.37891, +1256.000, +104.000, +448.000
1687120140, +3.48, +28.656,  +1.60252, +1238.000, +96.000, +465.000
1687120740, +3.48, +28.754,  +1.41566, +1223.000, +88.000, +480.000
1687121340, +3.48, +28.803,  +1.86044, +1272.000, +112.000, +414.000
1687121940, +3.48, +28.803,  +1.44198, +1193.000, +78.000, +492.000
1687122540, +3.48, +28.730,  +1.93413, +1209.000, +83.000, +486.000
1687123140, +3.48, +28.615,  +2.52629, +1151.000, +64.000, +484.000
1687123740, +3.48, +28.517,  +2.36312, +1286.000, +120.000, +396.000
1687124340, +3.48, +28.509,  +1.71042, +1286.000, +120.000, +396.000
1687124940, +3.48, +28.550,  +0.70507, +1278.000, +116.000, +406.000
1687125540, +3.48, +28.640,  +2.21573, +1267.000, +112.000, +428.000
1687126140, +3.48, +28.599,  +2.22363, +1244.000, +96.000, +462.000
1687126740, +3.48, +28.468,  +2.37891, +1286.000, +120.000, +392.000
1687127340, +3.48, +28.394,  +2.28416, +1294.000, +120.000, +378.000
1687127940, +3.48, +28.345,  +1.54199, +1257.000, +108.000, +440.000
1687128540, +3.48, +28.312,  +2.76842, +1222.000, +88.000, +480.000
1687129140, +3.48, +28.312,  +1.57883, +1270.000, +112.000, +422.000
1687129740, +3.48, +28.361,  +1.68147, +1279.000, +116.000, +404.000
1687130340, +3.48, +28.460,  +2.66314, +1283.000, +120.000, +400.000
1687130940, +3.48, +28.452,  +2.36048, +1280.000, +116.000, +403.000
1687131540, +3.48, +28.460,  +2.32101, +1280.000, +118.000, +408.000
1687132140, +3.48, +28.509,  +2.15783, +1271.000, +112.000, +422.000
1687132740, +3.48, +28.550,  +2.05782, +1280.000, +120.000, +403.000
1687133340, +3.48, +28.492,  +1.91307, +1223.000, +88.000, +480.000
1687133940, +3.48, +28.329,  +1.72358, +1256.000, +104.000, +442.000
1687134540, +3.48, +28.247,  +1.78938, +1281.000, +120.000, +400.000
1687135140, +3.48, +28.304,  +1.71832, +1139.000, +62.000, +472.000
1687135740, +3.48, +28.312,  +1.68411, +1140.000, +60.000, +476.000
1687136340, +3.48, +28.329,  +1.52620, +1136.000, +64.000, +476.000
1687136940, +3.48, +28.435,  +1.45250, +1297.000, +120.000, +384.000
1687137540, +3.48, +28.542,  +1.42882, +1300.000, +116.000, +376.000
