millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
36915,1739944705.00,0.00,0.00,0.00,I
37186,1739944705.40,15.19,263.64,-25.02,I
37587,1739944705.80,75.29,452.10,-46.31,I
37988,1739944706.20,58.31,625.71,-71.24,I
38388,1739944706.60,74.52,749.72,-94.87,I
38788,1739944707.00,85.61,697.96,-102.53,I
39188,1739944707.40,76.15,539.21,-97.95,I
39589,1739944707.80,19.89,411.52,-94.23,I
39988,1739944708.20,-10.18,294.61,-92.01,I
40389,1739944708.60,-66.89,155.13,-83.74,I
40787,1739944709.00,-127.60,1.00,-78.68,I
41188,1739944709.40,-190.06,-145.75,-78.84,I
41590,1739944709.80,-236.27,-283.47,-67.83,I
41989,1739944710.20,-284.21,-444.79,-61.38,I
42388,1739944710.60,-267.76,-472.84,-46.07,I
42790,1739944711.00,-263.98,-458.14,-30.12,I
43192,1739944711.40,-463.06,-1380.41,-4.96,I
43616,1739944711.80,-594.68,-1863.71,15.49,I
43990,1739944712.20,-668.49,-2015.28,29.08,I
44391,1739944712.60,-629.01,-1894.74,36.00,I
44792,1739944713.00,-514.56,-1637.04,48.16,I
45190,1739944713.40,-341.53,-1208.83,68.69,I
45591,1739944713.80,-221.03,-862.71,88.32,I
45991,1739944714.20,-112.50,-523.82,97.79,I
46392,1739944714.60,-31.58,-293.25,103.28,I
46791,1739944715.00,57.93,-57.06,116.97,I
47192,1739944715.40,120.42,81.76,127.87,
47591,1739944715.80,192.13,221.22,134.37,
47992,1739944716.20,269.67,375.36,119.14,
48391,1739944716.60,333.99,488.77,106.33,
48794,1739944717.00,402.15,582.92,94.69,
49192,1739944717.40,423.31,642.24,93.92,
49592,1739944717.80,470.24,721.87,95.51,
49990,1739944718.20,520.22,766.27,98.81,
50389,1739944718.60,554.90,796.79,93.42,
50791,1739944719.00,559.79,797.70,79.24,
51190,1739944719.40,539.97,774.84,57.30,
51590,1739944719.80,563.48,797.73,39.31,
51991,1739944720.20,541.82,757.56,32.84,
52390,1739944720.60,530.98,731.96,26.72,
52790,1739944721.00,512.17,734.60,20.95,
53190,1739944721.40,501.77,725.79,26.23,
53590,1739944721.80,467.16,723.04,25.91,
53991,1739944722.20,428.27,692.01,23.70,
54391,1739944722.60,416.44,686.17,32.47,
54790,1739944723.00,365.02,667.42,26.54,
55191,1739944723.40,327.85,589.41,34.78,
55591,1739944723.80,318.30,610.19,44.30,
55992,1739944724.20,299.18,595.22,43.80,
56391,1739944724.60,272.13,583.01,42.33,
56792,1739944725.00,238.67,523.05,43.58,
57192,1739944725.40,200.18,475.12,55.80,
57592,1739944725.80,174.02,419.89,61.24,
57992,1739944726.20,109.51,326.00,67.25,
58392,1739944726.60,95.61,301.49,62.70,
58793,1739944727.00,57.81,266.22,48.75,
59192,1739944727.40,33.44,255.38,20.26,
59592,1739944727.80,3.91,246.64,-5.97,
59992,1739944728.20,-45.51,189.86,-33.47,
60394,1739944728.60,-94.00,145.13,-46.23,
60797,1739944729.00,-140.88,93.40,-63.89,
61194,1739944729.40,-201.67,19.61,-86.86,
61592,1739944729.80,-207.99,28.43,-108.18,
61994,1739944730.20,-267.00,-44.65,-122.26,
62394,1739944730.60,-189.97,146.66,-131.03,
62793,1739944731.00,-230.68,50.18,-142.35,
63193,1739944731.40,-284.44,-60.18,-153.53,
63620,1739944731.80,-331.27,-147.53,-165.07,
63994,1739944732.20,-323.08,-131.71,-178.24,
64394,1739944732.60,-351.12,-182.11,-187.73,
64793,1739944733.00,-391.23,-285.61,-193.81,
65194,1739944733.40,-439.82,-395.57,-199.45,
65595,1739944733.80,-477.62,-459.11,-190.01,
65996,1739944734.20,-489.37,-500.79,-184.48,
66395,1739944734.60,-511.58,-588.98,-171.20,
66794,1739944735.00,-541.08,-712.13,-157.06,
67194,1739944735.40,-510.76,-745.64,-150.31,
67594,1739944735.80,-496.80,-771.03,-142.21,
67995,1739944736.20,-479.49,-771.57,-128.47,
68395,1739944736.60,-459.17,-817.43,-113.83,
68795,1739944737.00,-355.77,-601.90,-89.61,
69194,1739944737.40,-316.09,-575.62,-69.62,
69597,1739944737.80,-279.57,-535.63,-50.59,
69995,1739944738.20,-245.89,-501.82,-31.68,
70395,1739944738.60,-182.59,-407.79,-5.99,
70795,1739944739.00,-128.69,-315.19,10.41,
71199,1739944739.40,-83.17,-291.42,19.07,
71596,1739944739.80,-77.29,-339.92,41.08,
71996,1739944740.20,-87.00,-411.80,58.17,
72399,1739944740.60,-92.66,-500.31,76.31,
72796,1739944741.00,-94.71,-566.46,78.81,
73196,1739944741.40,-109.63,-645.50,82.08,
73596,1739944741.80,-102.09,-699.12,94.81,
73996,1739944742.20,-108.59,-713.14,110.33,
74395,1739944742.60,-109.82,-678.74,125.88,
74795,1739944743.00,-106.48,-686.43,132.07,
75198,1739944743.40,-99.25,-660.37,134.97,
