epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0,0,BSYS,5,INFO,ssds,5
0,0,BSYS,5,INFO,ssis,60
0,0,BSYS,5,INFO,sds,1200
0,0,BSYS,6,INFO,sis,1200
0,0,BSYS,6,INFO,spm,6
0,0,BSYS,6,INFO,utc,0
0,0,BSYS,6,INFO,sse,1
0,0,BSYS,6,INFO,ste,1
0,0,BSYS,6,INFO,dme,1
0,0,BSYS,7,INFO,kba,0
0,0,BSYS,7,INFO,cs,1
0,0,BSYS,7,INFO,ssdms,5000
0,0,BSYS,7,INFO,sdms,1200000
0,0,BSYS,7,INFO,mtms,7220000
0.00,2,DATA,SOFT2,530,2937
0.00,3,DATA,SOFT2,531,2550
0.00,1,DATA,SOFT2,637,2952
0.00,2,DATA,SOFT2,1030,2937
0.00,3,DATA,SOFT2,1031,2550
0.00,1,DATA,SOFT2,1137,2952
0.00,2,DATA,SOFT2,1530,2937
0.00,3,DATA,SOFT2,1531,2550
0.00,1,DATA,SOFT2,1637,2952
0.00,2,DATA,SOFT2,2030,2937
0.00,3,DATA,SOFT2,2031,2550
0.00,1,DATA,SOFT2,2137,2952
0.00,2,DATA,SOFT2,2530,2937
0.00,3,DATA,SOFT2,2531,2550
0.00,1,DATA,SOFT2,2637,2952
0.00,2,DATA,SOFT2,3030,2937
0.00,3,DATA,SOFT2,3031,2550
0.00,1,DATA,SOFT2,3137,2952
0.00,2,DATA,SOFT2,3530,2937
0.00,3,DATA,SOFT2,3531,2550
0.00,1,DATA,SOFT2,3637,2951
0.00,2,DATA,SOFT2,4030,2937
0.00,3,DATA,SOFT2,4031,2550
0.00,1,DATA,SOFT2,4137,2952
0.00,2,DATA,SOFT2,4530,2937
0.00,3,DATA,SOFT2,4531,2550
0.00,1,DATA,SOFT2,4637,2952
0.00,2,DATA,SOFT2,5030,2937
0.00,3,DATA,SOFT2,5031,2550
0.00,1,DATA,SOFT2,5137,2952
0.00,3,DATA,SOFT2,5031,2550
0.00,2,DATA,SOFT2,5530,2937
0.00,0,BSYS,7616,INFO,etmark 0
0.00,3,DATA,SOFT2,5531,2551
0.00,1,DATA,SOFT2,5637,2952
0.00,2,DATA,SOFT2,6030,2937
0.00,3,DATA,SOFT2,6031,2550
0.00,1,DATA,SOFT2,6137,2952
0.00,2,DATA,SOFT2,6530,2937
0.00,3,DATA,SOFT2,6531,2550
0.00,1,DATA,SOFT2,6637,2952
0.00,2,DATA,SOFT2,7030,2937
0.00,3,DATA,SOFT2,7031,2551
0.00,1,DATA,SOFT2,7137,2952
0.00,2,DATA,SOFT2,7530,2937
0.00,1,DATA,SOFT2,7637,2952
0.00,3,DATA,SOFT2,7531,2551
0.00,2,DATA,SOFT2,8030,2937
0.00,3,DATA,SOFT2,8031,2551
0.00,1,DATA,SOFT2,8137,2952
0.00,2,DATA,SOFT2,8530,2937
0.00,3,DATA,SOFT2,8531,2551
0.00,1,DATA,SOFT2,8637,2952
0.00,2,DATA,SOFT2,9030,2937
0.00,3,DATA,SOFT2,9031,2551
0.00,1,DATA,SOFT2,9137,2952
0.00,2,DATA,SOFT2,9530,2937
0.00,3,DATA,SOFT2,9531,2551
0.00,1,DATA,SOFT2,9637,2952
0.00,2,DATA,SOFT2,10030,2937
0.00,3,DATA,SOFT2,10031,2551
0.00,1,DATA,SOFT2,10137,2951
0.00,2,DATA,SOFT2,10530,2937
0.00,3,DATA,SOFT2,10531,2551
0.00,1,DATA,SOFT2,10637,2952
0.00,2,DATA,SOFT2,11030,2937
0.00,3,DATA,SOFT2,11031,2551
0.00,1,DATA,SOFT2,11137,2952
0.00,2,DATA,SOFT2,11530,2937
0.00,3,DATA,SOFT2,11531,2551
0.00,1,DATA,SOFT2,11637,2952
0.00,2,DATA,SOFT2,12030,2937
0.00,3,DATA,SOFT2,12031,2551
0.00,1,DATA,SOFT2,12137,2951
0.00,2,DATA,SOFT2,12530,2937
0.00,3,DATA,SOFT2,12531,2551
0.00,1,DATA,SOFT2,12637,2952
0.00,2,DATA,SOFT2,13030,2937
0.00,3,DATA,SOFT2,13031,2552
0.00,1,DATA,SOFT2,13137,2952
0.00,2,DATA,SOFT2,13530,2937
0.00,3,DATA,SOFT2,13531,2552
0.00,1,DATA,SOFT2,13637,2951
0.00,2,DATA,SOFT2,14030,2937
0.00,3,DATA,SOFT2,14031,2552
0.00,1,DATA,SOFT2,14137,2951
0.00,2,DATA,SOFT2,14530,2937
0.00,3,DATA,SOFT2,14531,2552
0.00,1,DATA,SOFT2,14637,2952
0.00,2,DATA,SOFT2,15030,2937
0.00,3,DATA,SOFT2,15031,2552
0.00,1,DATA,SOFT2,15137,2951
0.00,2,DATA,SOFT2,15530,2937
0.00,0,BSYS,17616,INFO,etmark 0
0.00,3,DATA,SOFT2,15531,2553
0.00,1,DATA,SOFT2,15637,2952
0.00,2,DATA,SOFT2,16030,2937
0.00,3,DATA,SOFT2,16031,2552
0.00,1,DATA,SOFT2,16137,2951
0.00,2,DATA,SOFT2,16530,2937
0.00,3,DATA,SOFT2,16531,2553
0.00,1,DATA,SOFT2,16637,2951
0.00,2,DATA,SOFT2,17030,2937
0.00,1,DATA,SOFT2,17137,2951
0.00,3,DATA,SOFT2,17031,2553
0.00,2,DATA,SOFT2,17530,2937
0.00,3,DATA,SOFT2,17531,2553
0.00,1,DATA,SOFT2,17637,2951
0.00,2,DATA,SOFT2,18030,2937
0.00,3,DATA,SOFT2,18031,2553
0.00,1,DATA,SOFT2,18137,2951
0.00,2,DATA,SOFT2,18530,2937
0.00,3,DATA,SOFT2,18531,2553
0.00,1,DATA,SOFT2,18637,2951
0.00,2,DATA,SOFT2,19030,2937
0.00,3,DATA,SOFT2,19031,2553
0.00,1,DATA,SOFT2,19137,2951
0.00,2,DATA,SOFT2,19530,2937
0.00,3,DATA,SOFT2,19531,2553
0.00,1,DATA,SOFT2,19637,2952
0.00,2,DATA,SOFT2,20030,2937
0.00,3,DATA,SOFT2,20031,2553
0.00,1,DATA,SOFT2,20137,2951
0.00,2,DATA,SOFT2,20530,2937
0.00,3,DATA,SOFT2,20531,2553
0.00,1,DATA,SOFT2,20637,2951
0.00,2,DATA,SOFT2,21030,2937
0.00,3,DATA,SOFT2,21031,2553
0.00,1,DATA,SOFT2,21137,2951
0.00,2,DATA,SOFT2,21530,2937
0.00,3,DATA,SOFT2,21531,2553
0.00,1,DATA,SOFT2,21637,2951
0.00,2,DATA,SOFT2,22030,2937
0.00,3,DATA,SOFT2,22031,2553
0.00,1,DATA,SOFT2,22137,2951
0.00,2,DATA,SOFT2,22530,2937
0.00,3,DATA,SOFT2,22531,2553
0.00,1,DATA,SOFT2,22637,2952
0.00,2,DATA,SOFT2,23030,2937
0.00,3,DATA,SOFT2,23031,2553
0.00,1,DATA,SOFT2,23137,2951
0.00,2,DATA,SOFT2,23530,2937
0.00,3,DATA,SOFT2,23531,2553
0.00,1,DATA,SOFT2,23637,2951
0.00,2,DATA,SOFT2,24030,2937
0.00,3,DATA,SOFT2,24031,2553
0.00,1,DATA,SOFT2,24137,2951
0.00,2,DATA,SOFT2,24530,2937
0.00,3,DATA,SOFT2,24531,2553
0.00,1,DATA,SOFT2,24637,2951
0.00,2,DATA,SOFT2,25030,2937
0.00,3,DATA,SOFT2,25031,2554
0.00,1,DATA,SOFT2,25137,2952
0.00,2,DATA,SOFT2,25530,2937
0.00,0,BSYS,27616,INFO,etmark 0
0.00,3,DATA,SOFT2,25531,2554
0.00,1,DATA,SOFT2,25637,2952
0.00,2,DATA,SOFT2,26030,2937
0.00,3,DATA,SOFT2,26031,2554
0.00,1,DATA,SOFT2,26137,2951
0.00,2,DATA,SOFT2,26530,2937
0.00,3,DATA,SOFT2,26531,2554
0.00,1,DATA,SOFT2,26637,2951
0.00,2,DATA,SOFT2,27030,2937
0.00,3,DATA,SOFT2,27031,2554
0.00,1,DATA,SOFT2,27137,2951
0.00,2,DATA,SOFT2,27530,2937
0.00,3,DATA,SOFT2,27531,2554
0.00,1,DATA,SOFT2,27637,2951
0.00,2,DATA,SOFT2,28030,2937
0.00,1,DATA,SOFT2,28137,2951
0.00,3,DATA,SOFT2,28031,2555
0.00,2,DATA,SOFT2,28530,2936
0.00,3,DATA,SOFT2,28531,2554
0.00,1,DATA,SOFT2,28637,2951
0.00,2,DATA,SOFT2,29030,2937
0.00,3,DATA,SOFT2,29031,2555
0.00,1,DATA,SOFT2,29137,2951
0.00,2,DATA,SOFT2,29530,2937
0.00,3,DATA,SOFT2,29531,2555
0.00,1,DATA,SOFT2,29637,2951
0.00,2,DATA,SOFT2,30030,2937
0.00,3,DATA,SOFT2,30031,2555
0.00,1,DATA,SOFT2,30137,2951
0.00,2,DATA,SOFT2,30530,2937
0.00,3,DATA,SOFT2,30531,2555
