GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1739683801,-14,-2067294,-170,-4413966
1739683861,-14,-2067375,-170,-4413939
1739683921,-14,-2067542,-170,-4414305
1739683981,-14,-2067564,-170,-4414177
GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1739948311,-14,-2066987,-170,-4414526
1739948371,-14,-2067036,-170,-4414632
1739948431,-14,-2066932,-170,-4414614
1739948491,-14,-2066814,-170,-4414546
1739948551,-14,-2066680,-170,-4414312
1739948611,-14,-2066937,-170,-4414574
1739948671,-14,-2066790,-170,-4414486
1739948731,-14,-2066645,-170,-4414274
1739948791,-14,-2066908,-170,-4414433
1739948851,-14,-2067159,-170,-4414696
1739948911,-14,-2067521,-170,-4415099
1739948971,-14,-2067407,-170,-4414967
1739949031,-14,-2067251,-170,-4414865
1739949091,-14,-2067116,-170,-4414831
1739949151,-14,-2067094,-170,-4414780
1739949211,-14,-2067213,-170,-4414838
1739949271,-14,-2067307,-170,-4414839
1739949331,-14,-2067208,-170,-4414724
1739949391,-14,-2067188,-170,-4414708
1739949451,-14,-2067233,-170,-4414696
1739949511,-14,-2067193,-170,-4414643
1739949571,-14,-2067143,-170,-4414749
1739949631,-14,-2067116,-170,-4414778
1739949691,-14,-2066987,-170,-4414601
1739949751,-14,-2067058,-170,-4414807
1739949811,-14,-2067034,-170,-4414728
1739949871,-14,-2066983,-170,-4414504
1739949931,-14,-2067098,-170,-4414673
1739949991,-14,-2067138,-170,-4414624
1739950051,-14,-2067094,-170,-4414573
1739950111,-14,-2067051,-170,-4414492
1739950171,-14,-2067114,-170,-4414633
1739950231,-14,-2067213,-170,-4414738
1739950291,-14,-2067237,-170,-4414690
1739950351,-14,-2067108,-170,-4414658
1739950411,-14,-2067174,-170,-4414736
1739950471,-14,-2067200,-170,-4414727
1739950531,-14,-2067009,-170,-4414682
1739950591,-14,-2066940,-170,-4414856
1739950651,-14,-2066764,-170,-4414803
1739950711,-14,-2066799,-170,-4414753
1739950771,-14,-2066889,-170,-4414785
1739950831,-14,-2067071,-170,-4414665
1739950891,-14,-2067088,-170,-4414546
1739950951,-14,-2066909,-170,-4414621
1739951011,-14,-2066847,-170,-4414731
1739951071,-14,-2066835,-170,-4414702
1739951131,-14,-2066824,-170,-4414657
1739951191,-14,-2066790,-170,-4414589
1739951251,-14,-2066660,-170,-4414730
1739951311,-14,-2066796,-170,-4414763
1739951371,-14,-2066764,-170,-4414689
