epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0,0,BSYS,5,INFO,ssds,5
0,0,BSYS,5,INFO,ssis,60
0,0,BSYS,5,INFO,sds,1200
0,0,BSYS,6,INFO,sis,1200
0,0,BSYS,6,INFO,spm,6
0,0,BSYS,6,INFO,utc,0
0,0,BSYS,6,INFO,sse,1
0,0,BSYS,6,INFO,ste,1
0,0,BSYS,6,INFO,dme,1
0,0,BSYS,6,INFO,kba,0
0,0,BSYS,7,INFO,cs,1
0,0,BSYS,7,INFO,ssdms,5000
0,0,BSYS,7,INFO,sdms,1200000
0,0,BSYS,7,INFO,mtms,7220000
0.00,2,DATA,SOFT2,584,2449
0.00,3,DATA,SOFT2,603,2466
0.00,1,DATA,SOFT2,663,2443
0.00,2,DATA,SOFT2,1084,2449
0.00,3,DATA,SOFT2,1103,2466
0.00,1,DATA,SOFT2,1163,2443
0.00,2,DATA,SOFT2,1584,2449
0.00,3,DATA,SOFT2,1603,2466
0.00,1,DATA,SOFT2,1663,2443
0.00,2,DATA,SOFT2,2084,2449
0.00,3,DATA,SOFT2,2103,2466
0.00,1,DATA,SOFT2,2163,2443
0.00,2,DATA,SOFT2,2584,2449
0.00,3,DATA,SOFT2,2603,2466
0.00,1,DATA,SOFT2,2663,2443
0.00,2,DATA,SOFT2,3084,2449
0.00,3,DATA,SOFT2,3103,2466
0.00,1,DATA,SOFT2,3163,2443
0.00,2,DATA,SOFT2,3584,2449
0.00,3,DATA,SOFT2,3603,2466
0.00,1,DATA,SOFT2,3663,2443
0.00,2,DATA,SOFT2,4084,2449
0.00,3,DATA,SOFT2,4103,2466
0.00,1,DATA,SOFT2,4163,2444
0.00,2,DATA,SOFT2,4584,2449
0.00,3,DATA,SOFT2,4603,2466
0.00,1,DATA,SOFT2,4663,2444
0.00,2,DATA,SOFT2,5084,2449
0.00,3,DATA,SOFT2,5103,2466
0.00,1,DATA,SOFT2,5163,2443
0.00,0,BSYS,7626,INFO,etmark 1739991803
0.00,2,DATA,SOFT2,5584,2449
0.00,3,DATA,SOFT2,5603,2466
0.00,1,DATA,SOFT2,5663,2443
0.00,2,DATA,SOFT2,6084,2449
0.00,3,DATA,SOFT2,6103,2466
0.00,1,DATA,SOFT2,6163,2443
0.00,2,DATA,SOFT2,6584,2449
0.00,3,DATA,SOFT2,6603,2466
0.00,1,DATA,SOFT2,6663,2443
0.00,2,DATA,SOFT2,7084,2449
0.00,3,DATA,SOFT2,7103,2467
0.00,1,DATA,SOFT2,7163,2444
0.00,2,DATA,SOFT2,7584,2449
0.00,3,DATA,SOFT2,7603,2466
0.00,1,DATA,SOFT2,7663,2444
0.00,2,DATA,SOFT2,8084,2449
0.00,3,DATA,SOFT2,8103,2466
0.00,1,DATA,SOFT2,8163,2444
0.00,2,DATA,SOFT2,8584,2448
0.00,3,DATA,SOFT2,8603,2466
0.00,1,DATA,SOFT2,8663,2444
0.00,2,DATA,SOFT2,9084,2449
0.00,3,DATA,SOFT2,9103,2466
0.00,1,DATA,SOFT2,9163,2443
0.00,2,DATA,SOFT2,9584,2449
0.00,3,DATA,SOFT2,9603,2466
0.00,1,DATA,SOFT2,9663,2444
0.00,2,DATA,SOFT2,10084,2449
0.00,3,DATA,SOFT2,10103,2466
0.00,1,DATA,SOFT2,10163,2444
0.00,2,DATA,SOFT2,10584,2449
0.00,3,DATA,SOFT2,10603,2466
0.00,1,DATA,SOFT2,10663,2443
0.00,2,DATA,SOFT2,11084,2449
0.00,3,DATA,SOFT2,11103,2466
0.00,1,DATA,SOFT2,11163,2444
0.00,2,DATA,SOFT2,11584,2449
0.00,3,DATA,SOFT2,11603,2466
0.00,1,DATA,SOFT2,11663,2443
0.00,2,DATA,SOFT2,12084,2449
0.00,3,DATA,SOFT2,12103,2466
0.00,1,DATA,SOFT2,12163,2444
0.00,2,DATA,SOFT2,12584,2449
0.00,3,DATA,SOFT2,12603,2467
0.00,1,DATA,SOFT2,12663,2443
0.00,2,DATA,SOFT2,13084,2449
0.00,3,DATA,SOFT2,13103,2466
0.00,1,DATA,SOFT2,13163,2444
0.00,2,DATA,SOFT2,13584,2449
0.00,3,DATA,SOFT2,13603,2466
0.00,1,DATA,SOFT2,13663,2443
0.00,3,DATA,SOFT2,13603,2466
0.00,2,DATA,SOFT2,14084,2449
0.00,3,DATA,SOFT2,14103,2467
0.00,1,DATA,SOFT2,14163,2444
0.00,2,DATA,SOFT2,14584,2449
0.00,3,DATA,SOFT2,14603,2467
0.00,1,DATA,SOFT2,14663,2444
0.00,2,DATA,SOFT2,15084,2449
0.00,3,DATA,SOFT2,15103,2466
0.00,1,DATA,SOFT2,15163,2443
0.00,0,BSYS,17626,INFO,etmark 1739991813
1739991813.00,0,BSYS,17636,INFO,sa et 1739991813
1739991813.00,0,BSYS,17636,INFO,next sa et 1739993013
1739991813.00,0,BSYS,17637,INFO,setup mes TO to 7237636
1739991813.00,0,BSYS,17638,INFO,ss et 1739991813
1739991813.02,0,BSYS,17642,INFO,disable SM bus
1739991813.02,0,BSYS,17643,INFO,next ss et 1739991873
1739991823.00,0,BSYS,27626,INFO,etmark 1739991823
1739991833.00,0,BSYS,37626,INFO,etmark 1739991833
1739991843.00,0,BSYS,47626,INFO,etmark 1739991843
1739991853.00,0,BSYS,57627,INFO,etmark 1739991853
1739991873.00,0,BSYS,77621,INFO,enable SM bus
1739991873.00,0,BSYS,77622,INFO,ss until ms 82622
1739991875.69,2,DATA,SOFT2,621,2449
1739991875.71,1,DATA,SOFT2,658,2443
1739991875.83,3,DATA,SOFT2,628,2463
1739991876.19,2,DATA,SOFT2,1121,2448
1739991876.21,1,DATA,SOFT2,1158,2443
1739991876.33,3,DATA,SOFT2,1128,2463
1739991876.63,0,BSYS,81261,INFO,etmark 1739991877
1739991877.06,2,DATA,SOFT2,1621,2449
1739991877.08,1,DATA,SOFT2,1658,2443
1739991877.19,3,DATA,SOFT2,1628,2462
1739991877.57,2,DATA,SOFT2,2121,2448
1739991877.59,1,DATA,SOFT2,2158,2443
1739991877.70,3,DATA,SOFT2,2128,2462
1739991878.07,2,DATA,SOFT2,2621,2448
1739991878.09,1,DATA,SOFT2,2658,2444
1739991878.21,3,DATA,SOFT2,2628,2462
1739991878.38,0,BSYS,82622,INFO,disable SM bus
1739991878.38,0,BSYS,82623,INFO,next ss et 1739991933
1739991887.15,0,BSYS,91261,INFO,etmark 1739991887
1739991897.00,0,BSYS,101261,INFO,etmark 1739991897
1739991907.00,0,BSYS,111261,INFO,etmark 1739991907
1739991917.00,0,BSYS,121264,INFO,etmark 1739991917
1739991927.00,0,BSYS,131262,INFO,etmark 1739991927
1739991933.00,0,BSYS,137255,INFO,enable SM bus
1739991933.00,0,BSYS,137256,INFO,ss until ms 142256
1739991935.64,1,DATA,SOFT2,605,2442
1739991935.67,3,DATA,SOFT2,568,2462
1739991935.72,2,DATA,SOFT2,650,2445
1739991936.14,1,DATA,SOFT2,1105,2442
1739991936.17,3,DATA,SOFT2,1068,2462
1739991936.22,2,DATA,SOFT2,1150,2445
1739991936.64,1,DATA,SOFT2,1605,2443
1739991936.67,3,DATA,SOFT2,1568,2462
1739991936.72,2,DATA,SOFT2,1650,2445
1739991937.00,0,BSYS,141262,INFO,etmark 1739991937
1739991937.14,1,DATA,SOFT2,2105,2443
1739991937.16,3,DATA,SOFT2,2068,2462
1739991937.22,2,DATA,SOFT2,2150,2445
1739991937.64,1,DATA,SOFT2,2605,2443
1739991937.66,3,DATA,SOFT2,2568,2462
1739991937.72,2,DATA,SOFT2,2650,2445
1739991937.99,0,BSYS,142256,INFO,disable SM bus
1739991937.99,0,BSYS,142257,INFO,next ss et 1739991993
1739991947.00,0,BSYS,151262,INFO,etmark 1739991947
1739991957.00,0,BSYS,161262,INFO,etmark 1739991957
1739991967.00,0,BSYS,171262,INFO,etmark 1739991967
1739991977.00,0,BSYS,181262,INFO,etmark 1739991977
1739991987.00,0,BSYS,191262,INFO,etmark 1739991987
1739991993.00,0,BSYS,197258,INFO,enable SM bus
1739991993.00,0,BSYS,197259,INFO,ss until ms 202259
1739991995.65,2,DATA,SOFT2,582,2443
1739991995.69,1,DATA,SOFT2,653,2442
1739991995.73,3,DATA,SOFT2,652,2462
1739991996.15,2,DATA,SOFT2,1082,2444
1739991996.19,1,DATA,SOFT2,1153,2442
1739991996.23,3,DATA,SOFT2,1152,2461
1739991996.65,2,DATA,SOFT2,1582,2444
1739991996.69,1,DATA,SOFT2,1653,2442
1739991996.73,3,DATA,SOFT2,1652,2461
1739991997.00,0,BSYS,201262,INFO,etmark 1739991997
1739991997.15,2,DATA,SOFT2,2082,2444
1739991997.19,1,DATA,SOFT2,2153,2442
1739991997.23,3,DATA,SOFT2,2152,2461
1739991997.65,2,DATA,SOFT2,2582,2444
1739991997.69,1,DATA,SOFT2,2653,2442
1739991997.73,3,DATA,SOFT2,2652,2462
1739991997.87,3,DATA,SOFT2,2652,2462
1739991998.00,0,BSYS,202259,INFO,disable SM bus
1739991998.00,0,BSYS,202260,INFO,next ss et 1739992053
1739992007.00,0,BSYS,211263,INFO,etmark 1739992007
1739992017.00,0,BSYS,221264,INFO,etmark 1739992017
1739992027.00,0,BSYS,231263,INFO,etmark 1739992027
1739992037.00,0,BSYS,241263,INFO,etmark 1739992037
1739992047.00,0,BSYS,251263,INFO,etmark 1739992047
1739992053.00,0,BSYS,257257,INFO,enable SM bus
1739992053.00,0,BSYS,257258,INFO,ss until ms 262258
1739992055.60,2,DATA,SOFT2,533,2444
1739992055.64,3,DATA,SOFT2,560,2460
1739992055.67,1,DATA,SOFT2,634,2442
1739992056.10,2,DATA,SOFT2,1033,2443
1739992056.14,3,DATA,SOFT2,1060,2460
1739992056.17,1,DATA,SOFT2,1134,2441
1739992056.60,2,DATA,SOFT2,1533,2443
1739992056.64,3,DATA,SOFT2,1560,2460
1739992056.67,1,DATA,SOFT2,1634,2441
1739992057.00,0,BSYS,261263,INFO,etmark 1739992057
1739992057.10,2,DATA,SOFT2,2033,2443
1739992057.14,3,DATA,SOFT2,2060,2461
1739992057.17,1,DATA,SOFT2,2134,2441
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0,0,BSYS,5,INFO,ssds,5
0,0,BSYS,5,INFO,ssis,60
0,0,BSYS,5,INFO,sds,1200
0,0,BSYS,6,INFO,sis,1200
0,0,BSYS,6,INFO,spm,6
0,0,BSYS,6,INFO,utc,0
0,0,BSYS,6,INFO,sse,1
0,0,BSYS,6,INFO,ste,1
0,0,BSYS,6,INFO,dme,1
0,0,BSYS,7,INFO,kba,0
0,0,BSYS,7,INFO,cs,1
0,0,BSYS,7,INFO,ssdms,5000
0,0,BSYS,7,INFO,sdms,1200000
0,0,BSYS,7,INFO,mtms,7220000
0.00,2,DATA,SOFT2,524,2444
0.00,1,DATA,SOFT2,575,2441
0.00,3,DATA,SOFT2,660,2461
0.00,2,DATA,SOFT2,1024,2443
0.00,1,DATA,SOFT2,1075,2441
0.00,3,DATA,SOFT2,1160,2461
0.00,2,DATA,SOFT2,1524,2443
0.00,1,DATA,SOFT2,1575,2442
0.00,3,DATA,SOFT2,1660,2461
0.00,2,DATA,SOFT2,2024,2444
0.00,1,DATA,SOFT2,2075,2441
0.00,3,DATA,SOFT2,2160,2461
0.00,2,DATA,SOFT2,2524,2444
0.00,1,DATA,SOFT2,2575,2441
0.00,3,DATA,SOFT2,2660,2461
0.00,2,DATA,SOFT2,3024,2443
0.00,1,DATA,SOFT2,3075,2442
0.00,3,DATA,SOFT2,3160,2461
0.00,2,DATA,SOFT2,3524,2443
0.00,1,DATA,SOFT2,3575,2441
0.00,3,DATA,SOFT2,3660,2461
0.00,2,DATA,SOFT2,4024,2444
0.00,1,DATA,SOFT2,4075,2441
0.00,3,DATA,SOFT2,4160,2460
0.00,2,DATA,SOFT2,4524,2444
0.00,1,DATA,SOFT2,4575,2441
0.00,3,DATA,SOFT2,4660,2461
0.00,2,DATA,SOFT2,5024,2444
0.00,1,DATA,SOFT2,5075,2441
0.00,3,DATA,SOFT2,5160,2461
0.00,2,DATA,SOFT2,5524,2444
0.00,1,DATA,SOFT2,5575,2441
0.00,0,BSYS,7631,INFO,etmark 1739992069
0.00,3,DATA,SOFT2,5660,2461
0.00,2,DATA,SOFT2,6024,2444
0.00,1,DATA,SOFT2,6075,2441
0.00,3,DATA,SOFT2,6160,2461
0.00,2,DATA,SOFT2,6524,2444
0.00,1,DATA,SOFT2,6575,2442
0.00,3,DATA,SOFT2,6660,2460
0.00,2,DATA,SOFT2,7024,2444
0.00,1,DATA,SOFT2,7075,2441
0.00,3,DATA,SOFT2,7160,2461
0.00,2,DATA,SOFT2,7524,2444
0.00,1,DATA,SOFT2,7575,2441
0.00,3,DATA,SOFT2,7660,2461
0.00,2,DATA,SOFT2,8024,2444
0.00,1,DATA,SOFT2,8075,2441
0.00,3,DATA,SOFT2,8160,2461
0.00,2,DATA,SOFT2,8524,2444
0.00,1,DATA,SOFT2,8575,2441
0.00,3,DATA,SOFT2,8660,2461
0.00,2,DATA,SOFT2,9024,2444
0.00,1,DATA,SOFT2,9075,2441
0.00,3,DATA,SOFT2,9160,2461
0.00,2,DATA,SOFT2,9524,2444
0.00,1,DATA,SOFT2,9575,2441
0.00,3,DATA,SOFT2,9660,2461
0.00,2,DATA,SOFT2,10024,2444
0.00,1,DATA,SOFT2,10075,2441
0.00,3,DATA,SOFT2,10160,2461
0.00,2,DATA,SOFT2,10524,2444
0.00,1,DATA,SOFT2,10575,2441
0.00,3,DATA,SOFT2,10660,2461
0.00,2,DATA,SOFT2,11024,2444
0.00,1,DATA,SOFT2,11075,2441
0.00,3,DATA,SOFT2,11160,2461
0.00,2,DATA,SOFT2,11524,2444
0.00,1,DATA,SOFT2,11575,2441
0.00,3,DATA,SOFT2,11660,2461
0.00,2,DATA,SOFT2,12024,2444
0.00,1,DATA,SOFT2,12075,2442
0.00,3,DATA,SOFT2,12160,2461
0.00,2,DATA,SOFT2,12524,2444
0.00,1,DATA,SOFT2,12575,2441
0.00,3,DATA,SOFT2,12660,2461
0.00,2,DATA,SOFT2,13024,2443
0.00,1,DATA,SOFT2,13075,2441
0.00,3,DATA,SOFT2,13160,2461
0.00,2,DATA,SOFT2,13524,2444
0.00,1,DATA,SOFT2,13575,2441
0.00,3,DATA,SOFT2,13660,2461
0.00,2,DATA,SOFT2,14024,2444
0.00,1,DATA,SOFT2,14075,2441
0.00,3,DATA,SOFT2,14160,2461
0.00,2,DATA,SOFT2,14524,2444
0.00,1,DATA,SOFT2,14575,2441
0.00,3,DATA,SOFT2,14660,2461
0.00,2,DATA,SOFT2,15024,2444
0.00,1,DATA,SOFT2,15075,2441
0.00,3,DATA,SOFT2,15160,2461
0.00,2,DATA,SOFT2,15524,2443
0.00,1,DATA,SOFT2,15575,2441
0.00,0,BSYS,17630,INFO,etmark 1739992079
1739992079.00,0,BSYS,17632,INFO,sa et 1739992079
1739992079.00,0,BSYS,17633,INFO,next sa et 1739993279
1739992079.00,0,BSYS,17634,INFO,setup mes TO to 7237632
1739992079.00,0,BSYS,17635,INFO,ss et 1739992079
1739992079.01,0,BSYS,17646,INFO,disable SM bus
1739992079.01,0,BSYS,17647,INFO,next ss et 1739992139
1739992089.00,0,BSYS,27625,INFO,etmark 1739992089
1739992099.01,0,BSYS,37626,INFO,etmark 1739992099
1739992109.00,0,BSYS,47626,INFO,etmark 1739992109
1739992119.00,0,BSYS,57626,INFO,etmark 1739992119
1739992129.00,0,BSYS,67626,INFO,etmark 1739992129
1739992139.00,0,BSYS,77620,INFO,enable SM bus
1739992139.00,0,BSYS,77621,INFO,ss until ms 82621
1739992139.00,0,BSYS,77633,INFO,etmark 1739992139
1739992141.64,2,DATA,SOFT2,575,2444
1739992141.69,1,DATA,SOFT2,660,2441
1739992141.71,3,DATA,SOFT2,627,2462
1739992142.14,2,DATA,SOFT2,1075,2444
1739992142.19,1,DATA,SOFT2,1160,2441
1739992142.21,3,DATA,SOFT2,1127,2462
1739992142.64,2,DATA,SOFT2,1575,2445
1739992142.69,1,DATA,SOFT2,1660,2441
1739992142.71,3,DATA,SOFT2,1627,2462
1739992143.14,2,DATA,SOFT2,2075,2444
1739992143.19,1,DATA,SOFT2,2160,2440
1739992143.21,3,DATA,SOFT2,2127,2462
1739992143.63,2,DATA,SOFT2,2575,2445
1739992143.69,1,DATA,SOFT2,2660,2440
1739992143.71,3,DATA,SOFT2,2627,2462
1739992143.98,0,BSYS,82621,INFO,disable SM bus
1739992143.98,0,BSYS,82622,INFO,next ss et 1739992199
1739992148.99,0,BSYS,87626,INFO,etmark 1739992149
1739992159.01,0,BSYS,97626,INFO,etmark 1739992159
1739992169.00,0,BSYS,107626,INFO,etmark 1739992169
1739992179.00,0,BSYS,117627,INFO,etmark 1739992179
1739992189.00,0,BSYS,127627,INFO,etmark 1739992189
1739992199.00,0,BSYS,137621,INFO,enable SM bus
1739992199.00,0,BSYS,137622,INFO,ss until ms 142622
1739992199.00,0,BSYS,137635,INFO,etmark 1739992199
1739992201.61,1,DATA,SOFT2,584,2440
1739992201.65,2,DATA,SOFT2,577,2445
1739992201.67,3,DATA,SOFT2,559,2462
1739992202.11,1,DATA,SOFT2,1084,2440
1739992202.15,2,DATA,SOFT2,1077,2445
1739992202.17,3,DATA,SOFT2,1059,2462
1739992202.61,1,DATA,SOFT2,1584,2440
1739992202.65,2,DATA,SOFT2,1577,2446
1739992202.67,3,DATA,SOFT2,1559,2462
1739992203.11,1,DATA,SOFT2,2084,2440
1739992203.14,2,DATA,SOFT2,2077,2446
1739992203.17,3,DATA,SOFT2,2059,2462
1739992203.61,1,DATA,SOFT2,2584,2440
1739992203.64,2,DATA,SOFT2,2577,2446
1739992203.67,3,DATA,SOFT2,2559,2462
1739992203.98,0,BSYS,142622,INFO,disable SM bus
1739992203.98,0,BSYS,142623,INFO,next ss et 1739992259
1739992208.98,0,BSYS,147627,INFO,etmark 1739992209
1739992219.01,0,BSYS,157627,INFO,etmark 1739992219
1739992229.00,0,BSYS,167627,INFO,etmark 1739992229
1739992239.00,0,BSYS,177627,INFO,etmark 1739992239
1739992249.00,0,BSYS,187627,INFO,etmark 1739992249
1739992259.00,0,BSYS,197621,INFO,enable SM bus
1739992259.00,0,BSYS,197622,INFO,ss until ms 202622
1739992259.00,0,BSYS,197635,INFO,etmark 1739992259
1739992261.62,3,DATA,SOFT2,558,2462
1739992261.64,1,DATA,SOFT2,605,2440
1739992261.69,2,DATA,SOFT2,628,2447
1739992262.12,3,DATA,SOFT2,1058,2462
1739992262.14,1,DATA,SOFT2,1105,2440
1739992262.19,2,DATA,SOFT2,1128,2447
1739992262.62,3,DATA,SOFT2,1558,2463
1739992262.64,1,DATA,SOFT2,1605,2439
1739992262.69,2,DATA,SOFT2,1628,2446
1739992263.12,3,DATA,SOFT2,2058,2463
