millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
65854,1739685331.00,0.00,0.00,0.00,I
66154,1739685331.40,-20.55,98.30,4.47,I
66154,1739685331.80,-36.57,174.91,7.95,I
66154,1739685332.20,-48.56,232.25,9.66,I
66553,1739685332.60,-36.44,174.27,11.69,I
66956,1739685333.00,37.71,107.00,9.45,I
67353,1739685333.40,128.71,97.86,-1.55,I
67754,1739685333.80,231.12,104.08,-4.15,I
68152,1739685334.20,291.92,88.31,-1.74,I
68552,1739685334.60,317.64,89.05,7.32,I
68952,1739685335.00,314.21,85.85,17.94,I
69352,1739685335.40,270.91,46.30,23.29,I
69752,1739685335.80,228.28,44.46,15.33,I
70154,1739685336.20,170.61,22.72,15.61,I
70553,1739685336.60,101.77,-13.73,14.42,I
70952,1739685337.00,57.37,-29.07,-6.71,I
71353,1739685337.40,-14.02,-59.36,-11.21,I
71753,1739685337.80,-59.17,-68.81,-12.11,I
72152,1739685338.20,-97.52,-60.41,-12.76,I
72552,1739685338.60,-144.76,-71.82,-14.08,I
72954,1739685339.00,-198.01,-97.93,-14.12,I
73354,1739685339.40,-239.56,-135.19,-13.99,I
73752,1739685339.80,-255.40,-132.20,-19.97,I
74153,1739685340.20,-280.37,-161.20,-19.98,I
74552,1739685340.60,-296.60,-150.70,-13.39,I
74953,1739685341.00,-274.69,-140.74,-11.45,I
75353,1739685341.40,-283.09,-131.24,-13.27,
75753,1739685341.80,-284.82,-154.31,-11.79,
76154,1739685342.20,-280.77,-154.55,-14.82,
76555,1739685342.60,-256.56,-168.42,-14.23,
76954,1739685343.00,-294.94,-225.76,-8.06,
77357,1739685343.40,-302.70,-283.34,-15.39,
77754,1739685343.80,-285.27,-323.37,-11.03,
78154,1739685344.20,-279.68,-364.98,6.21,
78553,1739685344.60,-251.07,-372.43,19.11,
78954,1739685345.00,-220.23,-385.69,30.91,
79353,1739685345.40,-236.08,-450.96,23.67,
79753,1739685345.80,-208.16,-490.56,20.06,
80155,1739685346.20,-177.46,-458.76,14.93,
80556,1739685346.60,-144.79,-451.79,6.88,
80954,1739685347.00,-126.96,-414.90,8.27,
81355,1739685347.40,-88.89,-386.19,5.57,
81754,1739685347.80,-51.19,-314.73,14.84,
82154,1739685348.20,-14.34,-226.78,6.66,
82554,1739685348.60,5.16,-159.07,1.65,
82954,1739685349.00,26.59,-92.44,1.95,
83356,1739685349.40,65.35,-27.68,-6.01,
83781,1739685349.80,117.25,67.59,-2.55,
84154,1739685350.20,162.53,168.53,-10.56,
84555,1739685350.60,201.47,239.75,-21.32,
84953,1739685351.00,250.46,284.66,-5.44,
85354,1739685351.40,274.11,374.42,0.20,
85755,1739685351.80,308.86,414.84,-4.28,
86156,1739685352.20,319.29,430.58,-8.73,
86556,1739685352.60,309.65,459.76,-13.06,
86955,1739685353.00,332.06,514.72,-11.81,
87358,1739685353.40,314.94,619.91,-3.42,
87757,1739685353.80,282.20,698.08,6.06,
88156,1739685354.20,269.46,752.05,4.59,
88555,1739685354.60,240.51,784.50,-5.64,
88955,1739685355.00,214.93,781.86,-19.09,
89355,1739685355.40,208.41,766.11,-24.09,
89755,1739685355.80,200.93,739.08,-25.74,
90154,1739685356.20,176.46,686.38,-24.64,
90557,1739685356.60,154.70,613.13,-23.98,
90957,1739685357.00,135.34,556.12,-23.67,
91355,1739685357.40,134.17,480.23,-23.59,
91756,1739685357.80,147.40,438.18,-19.19,
92156,1739685358.20,155.54,391.15,-6.92,
92556,1739685358.60,159.16,356.42,-3.76,
92956,1739685359.00,158.80,315.44,-7.07,
93357,1739685359.40,171.05,269.61,-7.44,
93757,1739685359.80,176.75,237.15,-4.52,
94158,1739685360.20,176.74,198.49,-2.58,
94556,1739685360.60,187.00,155.09,6.59,
94956,1739685361.00,174.54,108.24,7.07,
95356,1739685361.40,174.14,42.17,6.82,
95756,1739685361.80,167.87,-4.36,-1.15,
96156,1739685362.20,156.65,-68.54,-8.87,
96556,1739685362.60,141.35,-111.79,-7.28,
96958,1739685363.00,122.76,-138.42,-5.37,
97357,1739685363.40,101.59,-200.46,-5.91,
97756,1739685363.80,78.51,-239.58,-2.13,
98158,1739685364.20,38.91,-293.42,7.73,
